id,release_year,artists,track_name
2Zb7wnGUnNPCas2E0wWSQ5,2011,"3nFkdlSjzX9mRTtwJOzDYB, 5K4W6rqBFWDnAN6FQUkS6x",Ni**as In Paris
5UsLjwBaTHBX4ektWIr4XX,2009,"3TVXtAsR1Inumwj472S9r4, 5K4W6rqBFWDnAN6FQUkS6x, 55Aa2cqylxrFIXC767Z865, 7dGJo4pcD2V6oG8kP0tJRR",Forever
1UGD3lW3tDmgZfAVDh6w7r,2010,"5K4W6rqBFWDnAN6FQUkS6x, 1sBkRIssrMs1AbVkOJbc7a",Devil In A New Dress
0F13K9dwYH2zpTWiR8d628,2020,"699OTQXzgjhIYAHMy9RyPD, 5K4W6rqBFWDnAN6FQUkS6x",Go2DaMoon (feat. Kanye West)
6JFLZH9vCzgqnUToBdiHQb,2011,"3nFkdlSjzX9mRTtwJOzDYB, 5K4W6rqBFWDnAN6FQUkS6x",Gotta Have It
4VCbgIdr8ptegWeJpqLVHH,2021,"3TVXtAsR1Inumwj472S9r4, 3nFkdlSjzX9mRTtwJOzDYB",Love All (with JAY-Z)
4QpmwtoYEvENZJPQ6a2kbw,1996,"3nFkdlSjzX9mRTtwJOzDYB, 5me0Irg2ANcsgc93uaYrpb",Brooklyn's Finest
65rRB2mspD309xE6YimZTl,2012,"5K4W6rqBFWDnAN6FQUkS6x, 3nFkdlSjzX9mRTtwJOzDYB, 0c173mlxpT3dSFRgMO8XPh",Clique
34KUIBsIUiPV7oCIzSdDAU,2005,"5K4W6rqBFWDnAN6FQUkS6x, 3nFkdlSjzX9mRTtwJOzDYB",Diamonds From Sierra Leone - Remix
0eK5y1c7WDyWwx6k9SFjbT,2001,"3nFkdlSjzX9mRTtwJOzDYB, 7dGJo4pcD2V6oG8kP0tJRR",Renegade
3SImXx6qmobDK2q7MKeR1Z,2012,"2YZyLoL8N0Wb9xBt1NhZWg, 3nFkdlSjzX9mRTtwJOzDYB","Bitch, Don’t Kill My Vibe - Remix"
7FIWs0pqAYbP91WWM0vlTQ,2020,"7dGJo4pcD2V6oG8kP0tJRR, 4MCBfE4596Uoi2O4DtmEMz",Godzilla (feat. Juice WRLD)
7iXF2W9vKmDoGAhlHdpyIa,1999,"6DPYiyq5kWVQS4RGwxzPC7, 7dGJo4pcD2V6oG8kP0tJRR",Forgot About Dre
4dK00wCxlqWEeN8BoM1BHT,2009,"7dGJo4pcD2V6oG8kP0tJRR, 6DPYiyq5kWVQS4RGwxzPC7, 3q7HBObVc0L8jNeTe5Gofh",Crack A Bottle
7M2tXmeS15NAzEn7ABFeBg,2019,"4xRYI6VqpkE3UwrDrAZL8L, 7dGJo4pcD2V6oG8kP0tJRR",Homicide (feat. Eminem)
3a2jFwnts4Cf0OwJbK61SL,2022,"6DPYiyq5kWVQS4RGwxzPC7, 7dGJo4pcD2V6oG8kP0tJRR",Gospel (with Eminem)
7bHT9osSq1rwT2yaImzqCi,2010,"7dGJo4pcD2V6oG8kP0tJRR, 55Aa2cqylxrFIXC767Z865",No Love
6qBffi4yVR6ZpfPOo6TaGc,2020,"7dGJo4pcD2V6oG8kP0tJRR, 4MCBfE4596Uoi2O4DtmEMz",Godzilla
3F5CgOj3wFlRv51JsHbxhe,2022,"3TVXtAsR1Inumwj472S9r4, 1URnnhqYAYcrqrcwql10ft",Jimmy Cooks (feat. 21 Savage)
62Vu4ClnZMQPHBqY3REDox,2024,"0hCNtLu0JehylgoiP8L4Gh, 3TVXtAsR1Inumwj472S9r4, 55Aa2cqylxrFIXC767Z865",Truffle Butter (feat. Drake & Lil Wayne)
40iJIUlhi6renaREYGeIDS,2021,"3TVXtAsR1Inumwj472S9r4, 0Y5tJX1MQlPlqiwlOH1tJY",Fair Trade (with Travis Scott)
7igtK7lJm2HouaZzWfUN3R,2024,"3TVXtAsR1Inumwj472S9r4, 50co4Is1HCEo8bhOyUWKpn, 1URnnhqYAYcrqrcwql10ft",It's Up (feat. Young Thug & 21 Savage)
67nepsnrcZkowTxMWigSbb,2023,"0Y5tJX1MQlPlqiwlOH1tJY, 3TVXtAsR1Inumwj472S9r4",MELTDOWN (feat. Drake)
1bDbXMyjaUIooNwFE9wn0N,2022,"3TVXtAsR1Inumwj472S9r4, 1URnnhqYAYcrqrcwql10ft",Rich Flex
2KO54x4DIeHAYBdT7YjuBZ,2013,"55Aa2cqylxrFIXC767Z865, 3TVXtAsR1Inumwj472S9r4, 1RyvyyTE3xzB2ZywiAwp0i",Love Me
7aqfrAY2p9BUSiupwk3svU,2023,"3TVXtAsR1Inumwj472S9r4, 6l3HvQ5sa6mXTsMTB19rO5",First Person Shooter (feat. J. Cole)
5ry2OE6R2zPQFDO85XkgRb,2019,"3TVXtAsR1Inumwj472S9r4, 1sBkRIssrMs1AbVkOJbc7a",Money In The Grave (Drake ft. Rick Ross)
124IHGAzY9F3unizZ08iRc,2024,"6l3HvQ5sa6mXTsMTB19rO5, 3TVXtAsR1Inumwj472S9r4",In The Morning (feat. Drake)
6vN77lE9LK6HP2DewaN6HZ,2018,"5f7VJjfbwm532GiveGC0ZK, 3TVXtAsR1Inumwj472S9r4",Yes Indeed
65OVbaJR5O1RmwOQx0875b,2021,"3TVXtAsR1Inumwj472S9r4, 5f7VJjfbwm532GiveGC0ZK",Wants and Needs (feat. Lil Baby)
1K5KBOgreBi5fkEHvg5ap3,2020,"1RyvyyTE3xzB2ZywiAwp0i, 3TVXtAsR1Inumwj472S9r4",Life Is Good (feat. Drake)
5J6CXHvsfRGyyCnQZmVPoE,2012,"2YZyLoL8N0Wb9xBt1NhZWg, 3TVXtAsR1Inumwj472S9r4",Poetic Justice
2ZL7WZcjuYKi1KUDtp4kCC,2022,"3TVXtAsR1Inumwj472S9r4, 1URnnhqYAYcrqrcwql10ft",Spin Bout U
6Kj17Afjo1OKJYpf5VzCeo,2020,"3TVXtAsR1Inumwj472S9r4, 699OTQXzgjhIYAHMy9RyPD",Pain 1993 (with Playboi Carti)
2KLwPaRDOB87XOYAT2fgxh,2022,"3TVXtAsR1Inumwj472S9r4, 1URnnhqYAYcrqrcwql10ft, 0Y5tJX1MQlPlqiwlOH1tJY",Pussy & Millions (feat. Travis Scott)
37Nqx7iavZpotJSDXZWbJ3,2021,"3TVXtAsR1Inumwj472S9r4, 5f7VJjfbwm532GiveGC0ZK",Girls Want Girls (with Lil Baby)
0k1WUmIRnG3xU6fvvDVfRG,2021,"3TVXtAsR1Inumwj472S9r4, 1RyvyyTE3xzB2ZywiAwp0i, 50co4Is1HCEo8bhOyUWKpn",Way 2 Sexy (with Future & Young Thug)
3KEMjT3QVfKIl4E9DIcrmF,2023,"0Y5tJX1MQlPlqiwlOH1tJY, 699OTQXzgjhIYAHMy9RyPD",FE!N (feat. Playboi Carti)
3CBZb8R4dE1t7sGDxvlv8M,2024,"3LZZPxNDGDFVSIPqf4JuEf, 0Y5tJX1MQlPlqiwlOH1tJY",Oh Shhh...(with Travis Scott)
5BjYmIIW8NIwItLPGjqKqP,2024,"1RyvyyTE3xzB2ZywiAwp0i, 0Y5tJX1MQlPlqiwlOH1tJY",SOUTH OF FRANCE - REMIX
7DcvwMAiqKJQD1rrdfxSDx,2019,"50co4Is1HCEo8bhOyUWKpn, 6l3HvQ5sa6mXTsMTB19rO5, 0Y5tJX1MQlPlqiwlOH1tJY",The London (feat. J. Cole & Travis Scott)
20dP2DaMHIAmwWAbp7peSr,2016,"50co4Is1HCEo8bhOyUWKpn, 0Y5tJX1MQlPlqiwlOH1tJY",pick up the phone
2T3NIOZtmrOQxhrDdIIAPh,2024,"4MCBfE4596Uoi2O4DtmEMz, 0hCNtLu0JehylgoiP8L4Gh",AGATS2 (Insecure) [with Nicki Minaj]
1fncuFbOLAK4HlmboLss5r,2024,"4MCBfE4596Uoi2O4DtmEMz, 0hCNtLu0JehylgoiP8L4Gh",AGATS2 (Insecure) [with Nicki Minaj] - Extended
