id,release_year,artists,track_name
4tgjlCu0lAXeo4jq0SxdNW,2008,"['5T0MSzX9RC5NA6gAI6irSn', '5K4W6rqBFWDnAN6FQUkS6x']",American Boy
4ZPdLEztrlZqbJkgHNw54L,2007,"['5K4W6rqBFWDnAN6FQUkS6x', '3aQeKQSyrW4qWr35idm0cy']",Good Life
7448rwdrtddS5irSvOgPA6,2011,"['3aQeKQSyrW4qWr35idm0cy', '21E3waRsmPlU7jZsS13rcj']",Turn All the Lights On (feat. Ne-Yo)
6zINdLAxmU6HXHP7gpvexi,2009,"['7LnaAXbDVIL75IVPnndf7w', '3aQeKQSyrW4qWr35idm0cy']",Blame It (feat. T-Pain) - Club Mix
4D2cYdHqk8tu65jUig4OcN,2008,"['3aQeKQSyrW4qWr35idm0cy', '55Aa2cqylxrFIXC767Z865']",Can't Believe It (feat. Lil' Wayne)
49FYlytm3dAAraYgpoJZux,2008,"['5pKCCKE2ajJHZ9KAiaK11H', '3nFkdlSjzX9mRTtwJOzDYB']",Umbrella
2Zb7wnGUnNPCas2E0wWSQ5,2011,"['3nFkdlSjzX9mRTtwJOzDYB', '5K4W6rqBFWDnAN6FQUkS6x']",Ni**as In Paris
7LR85XLWw2yXqKBSI5brbG,2009,"['3nFkdlSjzX9mRTtwJOzDYB', '5pKCCKE2ajJHZ9KAiaK11H', '5K4W6rqBFWDnAN6FQUkS6x']",Run This Town
57mKcbEq7nMqtJ4gqJvWcp,2011,"['5pKCCKE2ajJHZ9KAiaK11H', '3nFkdlSjzX9mRTtwJOzDYB']",Talk That Talk
1ZHYJ2Wwgxes4m8Ba88PeK,2010,"['5K4W6rqBFWDnAN6FQUkS6x', '3nFkdlSjzX9mRTtwJOzDYB', '1sBkRIssrMs1AbVkOJbc7a', '0hCNtLu0JehylgoiP8L4Gh', '4LEiUm1SRbFMgfqnQTwUbQ']",Monster
6JFLZH9vCzgqnUToBdiHQb,2011,"['3nFkdlSjzX9mRTtwJOzDYB', '5K4W6rqBFWDnAN6FQUkS6x']",Gotta Have It
4VCbgIdr8ptegWeJpqLVHH,2021,"['3TVXtAsR1Inumwj472S9r4', '3nFkdlSjzX9mRTtwJOzDYB']",Love All (with JAY-Z)
113v1MA9MTShy98uCz37nO,2007,"['5pKCCKE2ajJHZ9KAiaK11H', '3nFkdlSjzX9mRTtwJOzDYB']",Umbrella - Radio Edit
7iu0WYLdo4yksKf3seaxzI,2008,"['5pKCCKE2ajJHZ9KAiaK11H', '21E3waRsmPlU7jZsS13rcj']",Hate That I Love You
3OWcWJz1c0pIc6L3IDDhpP,2009,"['63wjoROpeh5f11Qm93UiJ1', '5K4W6rqBFWDnAN6FQUkS6x', '21E3waRsmPlU7jZsS13rcj']",Knock You Down
0NrtwAmRAdLxua31SzHvXr,2007,"['5K4W6rqBFWDnAN6FQUkS6x', '6GEykX11lQqp92UVOQQCC7']",Everything I Am
08ir631EiCA7xIms7JDp15,2020,"['7dGJo4pcD2V6oG8kP0tJRR', '6GEykX11lQqp92UVOQQCC7']",Book of Rhymes (feat. DJ Premier)
6lUhpV6LjQ5uvcavlCutBF,2004,"['5K4W6rqBFWDnAN6FQUkS6x', '1lE6SEy8f84Zhjvp7r8yTD']",All Falls Down
1Mj2wJxQaMq00HfYAkLCz6,2006,"['5K4W6rqBFWDnAN6FQUkS6x', '1lE6SEy8f84Zhjvp7r8yTD']",All Falls Down - Live At Abbey Road Studios
5FRqIOrPe7RNRDaM8sTfNu,2005,"['6vbY3hOaCAhC7VjucswgdS', '1lE6SEy8f84Zhjvp7r8yTD']",The Day After (feat. Syleena Johnson)
4OssqCixV2Xsxd43wMIQyS,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",CARNIVAL
7vv89PswQvqGKCGJ1rw5on,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",FIELD TRIP
38BgRP0EX5p0sBj0fFhqN9,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",BURN
4eIYnlcgI2chjQBuW1VRr7,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",FUK SUMN
6bSfeCXlUaGa3eWCy5qPTb,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",PROMOTION
2tPNj9sUt3FbjEUqBzZazv,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",530
5d4XWuMLbTuPMTPaMYA0VG,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",BACK TO ME
5MGMXOhVvwzCjFgdQsFokR,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",SLIDE
1LaTWJ35Atk7Esoqxdb1WG,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",STARS
5iroQL70VoSFrC8ZhVnskA,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",DO IT
0JgassGI6jNxpX82jGpcuJ,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",TIME MOVING SLOW
4Qay2jEWJYjXmJ8eNOGtaD,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",FRIED
5RzSnxqTx4vYEp9re5E0ud,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",RIVER
2kgxyflhiicDbF8SDrBxqy,2024,"['4xPQFgDA5M2xa0ZGo5iIsv', '5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']",BOMB
