id,name,followers,genres,popularity,spotify_url,images,type,uri
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,28361624,"chicago rap, hip hop, rap",93,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,"https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a, https://i.scdn.co/image/ab676161000051746e835a500e791bf9c27a422a, https://i.scdn.co/image/ab6761610000f1786e835a500e791bf9c27a422a",artist,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,9636029,"east coast hip hop, gangster rap, hip hop, pop rap, rap",85,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,"https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4, https://i.scdn.co/image/ab67616100005174c75afcd5a9027f60eaebb5e4, https://i.scdn.co/image/ab6761610000f178c75afcd5a9027f60eaebb5e4",artist,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
7dGJo4pcD2V6oG8kP0tJRR,Eminem,94420996,"detroit hip hop, hip hop, rap",93,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,"https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b, https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b, https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b",artist,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
3TVXtAsR1Inumwj472S9r4,Drake,94166083,"canadian hip hop, canadian pop, hip hop, pop rap, rap",96,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,"https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9, https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9, https://i.scdn.co/image/ab6761610000f1784293385d324db8558179afd9",artist,spotify:artist:3TVXtAsR1Inumwj472S9r4
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,35167202,"conscious hip hop, hip hop, rap, west coast rap",97,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,"https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918, https://i.scdn.co/image/ab6761610000517439ba6dcd4355c03de0b50918, https://i.scdn.co/image/ab6761610000f17839ba6dcd4355c03de0b50918",artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,35244571,"rap, slap house",94,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,"https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71, https://i.scdn.co/image/ab6761610000517419c2790744c792d05570bb71, https://i.scdn.co/image/ab6761610000f17819c2790744c792d05570bb71",artist,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,32925847,"hip pop, pop, queens hip hop, rap",87,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh,"https://i.scdn.co/image/ab6761610000e5eb07a50f0a9a8f11e5a1102cbd, https://i.scdn.co/image/ab6761610000517407a50f0a9a8f11e5a1102cbd, https://i.scdn.co/image/ab6761610000f17807a50f0a9a8f11e5a1102cbd",artist,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
4kYSro6naA4h99UJvo89HB,Cardi B,24773773,"pop, rap",80,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB,"https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31, https://i.scdn.co/image/ab676161000051744e8a7e14e2f602eb9af24e31, https://i.scdn.co/image/ab6761610000f1784e8a7e14e2f602eb9af24e31",artist,spotify:artist:4kYSro6naA4h99UJvo89HB
55Aa2cqylxrFIXC767Z865,Lil Wayne,15801422,"hip hop, new orleans rap, pop rap, rap, trap",88,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,"https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4, https://i.scdn.co/image/ab67616100005174c1c08e541eae3cc82c6988c4, https://i.scdn.co/image/ab6761610000f178c1c08e541eae3cc82c6988c4",artist,spotify:artist:55Aa2cqylxrFIXC767Z865
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,13371967,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",85,https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG,"https://i.scdn.co/image/ab6761610000e5eb9a398209a4ef3360dce2dec4, https://i.scdn.co/image/ab676161000051749a398209a4ef3360dce2dec4, https://i.scdn.co/image/ab6761610000f1789a398209a4ef3360dce2dec4",artist,spotify:artist:7hJcb9fa4alzcOq3EaNPoG
3q7HBObVc0L8jNeTe5Gofh,50 Cent,16323815,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",85,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,"https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2, https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118, https://i.scdn.co/image/df73c0cebe56cafe705ffdba5085ccbd5680bd16, https://i.scdn.co/image/1a44043542c997ef835c89e185f0cf79d7402153",artist,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
