word,frequency,money,women,drugs,crime,positive
t,572,0,0,0,0,0
s,386,0,0,0,0,0
m,371,0,0,0,0,0
all,263,0,0,0,0,0
no,230,0,0,0,0,0
don,207,0,0,0,0,0
niggas,190,0,0,0,0,0
ain,188,0,0,0,0,0
shit,158,0,0,0,0,0
back,153,0,0,0,0,0
now,147,0,0,0,0,0
let,139,0,0,0,0,0
fuck,136,0,0,0,0,0
never,130,0,0,0,0,0
bitch,126,0,1,0,0,0
when,124,0,0,0,0,0
ooh,112,0,0,0,0,0
nigga,104,0,0,0,0,0
baby,103,0,1,0,0,0
side,95,0,0,0,0,0
if,94,0,0,0,0,0
right,93,0,0,0,0,0
still,92,0,0,0,0,0
how,90,0,0,0,0,0
keep,89,0,0,0,0,0
more,86,0,0,0,0,0
gon,85,0,0,0,0,0
high,74,0,0,0,0,0
straight,74,0,0,0,0,0
too,73,0,0,0,0,0
some,73,0,0,0,0,0
only,72,0,0,0,0,0
wanna,69,0,0,0,0,0
alright,69,0,0,0,0,0
woo,68,0,0,0,0,0
la,64,0,0,0,0,0
pop,63,0,0,0,1,0
gotta,62,0,0,0,0,0
look,62,0,0,0,0,0
real,61,0,0,0,0,1
tryna,61,0,0,0,0,0
not,59,0,0,0,0,0
trill,57,0,0,0,0,0
hit,55,0,0,0,0,0
bitches,55,0,0,0,0,0
money,54,0,0,0,0,0
club,53,0,0,0,0,0
playin,50,0,0,0,0,0
new,50,0,0,0,0,0
bad,48,0,0,0,0,0
cause,47,0,0,0,0,0
em,46,0,0,0,0,0
ah,45,0,0,0,0,0
then,45,0,0,0,0,0
gang,45,0,0,0,1,0
show,45,0,0,0,0,0
bout,44,0,0,0,0,0
mamacita,43,0,1,0,0,0
ve,42,0,0,0,0,0
god,42,0,0,0,0,0
mama,42,0,0,0,0,0
drunk,42,0,0,0,0,0
man,41,0,0,0,0,0
top,41,0,0,0,0,0
long,41,0,0,0,0,0
put,40,0,0,0,0,0
ma,40,0,1,0,0,0
girl,38,0,0,0,0,0
flying,38,0,0,0,0,0
always,37,0,0,0,0,0
re,37,0,0,0,0,0
ok,36,0,0,0,0,0
where,36,0,0,0,0,0
nah,36,0,0,0,0,0
there,36,0,0,0,0,0
lit,35,0,0,0,0,0
friends,35,0,0,0,0,0
flame,35,0,0,0,0,0
crew,35,0,0,0,0,0
fucked,34,0,0,0,0,0
crazy,34,0,0,0,0,0
sky,33,0,0,0,0,0
goin,33,0,0,0,0,0
ayy,33,0,0,0,0,0
ya,32,0,0,0,0,0
as,32,0,0,0,0,0
here,32,0,0,0,0,0
ll,31,0,0,0,0,0
shawty,31,0,1,0,0,0
really,30,0,0,0,0,0
than,29,0,0,0,0,0
okay,29,0,0,0,0,0
mm,29,0,0,0,0,0
shouldn,28,0,0,0,0,0
steady,28,0,0,0,0,0
liked,28,0,0,0,0,0
y,28,0,0,0,0,0
hoes,27,0,0,0,0,0
home,27,0,0,0,0,0
d,27,0,0,0,0,0
pussy,26,0,0,0,0,0
boy,26,0,0,1,0,0
gettin,26,0,0,0,0,0
live,26,0,0,0,0,0
order,26,0,0,0,0,0
drop,25,0,0,0,0,0
done,25,0,0,0,0,0
move,25,0,0,0,0,0
damn,25,0,0,0,0,0
drugs,25,0,0,0,0,0
young,25,0,0,0,0,0
backyard,25,0,0,0,0,0
house,24,0,0,0,0,0
woah,24,0,0,0,0,0
watch,24,0,0,0,0,0
jesus,23,0,0,0,0,0
lost,23,0,0,0,0,0
huh,23,0,0,0,0,0
play,23,0,0,0,0,0
last,23,0,0,0,0,0
head,23,0,0,0,0,0
pull,23,0,0,0,0,0
better,23,0,0,0,0,0
