word,frequency,money,women,drugs,crime,positive
t,1655,0,0,0,0,0
m,1436,0,0,0,0,0
s,1339,0,0,0,0,0
all,731,0,0,0,0,0
don,627,0,0,0,0,0
shit,556,0,0,0,0,0
ain,545,0,0,0,0,0
no,515,0,0,0,0,0
fuck,451,0,0,0,0,0
back,420,0,0,0,0,0
bitch,403,0,1,0,0,0
when,395,0,0,0,0,0
how,369,0,0,0,0,0
if,362,0,0,0,0,0
man,355,0,0,0,0,0
now,347,0,0,0,0,0
nigga,323,0,0,0,0,0
gotta,298,0,0,0,0,0
right,291,0,0,0,0,0
look,252,0,0,0,0,0
niggas,250,0,0,0,0,0
big,240,0,0,0,0,0
then,237,0,0,0,0,0
cause,234,0,0,0,0,0
not,231,0,0,0,0,0
god,229,0,0,0,0,0
never,224,0,0,0,0,0
even,202,0,0,0,0,0
woah,201,0,0,0,0,0
let,195,0,0,0,0,0
sean,178,0,0,0,0,0
as,175,0,0,0,0,0
too,168,0,0,0,0,0
everything,158,0,0,0,0,0
there,156,0,0,0,0,0
than,156,0,0,0,0,0
hit,155,0,0,0,0,0
baby,151,0,1,0,0,0
d,149,0,0,0,0,0
more,149,0,0,0,0,0
ve,149,0,0,0,0,0
still,149,0,0,0,0,0
ayy,149,0,0,0,0,0
ass,146,0,0,0,0,0
gon,145,0,0,0,0,0
gonna,144,0,0,0,0,0
real,141,0,0,0,0,1
where,140,0,0,0,0,0
good,139,0,0,0,0,0
ya,138,0,0,0,0,0
some,138,0,0,0,0,0
ll,137,0,0,0,0,0
only,137,0,0,0,0,0
done,129,0,0,0,0,0
tryna,129,0,0,0,0,0
boy,128,0,0,1,0,0
girl,128,0,0,0,0,0
first,126,0,0,0,0,0
every,125,0,0,0,0,0
straight,123,0,0,0,0,0
fucking,123,0,0,0,0,0
hook,121,0,0,0,0,0
much,118,0,0,0,0,0
fuckin,117,0,0,0,0,0
long,116,0,0,0,0,0
damn,115,0,0,0,0,0
live,115,0,0,0,0,0
em,115,0,0,0,0,0
verse,114,0,0,0,0,0
put,114,0,0,0,0,0
same,112,0,0,0,0,0
city,111,0,0,0,0,0
hoes,111,0,0,0,0,0
though,107,0,0,0,0,0
yo,105,0,0,0,0,0
getting,102,0,0,0,0,0
ma,100,0,1,0,0,0
whole,100,0,0,0,0,0
keep,99,0,0,0,0,0
bitches,99,0,0,0,0,0
why,97,0,0,0,0,0
money,96,0,0,0,0,0
bout,94,0,0,0,0,0
wanna,94,0,0,0,0,0
ooh,92,0,0,0,0,0
deep,92,0,0,0,0,0
here,90,0,0,0,0,0
stop,89,0,0,0,0,0
bad,86,0,0,0,0,0
lil,82,0,0,0,0,0
always,81,0,0,0,0,0
til,81,0,0,0,0,0
swear,80,0,0,0,0,0
play,78,0,0,0,0,0
new,76,0,0,0,0,0
nobody,76,0,0,0,0,0
show,76,0,0,0,0,0
pew,75,0,0,0,0,0
million,75,0,0,0,0,0
hold,74,0,0,0,0,0
hard,73,0,0,0,0,0
woke,72,0,0,0,0,0
ever,72,0,0,0,0,0
huh,72,0,0,0,0,0
head,72,0,0,0,0,0
best,71,0,0,0,0,0
while,71,0,0,0,0,0
re,71,0,0,0,0,0
stay,68,0,0,0,0,0
remember,68,0,0,0,0,0
young,67,0,0,0,0,0
legend,67,0,0,0,0,0
mean,67,0,0,0,0,0
top,67,0,0,0,0,0
girls,67,0,0,0,0,0
living,66,0,0,0,0,0
really,65,0,0,0,0,0
house,64,0,0,0,0,0
bro,64,0,0,0,0,0
game,63,0,0,0,0,0
hell,63,0,0,0,0,0
move,63,0,0,0,0,0
detroit,62,0,0,0,0,0
last,62,0,0,0,0,0
gettin,62,0,0,0,0,0
g,61,0,0,0,0,0
body,61,0,0,0,0,0
mama,60,0,0,0,0,0
talk,60,0,0,0,0,0
pussy,59,0,0,0,0,0
something,59,0,0,0,0,0
won,58,0,0,0,0,0
finna,58,0,0,0,0,0
run,57,0,0,0,0,0
watch,57,0,0,0,0,0
didn,57,0,0,0,0,0
better,57,0,0,0,0,0
thank,56,0,0,0,0,0
die,56,0,0,0,0,0
late,55,0,0,0,0,0
change,55,0,0,0,0,0
baddest,55,0,0,0,0,0
times,55,0,0,0,0,0
certified,53,0,0,0,0,0
crazy,53,0,0,0,0,0
nothing,53,0,0,0,0,0
other,53,0,0,0,0,0
home,53,0,0,0,0,0
lit,52,0,0,0,0,0
face,52,0,0,0,0,0
side,52,0,0,0,0,0
lot,52,0,0,0,0,0
alright,52,0,0,0,0,0
away,52,0,0,0,0,0
o,52,0,0,0,0,0
check,51,0,0,0,0,0
pull,51,0,0,0,0,0
ride,51,0,0,0,1,0
family,51,0,0,0,0,0
broke,50,0,0,0,0,0
blessed,50,0,0,0,0,0
bring,50,0,0,0,0,0
paper,49,1,0,0,0,0
sure,49,0,0,0,0,0
beat,48,0,0,0,0,0
raised,48,0,0,0,0,0
kill,48,0,0,0,0,0
doing,48,0,0,0,0,0
sometimes,47,0,0,0,0,0
mad,47,0,0,0,0,0
well,47,0,0,0,0,0
stunting,46,0,0,0,0,0
goin,46,0,0,0,0,0
drown,46,0,0,0,0,0
lost,46,0,0,0,0,0
dawg,46,0,0,0,0,0
talkin,45,0,0,0,0,0
chain,45,0,0,0,0,0
start,45,0,0,0,0,0
pop,45,0,0,0,1,0
