word,frequency,money,women,drugs,crime,positive
t,1486,0,0,0,0,0
m,1278,0,0,0,0,0
bitch,1007,0,1,0,0,0
ain,657,0,0,0,0,0
s,622,0,0,0,0,0
ayy,618,0,0,0,0,0
all,575,0,0,0,0,0
ah,570,0,0,0,0,0
shit,553,0,0,0,0,0
don,515,0,0,0,0,0
nigga,492,0,0,0,0,0
ass,365,0,0,0,0,0
niggas,353,0,0,0,0,0
if,348,0,0,0,0,0
fuck,342,0,0,0,0,0
bitches,340,0,0,0,0,0
pussy,287,0,0,0,0,0
star,283,0,0,0,0,0
huh,280,0,0,0,0,0
when,276,0,0,0,0,0
cause,258,0,0,0,0,0
no,257,0,0,0,0,0
keep,247,0,0,0,0,0
wanna,247,0,0,0,0,0
let,241,0,0,0,0,0
hoes,236,0,0,0,0,0
money,222,0,0,0,0,0
real,212,0,0,0,0,1
mm,209,0,0,0,0,0
ooh,194,0,0,0,0,0
gon,191,0,0,0,0,0
big,190,0,0,0,0,0
baow,188,0,0,0,0,0
look,180,0,0,0,0,0
bout,179,0,0,0,0,0
y,178,0,0,0,0,0
lil,176,0,0,0,0,0
dick,172,0,0,0,0,0
ody,172,0,0,0,0,0
back,169,0,0,0,0,0
too,161,0,0,0,0,0
em,159,0,0,0,0,0
bad,153,0,0,0,0,0
still,153,0,0,0,0,0
good,152,0,0,0,0,0
how,147,0,0,0,0,0
gotta,147,0,0,0,0,0
put,145,0,0,0,0,0
tryna,143,0,0,0,0,0
some,138,0,0,0,0,0
now,137,0,0,0,0,0
not,137,0,0,0,0,0
where,134,0,0,0,0,0
never,125,0,0,0,0,0
mad,120,0,0,0,0,0
ma,120,0,1,0,0,0
hot,120,0,0,0,0,0
really,118,0,0,0,0,0
girl,117,0,0,0,0,0
then,114,0,0,0,0,0
ho,107,0,1,0,0,0
broke,106,0,0,0,0,0
why,105,0,0,0,0,0
as,102,0,0,0,0,0
every,101,0,0,0,0,0
dance,100,0,0,0,0,0
ll,99,0,0,0,0,0
right,98,0,0,0,0,0
hit,98,0,0,0,0,0
stop,93,0,0,0,0,0
talkin,93,0,0,0,0,0
shake,92,0,0,0,0,0
goin,89,0,0,0,0,0
talk,88,0,0,0,0,0
finna,87,0,0,0,0,0
baby,82,0,1,0,0,0
many,81,0,0,0,0,0
boy,80,0,0,1,0,0
hoe,79,0,1,0,0,0
drank,78,0,0,1,0,0
