word,frequency,money,women,drugs,crime,positive
t,1429,0,0,0,0,0
m,870,0,0,0,0,0
nigga,691,0,0,0,0,0
all,575,0,0,0,0,0
ain,533,0,0,0,0,0
s,502,0,0,0,0,0
no,476,0,0,0,0,0
niggas,474,0,0,0,0,0
don,473,0,0,0,0,0
bitch,441,0,1,0,0,0
god,384,0,0,0,0,0
shit,357,0,0,0,0,0
straight,311,0,0,0,0,0
pussy,298,0,0,0,0,0
when,260,0,0,0,0,0
gon,243,0,0,0,0,0
fuck,241,0,0,0,0,0
money,232,0,0,0,0,0
back,217,0,0,0,0,0
if,217,0,0,0,0,0
how,217,0,0,0,0,0
savage,210,0,0,0,0,0
runnin,183,0,0,0,0,0
cause,180,0,0,0,0,0
smoke,179,0,0,0,0,0
lot,179,0,0,0,0,0
some,175,0,0,0,0,0
ayy,170,0,0,0,0,0
hit,168,0,0,0,0,0
put,163,0,0,0,0,0
ass,162,0,0,0,0,0
now,157,0,0,0,0,0
gang,156,0,0,0,1,0
never,148,0,0,0,0,0
baby,148,0,1,0,0,0
wanna,147,0,0,0,0,0
still,145,0,0,0,0,0
many,144,0,0,0,0,0
steppin,138,0,0,0,0,0
woah,135,0,0,0,0,0
keep,132,0,0,0,0,0
em,127,0,0,0,0,0
not,125,0,0,0,0,0
lil,124,0,0,0,0,0
let,123,0,0,0,0,0
man,122,0,0,0,0,0
tryna,120,0,0,0,0,0
stop,120,0,0,0,0,0
ma,119,0,1,0,0,0
y,117,0,0,0,0,0
real,115,0,0,0,0,1
then,115,0,0,0,0,0
gun,112,0,0,0,0,0
pull,110,0,0,0,0,0
even,109,0,0,0,0,0
bout,103,0,0,0,0,0
hoes,102,0,0,0,0,0
bad,101,0,0,0,0,0
done,100,0,0,0,0,0
girl,95,0,0,0,0,0
turn,94,0,0,0,0,0
gotta,93,0,0,0,0,0
big,93,0,0,0,0,0
good,93,0,0,0,0,0
new,93,0,0,0,0,0
more,89,0,0,0,0,0
pop,89,0,0,0,1,0
too,89,0,0,0,0,0
won,88,0,0,0,0,0
play,87,0,0,0,0,0
glock,86,0,0,0,0,0
really,85,0,0,0,0,0
dawg,83,0,0,0,0,0
break,79,0,0,0,0,0
stick,78,0,0,0,1,0
shoot,77,0,0,0,0,0
hard,76,0,0,0,0,0
though,74,0,0,0,0,0
young,74,0,0,0,0,0
ride,74,0,0,0,1,0
huh,73,0,0,0,0,0
bought,70,0,0,0,0,0
where,70,0,0,0,0,0
talkin,70,0,0,0,0,0
mad,69,0,0,0,0,0
mama,69,0,0,0,0,0
