word,frequency,money,women,drugs,crime,positive
t,643,0,0,0,0,0
s,641,0,0,0,0,0
m,424,0,0,0,0,0
all,322,0,0,0,0,0
nigga,290,0,0,0,0,0
niggaz,232,0,0,0,0,0
don,212,0,0,0,0,0
now,193,0,0,0,0,0
cause,188,0,0,0,0,0
fuck,182,0,0,0,0,0
when,172,0,0,0,0,0
if,166,0,0,0,0,0
ain,164,0,0,0,0,0
no,159,0,0,0,0,0
ya,139,0,0,0,0,0
shit,138,0,0,0,0,0
back,137,0,0,0,0,0
chorus,136,0,0,0,0,0
let,134,0,0,0,0,0
as,132,0,0,0,0,0
where,126,0,0,0,0,0
em,121,0,0,0,0,0
tha,109,0,0,0,0,0
tupac,109,0,0,0,0,0
ll,102,0,0,0,0,0
niggas,100,0,0,0,0,0
never,92,0,0,0,0,0
knows,91,0,0,0,0,0
lord,91,0,0,0,0,0
die,90,0,0,0,0,0
wanna,89,0,0,0,0,0
young,87,0,0,0,0,0
how,86,0,0,0,0,0
fuckin,85,0,0,0,0,0
keep,85,0,0,0,0,0
thug,83,0,0,0,0,0
black,82,0,0,0,0,0
motherfucker,81,0,0,0,0,0
game,80,0,0,0,0,0
gotta,79,0,0,0,0,0
better,79,0,0,0,0,0
g,77,0,0,0,0,0
real,76,0,0,0,0,1
ass,74,0,0,0,0,0
here,74,0,0,0,0,0
baby,69,0,1,0,0,0
man,69,0,0,0,0,0
pac,68,0,0,0,0,0
bitch,68,0,1,0,0,0
verse,67,0,0,0,0,0
police,67,0,0,0,0,0
why,67,0,0,0,0,0
money,65,0,0,0,0,0
some,64,0,0,0,0,0
there,64,0,0,0,0,0
streets,60,0,0,0,0,0
then,59,0,0,0,0,0
live,57,0,0,0,0,0
old,55,0,0,0,0,0
d,55,0,0,0,0,0
still,55,0,0,0,0,0
motherfuckers,55,0,0,0,0,0
bitches,55,0,0,0,0,0
mutha,54,0,0,0,0,0
re,53,0,0,0,0,0
gettin,53,0,0,0,0,0
even,52,0,0,0,0,0
ghetto,52,0,0,0,0,0
every,52,0,0,0,0,0
house,52,0,0,0,0,0
right,51,0,0,0,0,0
hit,51,0,0,0,0,0
school,50,0,0,0,0,0
y,50,0,0,0,0,0
look,49,0,0,0,0,0
echo,49,0,0,0,0,0
homies,49,0,0,0,0,0
soulja,48,0,0,0,0,0
hear,48,0,0,0,0,0
last,48,0,0,0,0,0
runnin,47,0,0,0,0,0
dayz,46,0,0,0,0,0
block,45,0,0,0,1,0
wicked,44,0,0,0,0,0
til,44,0,0,0,0,0
punk,44,0,0,0,0,0
peace,43,0,0,0,0,1
yo,43,0,0,0,0,0
till,42,0,0,0,0,0
kill,42,0,0,0,0,0
not,42,0,0,0,0,0
sorry,42,0,0,0,0,0
mama,41,0,0,0,0,0
motherfuckin,41,0,0,0,0,0
cops,40,0,0,0,0,0
watch,40,0,0,0,0,0
run,38,0,0,0,0,0
tryin,38,0,0,0,0,0
wrong,38,0,0,0,0,0
more,37,0,0,0,0,0
soul,37,0,0,0,0,0
good,37,0,0,0,0,0
catch,37,0,0,0,0,0
friends,37,0,0,0,0,0
little,37,0,0,0,0,0
ta,36,0,0,0,0,0
wit,35,0,0,0,0,0
other,35,0,0,0,0,0
many,35,0,0,0,0,0
goin,35,0,0,0,0,0
stop,35,0,0,0,0,0
too,35,0,0,0,0,0
blast,35,0,0,0,0,0
motha,35,0,0,0,0,0
only,34,0,0,0,0,0
big,34,0,0,0,0,0
while,33,0,0,0,0,0
something,33,0,0,0,0,0
cuz,32,0,0,0,0,0
full,32,0,0,0,0,0
couldn,32,0,0,0,0,0
stay,32,0,0,0,0,0
westside,32,0,0,0,0,0
gun,32,0,0,0,0,0
change,32,0,0,0,0,0
death,32,0,0,0,0,0
same,31,0,0,0,0,0
always,31,0,0,0,0,0
shot,31,0,0,0,0,0
god,31,0,0,0,0,0
high,30,0,0,0,0,0
hell,30,0,0,0,0,0
gonna,30,0,0,0,0,0
didn,30,0,0,0,0,0
put,30,0,0,0,0,0
piece,30,0,0,0,1,0
another,29,0,0,0,0,0
remember,29,0,0,0,0,0
first,29,0,0,0,0,0
throw,29,0,0,0,0,0
our,29,0,0,0,0,0
sleep,29,0,0,0,0,0
city,29,0,0,0,0,0
play,29,0,0,0,0,0
lil,29,0,0,0,0,0
bout,29,0,0,0,0,0
cop,28,0,0,0,0,0
than,28,0,0,0,0,0
again,28,0,0,0,0,0
nuttin,28,0,0,0,0,0
home,28,0,0,0,0,0
show,28,0,0,0,0,0
ice,28,0,0,1,0,0
pull,28,0,0,0,0,0
hard,27,0,0,0,0,0
fame,27,0,0,0,0,0
soldiers,27,0,0,0,0,0
head,27,0,0,0,0,0
thugs,26,0,0,0,0,0
livin,26,0,0,0,0,0
heard,26,0,0,0,0,0
hands,25,0,0,0,0,0
outlaw,25,0,0,0,0,0
pain,25,0,0,0,0,0
trapped,25,0,0,0,0,0
bust,25,0,0,0,1,0
though,25,0,0,0,0,0
welcome,25,0,0,0,0,0
ha,25,0,0,0,0,0
ever,25,0,0,0,0,0
hate,24,0,0,0,0,0
wouldn,24,0,0,0,0,0
lookin,24,0,0,0,0,0
hold,24,0,0,0,0,0
damn,24,0,0,0,0,0
shake,24,0,0,0,0,0
dick,24,0,0,0,0,0
open,24,0,0,0,0,0
glock,23,0,0,0,0,0
raised,23,0,0,0,0,0
grow,23,0,0,0,0,0
war,23,0,0,0,0,0
today,23,0,0,0,0,0
away,23,0,0,0,0,0
ride,22,0,0,0,1,0
scandalous,22,0,0,0,0,0
comin,22,0,0,0,0,0
pay,22,0,0,0,0,0
mad,22,0,0,0,0,0
long,22,0,0,0,0,0
done,22,0,0,0,0,0
doin,22,0,0,0,0,0
hoes,22,0,0,0,0,0
brother,22,0,0,0,0,0
buck,22,1,0,0,0,0
won,22,0,0,0,0,0
everybody,22,0,0,0,0,0
place,22,0,0,0,0,0
dope,22,0,0,1,0,0
well,21,0,0,0,0,0
dead,21,0,0,0,0,0
ve,21,0,0,0,0,0
smoke,21,0,0,0,0,0
true,21,0,0,0,0,0
homie,20,0,0,0,0,0
ready,20,0,0,0,0,0
cash,20,0,0,0,0,0
stress,20,0,0,0,0,0
screamin,20,0,0,0,0,0
rock,20,0,0,1,0,0
power,20,0,0,0,0,1
start,20,0,0,0,0,0
bring,20,0,0,0,0,0
next,20,0,0,0,0,0
quick,20,0,0,0,0,0
stick,20,0,0,0,1,0
cotton,20,0,0,0,0,0
fall,20,0,0,0,0,0
nobody,20,0,0,0,0,0
