word,frequency,money,women,drugs,crime,positive
m,1939,0,0,0,0,0
t,1421,0,0,0,0,0
s,1319,0,0,0,0,0
nigga,1091,0,0,0,0,0
all,1004,0,0,0,0,0
niggas,839,0,0,0,0,0
money,579,0,0,0,0,0
when,498,0,0,0,0,0
don,492,0,0,0,0,0
ain,426,0,0,0,0,0
fuck,419,0,0,0,0,0
no,408,0,0,0,0,0
never,404,0,0,0,0,0
back,393,0,0,0,0,0
bitch,391,0,1,0,0,0
wanna,381,0,0,0,0,0
now,370,0,0,0,0,0
shit,358,0,0,0,0,0
let,348,0,0,0,0,0
if,341,0,0,0,0,0
cause,310,0,0,0,0,0
still,297,0,0,0,0,0
em,260,0,0,0,0,0
boy,259,0,0,1,0,0
ross,255,0,0,0,0,0
real,245,0,0,0,0,1
then,244,0,0,0,0,0
big,242,0,0,0,0,0
gotta,234,0,0,0,0,0
bitches,232,0,0,0,0,0
baby,232,0,1,0,0,0
how,230,0,0,0,0,0
boss,226,0,0,0,0,0
dope,225,0,0,1,0,0
some,213,0,0,0,0,0
man,200,0,0,0,0,0
re,195,0,0,0,0,0
put,195,0,0,0,0,0
right,188,0,0,0,0,0
dick,187,0,0,0,0,0
as,187,0,0,0,0,0
ll,187,0,0,0,0,0
ya,184,0,0,0,0,0
rich,182,0,0,0,0,0
ever,179,0,0,0,0,0
keep,179,0,0,0,0,0
maybach,178,0,0,0,0,0
black,175,0,0,0,0,0
verse,175,0,0,0,0,0
top,173,0,0,0,0,0
rick,169,0,0,0,0,0
really,165,0,0,0,0,0
every,163,0,0,0,0,0
not,162,0,0,0,0,0
new,161,0,0,0,0,0
trap,159,0,0,0,1,0
pussy,156,0,0,0,0,0
where,155,0,0,0,0,0
lord,151,0,0,0,0,0
only,147,0,0,0,0,0
wiggle,146,0,0,0,0,0
bout,140,0,0,0,0,0
more,135,0,0,0,0,0
double,133,0,0,0,0,0
hit,133,0,0,0,0,0
young,133,0,0,0,0,0
white,132,0,0,0,0,0
than,132,0,0,0,0,0
better,130,0,0,0,0,0
look,130,0,0,0,0,0
hundred,125,0,0,0,0,0
smoke,122,0,0,0,0,0
la,120,0,0,0,0,0
gettin,119,0,0,0,0,0
game,119,0,0,0,0,0
girl,117,0,0,0,0,0
war,116,0,0,0,0,0
god,115,0,0,0,0,0
n,114,0,0,0,0,0
always,114,0,0,0,0,0
ma,114,0,1,0,0,0
mama,114,0,0,0,0,0
here,112,0,0,0,0,0
home,111,0,0,0,0,0
hook,110,0,0,0,0,0
another,110,0,0,0,0,0
cash,110,0,0,0,0,0
city,107,0,0,0,0,0
im,107,0,0,0,0,0
house,107,0,0,0,0,0
head,106,0,0,0,0,0
d,103,0,0,0,0,0
da,103,0,0,0,0,0
bad,102,0,0,0,0,0
live,102,0,0,0,0,0
die,102,0,0,0,0,0
hold,101,0,0,0,0,0
even,100,0,0,0,0,0
gon,100,0,0,0,0,0
pray,99,0,0,0,0,0
touch,97,0,0,0,0,0
too,97,0,0,0,0,0
hoes,97,0,0,0,0,0
ass,95,0,0,0,0,0
talkin,94,0,0,0,0,0
face,94,0,0,0,0,0
tryna,94,0,0,0,0,0
why,92,0,0,0,0,0
chorus,92,0,0,0,0,0
block,92,0,0,0,1,0
name,91,0,0,0,0,0
run,87,0,0,0,0,0
huh,87,0,0,0,0,0
body,87,0,0,0,0,0
there,86,0,0,0,0,0
line,86,0,0,0,0,0
won,86,0,0,0,0,0
triple,85,0,0,0,0,0
mo,84,0,0,0,0,0
hard,84,0,0,0,0,0
til,83,0,0,0,0,0
lot,83,0,0,0,0,0
y,83,0,0,0,0,0
hate,82,0,0,0,0,0
cars,82,0,0,0,0,0
ride,81,0,0,0,1,0
getting,81,0,0,0,0,0
million,80,0,0,0,0,0
car,80,0,0,0,0,0
ready,80,0,0,0,0,0
boys,80,0,0,0,1,0
turn,80,0,0,0,0,0
lil,80,0,0,0,0,0
last,79,0,0,0,0,0
sky,79,0,0,0,0,0
gold,79,0,0,0,0,0
full,79,0,0,0,0,0
went,79,0,0,0,0,0
bag,78,1,0,0,0,0
ooh,78,0,0,0,0,0
ve,77,0,0,0,0,0
watch,77,0,0,0,0,0
burn,77,0,0,0,0,0
while,76,0,0,0,0,0
kill,76,0,0,0,0,0
hella,75,0,0,0,0,0
lonely,75,0,0,0,0,0
runnin,75,0,0,0,0,0
other,74,0,0,0,0,0
damn,74,0,0,0,0,0
own,74,0,0,0,0,0
fucking,74,0,0,0,0,0
dead,73,0,0,0,0,0
blow,73,0,0,1,0,0
show,73,0,0,0,0,0
