word,frequency,money,women,drugs,crime,positive
t,708,0,0,0,0,0
m,520,0,0,0,0,0
s,480,0,0,0,0,0
don,266,0,0,0,0,0
ain,227,0,0,0,0,0
all,200,0,0,0,0,0
now,171,0,0,0,0,0
when,146,0,0,0,0,0
shit,134,0,0,0,0,0
no,124,0,0,0,0,0
ayy,118,0,0,0,0,0
ooh,110,0,0,0,0,0
how,105,0,0,0,0,0
cause,104,0,0,0,0,0
not,104,0,0,0,0,0
back,103,0,0,0,0,0
some,100,0,0,0,0,0
gon,98,0,0,0,0,0
too,97,0,0,0,0,0
let,94,0,0,0,0,0
if,94,0,0,0,0,0
wanna,84,0,0,0,0,0
tryna,78,0,0,0,0,0
put,78,0,0,0,0,0
bout,75,0,0,0,0,0
em,71,0,0,0,0,0
fuck,71,0,0,0,0,0
y,67,0,0,0,0,0
friends,65,0,0,0,0,0
girl,65,0,0,0,0,0
still,63,0,0,0,0,0
hit,63,0,0,0,0,0
right,58,0,0,0,0,0
bitch,57,0,1,0,0,0
keep,56,0,0,0,0,0
gang,55,0,0,0,1,0
baby,54,0,1,0,0,0
look,53,0,0,0,0,0
ma,50,0,1,0,0,0
really,48,0,0,0,0,0
gotta,47,0,0,0,0,0
why,47,0,0,0,0,0
then,46,0,0,0,0,0
same,46,0,0,0,0,0
huh,45,0,0,0,0,0
never,45,0,0,0,0,0
where,44,0,0,0,0,0
much,43,0,0,0,0,0
new,43,0,0,0,0,0
nothin,41,0,0,0,0,0
boy,40,0,0,1,0,0
big,40,0,0,0,0,0
already,39,0,0,0,0,0
man,38,0,0,0,0,0
more,37,0,0,0,0,0
talk,37,0,0,0,0,0
something,37,0,0,0,0,0
ve,36,0,0,0,0,0
hold,36,0,0,0,0,0
okay,35,0,0,0,0,0
there,35,0,0,0,0,0
even,34,0,0,0,0,0
every,33,0,0,0,0,0
goin,33,0,0,0,0,0
mm,33,0,0,0,0,0
city,33,0,0,0,0,0
best,33,0,0,0,0,0
re,32,0,0,0,0,0
ah,31,0,0,0,0,0
side,31,0,0,0,0,0
baow,30,0,0,0,0,0
done,30,0,0,0,0,0
til,30,0,0,0,0,0
here,30,0,0,0,0,0
enough,30,0,0,0,0,0
round,29,0,0,0,0,0
show,29,0,0,0,0,0
d,29,0,0,0,0,0
good,28,0,0,0,0,0
ass,28,0,0,0,0,0
la,28,0,0,0,0,0
pull,28,0,0,0,0,0
real,27,0,0,0,0,1
damn,27,0,0,0,0,0
phone,27,0,0,0,0,0
ya,27,0,0,0,0,0
first,26,0,0,0,0,0
little,25,0,0,0,0,0
relapse,25,0,0,0,0,0
play,25,0,0,0,0,0
last,25,0,0,0,0,0
hate,25,0,0,0,0,0
old,25,0,0,0,0,0
heard,25,0,0,0,0,0
jack,25,0,0,0,1,0
as,24,0,0,0,0,0
turn,23,0,0,0,0,0
somethin,22,0,0,0,0,0
head,22,0,0,0,0,0
chick,22,0,1,0,0,0
home,22,0,0,0,0,0
sick,22,0,0,0,0,0
ride,22,0,0,0,1,0
whole,22,0,0,0,0,0
talkin,22,0,0,0,0,0
kids,22,0,0,0,0,0
bad,22,0,0,0,0,0
getting,21,0,0,0,0,0
stay,21,0,0,0,0,0
money,21,0,0,0,0,0
hard,21,0,0,0,0,0
lil,21,0,0,0,0,0
week,21,0,0,0,0,0
poison,21,0,0,0,0,0
hot,21,0,0,0,0,0
guess,21,0,0,0,0,0
dogs,21,0,0,0,0,0
check,21,0,0,0,0,0
gettin,21,0,0,0,0,0
nah,21,0,0,0,0,0
ll,20,0,0,0,0,0
boys,20,0,0,0,1,0
pick,20,0,0,0,0,0
type,20,0,0,0,0,0
school,20,0,0,0,0,0
nothing,20,0,0,0,0,0
didn,20,0,0,0,0,0
girls,20,0,0,0,0,0
couple,19,0,0,0,0,0
met,19,0,0,0,0,0
free,19,0,0,0,0,0
though,19,0,0,0,0,0
die,19,0,0,0,0,0
blame,19,0,0,0,0,0
any,18,0,0,0,0,0
late,18,0,0,0,0,0
once,18,0,0,0,0,0
pass,18,0,0,0,0,0
drop,18,0,0,0,0,0
quit,18,0,0,0,0,0
pretty,18,0,0,0,0,0
well,17,0,0,0,0,0
spend,17,0,0,0,0,0
dancing,17,0,0,0,0,0
stop,17,0,0,0,0,0
mean,17,0,0,0,0,0
ex,17,0,0,0,0,0
tryin,16,0,0,0,0,0
act,16,0,0,0,0,0
fuckin,16,0,0,0,0,0
hear,16,0,0,0,0,0
won,16,0,0,0,0,0
top,16,0,0,0,0,0
start,16,0,0,0,0,0
always,16,0,0,0,0,0
grew,16,0,0,0,0,0
high,16,0,0,0,0,0
only,15,0,0,0,0,0
another,15,0,0,0,0,0
kind,15,0,0,0,0,0
care,15,0,0,0,0,0
ever,15,0,0,0,0,0
than,15,0,0,0,0,0
club,15,0,0,0,0,0
twenty,15,0,0,0,0,0
whip,15,0,0,0,0,0
wait,15,0,0,0,0,0
class,15,0,0,0,0,0
rock,15,0,0,1,0,0
less,15,0,0,0,0,0
myself,15,0,0,0,0,0
touch,15,0,0,0,0,0
lookin,15,0,0,0,0,0
few,14,0,0,0,0,0
face,14,0,0,0,0,0
kid,14,0,0,0,0,0
town,14,0,0,0,0,0
ones,14,0,0,0,0,0
watch,14,0,0,0,0,0
live,14,0,0,0,0,0
front,14,0,0,0,0,0
slow,14,0,0,0,0,0
friend,14,0,0,0,0,0
fucked,14,0,0,0,0,0
years,14,0,0,0,0,0
white,14,0,0,0,0,0
fine,14,0,0,0,0,0
everybody,14,0,0,0,0,0
young,14,0,0,0,0,0
run,14,0,0,0,0,0
family,13,0,0,0,0,0
yes,13,0,0,0,0,0
better,13,0,0,0,0,0
since,13,0,0,0,0,0
someone,13,0,0,0,0,0
somebody,13,0,0,0,0,0
maybe,13,0,0,0,0,0
many,13,0,0,0,0,0
help,13,0,0,0,0,0
change,13,0,0,0,0,0
next,13,0,0,0,0,0
long,13,0,0,0,0,0
name,13,0,0,0,0,0
r,13,0,0,0,0,0
while,13,0,0,0,0,0
o,13,0,0,0,0,0
deep,13,0,0,0,0,0
oof,12,0,0,0,0,0
treat,12,0,0,0,0,0
crazy,12,0,0,0,0,0
g,12,0,0,0,0,0
dick,12,0,0,0,0,0
tells,12,0,0,0,0,0
body,12,0,0,0,0,0
everything,12,0,0,0,0,0
feelin,12,0,0,0,0,0
walk,12,0,0,0,0,0
enhancers,12,0,0,0,0,0
wasn,12,0,0,0,0,0
bed,12,0,0,0,0,0
doin,12,0,0,0,0,0
bag,12,1,0,0,0,0
times,12,0,0,0,0,0
lie,12,0,0,0,0,0
slide,12,0,0,0,1,0
believe,12,0,0,0,0,0
fast,12,0,0,0,0,0
both,12,0,0,0,0,0
bein,12,0,0,0,0,0
cool,11,0,0,0,0,0
talking,11,0,0,0,0,0
caught,11,0,0,0,0,0
dreams,11,0,0,0,0,0
wonder,11,0,0,0,0,0
meet,11,0,0,0,0,0
