word,frequency,money,women,drugs,crime,positive
t,2079,0,0,0,0,0
s,1660,0,0,0,0,0
m,1373,0,0,0,0,0
don,840,0,0,0,0,0
all,799,0,0,0,0,0
nigga,702,0,0,0,0,0
fuck,701,0,0,0,0,0
no,700,0,0,0,0,0
ain,677,0,0,0,0,0
cube,655,0,0,0,0,0
ice,600,0,0,1,0,0
ass,579,0,0,0,0,0
shit,536,0,0,0,0,0
when,533,0,0,0,0,0
cause,527,0,0,0,0,0
now,499,0,0,0,0,0
if,488,0,0,0,0,0
bitch,483,0,1,0,0,0
yo,456,0,0,0,0,0
ya,411,0,0,0,0,0
back,394,0,0,0,0,0
ll,388,0,0,0,0,0
wanna,371,0,0,0,0,0
em,354,0,0,0,0,0
put,311,0,0,0,0,0
big,302,0,0,0,0,0
man,290,0,0,0,0,0
niggas,290,0,0,0,0,0
game,282,0,0,0,0,0
let,276,0,0,0,0,0
here,273,0,0,0,0,0
some,268,0,0,0,0,0
keep,266,0,0,0,0,0
how,261,0,0,0,0,0
chorus,229,0,0,0,0,0
look,225,0,0,0,0,0
never,221,0,0,0,0,0
little,215,0,0,0,0,0
re,213,0,0,0,0,0
money,207,0,0,0,0,0
not,207,0,0,0,0,0
niggaz,206,0,0,0,0,0
too,206,0,0,0,0,0
black,204,0,0,0,0,0
free,204,0,0,0,0,0
hit,203,0,0,0,0,0
verse,203,0,0,0,0,0
as,194,0,0,0,0,0
still,192,0,0,0,0,0
y,192,0,0,0,0,0
gotta,191,0,0,0,0,0
there,190,0,0,0,0,0
then,183,0,0,0,0,0
fuckin,179,0,0,0,0,0
more,175,0,0,0,0,0
right,172,0,0,0,0,0
gangsta,169,0,0,0,0,0
god,166,0,0,0,0,0
bad,163,0,0,0,0,0
better,160,0,0,0,0,0
good,159,0,0,0,0,0
lookin,158,0,0,0,0,0
baby,157,0,1,0,0,0
bout,156,0,0,0,0,0
where,154,0,0,0,0,0
damn,149,0,0,0,0,0
ma,143,0,1,0,0,0
house,142,0,0,0,0,0
stop,140,0,0,0,0,0
hate,139,0,0,0,0,0
white,138,0,0,0,0,0
west,136,0,0,0,0,0
bitches,135,0,0,0,0,0
young,134,0,0,0,0,0
why,134,0,0,0,0,0
gettin,126,0,0,0,0,0
cuz,125,0,0,0,0,0
motherfuckin,125,0,0,0,0,0
motherfucker,124,0,0,0,0,0
even,124,0,0,0,0,0
run,122,0,0,0,0,0
rap,121,0,0,0,0,0
gon,117,0,0,0,0,0
dope,116,0,0,1,0,0
than,115,0,0,0,0,0
every,113,0,0,0,0,0
comin,111,0,0,0,0,0
hood,111,0,0,0,1,0
g,108,0,0,0,0,0
check,105,0,0,0,0,0
girl,105,0,0,0,0,0
tryin,104,0,0,0,0,0
show,104,0,0,0,0,0
new,103,0,0,0,0,0
ghetto,101,0,0,0,0,0
mob,99,0,0,0,1,0
d,98,0,0,0,0,0
boy,98,0,0,1,0,0
ready,97,0,0,0,0,0
pull,97,0,0,0,0,0
straight,96,0,0,0,0,0
real,96,0,0,0,0,1
won,95,0,0,0,0,0
camera,95,0,0,0,0,0
didn,95,0,0,0,0,0
everybody,94,0,0,0,0,0
much,94,0,0,0,0,0
fool,93,0,0,0,0,0
break,93,0,0,0,0,0
nothin,92,0,0,0,0,0
thang,92,0,0,0,0,0
first,92,0,0,0,0,0
motherfuckers,92,0,0,0,0,0
talkin,90,0,0,0,0,0
stay,90,0,0,0,0,0
done,89,0,0,0,0,0
hear,88,0,0,0,0,0
turn,87,0,0,0,0,0
mack,87,0,0,0,0,0
side,86,0,0,0,0,0
o,85,0,0,0,0,0
only,83,0,0,0,0,0
cos,83,0,0,0,0,0
cop,81,0,0,0,0,0
play,81,0,0,0,0,0
huh,81,0,0,0,0,0
mama,80,0,0,0,0,0
beat,80,0,0,0,0,0
our,80,0,0,0,0,0
ride,79,0,0,0,1,0
police,78,0,0,0,0,0
c,77,0,0,0,0,0
wit,77,0,0,0,0,0
self,77,0,0,0,0,0
fucked,76,0,0,0,0,0
rollin,76,0,0,0,0,0
kick,76,0,0,0,0,0
doin,75,0,0,0,0,0
hot,74,0,0,0,0,0
shake,74,0,0,0,0,0
hoe,73,0,1,0,0,0
party,73,0,0,0,0,0
dick,73,0,0,0,0,0
f,73,0,0,0,0,0
mober,72,0,0,0,0,0
away,72,0,0,0,0,0
smoke,71,0,0,0,0,0
repeat,71,0,0,0,0,0
best,70,0,0,0,0,0
own,70,0,0,0,0,0
believe,70,0,0,0,0,0
another,70,0,0,0,0,0
gun,70,0,0,0,0,0
always,69,0,0,0,0,0
ho,69,0,1,0,0,0
face,69,0,0,0,0,0
punk,69,0,0,0,0,0
well,68,0,0,0,0,0
mayne,68,0,0,0,0,0
please,68,0,0,0,0,0
hoes,68,0,0,0,0,0
watch,67,0,0,0,0,0
die,67,0,0,0,0,0
bust,66,0,0,0,1,0
name,65,0,0,0,0,0
bang,65,0,0,0,0,0
gonna,65,0,0,0,0,0
lie,64,0,0,0,0,0
waitin,64,0,0,0,0,0
old,63,0,0,0,0,0
uhh,63,0,0,0,0,0
same,63,0,0,0,0,0
live,63,0,0,0,0,0
gat,62,0,0,0,1,0
tribal,62,0,0,0,0,0
flow,62,0,0,0,0,0
full,62,0,0,0,0,0
goin,61,0,0,0,0,0
kill,61,0,0,0,0,0
start,61,0,0,0,0,0
mirror,60,0,0,0,0,0
givin,60,0,0,0,0,0
home,60,0,0,0,0,0
while,60,0,0,0,0,0
wait,60,0,0,0,0,0
today,59,0,0,0,0,0
thank,59,0,0,0,0,0
heard,59,0,0,0,0,0
somethin,58,0,0,0,0,0
fat,57,0,0,0,0,0
act,57,0,0,0,0,0
jack,57,0,0,0,1,0
hell,57,0,0,0,0,0
head,57,0,0,0,0,0
crack,57,0,0,1,0,0
rep,56,0,0,0,0,0
drop,56,0,0,0,0,0
ones,55,0,0,0,0,0
curse,55,0,0,0,0,0
school,54,0,0,0,0,0
crazy,54,0,0,0,0,0
whole,54,0,0,0,0,0
everything,54,0,0,0,0,0
dumb,54,0,0,0,0,0
ha,54,0,0,0,0,0
shot,54,0,0,0,0,0
kids,53,0,0,0,0,0
catch,53,0,0,0,0,0
started,53,0,0,0,0,0
water,53,0,0,0,0,0
lil,53,0,0,0,0,0
talk,53,0,0,0,0,0
california,53,0,0,0,0,0
devil,52,0,0,0,0,0
dead,52,0,0,0,0,0
many,52,0,0,0,0,0
together,52,0,0,0,0,0
bring,52,0,0,0,0,0
brother,51,0,0,0,0,0
pay,51,0,0,0,0,0
lench,51,0,0,0,0,0
da,51,0,0,0,0,0
walk,51,0,0,0,0,0
really,51,0,0,0,0,0
hard,51,0,0,0,0,0
homies,50,0,0,0,0,0
drug,50,0,0,0,0,0
hustle,50,0,0,0,0,0
move,50,0,0,0,0,0
broke,50,0,0,0,0,0
tryna,49,0,0,0,0,0
roll,49,1,0,0,0,0
went,49,0,0,0,0,0
motto,48,0,0,0,0,0
nappy,48,0,0,0,0,0
listen,48,0,0,0,0,0
getting,48,0,0,0,0,0
throw,48,0,0,0,0,0
door,48,0,0,0,0,0
quick,48,0,0,0,0,0
bullshit,47,0,0,0,0,0
blow,47,0,0,1,0,0
nation,47,0,0,0,0,0
lot,47,0,0,0,0,0
hold,47,0,0,0,0,0
mother,46,0,0,0,0,0
ever,46,0,0,0,0,0
change,46,0,0,0,0,0
street,46,0,0,0,0,0
homie,46,0,0,0,0,0
supreme,46,0,0,0,0,0
bounce,46,0,0,0,0,0
crew,46,0,0,0,0,0
south,46,0,0,0,0,0
wake,46,0,0,0,0,0
low,45,0,0,0,0,0
red,45,0,0,0,0,0
last,45,0,0,0,0,0
sleep,45,0,0,0,0,0
l,44,0,0,0,0,0
ta,44,0,0,0,0,0
e,44,0,0,0,0,0
nobody,43,0,0,0,0,0
president,43,0,0,0,0,0
again,43,0,0,0,0,0
coast,43,0,0,0,0,0
sure,43,0,0,0,0,0
mouth,42,0,0,0,0,0
k,42,0,0,0,0,0
team,42,0,0,0,0,0
since,42,0,0,0,0,0
car,42,0,0,0,0,0
dog,42,0,0,0,0,0
trust,41,0,0,0,0,0
push,41,0,0,0,0,0
other,41,0,0,0,0,0
sell,41,0,0,0,0,0
makin,41,0,0,0,0,0
fo,41,0,0,0,0,0
nothing,41,0,0,0,0,0
top,40,0,0,0,0,0
momma,40,0,0,0,0,0
dig,40,0,0,0,0,0
caught,40,0,0,0,0,0
slow,40,0,0,0,0,0
cap,40,0,0,0,0,0
nuttin,40,0,0,0,0,0
wrong,39,0,0,0,0,0
rich,39,0,0,0,0,0
mad,39,0,0,0,0,0
paid,39,0,0,0,0,0
ease,39,0,0,0,0,0
playin,39,0,0,0,0,0
til,39,0,0,0,0,0
sittin,38,0,0,0,0,0
thugs,38,0,0,0,0,0
nuts,38,0,0,0,0,0
spit,38,0,0,0,0,0
years,38,0,0,0,0,0
neighborhood,38,0,0,0,0,0
daddy,38,0,0,0,0,0
comes,38,0,0,0,0,0
streets,38,0,0,0,0,0
wreck,38,0,0,0,0,0
high,38,0,0,0,0,0
scared,38,0,0,0,0,0
front,37,0,0,0,0,0
fucking,37,0,0,0,0,0
intro,37,0,0,0,0,0
kinda,37,0,0,0,0,0
yourself,36,0,0,0,0,0
matter,36,0,0,0,0,0
rock,36,0,0,1,0,0
p,36,0,0,0,0,0
deep,36,0,0,0,0,0
sick,36,0,0,0,0,0
once,36,0,0,0,0,0
outta,36,0,0,0,0,0
understand,36,0,0,0,0,0
drink,36,0,0,0,0,0
ve,36,0,0,0,0,0
girls,36,0,0,0,0,0
looking,35,0,0,0,0,0
homey,35,0,0,0,0,0
