word,frequency,money,women,drugs,crime,positive
t,294,0,0,0,0,0
m,230,0,0,0,0,0
bitch,185,0,1,0,0,0
s,181,0,0,0,0,0
don,175,0,0,0,0,0
all,165,0,0,0,0,0
trick,129,0,0,0,0,0
no,106,0,0,0,0,0
shit,101,0,0,0,0,0
now,87,0,0,0,0,0
bitches,79,0,0,0,0,0
drip,75,0,0,0,0,0
bad,72,0,0,0,0,0
ain,71,0,0,0,0,0
nigga,71,0,0,0,0,0
ass,67,0,0,0,0,0
fuck,66,0,0,0,0,0
rollin,62,0,0,0,0,0
some,62,0,0,0,0,0
bag,60,1,0,0,0,0
when,60,0,0,0,0,0
gon,56,0,0,0,0,0
if,54,0,0,0,0,0
niggas,51,0,0,0,0,0
drippin,48,0,0,0,0,0
money,47,0,0,0,0,0
pussy,46,0,0,0,0,0
why,41,0,0,0,0,0
wanna,41,0,0,0,0,0
better,41,0,0,0,0,0
ya,40,0,0,0,0,0
look,40,0,0,0,0,0
cardi,40,0,0,0,0,0
back,37,0,0,0,0,0
alright,37,0,0,0,0,0
pull,36,0,0,0,0,0
cause,36,0,0,0,0,0
not,34,0,0,0,0,0
hoes,32,0,0,0,0,0
dat,32,0,0,0,0,0
never,32,0,0,0,0,0
pop,32,0,0,0,1,0
y,31,0,0,0,0,0
how,30,0,0,0,0,0
cash,30,0,0,0,0,0
guap,29,1,0,0,0,0
boy,27,0,0,1,0,0
bout,27,0,0,0,0,0
best,26,0,0,0,0,0
let,25,0,0,0,0,0
skrrt,25,0,0,0,0,0
nothing,24,0,0,0,0,0
killing,24,0,0,0,0,0
then,24,0,0,0,0,0
gucci,23,0,0,0,0,0
em,23,0,0,0,0,0
wrist,22,0,0,0,0,0
hit,22,0,0,0,0,0
really,22,0,0,0,0,0
run,22,0,0,0,0,0
swear,22,0,0,0,0,0
gotta,20,0,0,0,0,0
lick,20,0,0,0,1,0
fucking,20,0,0,0,0,0
man,20,0,0,0,0,0
yuh,20,0,0,0,0,0
mad,20,0,0,0,0,0
rule,20,0,0,0,0,0
whatever,19,0,0,0,0,0
god,19,0,0,0,0,0
lil,19,0,0,0,0,0
b,19,0,0,0,0,0
real,19,0,0,0,0,1
right,19,0,0,0,0,0
woo,19,0,0,0,0,0
put,18,0,0,0,0,0
bring,18,0,0,0,0,0
pause,18,0,0,0,0,0
gives,18,0,0,0,0,0
hoe,18,0,1,0,0,0
phone,18,0,0,0,0,0
looking,18,0,0,0,0,0
