word,frequency,money,women,drugs,crime,positive
t,1494,0,0,0,0,0
m,1017,0,0,0,0,0
nigga,973,0,0,0,0,0
s,728,0,0,0,0,0
ain,696,0,0,0,0,0
bitch,665,0,1,0,0,0
no,592,0,0,0,0,0
don,503,0,0,0,0,0
baby,455,0,1,0,0,0
fuck,421,0,0,0,0,0
let,406,0,0,0,0,0
shit,351,0,0,0,0,0
niggas,337,0,0,0,0,0
when,273,0,0,0,0,0
all,269,0,0,0,0,0
huh,231,0,0,0,0,0
how,229,0,0,0,0,0
em,222,0,0,0,0,0
now,220,0,0,0,0,0
lil,210,0,0,0,0,0
ass,208,0,0,0,0,0
gon,196,0,0,0,0,0
back,187,0,0,0,0,0
hit,186,0,0,0,0,0
cause,164,0,0,0,0,0
if,159,0,0,0,0,0
put,156,0,0,0,0,0
some,146,0,0,0,0,0
tryna,143,0,0,0,0,0
wanna,142,0,0,0,0,0
ma,135,0,1,0,0,0
still,130,0,0,0,0,0
play,128,0,0,0,0,0
even,127,0,0,0,0,0
keep,125,0,0,0,0,0
bout,125,0,0,0,0,0
never,122,0,0,0,0,0
too,114,0,0,0,0,0
gotta,108,0,0,0,0,0
not,108,0,0,0,0,0
pull,106,0,0,0,0,0
ho,105,0,1,0,0,0
hoes,103,0,0,0,0,0
money,99,0,0,0,0,0
new,96,0,0,0,0,0
bitches,96,0,0,0,0,0
why,95,0,0,0,0,0
goin,94,0,0,0,0,0
look,91,0,0,0,0,0
okay,89,0,0,0,0,0
good,87,0,0,0,0,0
as,83,0,0,0,0,0
fuckin,83,0,0,0,0,0
ayy,81,0,0,0,0,0
talk,81,0,0,0,0,0
there,80,0,0,0,0,0
dick,79,0,0,0,0,0
really,79,0,0,0,0,0
better,78,0,0,0,0,0
ll,78,0,0,0,0,0
turn,77,0,0,0,0,0
here,77,0,0,0,0,0
pussy,77,0,0,0,0,0
real,76,0,0,0,0,1
right,75,0,0,0,0,0
man,75,0,0,0,0,0
boom,74,0,0,0,0,0
then,72,0,0,0,0,0
done,72,0,0,0,0,0
woo,70,0,0,0,0,0
mad,67,0,0,0,0,0
head,65,0,0,0,0,0
act,65,0,0,0,0,0
ha,64,0,0,0,0,0
yo,64,0,0,0,0,0
car,64,0,0,0,0,0
motherfuckin,63,0,0,0,0,0
show,59,0,0,0,0,0
big,58,0,0,0,0,0
talkin,57,0,0,0,0,0
stand,57,0,0,0,0,0
drop,55,0,0,0,0,0
won,54,0,0,0,0,0
pick,54,0,0,0,0,0
every,53,0,0,0,0,0
hard,53,0,0,0,0,0
freak,53,0,1,0,0,0
stopping,52,0,0,0,0,0
more,52,0,0,0,0,0
went,52,0,0,0,0,0
run,51,0,0,0,0,0
god,51,0,0,0,0,0
best,51,0,0,0,0,0
nothin,50,0,0,0,0,0
broke,50,0,0,0,0,0
ever,50,0,0,0,0,0
probably,50,0,0,0,0,0
ready,49,0,0,0,0,0
mama,48,0,0,0,0,0
again,47,0,0,0,0,0
while,47,0,0,0,0,0
fucked,46,0,0,0,0,0
top,44,0,0,0,0,0
bad,44,0,0,0,0,0
ride,44,0,0,0,1,0
damn,43,0,0,0,0,0
til,43,0,0,0,0,0
hot,42,0,0,0,0,0
hoe,42,0,1,0,0,0
heard,41,0,0,0,0,0
hold,41,0,0,0,0,0
goddamn,41,0,0,0,0,0
name,41,0,0,0,0,0
die,41,0,0,0,0,0
hop,40,0,0,0,0,0
stick,40,0,0,0,1,0
feelin,40,0,0,0,0,0
same,39,0,0,0,0,0
shoot,39,0,0,0,0,0
ooh,39,0,0,0,0,0
beat,38,0,0,0,0,0
glock,38,0,0,0,0,0
pop,38,0,0,0,1,0
daddy,36,0,0,0,0,0
catch,36,0,0,0,0,0
always,36,0,0,0,0,0
house,36,0,0,0,0,0
only,36,0,0,0,0,0
pay,36,0,0,0,0,0
fucking,36,0,0,0,0,0
face,36,0,0,0,0,0
boy,35,0,0,1,0,0
ya,35,0,0,0,0,0
everybody,35,0,0,0,0,0
friend,35,0,0,0,0,0
watch,34,0,0,0,0,0
hundred,34,0,0,0,0,0
type,34,0,0,0,0,0
ve,34,0,0,0,0,0
stay,33,0,0,0,0,0
y,33,0,0,0,0,0
where,33,0,0,0,0,0
whip,33,0,0,0,0,0
business,32,0,0,0,0,0
already,31,0,0,0,0,0
fast,31,0,0,0,0,0
didn,31,0,0,0,0,0
home,31,0,0,0,0,0
walk,31,0,0,0,0,0
sit,30,0,0,0,0,0
phone,30,0,0,0,0,0
fire,30,0,0,1,0,0
whole,30,0,0,0,0,0
strong,30,0,0,0,0,1
wait,30,0,0,0,0,0
drive,30,0,0,0,0,0
blow,30,0,0,1,0,0
playin,30,0,0,0,0,0
another,30,0,0,0,0,0
finna,30,0,0,0,0,0
rich,29,0,0,0,0,0
gang,29,0,0,0,1,0
brother,29,0,0,0,0,0
check,29,0,0,0,0,0
round,28,0,0,0,0,0
stop,28,0,0,0,0,0
phat,28,0,0,0,0,0
send,28,0,0,0,0,0
slide,28,0,0,0,1,0
free,27,0,0,0,0,0
first,27,0,0,0,0,0
cut,27,0,0,0,1,0
friends,27,0,0,0,0,0
cryin,27,0,0,0,0,0
crazy,27,0,0,0,0,0
dm,27,0,0,0,0,0
grind,27,0,0,0,0,0
turned,27,0,0,0,0,0
than,27,0,0,0,0,0
something,26,0,0,0,0,0
please,26,0,0,0,0,0
hear,26,0,0,0,0,0
hate,26,0,0,0,0,0
everything,26,0,0,0,0,0
cop,26,0,0,0,0,0
bag,26,1,0,0,0,0
last,26,0,0,0,0,0
muhfuckin,26,0,0,0,0,0
poppin,26,0,0,0,0,0
lost,26,0,0,0,0,0
d,26,0,0,0,0,0
gun,26,0,0,0,0,0
girl,26,0,0,0,0,0
family,25,0,0,0,0,0
daughter,25,0,0,0,0,0
runnin,25,0,0,0,0,0
eat,25,0,0,0,0,0
comin,25,0,0,0,0,0
lights,25,0,0,0,0,0
pulled,24,0,0,0,0,0
open,24,0,0,0,0,0
rap,24,0,0,0,0,0
city,24,0,0,0,0,0
minute,24,0,0,0,0,0
