word,frequency,money,women,drugs,crime,positive
t,3310,0,0,0,0,0
m,3100,0,0,0,0,0
s,2277,0,0,0,0,0
nigga,1728,0,0,0,0,0
all,1441,0,0,0,0,0
don,1396,0,0,0,0,0
bitch,1138,0,1,0,0,0
no,1095,0,0,0,0,0
ain,989,0,0,0,0,0
ya,891,0,0,0,0,0
shit,877,0,0,0,0,0
now,853,0,0,0,0,0
fuck,816,0,0,0,0,0
money,791,0,0,0,0,0
em,765,0,0,0,0,0
if,744,0,0,0,0,0
niggas,709,0,0,0,0,0
lil,707,0,0,0,0,0
baby,679,0,1,0,0,0
back,660,0,0,0,0,0
when,637,0,0,0,0,0
ass,562,0,0,0,0,0
let,554,0,0,0,0,0
wayne,542,0,0,0,0,0
then,529,0,0,0,0,0
cause,519,0,0,0,0,0
man,464,0,0,0,0,0
some,449,0,0,0,0,0
put,439,0,0,0,0,0
never,437,0,0,0,0,0
not,430,0,0,0,0,0
right,423,0,0,0,0,0
where,421,0,0,0,0,0
bitches,407,0,0,0,0,0
how,401,0,0,0,0,0
gon,377,0,0,0,0,0
ll,365,0,0,0,0,0
look,360,0,0,0,0,0
head,358,0,0,0,0,0
girl,343,0,0,0,0,0
ma,332,0,1,0,0,0
here,330,0,0,0,0,0
keep,327,0,0,0,0,0
as,320,0,0,0,0,0
ooh,306,0,0,0,0,0
still,304,0,0,0,0,0
pussy,302,0,0,0,0,0
too,299,0,0,0,0,0
young,296,0,0,0,0,0
boy,293,0,0,1,0,0
bout,286,0,0,0,0,0
chorus,278,0,0,0,0,0
gotta,265,0,0,0,0,0
hot,265,0,0,0,0,0
weezy,262,0,0,0,0,0
wee,257,0,0,0,0,0
verse,255,0,0,0,0,0
f,248,0,0,0,0,0
pop,246,0,0,0,1,0
y,245,0,0,0,0,0
there,244,0,0,0,0,0
why,241,0,0,0,0,0
big,238,0,0,0,0,0
new,237,0,0,0,0,0
yo,237,0,0,0,0,0
than,236,0,0,0,0,0
huh,234,0,0,0,0,0
god,233,0,0,0,0,0
wit,230,0,0,0,0,0
better,227,0,0,0,0,0
game,225,0,0,0,0,0
lookin,225,0,0,0,0,0
hard,222,0,0,0,0,0
more,222,0,0,0,0,0
good,219,0,0,0,0,0
cash,218,0,0,0,0,0
even,214,0,0,0,0,0
hit,213,0,0,0,0,0
wanna,209,0,0,0,0,0
real,205,0,0,0,0,1
hoes,201,0,0,0,0,0
tha,201,0,0,0,0,0
bad,199,0,0,0,0,0
ho,197,0,1,0,0,0
re,197,0,0,0,0,0
turn,196,0,0,0,0,0
talk,192,0,0,0,0,0
hook,185,0,0,0,0,0
fuckin,184,0,0,0,0,0
dick,184,0,0,0,0,0
b,179,0,0,0,0,0
drop,176,0,0,0,0,0
ball,175,0,0,0,0,0
tryna,174,0,0,0,0,0
stop,173,0,0,0,0,0
gun,172,0,0,0,0,0
yea,172,0,0,0,0,0
side,172,0,0,0,0,0
done,168,0,0,0,0,0
only,165,0,0,0,0,0
walk,164,0,0,0,0,0
play,164,0,0,0,0,0
aint,162,0,0,0,0,0
shoot,161,0,0,0,0,0
smoke,160,0,0,0,0,0
face,160,0,0,0,0,0
bust,156,0,0,0,1,0
carter,156,0,0,0,0,0
da,155,0,0,0,0,0
won,150,0,0,0,0,0
im,149,0,0,0,0,0
high,148,0,0,0,0,0
house,146,0,0,0,0,0
n,143,0,0,0,0,0
home,142,0,0,0,0,0
long,142,0,0,0,0,0
run,141,0,0,0,0,0
really,141,0,0,0,0,0
talkin,140,0,0,0,0,0
every,138,0,0,0,0,0
daddy,138,0,0,0,0,0
top,138,0,0,0,0,0
fly,138,0,0,0,0,0
watch,136,0,0,0,0,0
tunechi,136,0,0,0,0,0
damn,133,0,0,0,0,0
mama,132,0,0,0,0,0
block,132,0,0,0,1,0
sleep,131,0,0,0,0,0
rich,131,0,0,0,0,0
die,131,0,0,0,0,0
hold,131,0,0,0,0,0
til,129,0,0,0,0,0
though,129,0,0,0,0,0
jump,129,0,0,0,0,0
g,127,0,0,0,0,0
line,126,0,0,0,0,0
ve,125,0,0,0,0,0
niggaz,124,0,0,0,0,0
stay,122,0,0,0,0,0
eat,119,0,0,0,0,0
red,119,0,0,0,0,0
show,119,0,0,0,0,0
pull,118,0,0,0,0,0
gonna,118,0,0,0,0,0
black,118,0,0,0,0,0
bag,118,1,0,0,0,0
hands,118,0,0,0,0,0
beat,114,0,0,0,0,0
well,113,0,0,0,0,0
party,113,0,0,0,0,0
talking,112,0,0,0,0,0
full,112,0,0,0,0,0
fucked,111,0,0,0,0,0
open,111,0,0,0,0,0
wrong,111,0,0,0,0,0
round,111,0,0,0,0,0
nobody,110,0,0,0,0,0
u,110,0,0,0,0,0
live,109,0,0,0,0,0
gettin,108,0,0,0,0,0
name,108,0,0,0,0,0
cuz,107,0,0,0,0,0
whole,107,0,0,0,0,0
dog,107,0,0,0,0,0
believe,106,0,0,0,0,0
thank,106,0,0,0,0,0
streets,105,0,0,0,0,0
bought,105,0,0,0,0,0
break,105,0,0,0,0,0
nothin,103,0,0,0,0,0
wait,102,0,0,0,0,0
start,102,0,0,0,0,0
much,102,0,0,0,0,0
throw,102,0,0,0,0,0
lot,101,0,0,0,0,0
ever,101,0,0,0,0,0
kill,101,0,0,0,0,0
paper,99,1,0,0,0,0
dont,99,0,0,0,0,0
while,98,0,0,0,0,0
trust,98,0,0,0,0,0
hate,98,0,0,0,0,0
titties,96,0,0,0,0,0
ride,96,0,0,0,1,0
act,95,0,0,0,0,0
d,95,0,0,0,0,0
weed,95,0,0,1,0,0
other,94,0,0,0,0,0
cry,94,0,0,0,0,0
mouth,93,0,0,0,0,0
white,93,0,0,0,0,0
dead,93,0,0,0,0,0
bring,92,0,0,0,0,0
cut,90,0,0,0,1,0
best,90,0,0,0,0,0
car,89,0,0,0,0,0
away,89,0,0,0,0,0
fresh,89,0,0,0,0,0
fucking,88,0,0,0,0,0
looking,88,0,0,0,0,0
same,88,0,0,0,0,0
demon,88,0,0,0,0,0
check,87,0,0,0,0,0
our,87,0,0,0,0,0
la,85,0,0,0,0,0
heard,85,0,0,0,0,0
till,85,0,0,0,0,0
fall,84,0,0,0,0,0
everybody,84,0,0,0,0,0
everything,83,0,0,0,0,0
lost,83,0,0,0,0,0
lord,83,0,0,0,0,0
mean,82,0,0,0,0,0
hear,81,0,0,0,0,0
goin,81,0,0,0,0,0
broke,81,0,0,0,0,0
getting,81,0,0,0,0,0
doin,81,0,0,0,0,0
momma,80,0,0,0,0,0
deep,80,0,0,0,0,0
shake,80,0,0,0,0,0
diamonds,78,0,0,0,0,0
fire,78,0,0,1,0,0
first,78,0,0,0,0,0
rest,77,0,0,0,0,0
stuntin,77,0,0,0,0,0
body,77,0,0,0,0,0
hoe,75,0,1,0,0,0
catch,75,0,0,0,0,0
phone,75,0,0,0,0,0
birdman,74,0,0,0,0,0
crazy,74,0,0,0,0,0
lie,74,0,0,0,0,0
bunch,74,0,0,0,0,0
ck,73,0,0,0,0,0
water,73,0,0,0,0,0
myself,73,0,0,0,0,0
comin,73,0,0,0,0,0
special,73,0,0,0,0,0
ha,72,0,0,0,0,0
mess,72,0,0,0,0,0
runnin,71,0,0,0,0,0
again,71,0,0,0,0,0
wish,71,0,0,0,0,0
boys,70,0,0,0,1,0
family,70,0,0,0,0,0
knock,69,0,0,0,0,0
hell,69,0,0,0,0,0
didn,69,0,0,0,0,0
front,69,0,0,0,0,0
mirror,68,0,0,0,0,0
change,68,0,0,0,0,0
blood,68,0,0,0,0,0
roll,68,1,0,0,0,0
rock,68,0,0,1,0,0
pain,68,0,0,0,0,0
times,68,0,0,0,0,0
motherfucker,68,0,0,0,0,0
mr,67,0,0,0,0,0
move,67,0,0,0,0,0
son,67,0,0,0,0,0
last,67,0,0,0,0,0
hood,67,0,0,0,1,0
room,67,0,0,0,0,0
pressure,66,0,0,0,0,0
end,66,0,0,0,0,0
straight,66,0,0,0,0,0
please,66,0,0,0,0,0
cat,65,0,0,0,0,0
care,65,0,0,0,0,0
dat,65,0,0,0,0,0
sweet,65,0,0,0,0,0
grindin,65,0,0,0,0,0
thats,65,0,0,0,0,0
lights,65,0,0,0,0,0
flow,65,0,0,0,0,0
cold,65,0,0,0,0,0
corner,64,0,0,0,0,0
sure,64,0,0,0,0,0
hundred,64,0,0,0,0,0
case,64,0,0,0,0,0
bet,64,0,0,0,0,0
birds,64,0,0,0,0,0
o,64,0,0,0,0,0
always,64,0,0,0,0,0
woo,63,0,0,0,0,0
smell,63,0,0,0,0,0
another,63,0,0,0,0,0
blow,63,0,0,1,0,0
worries,63,0,0,0,0,0
burn,62,0,0,0,0,0
somebody,62,0,0,0,0,0
buy,62,0,0,0,0,0
tonight,62,0,0,0,0,0
since,62,0,0,0,0,0
feet,62,0,0,0,0,0
playin,62,0,0,0,0,0
shine,62,0,0,0,0,1
beef,61,0,0,0,0,0
swear,61,0,0,0,0,0
soft,61,0,0,0,0,0
little,61,0,0,0,0,0
tryin,61,0,0,0,0,0
hair,61,0,0,0,0,0
own,61,0,0,0,0,0
p,60,0,0,0,0,0
dreams,60,0,0,0,0,0
fast,60,0,0,0,0,0
bang,60,0,0,0,0,0
dope,60,0,0,1,0,0
started,60,0,0,0,0,0
hop,60,0,0,0,0,0
days,59,0,0,0,0,0
wake,59,0,0,0,0,0
went,59,0,0,0,0,0
yes,59,0,0,0,0,0
guns,58,0,0,0,0,0
slow,58,0,0,0,0,0
different,58,0,0,0,0,0
old,58,0,0,0,0,0
problems,58,0,0,0,0,0
bro,58,0,0,0,0,0
war,58,0,0,0,0,0
many,58,0,0,0,0,0
wha,58,0,0,0,0,0
treat,57,0,0,0,0,0
nothing,57,0,0,0,0,0
door,57,0,0,0,0,0
already,57,0,0,0,0,0
miss,57,0,1,0,0,0
neck,56,0,0,0,0,0
strong,56,0,0,0,0,1
lay,56,0,0,0,0,0
mahogany,56,0,0,0,0,0
alive,56,0,0,0,0,0
jiggy,56,0,0,0,0,0
yellow,56,0,0,0,0,0
together,55,0,0,0,0,0
pass,55,0,0,0,0,0
low,55,0,0,0,0,0
welcome,55,0,0,0,0,0
blunt,55,0,0,0,0,0
probably,54,0,0,0,0,0
extra,54,0,0,0,0,0
picture,54,0,0,0,0,0
wet,54,0,0,0,0,0
dogs,54,0,0,0,0,0
lit,53,0,0,0,0,0
both,53,0,0,0,0,0
minks,53,0,0,0,0,0
kiss,53,0,0,0,0,0
dies,52,0,0,0,0,0
most,52,0,0,0,0,0
number,52,0,0,0,0,0
deal,52,0,0,0,0,0
ckin,52,0,0,0,0,0
send,52,0,0,0,0,0
famous,51,0,0,0,0,0
help,51,0,0,0,0,0
business,51,0,0,0,0,0
remember,51,0,0,0,0,0
safe,51,0,0,0,0,0
next,51,0,0,0,0,0
sky,51,0,0,0,0,0
stand,50,0,0,0,0,0
sell,50,0,0,0,0,0
close,50,0,0,0,0,0
