word,frequency,money,women,drugs,crime,positive
t,1411,0,0,0,0,0
s,1315,0,0,0,0,0
m,943,0,0,0,0,0
all,830,0,0,0,0,0
don,563,0,0,0,0,0
no,484,0,0,0,0,0
now,444,0,0,0,0,0
god,424,0,0,0,0,0
mmh,410,0,0,0,0,0
when,398,0,0,0,0,0
let,369,0,0,0,0,0
ain,336,0,0,0,0,0
not,324,0,0,0,0,0
if,322,0,0,0,0,0
how,288,0,0,0,0,0
ll,275,0,0,0,0,0
never,259,0,0,0,0,0
right,248,0,0,0,0,0
man,242,0,0,0,0,0
back,223,0,0,0,0,0
em,209,0,0,0,0,0
kanye,208,0,0,0,0,0
here,203,0,0,0,0,0
keep,196,0,0,0,0,0
cause,196,0,0,0,0,0
still,192,0,0,0,0,0
shit,189,0,0,0,0,0
new,185,0,0,0,0,0
gon,183,0,0,0,0,0
more,175,0,0,0,0,0
then,174,0,0,0,0,0
some,173,0,0,0,0,0
re,159,0,0,0,0,0
wanna,156,0,0,0,0,0
too,156,0,0,0,0,0
okay,156,0,0,0,0,0
lord,155,0,0,0,0,0
again,151,0,0,0,0,0
ya,148,0,0,0,0,0
only,148,0,0,0,0,0
jesus,147,0,0,0,0,0
baby,146,0,1,0,0,0
donda,145,0,0,0,0,0
hands,144,0,0,0,0,0
everything,142,0,0,0,0,0
look,141,0,0,0,0,0
gotta,140,0,0,0,0,0
why,136,0,0,0,0,0
good,136,0,0,0,0,0
really,135,0,0,0,0,0
where,134,0,0,0,0,0
y,131,0,0,0,0,0
there,129,0,0,0,0,0
niggas,127,0,0,0,0,0
nigga,127,0,0,0,0,0
hold,125,0,0,0,0,0
huh,125,0,0,0,0,0
ve,123,0,0,0,0,0
chorus,121,0,0,0,0,0
west,119,0,0,0,0,0
away,116,0,0,0,0,0
ayy,113,0,0,0,0,0
even,113,0,0,0,0,0
guess,113,0,0,0,0,0
real,113,0,0,0,0,1
girl,113,0,0,0,0,0
high,109,0,0,0,0,0
black,108,0,0,0,0,0
ever,107,0,0,0,0,0
as,107,0,0,0,0,0
la,106,0,0,0,0,0
lights,102,0,0,0,0,0
much,102,0,0,0,0,0
home,100,0,0,0,0,0
woo,98,0,0,0,0,0
d,98,0,0,0,0,0
bad,97,0,0,0,0,0
gonna,97,0,0,0,0,0
every,96,0,0,0,0,0
put,95,0,0,0,0,0
well,93,0,0,0,0,0
than,92,0,0,0,0,0
fuck,91,0,0,0,0,0
bout,90,0,0,0,0,0
stop,89,0,0,0,0,0
kids,88,0,0,0,0,0
play,88,0,0,0,0,0
water,87,0,0,0,0,0
junya,86,0,0,0,0,0
money,86,0,0,0,0,0
verse,86,0,0,0,0,0
always,85,0,0,0,0,0
watanabe,84,0,0,0,0,0
mama,82,0,0,0,0,0
goin,82,0,0,0,0,0
truth,82,0,0,0,0,0
woah,81,0,0,0,0,0
done,81,0,0,0,0,0
tonight,80,0,0,0,0,0
bitch,80,0,1,0,0,0
long,79,0,0,0,0,0
yo,78,0,0,0,0,0
live,78,0,0,0,0,0
sky,78,0,0,0,0,0
our,77,0,0,0,0,0
movin,77,0,0,0,0,0
die,76,0,0,0,0,0
pray,75,0,0,0,0,0
show,75,0,0,0,0,0
jay,75,0,0,0,0,0
damn,74,0,0,0,0,0
many,74,0,0,0,0,0
grid,74,0,0,0,0,0
jail,72,0,0,0,0,0
turn,72,0,0,0,0,0
kid,72,0,0,0,0,0
bam,72,0,0,0,0,0
yeezy,71,0,0,0,0,0
mm,71,0,0,0,0,0
whole,71,0,0,0,0,0
ass,70,0,0,0,0,0
hit,70,0,0,0,0,0
forward,70,0,0,0,0,0
big,70,0,0,0,0,0
last,70,0,0,0,0,0
thank,70,0,0,0,0,0
own,69,0,0,0,0,0
throw,69,0,0,0,0,0
wri,68,0,0,0,0,0
won,68,0,0,0,0,0
everybody,66,0,0,0,0,0
ma,66,0,1,0,0,0
talk,65,0,0,0,0,0
soul,64,0,0,0,0,0
mean,63,0,0,0,0,0
something,62,0,0,0,0,0
dem,61,0,0,0,0,0
fly,61,0,0,0,0,0
father,60,0,0,0,0,0
hard,60,0,0,0,0,0
move,59,0,0,0,0,0
head,59,0,0,0,0,0
myself,58,0,0,0,0,0
please,58,0,0,0,0,0
tryna,58,0,0,0,0,0
hallelujah,57,0,0,0,0,0
miss,57,0,1,0,0,0
free,57,0,0,0,0,0
family,56,0,0,0,0,0
hear,56,0,0,0,0,0
beat,56,0,0,0,0,0
alive,55,0,0,0,0,0
first,55,0,0,0,0,0
devil,54,0,0,0,0,0
went,54,0,0,0,0,0
enough,54,0,0,0,0,0
game,54,0,0,0,0,0
brother,53,0,0,0,0,0
little,52,0,0,0,0,0
fight,51,0,0,0,0,0
care,51,0,0,0,0,0
buy,49,0,0,0,0,0
sometimes,49,0,0,0,0,0
pain,49,0,0,0,0,0
boy,49,0,0,1,0,0
better,49,0,0,0,0,0
same,48,0,0,0,0,0
breathed,48,0,0,0,0,0
til,48,0,0,0,0,0
wrong,48,0,0,0,0,0
pull,48,0,0,0,0,0
far,48,0,0,0,0,0
z,48,0,0,0,0,0
war,47,0,0,0,0,0
stay,47,0,0,0,0,0
nothing,46,0,0,0,0,0
hell,46,0,0,0,0,0
control,45,0,0,0,0,0
old,45,0,0,0,0,0
another,44,0,0,0,0,0
watch,44,0,0,0,0,0
finished,43,0,0,0,0,0
hours,43,0,0,0,0,0
heard,43,0,0,0,0,0
though,42,0,0,0,0,0
act,42,0,0,0,0,0
wild,41,0,0,0,0,0
lookin,41,0,0,0,0,0
ah,41,0,0,0,0,0
spirit,41,0,0,0,0,0
murder,41,0,0,0,0,0
cuz,41,0,0,0,0,0
gwaan,40,0,0,0,0,0
start,40,0,0,0,0,0
grrat,40,0,0,0,0,0
somethin,39,0,0,0,0,0
name,39,0,0,0,0,0
feelin,39,0,0,0,0,0
soon,39,0,0,0,0,0
walk,39,0,0,0,0,0
moon,39,0,0,0,0,0
lost,39,0,0,0,0,0
rap,39,0,0,0,0,0
ye,38,0,0,0,0,0
side,38,0,0,0,0,0
any,38,0,0,0,0,0
remember,38,0,0,0,0,0
sweet,38,0,0,0,0,0
save,38,0,0,0,0,0
plan,38,0,0,0,0,0
school,38,0,0,0,0,0
im,38,0,0,0,0,0
hate,38,0,0,0,0,0
blood,37,0,0,0,0,0
couldn,37,0,0,0,0,0
friends,37,0,0,0,0,0
nobody,37,0,0,0,0,0
other,37,0,0,0,0,0
cut,37,0,0,0,1,0
talkin,37,0,0,0,0,0
send,37,0,0,0,0,0
ooh,37,0,0,0,0,0
maybe,37,0,0,0,0,0
n,37,0,0,0,0,0
mi,37,0,0,0,0,0
church,36,0,0,0,0,0
shine,36,0,0,0,0,1
drive,36,0,0,0,0,0
best,36,0,0,0,0,0
run,36,0,0,0,0,0
somebody,35,0,0,0,0,0
study,35,0,0,0,0,0
daddy,35,0,0,0,0,0
slow,35,0,0,0,0,0
lose,35,0,0,0,0,0
getting,35,0,0,0,0,0
late,35,0,0,0,0,0
face,35,0,0,0,0,0
king,35,0,0,0,0,0
most,35,0,0,0,0,0
amazing,34,0,0,0,0,0
stars,34,0,0,0,0,0
honest,34,0,0,0,0,0
rock,34,0,0,1,0,0
help,34,0,0,0,0,0
alright,34,0,0,0,0,0
mr,34,0,0,0,0,0
top,34,0,0,0,0,0
feat,34,0,0,0,0,0
didn,34,0,0,0,0,0
house,33,0,0,0,0,0
wait,33,0,0,0,0,0
type,33,0,0,0,0,0
years,33,0,0,0,0,0
deep,33,0,0,0,0,0
end,33,0,0,0,0,0
lot,33,0,0,0,0,0
thats,32,0,0,0,0,0
days,32,0,0,0,0,0
doin,32,0,0,0,0,0
nothin,32,0,0,0,0,0
breathe,32,0,0,0,0,0
party,32,0,0,0,0,0
america,32,0,0,0,0,0
already,31,0,0,0,0,0
yes,31,0,0,0,0,0
cold,31,0,0,0,0,0
fast,31,0,0,0,0,0
white,31,0,0,0,0,0
locked,30,0,0,0,0,0
believe,30,0,0,0,0,0
roll,30,1,0,0,0,0
lil,30,0,0,0,0,0
wish,30,0,0,0,0,0
