word,frequency,money,women,drugs,crime,positive
somethin,34,0,0,0,0,0
s,24,0,0,0,0,0
t,16,0,0,0,0,0
m,15,0,0,0,0,0
b,11,0,0,0,0,0
g,11,0,0,0,0,0
all,8,0,0,0,0,0
notorious,8,0,0,0,0,0
if,8,0,0,0,0,0
ain,8,0,0,0,0,0
shit,8,0,0,0,0,0
let,7,0,0,0,0,0
money,7,0,0,0,0,0
niggaz,6,0,0,0,0,0
fuck,6,0,0,0,0,0
when,6,0,0,0,0,0
nigga,6,0,0,0,0,0
no,6,0,0,0,0,0
akon,5,0,0,0,0,0
there,5,0,0,0,0,0
bitches,5,0,0,0,0,0
big,4,0,0,0,0,0
wanna,4,0,0,0,0,0
new,4,0,0,0,0,0
now,4,0,0,0,0,0
play,4,0,0,0,0,0
more,4,0,0,0,0,0
chorus,4,0,0,0,0,0
catch,4,0,0,0,0,0
die,4,0,0,0,0,0
show,3,0,0,0,0,0
our,3,0,0,0,0,0
some,3,0,0,0,0,0
man,3,0,0,0,0,0
myself,3,0,0,0,0,0
ass,3,0,0,0,0,0
gonna,3,0,0,0,0,0
here,3,0,0,0,0,0
vocals,3,0,0,0,0,0
faith,3,0,0,0,0,1
evans,3,0,0,0,0,0
ll,3,0,0,0,0,0
back,3,0,0,0,0,0
right,3,0,0,0,0,0
w,3,0,0,0,0,0
bitch,3,0,1,0,0,0
fighting,3,0,0,0,0,0
mal,3,0,0,0,0,0
remember,3,0,0,0,0,0
each,3,0,0,0,0,0
why,3,0,0,0,0,0
don,3,0,0,0,0,0
verse,3,0,0,0,0,0
wake,3,0,0,0,0,0
wish,3,0,0,0,0,0
york,3,0,0,0,0,0
deep,2,0,0,0,0,0
stacks,2,1,0,0,0,0
please,2,0,0,0,0,0
slippin,2,0,0,0,0,0
high,2,0,0,0,0,0
heads,2,0,0,0,0,0
draw,2,0,0,0,0,0
brothers,2,0,0,0,0,0
away,2,0,0,0,0,0
tryin,2,0,0,0,0,0
blown,2,0,0,0,0,0
act,2,0,0,0,0,0
stage,2,0,0,0,0,0
not,2,0,0,0,0,0
never,2,0,0,0,0,0
poppa,2,0,0,0,0,0
d,2,0,0,0,0,0
moms,2,0,0,0,0,0
blunts,2,0,0,0,0,0
date,2,0,0,0,0,0
streets,2,0,0,0,0,0
rocks,2,0,0,0,0,0
as,2,0,0,0,0,0
mob,2,0,0,0,1,0
real,2,0,0,0,0,1
actin,2,0,0,0,0,0
how,2,0,0,0,0,0
plan,2,0,0,0,0,0
king,2,0,0,0,0,0
hook,2,0,0,0,0,0
white,2,0,0,0,0,0
then,2,0,0,0,0,0
soul,2,0,0,0,0,0
even,2,0,0,0,0,0
damn,2,0,0,0,0,0
wraped,2,0,0,0,0,0
scared,2,0,0,0,0,0
wit,2,0,0,0,0,0
nah,2,0,0,0,0,0
gotta,2,0,0,0,0,0
set,2,0,0,0,1,0
hit,2,0,0,0,0,0
death,2,0,0,0,0,0
while,2,0,0,0,0,0
drive,2,0,0,0,0,0
englique,2,0,0,0,0,0
put,2,0,0,0,0,0
game,2,0,0,0,0,0
pac,2,0,0,0,0,0
alive,2,0,0,0,0,0
swear,2,0,0,0,0,0
scarface,2,0,0,0,0,0
lost,1,0,0,0,0,0
nickel,1,0,0,0,0,0
rock,1,0,0,1,0,0
short,1,0,0,0,0,0
suppose,1,0,0,0,0,0
hold,1,0,0,0,0,0
cost,1,0,0,0,0,0
suffered,1,0,0,0,0,0
years,1,0,0,0,0,0
price,1,0,0,0,0,0
unshamelously,1,0,0,0,0,0
lord,1,0,0,0,0,0
humble,1,0,0,0,0,1
sold,1,0,0,0,0,0
hungry,1,0,0,0,0,0
specially,1,0,0,0,0,0
cop,1,0,0,0,0,0
forgot,1,0,0,0,0,0
too,1,0,0,0,0,0
workin,1,0,0,0,0,0
bullshittin,1,0,0,0,0,0
dro,1,0,0,0,0,0
bunch,1,0,0,0,0,0
intro,1,0,0,0,0,0
dick,1,0,0,0,0,0
product,1,0,0,0,0,0
tint,1,0,0,0,0,0
knees,1,0,0,0,0,0
drop,1,0,0,0,0,0
attitude,1,0,0,0,0,0
tremblin,1,0,0,0,0,0
views,1,0,0,0,0,0
rear,1,0,0,0,0,0
leaves,1,0,0,0,0,0
system,1,0,0,0,0,0
rims,1,0,0,0,0,0
chrome,1,0,0,0,0,0
smoke,1,0,0,0,0,0
kiss,1,0,0,0,0,0
land,1,0,0,0,0,0
blue,1,0,0,0,0,0
mans,1,0,0,0,0,0
plans,1,0,0,0,0,0
discusing,1,0,0,0,0,0
sands,1,0,0,0,0,0
caribean,1,0,0,0,0,0
skiing,1,0,0,0,0,0
jet,1,0,0,0,0,0
estates,1,0,0,0,0,0
gratitude,1,0,0,0,0,1
rings,1,0,0,0,0,0
picture,1,0,0,0,0,0
purpose,1,0,0,0,0,0
gee,1,0,0,0,0,0
story,1,0,0,0,0,0
husler,1,0,0,0,0,0
listen,1,0,0,0,0,0
any,1,0,0,0,0,0
shootin,1,0,0,0,0,0
living,1,0,0,0,0,0
anybody,1,0,0,0,0,0
design,1,0,0,0,0,0
grand,1,0,0,0,0,0
glass,1,0,0,1,0,0
frank,1,0,0,0,0,0
hour,1,0,0,0,0,0
looking,1,0,0,0,0,0
elevated,1,0,0,0,0,0
sunshine,1,0,0,0,0,0
eternal,1,0,0,0,0,0
throat,1,0,0,0,0,0
hard,1,0,0,0,0,0
devoted,1,0,0,0,0,0
potent,1,0,0,0,0,0
stay,1,0,0,0,0,0
car,1,0,0,0,0,0
growin,1,0,0,0,0,0
flicks,1,0,0,0,0,0
win,1,0,0,0,0,0
signs,1,0,0,0,0,0
dollar,1,0,0,0,0,0
than,1,0,0,0,0,0
deeper,1,0,0,0,0,0
every,1,0,0,0,0,0
comes,1,0,0,0,0,0
snatch,1,0,0,0,0,0
cold,1,0,0,0,0,0
understand,1,0,0,0,0,0
sleepin,1,0,0,0,0,0
caught,1,0,0,0,0,0
plottin,1,0,0,0,0,0
whole,1,0,0,0,0,0
break,1,0,0,0,0,0
hands,1,0,0,0,0,0
hot,1,0,0,0,0,0
chop,1,0,0,0,0,0
quick,1,0,0,0,0,0
huh,1,0,0,0,0,0
buildin,1,0,0,0,0,0
face,1,0,0,0,0,0
waitin,1,0,0,0,0,0
believe,1,0,0,0,0,0
grind,1,0,0,0,0,0
homies,1,0,0,0,0,0
doin,1,0,0,0,0,0
k,1,0,0,0,0,0
talking,1,0,0,0,0,0
happy,1,0,0,0,0,0
makes,1,0,0,0,0,0
bullshit,1,0,0,0,0,0
stupid,1,0,0,0,0,0
tightening,1,0,0,0,0,0
pressure,1,0,0,0,0,0
frightening,1,0,0,0,0,0
fire,1,0,0,1,0,0
killa,1,0,0,0,0,0
dispise,1,0,0,0,0,0
droppin,1,0,0,0,0,0
rats,1,0,0,0,0,0
ride,1,0,0,0,1,0
slide,1,0,0,0,1,0
tellin,1,0,0,0,0,0
wise,1,0,0,0,0,0
wet,1,0,0,0,0,0
pussy,1,0,0,0,0,0
indicters,1,0,0,0,0,0
duckin,1,0,0,0,0,0
dimes,1,0,0,0,0,0
lose,1,0,0,0,0,0
whether,1,0,0,0,0,0
pitch,1,0,0,0,0,0
fear,1,0,0,0,0,0
bout,1,0,0,0,0,0
yay,1,0,0,1,0,0
pure,1,0,0,0,0,0
smugglin,1,0,0,0,0,0
coupe,1,0,0,0,0,0
flyin,1,0,0,0,0,0
birds,1,0,0,0,0,0
jose,1,0,0,0,0,0
politican,1,0,0,0,0,0
coastline,1,0,0,0,0,0
sittin,1,0,0,0,0,0
homeboy,1,0,0,0,0,0
lift,1,0,0,0,0,0
escart,1,0,0,0,0,0
whips,1,0,0,0,0,0
backyard,1,0,0,0,0,0
folk,1,0,0,0,0,0
kin,1,0,0,0,0,0
killed,1,0,0,0,0,0
rob,1,0,0,0,0,0
boys,1,0,0,0,1,0
jack,1,0,0,0,1,0
fake,1,0,0,0,0,0
business,1,0,0,0,0,0
small,1,0,0,0,0,0
fees,1,0,0,0,0,0
many,1,0,0,0,0,0
nothin,1,0,0,0,0,0
territory,1,0,0,0,0,0
lock,1,0,0,0,0,0
ki,1,0,0,0,0,0
socks,1,0,0,0,0,0
well,1,0,0,0,0,0
arms,1,0,0,0,0,0
sellin,1,0,0,0,0,0
box,1,0,0,0,0,0
glocks,1,0,0,0,0,0
figure,1,0,0,0,0,0
gets,1,0,0,0,0,0
block,1,0,0,0,1,0
far,1,0,0,0,0,0
mexico,1,0,0,0,0,0
sleep,1,0,0,0,0,0
main,1,0,0,0,0,0
yo,1,0,0,0,0,0
africans,1,0,0,0,0,0
meet,1,0,0,0,0,0
gon,1,0,0,0,0,0
caine,1,0,0,0,0,0
stocks,1,0,0,0,0,0
bogota,1,0,0,0,0,0
elevates,1,0,0,0,0,0
ricans,1,0,0,0,0,0
cab,1,0,0,0,0,0
bastards,1,0,0,0,0,0
classes,1,0,0,0,0,0
models,1,0,0,0,0,0
ashes,1,0,0,0,0,0
dump,1,0,0,0,1,0
masters,1,0,0,0,0,0
ducth,1,0,0,0,0,0
blazed,1,0,0,0,0,0
asses,1,0,0,0,0,0
fat,1,0,0,0,0,0
puerto,1,0,0,0,0,0
broadway,1,0,0,0,0,0
vasquez,1,0,0,0,0,0
ones,1,0,0,0,0,0
force,1,0,0,0,0,0
air,1,0,0,0,0,0
uptown,1,0,0,0,0,0
fashion,1,0,0,0,0,0
rouge,1,0,0,0,0,0
moulin,1,0,0,0,0,0
rendezvous,1,0,0,0,0,0
sue,1,0,0,0,0,0
ny,1,0,0,0,0,0
manhattan,1,0,0,0,0,0
hype,1,0,0,0,0,0
v,1,0,0,0,0,0
makin,1,0,0,0,0,0
hearin,1,0,0,0,0,0
sixteen,1,0,0,0,0,0
age,1,0,0,0,0,0
spleens,1,0,0,0,0,0
rupt,1,0,0,0,0,0
risk,1,0,0,0,0,0
team,1,0,0,0,0,0
football,1,0,0,0,0,0
scene,1,0,0,0,0,0
drug,1,0,0,0,0,0
cream,1,1,0,0,0,0
smokin,1,0,0,0,0,0
belly,1,0,0,0,0,0
thirteen,1,0,0,0,0,0
magnum,1,0,0,0,0,0
evil,1,0,0,0,0,0
speak,1,0,0,0,0,0
nor,1,0,0,0,0,0
hear,1,0,0,0,0,0
happenin,1,0,0,0,0,0
rog,1,0,0,0,0,0
captain,1,0,0,0,0,0
plastic,1,0,0,0,0,0
capped,1,0,0,0,0,0
still,1,0,0,0,0,0
brooklyn,1,0,0,0,0,0
junior,1,0,0,0,0,0
hurry,1,0,0,0,0,0
spouse,1,0,0,0,0,0
burst,1,0,0,0,0,0
water,1,0,0,0,0,0
mama,1,0,0,0,0,0
worst,1,0,0,0,0,0
lights,1,0,0,0,0,0
ready,1,0,0,0,0,0
mics,1,0,0,0,0,0
rippin,1,0,0,0,0,0
juvenile,1,0,0,0,0,0
buck,1,1,0,0,0,0
gut,1,0,0,0,0,0
teana,1,0,0,0,0,0
months,1,0,0,0,0,0
earl,1,0,0,0,0,0
hennessy,1,0,0,0,0,0
tangere,1,0,0,0,0,0
girl,1,0,0,0,0,0
fly,1,0,0,0,0,0
skins,1,0,0,0,0,0
escape,1,0,0,0,0,0
late,1,0,0,0,0,0
sweat,1,0,0,0,0,0
somthin,1,0,0,0,0,0
house,1,0,0,0,0,0
rolls,1,0,0,1,0,0
herself,1,0,0,0,0,0
hospital,1,0,0,0,0,0
daughter,1,0,0,0,0,0
checkin,1,0,0,0,0,0
sty,1,0,0,0,0,0
bed,1,0,0,0,0,0
visualize,1,0,0,0,0,0
eye,1,0,0,0,0,0
reverse,1,0,0,0,0,0
god,1,0,0,0,0,0
boy,1,0,0,1,0,0
bad,1,0,0,0,0,0
looked,1,0,0,0,0,0
doctor,1,0,0,0,0,0
joy,1,0,0,0,0,0
mad,1,0,0,0,0,0
bringin,1,0,0,0,0,0
step,1,0,0,0,0,0
first,1,0,0,0,0,0
seein,1,0,0,0,0,0
neck,1,0,0,0,0,0
chord,1,0,0,0,0,0
umbilical,1,0,0,0,0,0
help,1,0,0,0,0,0
little,1,0,0,0,0,0
coach,1,0,0,0,0,0
scream,1,0,0,0,0,0
lifetime,1,0,0,0,0,0
class,1,0,0,0,0,0
named,1,0,0,0,0,0
niggas,1,0,0,0,0,0
colombian,1,0,0,0,0,0
cigars,1,0,0,0,0,0
smoking,1,0,0,0,0,0
dinin,1,0,0,0,0,0
winin,1,0,0,0,0,0
wifey,1,0,1,0,0,0
dinner,1,0,0,0,0,0
shinin,1,0,0,0,0,0
diamonds,1,0,0,0,0,0
h,1,0,0,0,0,0
willy,1,0,0,0,0,0
dippin,1,0,0,0,0,0
gabana,1,0,0,0,0,0
dolce,1,0,0,0,0,0
ivana,1,0,0,0,0,0
treats,1,0,0,0,0,0
wondering,1,0,0,0,0,0
model,1,0,1,0,0,0
motherfucker,1,0,0,0,0,0
stories,1,0,0,0,0,0
millies,1,0,0,0,0,0
koch,1,0,0,0,0,0
panama,1,0,0,0,0,0
games,1,0,0,0,0,0
endin,1,0,0,0,0,0
bending,1,0,0,0,0,0
vcr,1,0,0,0,0,0
overseas,1,0,0,0,0,0
hidin,1,0,0,0,0,0
keys,1,0,0,0,0,0
stashing,1,0,0,0,0,0
mansion,1,0,0,0,0,0
duplex,1,0,0,0,0,0
advancin,1,0,0,0,0,0
em,1,0,0,0,0,0
rest,1,0,0,0,0,0
benjamins,1,1,0,0,0,0
top,1,0,0,0,0,0
singles,1,0,0,0,0,0
stopped,1,0,0,0,0,0
bank,1,1,0,0,0,0
tops,1,0,0,0,0,0
tank,1,0,0,0,0,0
karan,1,0,0,0,0,0
donna,1,0,0,0,0,0
jeans,1,0,0,0,0,0
moschino,1,0,0,0,0,0
pair,1,0,0,0,0,0
ease,1,0,0,0,0,0
heckler,1,0,0,0,0,0
williest,1,0,0,0,0,0
mean,1,0,0,0,0,0
drugs,1,0,0,0,0,0
straight,1,0,0,0,0,0
mart,1,0,0,0,0,0
seat,1,0,0,0,0,0
scary,1,0,0,0,0,0
kinda,1,0,0,0,0,0
incarcerated,1,0,0,0,0,0
necessary,1,0,0,0,0,0
secondary,1,0,0,0,0,0
rap,1,0,0,0,0,0
couldn,1,0,0,0,0,0
shelf,1,0,0,0,0,0
disrespect,1,0,0,0,0,0
rollin,1,0,0,0,0,0
wreck,1,0,0,0,0,0
check,1,0,0,0,0,0
grow,1,0,0,0,0,0
ma,1,0,1,0,0,0
flow,1,0,0,0,0,0
fucked,1,0,0,0,0,0
didn,1,0,0,0,0,0
school,1,0,0,0,0,0
dough,1,1,0,0,0,0
stack,1,1,0,0,0,0
blow,1,0,0,1,0,0
able,1,0,0,0,0,0
move,1,0,0,0,0,0
great,1,0,0,0,0,0
steel,1,0,0,0,0,0
trunks,1,0,0,0,0,0
gator,1,0,0,0,0,0
lizard,1,0,0,0,0,0
hats,1,0,0,0,0,0
sippin,1,0,0,0,0,0
pops,1,0,0,0,0,0
crystal,1,0,0,1,0,0
livin,1,0,0,0,0,0
talkin,1,0,0,0,0,0
yea,1,0,0,0,0,0
feat,1,0,0,0,0,0
lyrics,1,0,0,0,0,0
oscar,1,0,0,0,0,0
thanks,1,0,0,0,0,1
seventy,1,0,0,0,0,0
teen,1,0,0,0,0,0
outro,1,0,0,0,0,0
bail,1,0,0,0,0,0
stacked,1,0,0,0,0,0
fail,1,0,0,0,0,0
where,1,0,0,0,0,0
contemplate,1,0,0,0,0,0
gate,1,0,0,0,0,0
spite,1,0,0,0,0,0
