word,frequency,money,women,drugs,crime,positive
s,391,0,0,0,0,0
t,376,0,0,0,0,0
m,288,0,0,0,0,0
all,236,0,0,0,0,0
nigga,198,0,0,0,0,0
shit,196,0,0,0,0,0
fuck,183,0,0,0,0,0
don,161,0,0,0,0,0
no,159,0,0,0,0,0
now,132,0,0,0,0,0
niggaz,124,0,0,0,0,0
bitch,119,0,1,0,0,0
dre,107,0,0,0,0,0
some,104,0,0,0,0,0
ain,102,0,0,0,0,0
back,97,0,0,0,0,0
when,96,0,0,0,0,0
bang,89,0,0,0,0,0
if,89,0,0,0,0,0
cause,88,0,0,0,0,0
yo,68,0,0,0,0,0
motherfuckin,68,0,0,0,0,0
man,67,0,0,0,0,0
where,67,0,0,0,0,0
let,67,0,0,0,0,0
wanna,66,0,0,0,0,0
fuckin,64,0,0,0,0,0
em,63,0,0,0,0,0
niggas,61,0,0,0,0,0
dr,58,0,0,0,0,0
ass,57,0,0,0,0,0
as,55,0,0,0,0,0
d,54,0,0,0,0,0
wit,53,0,0,0,0,0
g,53,0,0,0,0,0
snoop,51,0,0,0,0,0
hoes,51,0,0,0,0,0
here,50,0,0,0,0,0
murder,50,0,0,0,0,0
how,50,0,0,0,0,0
re,47,0,0,0,0,0
right,45,0,0,0,0,0
y,45,0,0,0,0,0
listen,44,0,0,0,0,0
never,44,0,0,0,0,0
bitches,43,0,0,0,0,0
still,42,0,0,0,0,0
real,42,0,0,0,0,1
ll,41,0,0,0,0,0
dogg,40,0,0,0,0,0
ya,40,0,0,0,0,0
then,39,0,0,0,0,0
not,37,0,0,0,0,0
damn,36,0,0,0,0,0
fucked,36,0,0,0,0,0
o,36,0,0,0,0,0
put,36,0,0,0,0,0
stop,36,0,0,0,0,0
motherfucker,35,0,0,0,0,0
chronic,35,0,0,1,0,0
dick,34,0,0,0,0,0
chorus,33,0,0,0,0,0
good,33,0,0,0,0,0
lookin,31,0,0,0,0,0
gotta,31,0,0,0,0,0
look,31,0,0,0,0,0
death,30,0,0,0,0,0
too,30,0,0,0,0,0
why,30,0,0,0,0,0
hit,29,0,0,0,0,0
money,29,0,0,0,0,0
than,29,0,0,0,0,0
ma,28,0,1,0,0,0
better,28,0,0,0,0,0
da,28,0,0,0,0,0
compton,28,0,0,0,0,0
hard,28,0,0,0,0,0
there,28,0,0,0,0,0
ever,28,0,0,0,0,0
always,28,0,0,0,0,0
check,27,0,0,0,0,0
other,26,0,0,0,0,0
keep,26,0,0,0,0,0
turn,25,0,0,0,0,0
row,25,0,0,0,0,0
only,25,0,0,0,0,0
high,24,0,0,0,0,0
while,24,0,0,0,0,0
gun,24,0,0,0,0,0
really,24,0,0,0,0,0
tryin,23,0,0,0,0,0
motherfuckers,23,0,0,0,0,0
ride,23,0,0,0,1,0
another,23,0,0,0,0,0
even,23,0,0,0,0,0
big,22,0,0,0,0,0
old,22,0,0,0,0,0
hoe,22,0,1,0,0,0
c,22,0,0,0,0,0
ready,22,0,0,0,0,0
seem,21,0,0,0,0,0
talkin,21,0,0,0,0,0
more,21,0,0,0,0,0
somethin,21,0,0,0,0,0
pop,21,0,0,0,1,0
city,20,0,0,0,0,0
streets,20,0,0,0,0,0
hear,20,0,0,0,0,0
new,20,0,0,0,0,0
ha,20,0,0,0,0,0
matter,19,0,0,0,0,0
help,19,0,0,0,0,0
house,19,0,0,0,0,0
e,19,0,0,0,0,0
done,19,0,0,0,0,0
black,19,0,0,0,0,0
baby,19,0,1,0,0,0
doggy,19,0,0,0,0,0
play,18,0,0,0,0,0
bout,18,0,0,0,0,0
break,18,0,0,0,0,0
talk,18,0,0,0,0,0
gots,17,0,0,0,0,0
little,17,0,0,0,0,0
til,17,0,0,0,0,0
hood,17,0,0,0,1,0
much,17,0,0,0,0,0
bust,17,0,0,0,1,0
run,17,0,0,0,0,0
well,17,0,0,0,0,0
kill,17,0,0,0,0,0
crazy,17,0,0,0,0,0
home,17,0,0,0,0,0
gangsta,17,0,0,0,0,0
r,17,0,0,0,0,0
doin,17,0,0,0,0,0
daz,16,0,0,0,0,0
understand,16,0,0,0,0,0
stay,16,0,0,0,0,0
hell,16,0,0,0,0,0
makin,16,0,0,0,0,0
game,16,0,0,0,0,0
talking,16,0,0,0,0,0
eazy,16,0,0,0,0,0
gon,16,0,0,0,0,0
same,16,0,0,0,0,0
fo,15,0,0,0,0,0
hold,15,0,0,0,0,0
gettin,15,0,0,0,0,0
ohhh,15,0,0,0,0,0
long,15,0,0,0,0,0
name,15,0,0,0,0,0
lot,15,0,0,0,0,0
mouth,15,0,0,0,0,0
young,15,0,0,0,0,0
straight,15,0,0,0,0,0
street,15,0,0,0,0,0
next,15,0,0,0,0,0
kick,15,0,0,0,0,0
side,15,0,0,0,0,0
police,15,0,0,0,0,0
enough,14,0,0,0,0,0
drop,14,0,0,0,0,0
head,14,0,0,0,0,0
remember,14,0,0,0,0,0
dem,14,0,0,0,0,0
please,14,0,0,0,0,0
every,14,0,0,0,0,0
spot,14,0,0,0,0,0
watch,14,0,0,0,0,0
many,14,0,0,0,0,0
verse,14,0,0,0,0,0
die,14,0,0,0,0,0
homie,14,0,0,0,0,0
dope,14,0,0,1,0,0
doctor,14,0,0,0,0,0
girl,14,0,0,0,0,0
car,13,0,0,0,0,0
dead,13,0,0,0,0,0
live,13,0,0,0,0,0
shot,13,0,0,0,0,0
p,13,0,0,0,0,0
guess,13,0,0,0,0,0
sayin,13,0,0,0,0,0
somebody,13,0,0,0,0,0
wrong,13,0,0,0,0,0
ve,12,0,0,0,0,0
everybody,12,0,0,0,0,0
clip,12,0,0,0,1,0
started,12,0,0,0,0,0
nuts,12,0,0,0,0,0
full,12,0,0,0,0,0
chill,12,0,0,0,0,0
god,12,0,0,0,0,0
pass,12,0,0,0,0,0
livin,12,0,0,0,0,0
set,12,0,0,0,1,0
mean,12,0,0,0,0,0
trip,12,0,0,0,0,0
murderahhh,12,0,0,0,0,0
double,12,0,0,0,0,0
face,12,0,0,0,0,0
end,12,0,0,0,0,0
homies,12,0,0,0,0,0
show,12,0,0,0,0,0
didn,12,0,0,0,0,0
cuz,12,0,0,0,0,0
