word,frequency,money,women,drugs,crime,positive
t,1925,0,0,0,0,0
m,1307,0,0,0,0,0
s,1118,0,0,0,0,0
nigga,912,0,0,0,0,0
niggas,734,0,0,0,0,0
don,707,0,0,0,0,0
ain,653,0,0,0,0,0
shit,638,0,0,0,0,0
all,626,0,0,0,0,0
no,537,0,0,0,0,0
now,508,0,0,0,0,0
if,434,0,0,0,0,0
when,409,0,0,0,0,0
man,349,0,0,0,0,0
how,340,0,0,0,0,0
wanna,332,0,0,0,0,0
back,303,0,0,0,0,0
cause,302,0,0,0,0,0
fuck,299,0,0,0,0,0
never,290,0,0,0,0,0
right,282,0,0,0,0,0
as,257,0,0,0,0,0
let,255,0,0,0,0,0
not,251,0,0,0,0,0
ll,247,0,0,0,0,0
bitch,238,0,1,0,0,0
hit,234,0,0,0,0,0
some,210,0,0,0,0,0
em,191,0,0,0,0,0
look,189,0,0,0,0,0
real,182,0,0,0,0,1
then,180,0,0,0,0,0
still,168,0,0,0,0,0
where,167,0,0,0,0,0
here,167,0,0,0,0,0
god,163,0,0,0,0,0
gon,163,0,0,0,0,0
gotta,157,0,0,0,0,0
ya,156,0,0,0,0,0
bout,153,0,0,0,0,0
girl,151,0,0,0,0,0
even,150,0,0,0,0,0
baby,149,0,1,0,0,0
yea,149,0,0,0,0,0
good,148,0,0,0,0,0
money,147,0,0,0,0,0
put,145,0,0,0,0,0
too,143,0,0,0,0,0
more,142,0,0,0,0,0
cole,137,0,0,0,0,0
only,135,0,0,0,0,0
there,130,0,0,0,0,0
tryna,129,0,0,0,0,0
ass,127,0,0,0,0,0
keep,123,0,0,0,0,0
long,122,0,0,0,0,0
why,114,0,0,0,0,0
same,113,0,0,0,0,0
y,113,0,0,0,0,0
done,110,0,0,0,0,0
hard,109,0,0,0,0,0
better,108,0,0,0,0,0
than,107,0,0,0,0,0
won,105,0,0,0,0,0
yo,103,0,0,0,0,0
hoes,100,0,0,0,0,0
damn,98,0,0,0,0,0
hold,96,0,0,0,0,0
boy,96,0,0,1,0,0
count,96,0,0,0,0,0
re,95,0,0,0,0,0
bad,95,0,0,0,0,0
smoke,94,0,0,0,0,0
wait,93,0,0,0,0,0
big,91,0,0,0,0,0
city,90,0,0,0,0,0
game,90,0,0,0,0,0
though,89,0,0,0,0,0
little,89,0,0,0,0,0
while,88,0,0,0,0,0
bitches,88,0,0,0,0,0
pain,87,0,0,0,0,0
ever,85,0,0,0,0,0
well,84,0,0,0,0,0
lot,83,0,0,0,0,0
ve,83,0,0,0,0,0
much,83,0,0,0,0,0
ayy,83,0,0,0,0,0
d,82,0,0,0,0,0
home,81,0,0,0,0,0
free,79,0,0,0,0,0
last,78,0,0,0,0,0
really,78,0,0,0,0,0
high,77,0,0,0,0,0
show,77,0,0,0,0,0
new,77,0,0,0,0,0
always,76,0,0,0,0,0
blow,75,0,0,1,0,0
every,72,0,0,0,0,0
ah,72,0,0,0,0,0
mama,71,0,0,0,0,0
everything,70,0,0,0,0,0
play,69,0,0,0,0,0
name,69,0,0,0,0,0
watch,68,0,0,0,0,0
fuckin,67,0,0,0,0,0
die,67,0,0,0,0,0
young,67,0,0,0,0,0
dreams,66,0,0,0,0,0
something,65,0,0,0,0,0
stop,64,0,0,0,0,0
ay,63,0,0,0,0,0
mean,63,0,0,0,0,0
change,62,0,0,0,0,0
la,62,0,0,0,0,0
run,62,0,0,0,0,0
broke,62,0,0,0,0,0
top,62,0,0,0,0,0
believe,62,0,0,0,0,0
please,62,0,0,0,0,0
black,61,0,0,0,0,0
verse,61,0,0,0,0,0
times,61,0,0,0,0,0
myself,61,0,0,0,0,0
live,60,0,0,0,0,0
another,60,0,0,0,0,0
head,60,0,0,0,0,0
hell,60,0,0,0,0,0
goin,59,0,0,0,0,0
stay,58,0,0,0,0,0
whole,58,0,0,0,0,0
side,57,0,0,0,0,0
lord,57,0,0,0,0,0
fucked,56,0,0,0,0,0
ma,55,0,1,0,0,0
rich,54,0,0,0,0,0
turn,54,0,0,0,0,0
enough,54,0,0,0,0,0
ville,54,0,0,0,0,0
fly,53,0,0,0,0,0
our,53,0,0,0,0,0
roll,53,1,0,0,0,0
gettin,51,0,0,0,0,0
first,51,0,0,0,0,0
getting,51,0,0,0,0,0
j,51,0,0,0,0,0
old,51,0,0,0,0,0
phone,51,0,0,0,0,0
maybe,51,0,0,0,0,0
dope,50,0,0,1,0,0
best,50,0,0,0,0,0
other,50,0,0,0,0,0
thinking,49,0,0,0,0,0
trynna,49,0,0,0,0,0
kill,49,0,0,0,0,0
momma,48,0,0,0,0,0
wish,48,0,0,0,0,0
face,48,0,0,0,0,0
happy,48,0,0,0,0,0
check,48,0,0,0,0,0
hands,46,0,0,0,0,0
soul,46,0,0,0,0,0
sure,46,0,0,0,0,0
seem,46,0,0,0,0,0
ride,45,0,0,0,1,0
crown,45,0,0,0,0,0
deep,45,0,0,0,0,0
bag,45,1,0,0,0,0
listen,44,0,0,0,0,0
probably,44,0,0,0,0,0
homies,44,0,0,0,0,0
lights,44,0,0,0,0,0
sometimes,44,0,0,0,0,0
drop,43,0,0,0,0,0
gonna,43,0,0,0,0,0
rap,43,0,0,0,0,0
somethin,43,0,0,0,0,0
cry,42,0,0,0,0,0
true,42,0,0,0,0,0
drink,42,0,0,0,0,0
low,42,0,0,0,0,0
morning,42,0,0,0,0,0
knows,42,0,0,0,0,0
today,42,0,0,0,0,0
alright,41,0,0,0,0,0
sky,41,0,0,0,0,0
sit,41,0,0,0,0,0
crazy,41,0,0,0,0,0
lil,40,0,0,0,0,0
dog,40,0,0,0,0,0
days,40,0,0,0,0,0
bro,40,0,0,0,0,0
fake,40,0,0,0,0,0
years,39,0,0,0,0,0
again,39,0,0,0,0,0
white,39,0,0,0,0,0
away,39,0,0,0,0,0
nothing,39,0,0,0,0,0
far,38,0,0,0,0,0
matter,38,0,0,0,0,0
pussy,38,0,0,0,0,0
sleep,38,0,0,0,0,0
devil,38,0,0,0,0,0
pay,38,0,0,0,0,0
fast,38,0,0,0,0,0
hear,38,0,0,0,0,0
hate,38,0,0,0,0,0
rica,38,0,0,0,0,0
til,38,0,0,0,0,0
costa,38,0,0,0,0,0
own,38,0,0,0,0,0
shot,37,0,0,0,0,0
dick,37,0,0,0,0,0
thank,37,0,0,0,0,0
follow,37,0,0,0,0,0
understand,37,0,0,0,0,0
went,37,0,0,0,0,0
fans,37,0,0,0,0,0
wrong,36,0,0,0,0,0
nice,36,0,0,0,0,0
couple,36,0,0,0,0,0
heard,36,0,0,0,0,0
straight,36,0,0,0,0,0
help,36,0,0,0,0,0
sun,36,0,0,0,0,0
okay,35,0,0,0,0,0
slow,35,0,0,0,0,0
deal,35,0,0,0,0,0
catch,35,0,0,0,0,0
cold,35,0,0,0,0,0
next,35,0,0,0,0,0
ones,35,0,0,0,0,0
couldn,35,0,0,0,0,0
swear,35,0,0,0,0,0
fall,34,0,0,0,0,0
nothin,34,0,0,0,0,0
finna,34,0,0,0,0,0
line,34,0,0,0,0,0
pride,34,0,0,0,0,0
rain,34,0,0,0,0,0
word,34,0,0,0,0,0
fucking,34,0,0,0,0,0
remember,34,0,0,0,0,0
miss,34,0,1,0,0,0
set,34,0,0,0,1,0
many,34,0,0,0,0,0
kid,34,0,0,0,0,0
class,34,0,0,0,0,0
somebody,33,0,0,0,0,0
cost,33,0,0,0,0,0
since,33,0,0,0,0,0
words,33,0,0,0,0,0
guess,33,0,0,0,0,0
