word,frequency,money,women,drugs,crime,positive
s,5176,0,0,0,0,0
t,4366,0,0,0,0,0
m,4326,0,0,0,0,0
don,1808,0,0,0,0,0
all,1608,0,0,0,0,0
no,1501,0,0,0,0,0
cause,1460,0,0,0,0,0
re,1374,0,0,0,0,0
when,1297,0,0,0,0,0
shit,1219,0,0,0,0,0
back,1206,0,0,0,0,0
now,1204,0,0,0,0,0
if,1140,0,0,0,0,0
as,1083,0,0,0,0,0
fuck,1045,0,0,0,0,0
ll,1035,0,0,0,0,0
not,889,0,0,0,0,0
ain,858,0,0,0,0,0
there,776,0,0,0,0,0
man,771,0,0,0,0,0
how,750,0,0,0,0,0
em,728,0,0,0,0,0
never,724,0,0,0,0,0
bitch,647,0,1,0,0,0
let,630,0,0,0,0,0
then,629,0,0,0,0,0
why,596,0,0,0,0,0
here,543,0,0,0,0,0
fuckin,543,0,0,0,0,0
d,541,0,0,0,0,0
too,526,0,0,0,0,0
ve,509,0,0,0,0,0
little,497,0,0,0,0,0
some,485,0,0,0,0,0
even,479,0,0,0,0,0
ya,471,0,0,0,0,0
put,457,0,0,0,0,0
right,453,0,0,0,0,0
still,443,0,0,0,0,0
wanna,437,0,0,0,0,0
gonna,428,0,0,0,0,0
more,421,0,0,0,0,0
where,411,0,0,0,0,0
look,410,0,0,0,0,0
verse,409,0,0,0,0,0
ever,406,0,0,0,0,0
eminem,392,0,0,0,0,0
baby,382,0,1,0,0,0
ass,364,0,0,0,0,0
chorus,360,0,0,0,0,0
every,354,0,0,0,0,0
girl,347,0,0,0,0,0
again,342,0,0,0,0,0
fucking,335,0,0,0,0,0
better,322,0,0,0,0,0
shady,320,0,0,0,0,0
head,319,0,0,0,0,0
won,309,0,0,0,0,0
only,303,0,0,0,0,0
hit,296,0,0,0,0,0
guess,295,0,0,0,0,0
name,293,0,0,0,0,0
stop,291,0,0,0,0,0
same,289,0,0,0,0,0
dre,282,0,0,0,0,0
while,276,0,0,0,0,0
well,269,0,0,0,0,0
much,266,0,0,0,0,0
than,266,0,0,0,0,0
gotta,266,0,0,0,0,0
bad,263,0,0,0,0,0
rap,261,0,0,0,0,0
good,256,0,0,0,0,0
keep,255,0,0,0,0,0
maybe,253,0,0,0,0,0
run,246,0,0,0,0,0
god,244,0,0,0,0,0
til,241,0,0,0,0,0
beat,238,0,0,0,0,0
ma,237,0,1,0,0,0
boy,237,0,0,1,0,0
yo,229,0,0,0,0,0
really,228,0,0,0,0,0
face,224,0,0,0,0,0
damn,222,0,0,0,0,0
everybody,215,0,0,0,0,0
show,212,0,0,0,0,0
last,209,0,0,0,0,0
slim,206,0,0,0,0,0
first,205,0,0,0,0,0
hate,205,0,0,0,0,0
crazy,203,0,0,0,0,0
other,203,0,0,0,0,0
long,202,0,0,0,0,0
old,201,0,0,0,0,0
new,201,0,0,0,0,0
ah,194,0,0,0,0,0
bout,191,0,0,0,0,0
mom,191,0,0,0,0,0
mean,190,0,0,0,0,0
dick,190,0,0,0,0,0
hell,188,0,0,0,0,0
next,188,0,0,0,0,0
always,185,0,0,0,0,0
hear,184,0,0,0,0,0
till,184,0,0,0,0,0
our,180,0,0,0,0,0
huh,178,0,0,0,0,0
nothing,178,0,0,0,0,0
away,177,0,0,0,0,0
wait,176,0,0,0,0,0
high,175,0,0,0,0,0
any,175,0,0,0,0,0
something,174,0,0,0,0,0
probably,174,0,0,0,0,0
myself,173,0,0,0,0,0
enough,170,0,0,0,0,0
walk,169,0,0,0,0,0
fire,167,0,0,1,0,0
half,167,0,0,0,0,0
whole,167,0,0,0,0,0
superman,166,0,0,0,0,0
marshall,165,0,0,0,0,0
game,163,0,0,0,0,0
sick,160,0,0,0,0,0
cold,160,0,0,0,0,0
white,159,0,0,0,0,0
y,159,0,0,0,0,0
kill,159,0,0,0,0,0
please,159,0,0,0,0,0
dead,158,0,0,0,0,0
brain,158,0,0,0,0,0
done,157,0,0,0,0,0
home,156,0,0,0,0,0
didn,156,0,0,0,0,0
comes,156,0,0,0,0,0
die,155,0,0,0,0,0
though,155,0,0,0,0,0
end,153,0,0,0,0,0
turn,153,0,0,0,0,0
door,152,0,0,0,0,0
full,150,0,0,0,0,0
big,149,0,0,0,0,0
start,149,0,0,0,0,0
hook,149,0,0,0,0,0
looking,148,0,0,0,0,0
place,147,0,0,0,0,0
stand,146,0,0,0,0,0
spit,145,0,0,0,0,0
remember,145,0,0,0,0,0
many,144,0,0,0,0,0
haha,143,0,0,0,0,0
cuz,143,0,0,0,0,0
alone,142,0,0,0,0,0
smoke,142,0,0,0,0,0
each,141,0,0,0,0,0
nobody,140,0,0,0,0,0
went,140,0,0,0,0,0
tryna,139,0,0,0,0,0
almost,139,0,0,0,0,0
someone,139,0,0,0,0,0
dance,139,0,0,0,0,0
bitches,138,0,0,0,0,0
friend,138,0,0,0,0,0
another,137,0,0,0,0,0
play,137,0,0,0,0,0
cut,136,0,0,0,1,0
meant,136,0,0,0,0,0
best,135,0,0,0,0,0
pull,131,0,0,0,0,0
kids,131,0,0,0,0,0
side,130,0,0,0,0,0
dad,130,0,0,0,0,0
getting,130,0,0,0,0,0
cinderella,129,0,0,0,0,0
hold,129,0,0,0,0,0
break,129,0,0,0,0,0
own,129,0,0,0,0,0
sit,127,0,0,0,0,0
since,127,0,0,0,0,0
blow,127,0,0,1,0,0
word,126,0,0,0,0,0
words,125,0,0,0,0,0
sorry,124,0,0,0,0,0
fight,123,0,0,0,0,0
fall,122,0,0,0,0,0
evil,122,0,0,0,0,0
body,122,0,0,0,0,0
house,122,0,0,0,0,0
gon,121,0,0,0,0,0
black,119,0,0,0,0,0
wants,119,0,0,0,0,0
everything,118,0,0,0,0,0
once,117,0,0,0,0,0
together,117,0,0,0,0,0
hello,117,0,0,0,0,0
blood,117,0,0,0,0,0
hard,116,0,0,0,0,0
stay,116,0,0,0,0,0
sing,116,0,0,0,0,0
throw,115,0,0,0,0,0
act,115,0,0,0,0,0
soon,114,0,0,0,0,0
bed,114,0,0,0,0,0
wouldn,114,0,0,0,0,0
sayin,113,0,0,0,0,0
goin,112,0,0,0,0,0
drop,112,0,0,0,0,0
real,112,0,0,0,0,1
killed,111,0,0,0,0,0
wasn,110,0,0,0,0,0
yourself,110,0,0,0,0,0
mic,109,0,0,0,0,0
bit,109,0,0,0,0,0
floor,109,0,0,0,0,0
shut,109,0,0,0,0,0
yah,108,0,0,0,0,0
pain,107,0,0,0,0,0
mouth,107,0,0,0,0,0
fucked,107,0,0,0,0,0
grow,106,0,0,0,0,0
lose,106,0,0,0,0,0
mad,105,0,0,0,0,0
kid,105,0,0,0,0,0
eat,104,0,0,0,0,0
wonder,103,0,0,0,0,0
tired,103,0,0,0,0,0
stuck,103,0,0,0,0,0
yea,103,0,0,0,0,0
believe,102,0,0,0,0,0
drugs,102,0,0,0,0,0
shoes,102,0,0,0,0,0
money,102,0,0,0,0,0
else,102,0,0,0,0,0
lie,101,0,0,0,0,0
doing,100,0,0,0,0,0
ha,100,0,0,0,0,0
straight,100,0,0,0,0,0
hurt,100,0,0,0,0,0
days,100,0,0,0,0,0
room,99,0,0,0,0,0
dr,99,0,0,0,0,0
help,99,0,0,0,0,0
lost,98,0,0,0,0,0
shot,98,0,0,0,0,0
o,98,0,0,0,0,0
talk,97,0,0,0,0,0
lot,96,0,0,0,0,0
top,96,0,0,0,0,0
