word,frequency,money,women,drugs,crime,positive
t,2945,0,0,0,0,0
s,2701,0,0,0,0,0
m,2303,0,0,0,0,0
all,1362,0,0,0,0,0
nigga,1309,0,0,0,0,0
don,1202,0,0,0,0,0
now,991,0,0,0,0,0
dogg,955,0,0,0,0,0
snoop,947,0,0,0,0,0
when,884,0,0,0,0,0
ain,871,0,0,0,0,0
no,867,0,0,0,0,0
shit,866,0,0,0,0,0
back,734,0,0,0,0,0
niggas,679,0,0,0,0,0
let,655,0,0,0,0,0
if,650,0,0,0,0,0
ya,619,0,0,0,0,0
bitch,616,0,1,0,0,0
right,585,0,0,0,0,0
fuck,572,0,0,0,0,0
wanna,564,0,0,0,0,0
cause,540,0,0,0,0,0
game,529,0,0,0,0,0
em,513,0,0,0,0,0
some,482,0,0,0,0,0
big,464,0,0,0,0,0
baby,448,0,1,0,0,0
how,437,0,0,0,0,0
g,428,0,0,0,0,0
keep,419,0,0,0,0,0
real,407,0,0,0,0,1
man,388,0,0,0,0,0
never,368,0,0,0,0,0
put,367,0,0,0,0,0
ll,355,0,0,0,0,0
here,346,0,0,0,0,0
d,344,0,0,0,0,0
then,340,0,0,0,0,0
hit,337,0,0,0,0,0
yo,337,0,0,0,0,0
chorus,331,0,0,0,0,0
money,322,0,0,0,0,0
as,319,0,0,0,0,0
rock,307,0,0,1,0,0
too,307,0,0,0,0,0
where,305,0,0,0,0,0
o,304,0,0,0,0,0
re,295,0,0,0,0,0
there,288,0,0,0,0,0
girl,286,0,0,0,0,0
ass,283,0,0,0,0,0
still,278,0,0,0,0,0
gangsta,276,0,0,0,0,0
not,272,0,0,0,0,0
gotta,271,0,0,0,0,0
gon,269,0,0,0,0,0
y,256,0,0,0,0,0
good,248,0,0,0,0,0
bout,245,0,0,0,0,0
away,245,0,0,0,0,0
na,231,0,0,0,0,0
cuz,225,0,0,0,0,0
why,225,0,0,0,0,0
more,222,0,0,0,0,0
hoes,219,0,0,0,0,0
bitches,217,0,0,0,0,0
every,217,0,0,0,0,0
roll,216,1,0,0,0,0
free,215,0,0,0,0,0
look,211,0,0,0,0,0
thang,209,0,0,0,0,0
play,195,0,0,0,0,0
better,193,0,0,0,0,0
niggaz,192,0,0,0,0,0
side,191,0,0,0,0,0
ride,191,0,0,0,1,0
double,190,0,0,0,0,0
doggy,189,0,0,0,0,0
stay,187,0,0,0,0,0
little,186,0,0,0,0,0
verse,183,0,0,0,0,0
long,181,0,0,0,0,0
won,180,0,0,0,0,0
wit,178,0,0,0,0,0
new,177,0,0,0,0,0
smoke,176,0,0,0,0,0
stop,174,0,0,0,0,0
only,172,0,0,0,0,0
hood,171,0,0,0,1,0
nah,171,0,0,0,0,0
ooh,170,0,0,0,0,0
much,169,0,0,0,0,0
show,169,0,0,0,0,0
p,169,0,0,0,0,0
really,168,0,0,0,0,0
c,167,0,0,0,0,0
fuckin,164,0,0,0,0,0
bang,159,0,0,0,0,0
beat,158,0,0,0,0,0
hard,157,0,0,0,0,0
la,156,0,0,0,0,0
ma,155,0,1,0,0,0
gettin,155,0,0,0,0,0
high,154,0,0,0,0,0
weed,153,0,0,1,0,0
pop,150,0,0,0,1,0
everybody,150,0,0,0,0,0
while,148,0,0,0,0,0
bad,146,0,0,0,0,0
name,145,0,0,0,0,0
run,144,0,0,0,0,0
whole,143,0,0,0,0,0
gonna,143,0,0,0,0,0
even,142,0,0,0,0,0
god,142,0,0,0,0,0
motherfuckin,140,0,0,0,0,0
talk,139,0,0,0,0,0
always,136,0,0,0,0,0
head,136,0,0,0,0,0
turn,136,0,0,0,0,0
damn,136,0,0,0,0,0
top,135,0,0,0,0,0
yes,135,0,0,0,0,0
ve,135,0,0,0,0,0
party,134,0,0,0,0,0
homies,134,0,0,0,0,0
fly,134,0,0,0,0,0
slow,133,0,0,0,0,0
homie,133,0,0,0,0,0
da,129,0,0,0,0,0
low,128,0,0,0,0,0
again,128,0,0,0,0,0
pound,126,0,0,0,0,0
snoopy,124,0,0,0,0,0
n,124,0,0,0,0,0
blue,124,0,0,0,0,0
dick,124,0,0,0,0,0
home,124,0,0,0,0,0
crip,123,0,0,0,0,0
doin,123,0,0,0,0,0
boss,122,0,0,0,0,0
goin,122,0,0,0,0,0
til,122,0,0,0,0,0
boy,121,0,0,1,0,0
gang,120,0,0,0,1,0
ever,119,0,0,0,0,0
mouth,119,0,0,0,0,0
west,119,0,0,0,0,0
everything,118,0,0,0,0,0
same,117,0,0,0,0,0
pull,117,0,0,0,0,0
talkin,116,0,0,0,0,0
first,116,0,0,0,0,0
rollin,113,0,0,0,0,0
than,112,0,0,0,0,0
hot,112,0,0,0,0,0
another,111,0,0,0,0,0
hear,111,0,0,0,0,0
tonight,110,0,0,0,0,0
house,108,0,0,0,0,0
catch,107,0,0,0,0,0
walk,106,0,0,0,0,0
set,105,0,0,0,1,0
club,104,0,0,0,0,0
many,104,0,0,0,0,0
caught,103,0,0,0,0,0
motherfucker,103,0,0,0,0,0
dog,102,0,0,0,0,0
face,102,0,0,0,0,0
momma,102,0,0,0,0,0
hoe,101,0,1,0,0,0
cool,101,0,0,0,0,0
lil,101,0,0,0,0,0
huh,101,0,0,0,0,0
watch,99,0,0,0,0,0
lookin,99,0,0,0,0,0
best,99,0,0,0,0,0
lot,99,0,0,0,0,0
street,98,0,0,0,0,0
well,98,0,0,0,0,0
beach,97,0,0,0,0,0
tryin,97,0,0,0,0,0
check,96,0,0,0,0,0
streets,96,0,0,0,0,0
girls,96,0,0,0,0,0
move,95,0,0,0,0,0
other,95,0,0,0,0,0
city,94,0,0,0,0,0
break,93,0,0,0,0,0
platinum,92,0,0,0,0,0
done,92,0,0,0,0,0
east,91,0,0,0,0,0
f,90,0,0,0,0,0
coast,89,0,0,0,0,0
live,89,0,0,0,0,0
care,89,0,0,0,0,0
place,89,0,0,0,0,0
boom,88,0,0,0,0,0
daddy,88,0,0,0,0,0
sure,87,0,0,0,0,0
camera,86,0,0,0,0,0
full,85,0,0,0,0,0
cash,85,0,0,0,0,0
mean,84,0,0,0,0,0
none,83,0,0,0,0,0
shake,83,0,0,0,0,0
fool,82,0,0,0,0,0
black,82,0,0,0,0,0
bring,82,0,0,0,0,0
die,82,0,0,0,0,0
heat,82,0,0,0,1,0
looking,82,0,0,0,0,0
talking,81,0,0,0,0,0
straight,80,0,0,0,0,0
young,79,0,0,0,0,0
somebody,79,0,0,0,0,0
pussy,79,0,0,0,0,0
sunshine,79,0,0,0,0,0
blow,78,0,0,1,0,0
tryna,77,0,0,0,0,0
feelin,77,0,0,0,0,0
bust,77,0,0,0,1,0
shot,76,0,0,0,0,0
hold,76,0,0,0,0,0
drop,76,0,0,0,0,0
believe,75,0,0,0,0,0
trip,75,0,0,0,0,0
till,75,0,0,0,0,0
though,75,0,0,0,0,0
ghetto,75,0,0,0,0,0
funk,75,0,0,0,0,0
loc,74,0,0,0,0,0
please,74,0,0,0,0,0
pass,73,0,0,0,0,0
stand,73,0,0,0,0,0
our,73,0,0,0,0,0
gold,72,0,0,0,0,0
fo,72,0,0,0,0,0
player,72,0,0,0,0,0
throw,72,0,0,0,0,0
everywhere,72,0,0,0,0,0
lay,71,0,0,0,0,0
gun,71,0,0,0,0,0
nothing,71,0,0,0,0,0
floor,71,0,0,0,0,0
somethin,71,0,0,0,0,0
getting,70,0,0,0,0,0
happy,70,0,0,0,0,0
together,70,0,0,0,0,0
ballin,69,0,0,0,0,0
miss,69,0,1,0,0,0
hands,69,0,0,0,0,0
spot,69,0,0,0,0,0
crazy,68,0,0,0,0,0
yea,68,0,0,0,0,0
close,68,0,0,0,0,0
lemme,68,0,0,0,0,0
paper,68,1,0,0,0,0
motherfuckers,68,0,0,0,0,0
once,67,0,0,0,0,0
thats,67,0,0,0,0,0
b,67,0,0,0,0,0
shine,67,0,0,0,0,1
wet,66,0,0,0,0,0
step,66,0,0,0,0,0
haters,66,0,0,0,0,0
doing,66,0,0,0,0,0
something,66,0,0,0,0,0
last,65,0,0,0,0,0
cut,65,0,0,0,1,0
heard,65,0,0,0,0,0
block,65,0,0,0,1,0
comin,65,0,0,0,0,0
own,65,0,0,0,0,0
trees,65,0,0,0,0,0
kick,64,0,0,0,0,0
round,64,0,0,0,0,0
town,64,0,0,0,0,0
didn,64,0,0,0,0,0
feet,64,0,0,0,0,0
matter,63,0,0,0,0,0
cold,63,0,0,0,0,0
sky,63,0,0,0,0,0
days,62,0,0,0,0,0
rap,62,0,0,0,0,0
