word,frequency
you,139
i,137
the,133
to,96
a,83
and,74
it,72
me,62
my,59
i'm,52
they,50
that,49
is,36
up,35
of,34
on,33
like,33
yes,32
in,32
but,28
what,27
know,27
all,27
get,26
can't,25
we,23
"it,",23
who,23
big,22
back,22
got,22
niggas,22
fuck,21
she,20
"(huh),",19
your,18
just,18
are,17
out,17
it's,17
when,17
need,16
love,16
let's,16
"me,",16
that's,16
so,16
with,16
ain't,15
don't,15
go,14
no,14
right,13
as,13
these,13
off,13
"man,",13
from,13
at,13
might,13
"yeah,",13
for,13
this,13
cycle,12
not,12
yeah,12
sure,12
different,11
how,11
had,11
her,11
[verse,11
"ayy,",11
'cause,11
fuckin',11
one,11
makin',10
sean],10
really,10
"baby,",10
wanna,10
"you,",10
did,10
top,9
see,9
down,9
shit,9
(huh),9
do,9
cut,9
was,8
even,8
superstar,8
"though,",8
always,8
been,8
typecast,8
"nigga,",8
"back,",8
think,7
&,7
never,7
look,7
take,7
also,7
come,7
baby,7
"was,",7
about,7
through,7
have,7
"woah,",7
play,7
"bitch,",7
tell,7
too,7
know?,7
gon',7
real,7
"shit,",6
bitch,6
after,6
break,6
"b-i-g,",6
yo',6
"(ayy,",6
i'ma,6
run,6
can,6
lift,6
(swerve),6
nigga,6
ass,6
boy,5
than,5
crib,5
charlie,5
up),5
'bout,5
"said,",5
"straight,",5
he,5
want,5
past,5
gotta,5
make,5
time,5
some,5
used,5
hate,5
then,5
sean,5
them,5
takin',5
"aye,",5
ayy,5
straight,5
turn,5
his,5
"(oh,",5
ayy),5
talkin',5
give,4
boys,4
number,4
"down,",4
new,4
where,4
(what?),4
hill,4
"off,",4
girl,4
be,4
work,4
more,4
whole,4
every,4
put,4
city,4
tried,4
"""no,""",4
if,4
"yes""",4
y'all,4
finna,4
son,4
"motherfucker,",4
still,4
bitches,4
"""no,",4
god),4
[chorus],4
hit,4
"role,",4
"up,",4
is),4
gets,4
(it,4
talk,4
doin',4
[chorus:,4
way,4
by,4
sayin'?,3
why,3
lil',3
biz,3
what's,3
"personal,",3
an,3
only,3
14,3
sensitive,3
being,3
(gets),3
flight,3
2],3
"check,",3
life,3
dollar,3
diss,3
"stroke,",3
"on,",3
cold,3
man,3
thing,3
should,3
(bitch),3
"out,",3
livin',3
catch,3
black,3
red,3
1],3
miss,3
front,3
happy,3
"ho,",3
quit,3
rap,3
gunna],3
could,3
wilson],3
while,3
"oh,",3
"mean,",3
business,3
hold,3
(come,3
ever,3
iconic,3
call,3
stupid,3
star,3
went,3
or,3
style,3
stop,3
hoes,3
lyrics[intro:,3
around,3
met,2
death,2
light,2
fell,2
harass,2
"year,",2
like[chorus:,2
realest,2
over,2
"sean,",2
fam,2
dyin',2
wilson,2
die,2
both],2
(run,2
wake,2
day,2
watch,2
hell,2
phone,2
face,2
wasn't,2
five-star,2
ask,2
here,2
lot,2
(yes),2
thrivin',2
young,2
sell,2
goin',2
year,2
sayin',2
[intro],2
try,2
now,2
alone,2
ball,2
turbo),2
stack,2
"ooh-ooh,",2
mean?,2
(fuck,2
bro,2
2:,2
board,2
soul,2
'em,2
head,2
yeah),2
couldn't,2
first,2
comin',2
"(tss),",2
instead,2
wonder,2
[outro],2
money,2
tearin',2
you—,2
flick,2
those,2
"ooh,",2
mood,2
far,2
movin',2
woah),2
"(woah,",2
woah,2
their,2
"dog,",2
figure,2
heard?,2
quick,2
pros,2
"know,",2
haven't,2
uh,2
code,2
half,2
"look,",2
nobody,2
1:,2
"okay,",2
control,2
audience,2
[outro:,2
said,2
trauma,2
peons,2
under,2
progress,2
cameras,2
enough,2
rich,2
basement,2
[bridge:,2
grown,2
(ayy),2
vacation,2
inspiration,2
long,2
blow,2
"basics,",2
well,2
done,2
mode,2
row,2
drop,2
track,2
lyrics[intro],2
broke,2
racks,2
sometimes,2
like[chorus],2
what?,2
best,2
clap,2
callin',2
hope,2
child,2
middle,2
mess,2
bought,2
type,2
nine,2
stylist,2
rock,2
months,2
logo,2
"boy,",2
[pre-chorus:,2
it),2
(like,2
ironic,2
"way,",2
built,2
leave,2
own,2
basics,2
gunna,2
soon,1
"drive,",1
somebody,1
bat,1
jumpin',1
pep,1
sex,1
match,1
rally,1
"girl,",1
"house,",1
sold,1
"poppin',",1
platform,1
shows,1
"chick,",1
need's,1
kid,1
"champ,",1
showin',1
tail,1
telfar,1
three-peat,1
wave,1
(for,1
droppin',1
real),1
"dime,",1
cheapskates,1
"manager,",1
cameraman,1
stickin',1
"course,",1
mirror,1
eta,1
motherfucker,1
dickin',1
dick,1
"yeah""",1
deluxe,1
"again,",1
gta,1
liftin',1
pickin',1
deserve,1
"truck,",1
payment,1
tesla,1
handle,1
eth,1
fumbling,1
gala,1
answering,1
made,1
anywhere,1
happen,1
mmm-mm,1
the-dream],1
throat,1
tongue,1
[verse],1
stroke,1
(throw,1
ds,1
left,1
her),1
breast,1
skeet,1
"her,",1
commercial,1
people,1
"be,",1
"hustlers,",1
shooting,1
i],1
lyrics[part,1
contributorsyes,1
39,1
yoursembed,1
"yours,",1
chorus],1
"""daddy,",1
[outro,1
world,1
buy,1
i'd,1
"gear,",1
sweet,1
"limelight,",1
proud,1
"superstar,",1
teachin',1
wan',1
reminisce,1
flow,1
slackin',1
steer,1
personal,1
cutthroat,1
necks,1
feelings?,1
"bitches,",1
fingers,1
hatin',1
"villain,",1
either,1
kill,1
aye,1
"pieces,",1
"scorpio,",1
kirk,1
ways,1
creflo,1
"blessed,",1
"pimps,",1
players,1
don,1
shirt,1
"fire,",1
dadas,1
[part,1
ii],1
"spooky,",1
pussy,1
bring,1
surf,1
"waters,",1
"job,",1
20,1
pga,1
than—,1
hoe,1
(god),1
took,1
(top),1
worried,1
fast,1
"page,",1
backlash,1
backstabbed,1
laughed,1
last,1
laugh,1
numbers,1
plottin',1
hashtags,1
fat,1
staff,1
"alone,",1
having,1
flashbacks,1
"like,",1
sacrificed,1
wanted,1
"bad,",1
(gunwunna),1
independent,1
"piece,",1
"capeesh,",1
"'pone,",1
mobbin,1
"breed,",1
"degree,",1
trying,1
flip,1
"bmo,",1
capital,1
pno,1
west,1
side,1
d,1
tone,1
"caprice,",1
print,1
cds,1
plant,1
"seeds,",1
roll,1
our,1
"sleeves,",1
"understand,",1
came,1
"concrete,",1
beach,1
"breeze,",1
(straight,1
(young,1
wunna),1
next,1
mic,1
"ice,",1
(know,1
me),1
saint,1
laurent,1
"lens,",1
"bright,",1
dim,1
(pull,1
nobody),1
body,1
"benz,",1
"twin,",1
critics,1
critics),1
youn,1
"kin,",1
"type,",1
gimmicks,1
"gimmicks,",1
ah),1
pretty,1
kitty,1
(biz),1
"is,",1
twinkle,1
(it's,1
fan,1
linkin',1
ceiling,1
million,1
(go,1
million),1
jump,1
"p,",1
detroit,1
playin',1
pistons,1
(playin',1
piston),1
"wait,",1
"scat,",1
payin',1
attention,1
"work,",1
word,1
fearless?,1
"hype,",1
"ones,",1
competition,1
children,1
children),1
"fuck,",1
"wife,",1
wholе,1
signin',1
"hеre,",1
"buttons,",1
thousand,1
prayin',1
sleepin'?,1
him,1
holy,1
matrimony,1
cake,1
game,1
probably,1
gave,1
[bridge],1
3],1
would,1
rather,1
"soul,",1
piss,1
mount,1
rushmore,1
scale,1
blue,1
strips,1
"strip,",1
elvis,1
"talk,",1
goat,1
twenty,1
pushin',1
therapist,1
decode,1
cliché,1
"suite,",1
"general,",1
awol,1
(awol),1
jersey,1
ball?,1
"""what",1
"on?""",1
"""a",1
"rocket,",1
"off""",1
(take,1
off),1
fly,1
"pj,",1
security,1
"world,",1
craig,1
goofy-ass,1
highs,1
name,1
mouth,1
stuck,1
"code,",1
motherfuckin',1
brought,1
stupid?,1
tellin',1
marry,1
contributorsit,1
"iv,",1
let,1
knock,1
(mhmm),1
yep,1
(woah),1
turbo,1
"go,",1
"simple,",1
easy,1
figured,1
"hatin',",1
disease,1
goddess,1
hopped,1
pool,1
dryin',1
chef,1
"product,",1
shelf,1
"ya,",1
flyin',1
"'bout,",1
"""no""2embed",1
lay,1
nowhere,1
sellin',1
