word,frequency
the,845
i,826
you,619
a,426
i'm,412
to,360
and,347
like,289
your,261
me,248
in,242
my,222
it,210
that,203
on,193
do,180
"boom,",172
is,164
nicki,157
this,157
"rah,",152
for,146
just,135
got,131
"somebody,",128
how,123
with,109
so,108
'em,105
up,104
but,103
they,101
minaj],98
dungeon,96
of,96
girls,95
it's,93
some,93
am,90
he,90
ain't,88
when,85
get,83
all,81
dragon,80
love,80
these,78
look,78
"blazin',",76
if,75
"yeah,",74
we,74
"you,",72
'cause,71
blazin',71
was,68
could,68
[verse,67
she,66
off,63
you?,62
ready,60
know,60
be,59
fly,57
what,57
"badoom,",56
i'ma,56
[chorus:,54
fuck,54
me?,53
see,52
"it,",51
might,51
back,50
"love,",50
bitches,49
feels,48
shitted,48
"mun-mun-muny,",48
holdin',48
bass,47
her,47
givin',46
at,46
"bitch,",46
"best,",46
now,46
feel,45
out,45
as,44
don't,44
put,44
&,44
best,43
time,40
"dominoes,",40
(get,40
can,40
[chorus],40
tell,39
fall,39
bad,38
won't,38
go,38
then,38
save,38
"up,",38
ya,37
good,37
did,37
hear,36
right,36
shit?,36
"material,",36
(remix),35
shoot,35
"yo,",35
"me,",35
life,35
make,34
you're,34
why,34
last,34
bitch,33
that's,33
came,32
"fly,",32
"some,",32
them,32
him,32
still,31
never,31
take,31
have,30
only,30
"high,",30
one,30
through,30
(yeah),30
"yes,",29
who,28
"girls,",28
"life,",28
every,28
where,28
need,28
(demo),27
can't,27
come,27
minaj,27
doing,26
here,26
fuckin',26
yeah,26
like?,26
'em),26
no,25
also,25
not,25
think,24
"time,",24
(with,24
mun-mun-muny,24
(you,24
yen,24
super,24
pesos,24
gon',24
little,24
"alive,",24
"oh,",22
"baby,",22
d-d-dominoes,22
top,22
comin',22
away,22
keep,21
call,21
(dj,20
"no,",20
1:,20
couple,20
let,20
shoot),20
catch,20
yo),20
(feat.,20
2:,20
lost,20
even,20
"moment,",20
air,20
myself,20
"know,",19
say,19
stop,19
"okay,",19
hood$tars),19
hand,19
oh,19
money,19
big,19
always,19
chance,19
down,19
"man,",18
that),18
wave,18
play,18
told,18
said,18
game,18
long,18
mind,18
friday:,18
(leaked,18
"(bass,",18
enough,18
(do,18
“pink,18
dominoes,18
"win,",18
w/,18
i'll,18
gotta,18
gettin',17
from,17
alive,17
please,17
wish,16
moment,16
"'em,",16
material,16
1],16
start,16
"yah,",16
yo,16
"dragon,",16
(ah),16
"off,",16
number,16
twos,16
niggas,16
2],16
give,16
lil',16
at?,16
throw,15
been,15
more,15
will,15
blow,14
everything,14
"anyway,",14
'bout,14
couldn't,14
at),14
kill,14
(girls,14
"(yo,",14
swear,14
find,14
world,14
took,14
run,14
whiteowl),13
"back,",13
old,13
"money,",13
[bridge],13
white,12
hope,12
god,12
(ready,12
an,12
(oh),12
(i'm,12
"boy,",12
[bridge:,12
say?,12
natasha,12
body,12
"sick,",12
ma-ma-material,12
boom,12
bass),12
badoom,12
"roman,",12
fire,12
had,12
stick,12
"da,",12
"manning,",12
"ba-da,",12
"hey,",12
show,12
shady,12
waitin',12
wanna,12
must've,12
survive,12
"(ba,",12
shit,12
fight,12
mad,12
motherfuckin',12
doh),12
runnin',11
baby,11
way,11
two,11
"say,",10
broke,10
days,10
"this,",10
"uh,",10
end,10
new,10
hard,10
lookin',10
that?,10
stars,10
ask,10
mean,10
"minaj,",10
bums,10
"eh,",10
heartbeat,10
nigga,10
"motherfucker,",10
needed,10
really,10
uh,10
before,10
name,10
"nicki,",10
candy,10
yeah),10
talk,10
they'll,10
gun,10
want,10
boy,10
become,10
hit,9
us,9
maybe,9
like[verse,9
thing,9
"tapes”,",9
made,9
girl,8
gone,8
bust,8
[outro],8
blonde,8
illest,8
dry,8
"joke,",8
(ooh),8
"prosper,",8
"am,",8
young,8
win,8
live,8
left,8
"top,",8
"ready,",8
(the,8
rihanna],8
"conquer,",8
thrive,8
rise,8
keeping,8
tryna,8
against,8
everybody,8
tapes”),8
believe,8
very,8
crazy,8
miss,8
wayne),8
lil,8
de-mar),8
would,8
score?,8
"waitin',",8
life's,8
"day,",8
"london,",8
"canada,",8
usa,8
startin',8
kick,8
camera,8
tough,8
eminem],8
frame,8
finished,8
set,8
"pain,",8
twice,8
"face,",8
bunch,8
on?,8
callin',8
eli,8
"mad,",8
what's,8
roar,8
"woman,",8
ashamed,8
day,8
(angel,8
"walks,",8
danny,8
shade,8
safaree],8
bass?,8
his,8
bedingfield],8
"my,",8
"mean,",8
or,8
stay,8
pull,8
"shoot,",8
"woah,",8
"chin,",8
anthem,8
"anthem,",8
silly,8
"in-ear,",8
sexy,8
"aw,",8
gonna,8
hey,8
[post-chorus:,8
schofield],8
drum,7
yah,7
bought,7
anybody,7
oh),7
like[chorus:,7
real,7
are,7
store,7
next,7
"(uh,",7
"(oh,",7
"ho,",7
hot,6
"word,",6
eh),6
3:,6
which,6
that'll,6
deep,6
"(eh,",6
bumped,6
same,6
flying,6
brooklyn,6
target,6
"ah,",6
piss,6
"i,",6
"muny,",6
(young,6
buy,6
(lil,6
night,6
"real,",6
shout,6
pop,6
y'all,6
mun-mun-mun-mun-muny,6
"mun-mun-mun-mun-muny,",6
caseloads,6
"cars,",6
lyrics[verse,6
black,6
fu-fu-fuck,6
"rock,",6
beat,6
"movie,",6
into,6
drop,6
"mind,",6
"both,",6
high,6
dumb,6
face,6
legs,6
ass,6
bow,6
class,6
too,6
better,6
break,6
waiting,6
"crazy,",6
hell,6
barbie,6
guy,6
(bass),6
chance),6
grab,6
blazin'),6
(feels,6
type,6
(i,6
gave,6
soul,6
hundred,6
nappy-headed,6
hoes,6
beatin',6
"now,",6
dean],6
somebody,6
head,6
ester,6
f,6
[pre-chorus:,6
try,6
[outro:,6
done,6
ayo),6
going,6
safaree,6
let's,6
"a,",6
cape,6
"away,",6
yes,6
am),6
la,6
"see,",6
tried,6
[pre-chorus],6
"look,",6
party,6
means,6
touch,6
because,6
lonely,6
eyes,6
"one,",6
kinda,6
you'll,6
there,6
upon,6
ho,6
believed,6
mack,6
talkin',6
fake,6
wanting,6
front,6
short,6
"(girls,",6
star,6
toddler,6
hang,6
wayne,6
boys,6
"ayo,",6
man,6
die,6
"loving,",6
mix),6
other,6
girls),6
"shorty,",6
"once,",6
bruce,6
willis,6
ah,6
who's,6
"damn,",6
(ru,6
"spark,",6
spunk,6
m-m-more,6
freestyle),6
something,6
flow,6
small,6
[demo],6
whole,5
freestyle,5
cap,5
pink,5
"on,",5
bring,5
called,5
2012),5
thinkin',5
lyrics[chorus:,5
"well,",5
lot,5
