word,frequency
-,358
i,260
a,199
(feat.,194
the,179
i'm,141
in,140
on,134
21,132
savage,108
and,98
you,97
my,94
savage),94
it,92
nigga,80
to,79
mad,63
that,62
these,61
&,60
feel,59
niggas,55
with,55
your,52
like,45
up,45
bad,44
ain't,44
got,42
be,41
her,41
can,40
no,39
me,37
(21),36
bitch,34
real,34
all,34
young,31
of,31
mode,30
out,29
"me,",29
fuck,28
lot,27
how,26
i'ma,25
they,25
glock,24
"guy,",24
guy,23
so,23
don't,23
"nigga,",23
shit,23
she,23
just,21
hoes,21
high,20
get,20
we,20
"bitch,",18
gang,18
"fly,",18
pull,18
why,18
lord,17
[chorus],17
"air,",17
"savage,",16
keep,16
[verse,16
but,16
air,16
might,16
this,15
still,15
9,15
forgive,15
"high,",15
now,15
was,15
know,15
down,14
"hoes,",14
for,14
jewelry,14
can't,14
fuckin',13
put,13
had,13
want,13
hit,13
also,12
nudy),12
damn,11
2],11
"pew,",11
them,11
drive,11
bowl,11
some,11
shoot,11
go,11
new,11
racks,11
"(21,",11
pussy,11
21),10
offset),10
"(21),",10
heart,10
(woah),10
baby,9
fly,9
at,9
codeine,9
off,9
playin',9
if,9
love,9
ocean,9
gon',9
1],9
without,8
gucci,8
hard,8
let,8
"21,",8
poppin',8
travis,8
not,8
bitches,8
street,8
first,8
came,8
'cause,8
dip,8
lyrics[intro],8
bought,7
gotta,7
one,7
back,7
face,7
his,7
it's,7
diamonds,7
slaughter,7
narcotics,7
top,7
"face,",7
(skrrt),7
he,7
around,7
dirty,7
every,7
red,7
say,7
fork,6
take,6
yeah,6
million,6
grew,6
hard?,6
"money,",6
really,6
leave,6
man,6
yea,6
"(woah),",6
house,6
scrapin',6
streets,6
sipping,6
"(savage),",6
lil,6
da,6
boy,6
lowest,6
watch,6
20,6
grand,6
another,6
pocket,6
drop,6
ten,6
went,6
night,6
main,6
from,6
'bout,6
bout,5
rats,5
check,5
front,5
him,5
murder,5
turn,5
shots,5
skrrt,5
play,5
advance,5
chains,5
(yeah),5
n,5
(i,5
do,5
rover,5
savage],5
'til,5
need,5
have,5
'em,5
rollie,5
pussy-niggas,5
money,5
"skrrt,",5
walk,5
actin',5
start,5
like[chorus],5
metro,5
"you,",5
ooh,5
by,5
walker),4
ass,4
gettin',4
beat,4
summer,4
quit,4
turned,4
freaky,4
lil',4
crack,4
show,4
[remix],4
dope,4
louis,4
friends,4
v,4
bag,4
ask,4
like[verse,4
long,4
"shit,",4
way,4
case,4
been,4
woah,4
when,4
pistol,4
"(2,080,624)",4
business,4
(savage),4
(pew),4
made,4
scrape,4
partments,4
die,4
who,4
into,4
savage's,4
tryna,4
nothin',4
rapping,4
lean,4
opp,4
remix],4
brand,4
told,4
knife,4
thug,4
scott),4
momma,4
2,4
mane),4
"offset,",4
"wes,",4
sheck,4
enzo,4
ball,4
thug),4
motherfucker,4
"niggas,",4
done,4
wish,4
snitches,4
sit,4
seen,4
panties,4
ya,4
offset,4
cardi,4
skrrt),4
"(skrrt,",4
yo,4
(roof),4
(woo),4
highest,4
give,4
hundred,4
(bitch),4
talkin',4
k,4
garage?,3
snatchin',3
cards?,3
mouth,3
dick,3
soft,3
"lick,",3
'k,3
.30,3
round,3
hang,3
more,3
cash,3
sneak,3
"(pew,",3
"grade,",3
waist,3
strapped,3
sold,3
blew,3
twelve-car,3
"streets,",3
deal,3
even,3
cappin',3
illegal,3
trappin',3
pullin',3
over,3
'round,3
30k,3
sofa,3
rappers',3
found,3
come,3
(bling,3
rap,3
lotto,3
(f'real),3
"(woo),",3
day,3
"lord,",3
catch,3
i'll,3
said,3
cause,3
"road,",3
tango,3
blow,3
left,3
porsche,3
that's,3
blowing,3
yorkie,3
"trapping,",3
hockey,3
dancin',3
