word,frequency
-,418
i,313
the,213
you,209
my,170
i'm,132
me,120
post,116
and,116
a,115
to,110
on,99
&,90
it,90
(feat.,84
in,78
that,68
malone-,60
"ooh,",59
all,57
don't,54
what,50
got,50
but,47
know,46
it's,46
with,46
feat.,43
just,43
of,42
malone,42
as,42
let,42
like,40
up,40
was,38
[chorus],37
your,36
do,31
so,30
when,30
no,29
[verse,29
better,29
now,28
that's,27
for,27
not,27
can't,26
down,26
never,26
might,25
see,25
is,24
we,24
tell,24
also,24
go,24
run,23
if,23
this,23
be,21
love,21
liveget,19
life,19
wanna,19
tickets,19
2],19
low,19
$45you,19
(with,19
flex,19
out,19
young,19
want,19
are,19
1],19
take,19
ain't,18
watch,18
shit,18
gave,18
she,17
say,17
keep,17
"away,",16
yeah,16
more,16
you're,16
'cause,16
fall,16
woulda,16
"(hah-hah,",15
top,14
around,14
"go,",14
white,14
off,14
time,13
apart,13
cold,13
21,13
lil,13
at,13
they,13
how,13
ball,12
save,12
own,12
only,12
too,12
thought,12
hah-hah),12
have,12
price,12
new,11
cool,11
"down,",11
same,11
last,11
"oh,",11
some,11
damn,11
"baby,",11
everything,11
these,11
away,11
fuck,11
(yeah),10
iverson,10
through,10
gold,10
we're,10
circles,10
"shot,",10
b,10
"now,",10
even,10
"up,",10
stone,10
teeth,10
(-5),10
think,10
"me,",10
need,10
ooh-ooh,9
"around,",9
"bitch,",9
one,9
smokin',9
"ballin',",9
show,9
"swaggin',",9
money,9
make,9
"out,",9
everybody,9
"man,",9
lyrics[intro],9
swae,9
lot,9
ed,9
back,9
sheeran,9
man,9
break,9
said,9
meant,9
been,9
[outro],9
call,9
(-3),9
night,8
way,8
fuckin',8
though,8
rich,8
oh,8
"it,",8
good,8
cardi,8
candy,8
"no,",8
check,8
can,8
get,8
like[chorus],8
"malone,",8
from,8
paint,8
[bridge],8
little,8
"anything,",8
bad,8
left,8
people,8
told,8
count,8
neck,8
malone),8
friends,7
jack,7
travis,7
i'll,7
hundred,7
"door,",7
'em,7
kick,7
doors,7
drop,7
ty,7
change,7
put,7
2,7
i've,7
than,7
strong,7
enough,7
chemical,7
went,7
born,7
every,7
[pre-chorus],7
try,7
"stoney,",7
couldn't,7
lambo,7
drake,7
x,7
sober,6
sun,6
lamar,6
squad,6
"""wow""",6
dolla,6
swear,6
gonna,6
somethin',6
"sayin',",6
mind,6
could,6
yours,6
lyrics[verse,6
"yeah,",6
lonely,6
wow,6
marshmello,6
running,6
why,6
pour,6
goodbyes,6
drink,6
thug),6
hunnid,6
core,6
hard,6
oo-op,6
thousand,6
g,6
still,6
"saucin',",6
"jumper,",6
"whip,",6
half,6
tiësto,6
busy,6
about,6
table,6
ozuna,6
dollars,6
before,6
xxxtentacion,6
thot,6
our,6
plottin',6
(-1),6
anything,6
"swat,",6
lipa,5
2.,5
into,5
3.,5
her,5
i'd,5
world,5
walk,5
dababy,5
tommy,5
dua,5
gotta,5
am,5
harlow),5
kid,5
4.,5
scott,5
grow,5
pretty,5
tryna,5
lyrics1.,5
"ooh-ooh,",5
turn,5
come,5
there,5
who,5
talk,5
5.,5
stand,5
live,5
didn't,5
kendrick,5
okay,5
right,5
smile,5
will,5
day,5
khalid,5
had,5
an,5
happy,5
came,5
$ign),5
11.,5
chan,5
jackie,5
by,5
maybe,5
19.,5
9.,5
10.,5
"know,",5
then,5
dababy),5
feel,5
always,5
cut,5
congratulations,5
7.,5
sorry,5
12.,5
psycho,5
13.,5
14.,5
18.,5
caught,5
outside,5
someone,5
15.,5
nicki,5
16.,5
17.,5
rockstar,5
8.,5
tree,5
likeembed,5
6.,5
hit,5
21.,5
22.,5
he,5
were,5
yo,5
boy,5
bands,5
lee,5
1,5
like[pre-chorus],5
20.,5
chris,4
friday,4
french,4
spoil,4
knew,4
god,4
montana-,4
there's,4
writing,4
minaj),4
girl,4
selena,4
dj,4
started,4
lyrics[chorus],4
sadyou,4
prolly,4
gone,4
lee),4
rules,4
dzeko-,4
(and,4
"say,",4
days,4
"said,",4
premo,4
outta,4
big,4
friеnds,4
lee-,4
essentials,4
seasons,4
spider-verse),4
(spider-man:,4
flame,4
sunflower,4
saweetie-,4
tap,4
cabello,4
bottles,4
do?,4
camila,4
[remix],4
"bottles,",4
army,4
jhn,4
saint,4
wall,4
"pocket,",4
yaweh-,4
contributorspost,4
moment,4
5,4
savage),4
savage-,4
goin',4
saint-tropez,4
looking,4
malonе-,4
talkin',4
tyla,4
things,4
quavo),4
wow),4
or,4
enemies,4
y'all,4
scott),4
osbourne,4
high,4
ozzy,4
after,4
tried,4
rvssian),4
waitin',4
myself,4
saucin',4
baby,4
(-7),4
buy,4
guess,4
fucked,4
doja,4
stay,4
used,4
listen,4
over,4
twenty,4
know-it-all,4
hear,4
cigarettes,4
pain,4
spend,4
something,4
yourself,4
overdrive,4
killin',4
burn,4
made,4
laugh,4
"uh,",4
hate,4
house,4
thumb,4
proud,4
them,4
(new),4
should,4
ah-ah-ah,4
their,4
tea,4
long,4
imagine,3
ghost,3
guard,3
free,3
probably,3
seems,3
surprised,3
nothin',3
jewelry,3
"sorry,",3
"shorty,",3
feelin',3
me),3
"buzz,",3
"(wow,",3
again,3
form,3
mourning,3
bought,3
answers,3
wake,3
u,3
perfect,3
mae,3
(-2),3
home,3
olivia,3
nas,3
burnin',3
stoplight,3
poem,3
threw,3
nothing's,3
broken,3
(woo),3
fine,3
you'll,3
light,3
weeknd),3
"(yeah,",3
cat,3
wrote,3
heart,3
bottle,3
entertain,3
us,3
another,3
look,3
like[verse,3
"rollin',",3
texas,3
blow,3
sweet?,3
"goes,",3
would,3
summer,3
oh-oh,3
bitch,3
"party,",3
bandit,3
justin,3
plug,3
pop,3
derulo,3
la,3
jason,3
gomez,3
snake,3
woman,3
lemon,3
bruno,3
weeknd,3
really,3
guy,3
ice,3
gon',3
where,3
"sky,",3
"""god,",3
"warning""",3
"ah-ah,",3
help,3
foreign,3
tears,3
rollin',3
lotta,3
fit,3
"g-wagen,",3
26,3
feeling,3
blame,3
j,3
balvin,3
"again,",3
waiting,3
peace,3
dare,3
"on,",3
feed,3
act,3
nice,3
"off,",3
ride,3
"inside,",3
sam,3
music,3
"spendin',",3
"hey,",3
(oh-ooh),3
somebody,3
"ha,",3
find,3
dance,3
cup,3
choke,3
wish,3
did,3
leave,3
ayy),3
"i,",3
song),3
polo,3
miss,3
"ha-ha-ha,",3
face,3
(waitin',3
ring,3
learned,3
"here,",3
[post-chorus],3
"mornin',",3
day),3
happier,3
seen,3
okay),3
(tell,3
double,3
ot,3
"please,",3
oh-ooh,3
ah,3
lyin',3
against,3
pay,3
dead,3
joy,3
side,3
spendin',3
comin',3
war,3
throw,2
picture,2
goes,2
dude,2
"hey-ah,",2
michael,2
"yourself,",2
forget,2
brothers,2
natti,2
"damn,",2
better),2
open,2
hot,2
(oh-ooh-ooh),2
smith,2
natasha,2
"friends,",2
shawn,2
second,2
kill,2
"us,",2
friend,2
misery,2
"na,",2
hey-ah,2
(just,2
"boy,",2
"pop,",2
yours),2
reputation,2
deny,2
"superstar,",2
"you,",2
"(ayy,",2
jonas,2
becky,2
(entertain,2
matter,2
blood,2
us),2
(swish),2
"apple,",2
"watch,",2
yes,2
migos,2
hour,2
heart's,2
rotten,2
film,2
(goddamn),2
him,2
boss,2
julia,2
eilish,2
"luck,",2
billie,2
tony,2
they're,2
de,2
danza,2
(tony,2
tangerine,2
3,2
quavo,2
rottin',2
"sour,",2
given,2
sample,2
piso,2
manuel,2
turizo,2
believe,2
slow,2
"check,",2
die,2
lasts,2
sia,2
king,2
"sweet,",2
tomorrow,2
danza),2
anna,2
chop,2
be?,2
taki,2
"forever,",2
less,2
"homie,",2
meet,2
coding,2
muller,2
(-4),2
wolf,2
ever,2
remi,2
rodrigo,2
måneskin,2
a$ap,2
na,2
angels,2
end,2
maggie,2
car,2
disco,2
(yup),2
seven-nation,2
(a,2
black,2
xcx,2
charli,2
brooke,2
fightin',2
(skrrt),2
snow,2
bar,2
alone,2
coldplay,2
vory,2
"emotion,",2
ft.,2
coi,2
eli,2
sub,2
urban,2
moore,2
jones,2
flip,2
dream,2
bloom,2
jax,2
shining,2
ant,2
drugs,2
easy,2
oliver,2
lost,2
moneybagg,2
tattoos,2
kane,2
clinton,2
(+1),2
waves,2
john,2
lisa,2
times,2
(wow),2
(hey),2
ayy,2
yeah),2
much,2
nights,2
glass,2
that'll,2
going,2
nowhere,2
(the,2
ooh,2
echoes,2
"sex,",2
each,2
"heat,",2
missing,2
switching,2
"flex,",2
machine,2
lyricspost,2
leray),2
contributorsnew,2
knowin',2
carry,2
"broken,",2
now?,2
here's,2
hopin',2
pull,2
ones,2
shoot,2
it’s,2
(chemical),2
"ayy,",2
noah,2
chasin',2
"ah-ah-ah,",2
grandmama,2
bts,2
give,2
(on,2
else,2
won't,2
burna,2
everyone's,2
bleed,2
paper,2
summertime,2
roll,2
deep,2
