word,frequency
the,505
a,287
you,286
i,274
and,238
to,178
it,150
in,141
i'm,111
got,100
with,98
on,94
like,92
my,90
me,87
that,84
for,83
of,77
is,72
but,71
ya,64
don't,61
get,58
cause,53
this,52
up,52
it's,51
he,50
now,49
make,48
we,47
so,46
your,46
fuck,46
down,44
one,44
ice,43
from,43
out,42
ain't,41
no,41
can,41
be,40
see,40
as,39
just,37
know,36
when,36
they,34
what,33
over,33
was,33
who,33
his,30
have,28
do,28
if,27
all,26
believe,26
that's,26
hit,25
are,25
not,25
here,24
nation,24
at,24
[verse,23
wanna,23
then,22
shit,22
ass,22
cube],21
how,21
him,21
he's,21
you're,20
'cause,20
why,20
can't,20
little,19
put,19
g,19
where,19
nigga,18
cube,18
god,17
say,17
more,17
bop,17
still,17
ruff,17
had,17
gonna,17
nothin',16
stop,16
every,16
time,16
go,16
under,16
or,16
right,15
black,15
funk,15
gotta,15
"here,",15
george,15
look,15
us,15
gun,15
"you,",14
about,14
will,14
move,14
something,14
might,14
low,14
enemy,14
come,13
me?,13
also,13
did,13
groove,13
'em,13
shot,13
white,12
y'all,12
tickets,12
never,12
we're,12
gon',12
let,12
$80you,12
liveget,12
bitch,12
some,11
said,11
"see,",11
back,11
niggas,11
gettin',11
westside,11
(and,11
think,11
off,11
these,11
really,11
wit',11
kill,11
i'll,11
cos,11
man,11
motherfuckin',11
"fool,",11
won't,10
clinton],10
white],10
them,10
than,10
only,10
hold,10
even,10
you?),10
day,10
round,10
ha,10
keep,9
cort',9
everything,9
&,9
want,9
ready,9
an,9
through,9
take,9
good,9
give,9
play,9
hear,9
[mr.,9
whatever,9
bust,9
battle,8
a.,8
after,8
start,8
"da-di-da,",8
wait,8
"yeah,",8
left,8
buck,8
done,8
"enemies,",8
her,8
two,8
di-dit-dit-dit-di-dit,8
"me,",8
party,8
"said,",8
ghetto,8
tell,7
call,7
by,7
2],7
there's,7
feet,7
devil,7
last,7
talkin',7
"[naw,",7
straight,7
same,7
knew,7
he'll,7
better,7
"cube,",7
boy,7
yo,7
there,7
been,7
gettin,7
comin',7
too,7
new,7
let's,7
3],7
"uhh,",7
1],7
[make,7
"damn,",7
couldn't,7
baby,7
chance,7
ring,6
oh,6
love,6
could,6
"g,",6
bird,6
"uh,",6
"nah,",6
light,6
lil',6
best,6
[ice,6
smooth,6
rap,6
there!,6
"there!""",6
(now,6
four,6
big,6
smooth.],6
"""party",6
well,6
bitches,6
street,6
makes,6
butt,6
told,6
yeah,6
heard,6
do?,6
wish,6
please,6
gee,6
eat,6
hard,6
[nurse],5
beat,5
crazy,5
catch,5
dead,5
watch,5
which,5
red,5
made,5
heaven,5
before,5
west,5
another,5
head,5
match,5
damn,5
try,5
old,5
[chorus:,5
[outro],5
til,5
wasn't,5
time),5
long,5
took,5
leave,5
i'd,5
lemme,5
rather,5
house,5
speak,5
own,5
smooth!],5
quick,5
3:,5
everybody,5
funkin',5
body,5
thought,5
ward],5
heh,5
givin',5
didn't,5
turn,5
1:,5
you?,5
fool,5
act,5
lookin',5
fail,5
three,5
"bitch,",5
jack,5
each,5
dance,5
2:,5
first,5
cave,4
thing,4
care,4
dusk,4
here's,4
k-dee,4
work,4
"enemy,",4
"up,",4
enough,4
second,4
stay,4
fuckin',4
"killer,",4
ward,4
dawn,4
brother,4
around,4
getting,4
tadow,4
[chorus],4
slick,4
clinton,4
"""white",4
-,4
top,4
hoes,4
[i,4
break,4
lyrics[intro:,4
doe,4
pointer,4
yo',4
"chest""",4
hittin',4
"down,",4
like[verse,4
check,4
probably,4
real,4
front,4
kick,4
(wassup?),4
(court),4
used,4
any,4
side,4
"run,",4
standin',4
reachin',4
"it,",4
takin',4
hood,4
scared,4
window,4
pen,4
run,4
motherfucker,4
[bridge:,4
going,4
ruff!,4
stuck,4
creep,4
need,4
ever,4
since,4
[round,4
"now,",4
lick,4
nothin,4
half,4
years,4
kind,4
switch,4
"not,",4
huh?,4
jumped),4
third,4
way,4
blast,4
men,4
tryin',4
mean,4
"gun,",4
ho,4
i'mma,4
gets,4
set,4
number,4
much,4
(yeah),4
sure,4
cap,4
verse,4
next,4
rollin',4
called,4
she,3
outta,3
smack,3
keys,3
ytg,3
"k-dee,",3
self,3
help,3
wanted,3
nobody,3
broke,3
appreciate,3
hot,3
car,3
fans,3
"heh,",3
knowledge,3
always,3
hands,3
full,3
hurt,3
mad,3
music,3
rub,3
"know,",3
group,3
great,3
duck,3
money,3
would,3
i'ma,3
feel,3
'bout,3
runnin,3
"man,",3
true,3
fire,3
name,3
"boy,",3
till,3
"the,",3
"better,",3
seen,3
church,3
once,3
again,3
[pre-chorus:,3
tried,3
blah,3
talk,3
hate,3
police,3
draw,3
word,3
constriction,3
six,3
"off,",3
shit;,3
washed,3
"shit,",3
atari,3
face,3
dog,3
pro,3
flip,3
itchin',3
buss,3
cuz,3
looked,3
fo',3
sun,3
lead,3
death,3
high,3
dick,3
bitch!,3
crew,3
fight,3
night,3
nose,3
sent,3
soul,3
cross,3
laws,3
"out,",3
nuts,3
punch,3
dude's,3
[naw,3
"mind,",3
[refrain],3
should've,3
make-,3
coupe,3
(one,3
nation),3
core,3
cor',3
goin',3
lyrics[intro],3
"like,",3
hardcore,3
ground,3
"rough,",3
nah,3
team,3
follow,3
ask,3
already,3
...,3
trick,3
"goddamn,",3
past,3
blackout,3
sometimes,3
friend,3
whites,3
together,3
i've,3
ta,3
dub,3
gots,3
(can,3
"bars,",3
she's,3
door,3
room,3
phone,3
judgement,3
grand,3
sisters,3
hang,3
king,3
"ya,",3
heavy,3
rick],3
hittin,3
lyrics[verse,3
smooth],3
slow,3
grip,3
water,3
girls,3
what?,3
('bout,3
comin,3
south,3
cortez],3
pigs,3
right?,3
roof,3
motherfuck,3
[hook],3
though,3
"behind,",2
"murder,",2
"her,",2
pussy,2
smooth!!],2
cut,2
it-,2
"throat,",2
brought,2
(krome),2
camp,2
chrome,2
triggers,2
somethin,2
drove,2
spread,2
[a.,2
swing,2
worth,2
harder,2
bought,2
learn,2
shotti,2
goin,2
[and,2
drink,2
dump,2
supposed,2
that],2
guns,2
"ruff,",2
sweat,2
workin',2
stretch,2
'til,2
played,2
flesh,2
mothafuckin,2
flex,2
cool,2
school,2
homies,2
guy,2
walkin',2
joe,2
mother,2
sweet,2
"say,",2
22's,2
mouth,2
plate,2
deputy,2
"a,",2
promise,2
saw,2
our,2
"(yep),",2
(that's,2
whole,2
watts,2
funk?,2
cops,2
for),2
chased,2
(givin',2
ha!,2
green,2
now!,2
coming,2
"aw,",2
"fence,",2
named,2
