word,frequency
you,72
je,68
de,61
le,60
i,51
me,44
que,40
a,37
like,36
un,36
la,35
the,34
?,34
on,32
à,31
tu,25
comme,24
in,24
to,22
pas,22
les,22
that,21
qui,21
pour,21
et,21
drake],20
c'est,19
quoi,19
dans,19
shot,18
it,18
i'm,18
know,18
and,18
him,16
don't,16
elle,16
des,15
my,15
est,15
en,14
we,14
for,14
te,13
avec,13
sur,13
got,13
une,13
battre,12
"you,",12
daylight,12
he,12
she,12
"my,",12
si,12
lean,11
(21),11
va,11
what?,11
aussi,11
ce,11
but,11
your,11
wanna,10
niggas,10
mes,10
moi,10
prier,10
"ayy,",9
suis,9
what,9
lourd,9
not,9
mon,9
deux,9
j'ai,8
can,8
mais,8
get,8
quand,8
faire,8
peux,8
cette,8
be,8
ces,7
ton,7
more,7
sont,7
doigts,7
up,7
tous,7
"ouais,",7
than,7
:,7
(tss),6
toi,6
how,6
some,6
"him,",6
ils,6
ain't,6
vraiment,6
all,6
they,6
of,6
with,6
négros,6
go,6
péter,6
vous,6
unique,6
son,6
vois,6
"yeah,",6
into,6
il,6
plus,6
ça,6
fait,6
juste,6
parce,6
man,6
teezo,5
touchdown],5
j'suis,5
make,5
at,5
g.o.a.t.,5
"girl,",5
had,5
it's,5
(sur,5
dieu),5
you're,5
être,5
standin',5
merde,5
"négro,",5
j'étais,5
do,5
j'appelle,5
"in,",5
fais,5
même,5
fuck,5
(ouais),4
se,4
bidiness,4
body,4
veux,4
look,4
take,4
ayy,4
'fore,4
is,4
ne,4
jamais,4
qu'ils,4
avait,4
"mec,",4
prie,4
sa,4
tout,4
sais,4
qu'elle,4
plaire,4
ouais,4
besoin,4
traiter,4
était,4
toujours,4
meuf,4
seigneur),4
es,4
[refrain:,4
"(merci,",4
[intro:,4
[couplet,4
bet,4
if,4
no,4
yeah,4
[chorus:,4
nigga,4
keep,4
put,4
treated,4
coulda,4
would,4
[verse,4
that's,4
just,3
better,3
talkin',3
'bout,3
where,3
dit,3
back,3
'cause,3
her,3
veut,3
qu'il,3
n'y,3
then,3
tell,3
point,3
merci,3
m'a,3
mettre,3
super,3
négro,3
commencent,3
"better,",3
sièges,3
ai,3
père,3
elles,3
2:,3
bought,3
"bébé,",3
ou,3
cole,3
talk,3
when,3
drake,3
say,3
jusqu'à,3
bowl,3
was,3
let's,3
ma,3
mec,3
comment,3
plomb,3
makin',3
du,3
"pussy,",3
so,3
1:,3
need,3
mother,3
"corps,",3
proud,3
might,3
leur,3
ooh,3
can't,3
"me,",3
our,3
gosse,2
ont,2
j.,2
[introduction,2
m'envoient,2
ans,2
pouvais,2
climbin',2
