word,frequency
i,424
the,218
my,187
"yeah,",184
i'm,176
a,174
don't,147
you,139
she,132
yeah,131
like,125
that,121
it,110
got,101
(yeah),99
on,90
in,88
to,83
"wock',",82
and,80
"bitch,",78
get,76
me,75
do,72
this,70
they,69
all,64
with,60
of,49
"me,",49
up,48
ain't,48
but,48
(woah),47
fuck,47
real,44
is,42
think,42
was,41
now,41
tryna,39
know,39
an,37
lil,37
your,36
please,36
right,36
just,36
time,34
so,33
if,33
yeah),33
uzi,33
out,32
go,32
big,32
for,31
them,31
be,29
really,28
bitch,28
these,27
shit,27
"(yeah,",27
bitches,27
give,26
"high,",25
'cause,24
[chorus],23
it's,23
no,23
her,23
"rick,",23
"huh,",22
nigga,22
he,22
say,21
you're,21
hit,21
(huh?),21
"baby,",21
"like,",21
might,20
what,19
pull,19
flex,19
(bitch),19
some,18
how,18
niggas,18
not,18
[verse,18
also,18
we,17
woah),16
gon',16
new,16
feel,16
"(woo,",16
lil',16
at,16
back,15
"up,",15
lifted,15
check,15
even,15
that's,15
need,15
look,15
keep,14
then,14
cash,14
go),14
"aura,",14
off,14
wanna,13
been,13
crow,13
it),13
woo),13
"rush,",13
"shit,",13
show,13
wock',13
sip,13
life,13
told,12
huh?,12
his,12
"perkycet,",12
never,12
still,12
i'ma,12
most,12
hoes,12
call,12
"ten,",11
smokin',11
"uzi,",11
stank,11
money,11
aura,11
fuckin',11
"woo,",11
from,11
when,11
(skrrt),10
(lil,10
ride,10
rush,10
way,10
gave,10
swear,10
can,10
let's,10
1],10
vert,10
(let's,10
[outro],10
stop,10
(i'm,10
put,10
who,10
2],10
"uh,",9
ghost,9
"that,",9
high,9
ready,9
'em,9
"swag,",9
like[chorus],9
make,9
huh,9
head,9
gettin',9
love,9
"(woah,",8
can't,8
vert],8
pop,8
"gas,",8
could,8
face,8
car,8
(stop,8
uzi),8
diamond,8
gonna,8
"hoes,",8
"it,",8
outside,8
"ready,",8
skrrt,8
"good,",8
(please,8
every,8
lyrics[intro],8
"nuh-uh-uh,",8
nuh-uh-uh,8
"vert,",8
good,7
tell,7
[verse],7
"money,",7
said,7
want,7
thought,7
lost,7
one,7
main,7
always,7
take,7
ho,7
than,7
extra,6
"bop,",6
"oh,",6
baby,6
dead,6
bro,6
knots,6
down,6
pocket,6
"lifted,",6
woo,6
"go,",6
what?,6
i'll,6
'bout,6
girl,6
mama,6
came,6
eat,6
"shawty,",6
wet,6
hold,6
neck,6
"watch,",6
(the,6
'tek,6
water,6
much,6
bad,6
"thot,",6
"want,",6
"perky,",6
diamonds,6
(what?,6
"10,",6
geeked,5
"face,",5
hate,5
thirty,5
stick,5
space,5
ever,5
five,5
thots,5
"you,",5
count,5
more,5
move,5
lyrics[chorus],5
option,5
since,5
wear,5
see,5
top,5
"fuck,",5
anything,5
dip,5
less,5
"bands,",5
(suicide,5
doors),5
ah),5
what's,5
motherfuckin',5
percocets,5
suck,5
heard,5
"new,",5
deep,5
matter,5
"dick,",5
sloppy,4
''it's,4
option'',4
"whips,",4
gotta,4
dog,4
boys,4
break,4
guap?,4
pussy,4
copy,4
have,4
burst,4
rims,4
fucked,4
me),4
"dome,",4
"her,",4
"""nuh-uh-uh""",4
come,4
only,4
brakes,4
race?,4
"coupe,",4
tank,4
"brinks,",4
sink,4
"lake,",4
great,4
"hard,",4
"say,",4
unlimited,4
"house,",4
wraith,4
matted,4
flooded,4
let,4
"move,",4
wasn't,4
four,4
bang,4
perkycet,4
about,4
two,4
millions,4
comb,4
hand,4
talk,4
"off,",4
higher,4
mean,4
did,4
"ride,",4
uh,4
'63?,4
bands,4
enemy,4
fire,4
cop,4
too,4
ben,4
thousand,4
"hi,",4
are,4
doing?,4
ruined,4
hundred,4
funny,4
takin',4
other,4
woah,4
"contract,",4
read,4
mines,4
guy,4
(yes),4
nos,4
smallest,4
redeye,4
cough,4
red,4
eyes,4
live,4
"white,",4
cheese,4
like[verse,4
(cop,4
patek,4
made,4
had,4
lyft,4
"nowadays,",4
bed,3
goin'),3
blow,3
super,3
domey,3
"pants,",3
reloadin',3
"band,",3
rollie,3
she's,3
"wait,",3
before,3
"pussy,",3
"mama,",3
wake,3
jump,3
there,3
"pockets,",3
stromboli,3
"now,",3
&,3
chips,3
lyrics[intro:,3
brain,3
[refrain],3
reload,3
yves,3
sound,3
racks,3
doly,3
soakin',3
"jacket,",3
"in,",3
lookin',3
ocean,3
dip),3
baltimore,3
"""you",3
"diamonds,",3
fall,3
change,3
sure,3
(no,3
whip,3
rich,3
dick,3
"alright,",3
stayed,3
turn,3
(that,3
turnt,3
"do,",3
song,3
my—,3
here,3
"three,",3
play,3
lip,3
shocked,3
why,3
"phone,",3
face),3
(i,3
(on,3
"drugs,",3
saint,3
"niggas,",3
hella,3
"nigga,",3
day,3
"this,",3
phone,3
nothin',3
rick,3
"to,",3
splash),3
smoke,3
(woo),3
where,3
stand,3
"quit,",3
us,3
truck,3
saw,3
perky,3
sex,3
(oh),3
foreign,3
maybach,3
front,3
case,3
runnin',3
cummin',3
"out,",3
(patek),3
patek),3
"'tek,",3
"wrist,",3
y'all,3
strong,3
"said,",3
long,3
would,3
old,3
syrup,3
ten,3
swag,3
three,3
"blastin',",3
comin',3
yet,3
vector,3
"breakfast,",3
[post-chorus],3
straight,3
"(oh,",3
wet?,3
treat,3
shout,3
"splashin',",3
'til,3
sector,3
shooter,3
'round,3
"bitches,",3
"two,",3
drive,3
kit,3
pressure,3
applyin',3
"least,",3
lease,3
mitsubishi,3
broad,3
oh,2
(thick-ass,2
"lit,",2
"tennyson,",2
"zip,",2
"brûlée,",2
richie,2
bet,2
"fem,",2
king,2
mink,2
"him,",2
"tip,",2
"hey,",2
youngest,2
"crème,",2
(damn),2
"see,",2
prettier,2
"(ten,",2
"fried,",2
id,2
rockin',2
ten),2
"16,",2
pin?,2
60,2
[outro:,2
"""uzi",2
blunt,2
gustavo,2
this?,2
respect,2
we're,2
laurent,2
"zoom,",2
some-some,2
stay,2
[interlude],2
"necklace,",2
"cry,",2
glock,2
send,2
him,2
bags,2
huh?),2
for?,2
restless,2
"bestest,",2
doin',2
(dang),2
exit,2
missin',2
givin',2
pour,2
deflection,2
protection,2
mine,2
"shooter,",2
should've,2
guap,2
digit,2
(phew),2
50,2
bae,2
(to,2
exist,2
clip,2
"slide,",2
"rockstar,",2
closed,2
"pic',",2
broke,2
shows,2
gang,2
bros,2
"sing,",2
likin',2
flows,2
"studio,",2
am,2
same,2
"thing,",2
clothes,2
lame,2
twenty,2
"thousand,",2
angles,2
caught,2
"smashin',",2
lamb',2
lecture,2
"glock,",2
angle,2
lays,2
played,2
waves,2
cut,2
braces,2
wrist,2
through,2
"woah,",2
6.6,2
"wa-da-da-dang,",2
potion,2
"uppy,",2
"six,",2
name,2
use,2
white,2
walk,2
"friends,",2
haters,2
deposit?,2
(huh),2
'vert,2
hater,2
em,2
spot,2
knit,2
anywhere,2
"guap,",2
p's,2
"fleas,",2
veeze,2
worst,2
"cheese,",2
ease,2
tell?,2
"2016,",2
countin',2
wa-da-da-da-dang,2
listen,2
9,2
millimeter,2
38,2
feels,2
goin',2
k,2
late,2
safe,2
lit,2
nowadays,2
"trap,",2
"(yeah),",2
ice,2
"know,",2
"internet,",2
someone's,2
went,2
