word,frequency
i,460
you,371
the,258
a,229
like,175
my,175
me,174
je,154
that,137
and,137
i'm,128
on,124
cardi,123
it,122
up,116
to,108
"bag,",106
in,102
she,102
don't,93
your,87
bitch,83
all,83
money,82
they,78
with,77
get,72
know,71
got,62
it's,59
bitches,55
que,55
said,53
"me,",53
for,53
suis,51
this,50
now,47
some,47
be,46
"bad,",46
shit,44
is,42
pussy,41
at,41
of,40
fuck,39
but,38
what,38
just,38
these,37
b],37
tu,37
[verse,36
gon',34
de,34
"up,",33
"bitch,",33
out,33
so,32
dat,32
pas,32
see,32
la,31
no,31
b,31
ain't,31
make,30
ce,30
sur,30
le,30
un,30
them,30
une,29
fais,29
when,29
pull,28
if,28
back,28
"guap,",28
yeah,28
bad,27
give,27
"sonner,",27
wanna,27
look,27
from,26
&,26
her,26
can,26
"ass,",25
life,25
[chorus:,25
mon,25
was,25
tell,24
"rollin',",24
ne,23
nigga,23
killin',23
gucci,23
never,23
that's,23
lookin',23
rollin',22
uh,22
best,22
ass,22
how,22
say,21
put,21
(i,21
took,21
he,21
bag,21
'bout,21
do,20
hit,20
en,19
not,19
gotta,19
et,19
les,19
"alright,",18
(woo),18
"man,",18
love,18
"(ruisselante,",18
yuh,18
go,18
arrivée,18
why,18
ils,17
arrivé,17
'cause,17
through,17
ruisselant,17
ruisselante),17
ruisselante,17
[chorus],16
"upset,",16
offset,16
(yeah),16
hoes,16
"gang,",16
nothin',16
(21),16
ruisselant),15
lick,15
went,15
better,15
"(ruisselant,",15
check,15
à,15
told,15
livin',15
only,14
pour,14
want,14
had,14
"yeah,",14
avec,14
fuckin',14
caught,14
need,14
brain,13
diamants,13
"poignet,",13
te,13
run,13
think,13
c'est,13
"know,",13
who,13
down,13
skrrt),13
night,13
"oh,",13
el,13
oh,13
vais,13
pop,13
been,13
feel,13
we,13
"now,",12
body,12
"fais,",12
where,12
last,12
"woo,",12
woo),12
phone,12
can't,12
ruissellent,12
might,12
come,12
top,12
(money,12
his,11
have,11
[refrain:,11
offset],11
"j'aime,",11
then,11
1:,11
diamonds,11
niggas,11
ça,11
ya,11
"(woo,",11
2:,11
whole,11
talkin',11
woo,11
bentley,11
over,11
[intro],10
show,10
time,10
hope,10
(cardi),10
careful,10
savage],10
right,10
let,10
i'ma,10
'em,10
"nigga,",10
21,10
si,10
(diamants),10
des,10
leave,10
comin',10
"rich,",10
did,10
j'ai,10
[couplet,9
ces,9
him,9
comme,9
"y'all,",9
sonner,9
"money,",9
bloody,9
es,9
moi,9
mec,9
"look,",9
dans,9
"ayy,",9
truck,9
louis,9
crazy,9
drop,9
chicken,9
made,9
chance,9
times,9
chienne,9
even,9
as,9
2],8
bread,8
blow,8
girl,8
new,8
"skrrt,",8
[intro:,8
"""skrrt""",8
will,8
worth,8
"like,",8
1],8
what?),8
"cartier,",8
while,8
"shit,",8
konshens],8
tryna,8
into,8
one,8
keep,8
every,8
or,8
pullin',8
call,7
mes,7
didn't,7
long,7
whip,7
knew,7
"uh,",7
alone,7
maintenant,7
molly,7
too,7
faire,7
[pre-chorus:,7
commas,7
shinin',7
gettin',7
about,7
"please,",7
heal,7
"down,",7
almost,7
what's,7
swear,7
talk,7
quick,7
rapper],7
sleepin',7
y'all,7
3:,7
y,7
quand,7
est,7
parce,7
sont,7
laisse,7
really,7
moves,7
(cash),7
care,6
came,6
[post-chorus:,6
peux,6
ali,6
veux,6
"boss,",6
we're,6
god,6
real,6
tout,6
ouais,6
"baby,",6
demande,6
beg,6
"(boy,",6
used,6
friends,6
whatever),6
offer,6
bardi,6
va,6
hill,6
it),6
j'aime,6
'til,6
mad,6
"you,",6
salope,6
watch,6
tamposi,6
play,6
ma,6
same,6
that;,6
take,6
cut,6
"boy,",6
"élégante,",6
beat,6
type,6
bag),6
(ayy),6
yeah),6
man,6
nuh,6
ai,6
ton,6
heard,6
myself,6
around,6
knock,6
nine,6
kehlani],6
[hook],6
(hey),6
yg],6
good,6
"mad,",5
still,5
"pussy,",5
dem,5
end,5
heart,5
here,5
walk,5
prada,5
i've,5
after,5
lit,5
hot,5
birkin,5
couple,5
other,5
mama,5
"mec,",5
front,5
"said,",5
goin',5
21),5
alright,5
face,5
ayy),5
ten,5
fucked,5
win,5
kill,5
lane,5
red,5
well,5
cash,5
"ho,",5
gave,5
mecs,5
como,5
"it,",5
"chain,",5
flex,5
catch,5
move,5
done,5
little,5
cartier,5
laurent,5
saint,5
buy,5
(say,5
met,5
"(ayy,",5
dance,5
party,5
countin',5
"(skrrt,",5
di,5
(like,5
fly,5
paid,5
people,4
josh,4
"(skrt-skrrt,",4
[pre-chorus],4
'rari,4
dollars,4
much,4
(my,4
there's,4
ask,4
dick,4
?,4
fait,4
work,4
believe,4
mothafuckin',4
damn,4
cocky,4
ever,4
fasses,4
se,4
garder,4
"plus,",4
dressed,4
m'appelle,4
wine,4
things,4
(wuh),4
au,4
ferrari,4
that),4
las,4
ready,4
least,4
patek,4
since,4
always,4
way,4
actin',4
an,4
beyoncé,4
hey,4
