word,frequency
i,918
the,636
my,378
it,363
you,312
a,306
and,284
to,275
that,270
me,254
this,215
i'm,215
with,210
like,203
they,200
know,198
in,196
is,168
but,167
been,144
on,139
just,133
get,133
for,122
"know,",122
never,121
up,120
of,112
when,111
now,107
we,100
be,99
"yeah,",98
"it,",97
do,96
so,94
what,88
shit,88
all,87
don't,85
got,85
way,83
not,82
before,79
feel,74
fuck,73
at,72
back,68
your,66
was,65
i've,64
fuckin',64
"uh,",64
if,62
"na,",60
where,59
that's,57
everything,57
"(yeah,)",56
out,54
gotta,52
wanna,51
tell,51
it's,51
yeah,51
mind,49
love,48
'cause,47
"now,",46
how,45
life,45
[verse,44
no,43
even,41
man,41
as,40
she,40
give,40
take,39
by,39
why,38
ain't,38
he,38
down,38
from,38
enough,37
about,37
might,37
"i,",36
can't,36
wonder,35
really,35
right,35
homies,34
"man,",34
who,34
i’m,34
bitch,34
hit,33
i'ma,33
around,32
fame,32
make,32
go,32
let,32
you're,32
"me,",32
these,31
'em,31
need,31
"even,",30
can,30
see,29
have,29
"up,",28
livin',28
only,27
day,27
come,27
could,27
though,26
are,26
ho,26
'bout,26
think,26
"gone,",26
[chorus],26
also,25
would,25
alive),24
every,24
want,24
god,24
living,24
cause,24
time,23
call,23
better,23
uh,23
people,23
one,23
"long,",23
(bounce),22
"down,",22
we've,22
high,22
girl,22
tryna,22
look,22
"fame,",22
"fuck,",22
"you,",22
will,21
had,21
here,21
run,21
gone,21
long,21
slave,20
drivin',20
motherfuckers,20
still,20
"nah-nah,",20
there,20
put,19
baby,19
maybe,19
say,19
(yeah),19
money,18
then,18
2],18
don’t,18
keep,18
that’s,18
1],18
alive,18
night,18
her,18
bitches,17
off,17
new,17
break,17
thalia],17
oh,17
ya,17
good,17
everybody,17
"shit,",17
"(alive,",16
me),16
through,16
"vibe,",16
wish,16
them,16
made,16
miss,16
feelin',16
some,16
different,16
did,16
[outro:,15
kill,15
daisy,15
him,15
little,15
his,15
what's,15
"god,",15
stop,15
away,15
"uh-uh,",14
roll,14
hard,14
top,14
hope,14
more,14
under,14
smoke,14
yo',14
without,14
feeling,14
"crazy,",14
"around,",14
an,14
thing,14
left,14
(i,14
buried,14
done,13
crazy,13
"mind,",13
another,13
live,13
fucking,13
finally,13
ever,13
"chill,",13
seem,12
"no,",12
green,12
"smoke,",12
na,12
pressure,12
swear,12
"enough,",12
world,12
"drive,",12
nah,12
damn,12
gon',12
"talk,",12
"drink,",12
has,12
end,12
album,12
"nikki,",12
"the,",12
hate,12
mean,12
going,12
nikki,12
work,11
cut,11
type,11
other,11
always,11
callin',10
logic,10
"son,",10
3],10
fear,10
mama,10
lyrics[verse,10
askin',10
ah-da-da,10
'til,10
first,10
slow,10
"goddamn,",10
next,10
thinking,10
music,10
i'll,10
"damn,",10
deal,10
best,10
years,10
"(yeah,",10
inside,10
"not,",10
us,10
"go,",10
die,10
liquor,9
homie,9
big,9
ride,9
family,9
feels,9
into,9
hella,9
while,9
over,9
own,9
"day,",9
again,9
hold,9
talking,9
yeah),9
went,9
"much,",8
dead,8
a—from,8
a—dog,8
"money,",8
buy,8
doing,8
already,8
dog,8
bout,8
turn,8
forever,8
nobody,8
"king,",8
seen,8
such,8
two,8
"hard,",8
should,8
road,8
didn't,8
same,8
"again,",8
unseen,8
bottles,8
(pop,8
(ridin',8
alone,8
(yeah-yeah),8
(way,8
than,8
&,8
tarantino,8
rattpack,8
bring,8
"nah,",8
(buried,8
'round—from,8
sorry,8
"this,",8
"through,",8
"girl,",8
running,8
"like,",8
flow,8
[pre-chorus],8
together,8
"said,",8
"love,",8
"boy,",8
bleed,8
write,8
vibe,8
greatest,8
light,8
ridin',8
drop,8
logic],8
or,7
y'all,7
food,7
sometimes,7
gang,7
name,7
basement,7
dreams,7
please,7
whenever,7
trying,7
"do,",7
killin',7
nigga,7
fall,7
having,7
remember,7
last,7
guess,7
record,7
sippin',7
me?,7
won't,7
lot,7
"bobby,",7
broke,7
talk,7
must,7
real,7
murder,7
pain,7
stay,7
"well,",7
"ah,",7
date,6
were,6
wasn't,6
def,6
am,6
"anyway,",6
jam,6
blessed,6
goin',6
doin',6
sudden,6
must've,6
recorded,6
"they,",6
"you-you,",6
finna,6
bounce,6
crip,6
"blue,",6
the...),6
picture,6
hits,6
thank,6
"time,",6
beautiful,6
(uh),6
"trip,",6
meant,6
too,6
"good,",6
90,6
"goddamnit,",6
thinkin',6
blowin',6
"then,",6
right?,6
seemed,6
school,6
you?,6
searchin',6
what’s,6
things,6
vision,6
wake,6
"hey,",6
[hook],6
longer,6
bluff,6
‘nuff,6
brain,6
sho,6
yea,6
hol’,6
throwed,6
sets,6
po’,6
hear,6
everywhere,6
sound,6
amazing,6
workin',6
dad,6
"okay,",6
share,6
inhale,6
forget,6
couldn't,6
chick,6
bad,6
said,6
crib,6
mean?,6
heard,6
young,6
missed,6
(i'm,6
you),6
whole,6
ready,6
like[pre-chorus],6
head,6
i'd,6
heart,6
"sister,",6
that.,6
"homies,",6
ones,6
know),6
"before,",6
nicotine),6
"story,",6
tried,6
chance,6
outside,6
diamond,6
tone,6
"chain,",6
house,6
(tell,6
feel),6
grass,6
"(nicotine,",6
very,6
famous?,6
pray,6
"wrong,",6
ain’t,6
milestone,6
can’t,6
dial,6
check,6
we're,6
nicotine,6
lately,6
changes,6
breathe,6
happens,6
i-i,6
motherfucker,6
"i-i,",6
given,6
"y-yeah,",6
'round—once,6
drugs,6
pay,5
"bitch,",5
hell,5
met,5
somethin',5
wonderin',5
probably,5
spend,5
leave,5
"life,",5
four,5
"hood,",5
yeah-yeah),5
blow,5
"are,",5
paint,5
parents,5
west,5
been?,5
breaking,5
dude,5
"yes,",5
game,5
word,5
deer,5
told,5
"logic,",5
reason,5
crack,5
memories,5
throw,5
"back,",5
used,5
somehow,5
section,5
"world,",5
notice,5
comin',5
changed,5
owe,5
knew,5
alright,5
dash,4
"on,",4
vivid,4
"rattpack,",4
pretend,4
"thought,",4
took,4
giving,4
dripped,4
um...,4
wondering,4
shameless,4
are?,4
groupies,4
police,4
bit,4
em,4
"rhyme,",4
weed,4
news,4
chris,4
go-!,4
"be,",4
old,4
"mine,",4
muthafuckin',4
bumping,4
sold,4
bullet,4
park,4
know?,4
drug,4
month,4
truly,4
chasin',4
"right,",4
[bridge],4
sell,4
strong,4
sisters,4
"today,",4
window,4
fuckers,4
thought,4
demand,4
"facades,",4
does,4
talkin',4
discussion,4
lungs,4
rock,4
"stop,",4
"fam,",4
venom,4
"mirage,",4
birthday,4
publish,4
"oh,",4
[interlude],4
somebody,4
sacrifice,4
drown,4
"family,",4
"cool,",4
white,4
coolest,4
show,4
looking,4
dangerous?,4
include:,4
superstar?,4
planet,4
"low,",4
"ready,",4
racing,4
haters,4
wait,4
anybody,4
"um,",4
blood,4
outrageous,4
something,4
nothin',4
"that,",4
[chorus:,4
after,4
nowhere,4
"bad,",4
lay,4
"years,",4
[interlude:,4
[pre-hook],4
relationship,4
lord,4
main,4
appeal,4
"city,",4
fun,4
now?,4
"busy,",4
understand,4
wit',4
rotation,4
throughout,4
duration,4
album's,4
"pressure,",4
woman],4
"lately,",4
"tv,",4
map,4
lookin',4
breathe),4
sister,4
"however,",4
may,4
extended,4
free,4
"da-da-da,",4
la-da-da-da,4
span,4
survive?,4
"music,",4
(let,4
grave,4
born,4
block,4
nothing,4
tonight,4
wrong,4
dangerous,4
"night,",4
dria],4
able,4
lesser,4
it’s,4
[break],4
"crib,",4
making,4
repeat,4
black,4
favorite,4
switch,4
visionary,4
"hit,",4
movie,4
fade,4
yet,4
tickets,4
calling,4
soul,4
about?,4
dreaming,4
bang,4
thinking?,4
seems,4
