word,frequency
i,219
the,184
a,112
to,92
my,65
got,65
in,64
nigga,55
it,51
down,48
on,46
out,43
was,42
me,41
that,39
you,39
yeah,36
these,36
ain't,36
i'm,35
"yeah,",34
with,33
just,32
and,32
her,32
for,30
gotta,30
can't,30
up,29
she,25
no,25
niggas,24
like,24
bitch,24
new,23
been,22
real,22
know,21
"nigga,",21
of,21
be,20
when,19
they,19
get,19
all,19
how,18
"(woo,",18
then,18
now,18
them,18
woo),17
don't,16
if,16
that's,15
below,14
'cause,14
wasn't,14
at,13
shit,13
feel,13
more,13
had,13
[chorus],12
but,12
"below,",11
double,11
fuck,11
"up,",11
"bag,",11
do,11
this,11
even,11
want,11
keep,10
[verse,10
so,10
he,10
we,10
from,10
why,9
hopped,9
trap,9
one,9
cut,9
red,9
what,9
inside,8
run,8
need,8
young,8
money,8
off,8
didn't,8
also,7
main,7
diamonds,7
bitches,7
people,7
back,7
might,7
"hoes,",7
around,7
made,7
racks,7
lot,7
call,7
put,7
think,7
start,7
2],6
go,6
hit,6
sleepin',6
hoes,6
count,6
once,6
change,6
ducking,6
express,6
hop,6
gave,6
"circle,",6
never,6
yeah),6
tell,6
your,6
some,6
'member,6
"niggas,",6
different,6
street,6
love,6
1],6
jet,6
gettin',5
say,5
coupe,5
lyrics[intro],5
make,5
"(yeah,",5
tryna,5
fucked,5
have,5
"bitch,",5
ball,5
bad,5
"bottom,",5
wraith,5
knew,5
i've,5
came,5
trappin',5
loyal,4
leave,4
married,4
streets,4
gon',4
same,4
too,4
hoppin',4
10,4
feelin',4
told,4
who,4
time,4
"it,",4
about,4
"oh,",4
pullin',4
would,4
knowin',4
as,4
brand,4
always,4
'bout,4
like[chorus],4
birds,4
"me,",4
stayed,4
codes,4
looked,4
here,4
every,4
"mud,",4
shawty,4
bando,4
right,4
chasin',4
"phantom,",4
come,4
bands,4
cold,4
stay,4
bought,4
four,4
ricch,4
caught,4
stars,4
head,4
season,4
played,4
"myself,",4
private,4
bag,4
neck,3
check,3
bird,3
"time,",3
i’m,3
couple,3
"dawg,",3
livin',3
"million,",3
(no),3
heart,3
whippin',3
dawg,3
cancun,3
hunnids,3
before,3
"lie,",3
ran,3
let,3
"money,",3
through,3
"trust,",3
yourself,3
"cup,",3
"off,",3
tried,3
infiltrate,3
bounds,3
trapped,3
see,3
plug,3
much,3
"feet,",3
only,3
forgiato,3
dreamed,3
floor,3
"nights,",3
look,3
"racks,",3
"regular,",3
"her,",3
"real,",3
water,3
meter,3
buss,3
gone,3
eagles,3
sending,3
freezer,3
