word,frequency
i,2156
the,2139
you,1714
and,1596
to,1517
a,1463
my,973
of,804
i'm,769
in,760
it,676
me,667
on,573
your,540
just,530
with,509
this,505
that,495
-,463
like,428
don't,414
when,390
we,377
so,373
but,371
be,370
is,357
up,342
for,341
get,333
all,320
they,319
was,300
it's,272
at,272
'cause,271
got,267
fuck,236
out,236
if,234
what,230
do,221
as,219
shit,214
never,212
no,209
[verse,208
&,205
her,187
know,184
that's,179
back,177
see,174
not,172
one,172
or,170
go,168
can,163
can't,158
from,157
two,156
ain't,154
down,154
his,153
these,151
say,149
now,144
you're,143
how,141
eminem],139
think,139
shady,138
"me,",135
off,134
i'll,133
'em,132
name,126
slim,126
he,125
give,125
wanna,125
are,123
more,121
too,120
have,120
who,120
make,112
'til,110
had,109
everybody,108
some,106
want,106
"is,",105
then,105
about,104
fuckin',102
still,100
why,100
eminem,100
she,100
come,98
little,98
take,98
us,98
[chorus],98
an,95
even,94
time,93
him,92
could,92
let,92
tired,91
ever,90
gonna,88
every,88
enough,88
people,88
would,87
world,87
through,87
look,87
love,86
here,86
knew,84
cum,84
(get,82
tell,82
tonight),80
right,80
ass,79
by,79
kill,79
"it,",79
"yo,",79
did,78
put,78
than,77
gotta,77
"you,",76
[chorus:,75
am,75
while,75
bad,74
need,73
over,73
●,72
try,72
way,70
said,69
been,68
i'ma,67
"sayin',",66
i'd,66
feel,66
"bitch,",64
hit,64
bitch,63
them,63
life,62
"up,",61
(i,61
better,60
i've,60
won't,59
ft.,59
call,58
crazy,57
day,56
will,56
"yeah,",56
(i'm,56
our,55
meant,54
stop,54
dr.,54
told,54
head,53
around,53
there's,53
really,53
let's,53
drugs,52
into,52
hear,51
rap,51
whole,51
"now,",51
"shit,",50
maybe,50
please,49
stand,49
white,49
he's,49
might,49
same,48
keep,48
leave,48
without,48
only,48
nothin',48
"shady,",47
"us,",47
sick,46
where,46
gon',46
kids,45
went,45
there,45
always,45
made,45
me?,44
play,44
first,44
rock,44
good,44
much,43
before,43
girl,43
brain,42
old,42
mad,42
real,42
niggas,41
"man,",41
used,41
we're,40
started,40
baby,39
other,39
talk,39
shot,39
man,39
big,39
start,39
things,38
"superman,",38
‘cause,38
million,38
fucked,38
guess,38
"hi,",37
remember,37
seen,37
years,37
face,37
2],37
dick,37
hollywood,37
beat,37
1],37
comin',36
"bottom,",36
home,36
run,36
y'all,35
money,35
"out,",35
dre,35
yo',35
also,35
after,35
"i,",34
"baby,",34
2:,34
probably,34
hold,34
"""i",34
1:,34
what?,33
comes,33
many,33
their,33
gone,33
grow,33
new,33
next,33
"chka-chka,",32
"""goodbye"",",32
you'll,32
dead,32
3:,32
lot,32
"""goodbye""",32
what's,32
full,31
gettin',31
throw,31
took,31
är,31
"said,",31
goin',31
havin',31
ain’t,30
motherfuckin',30
tickets,30
again,30
"off,",30
came,30
oh,30
each,30
song,30
damn,29
"back,",29
sayin',29
jag,29
buy,29
superman,29
another,29
who's,29
low,29
sing,28
set,28
last,28
she's,28
bitches,28
och,28
shut,28
walk,28
mean,28
turn,28
house,28
friends,28
bein',28
mig,27
die,27
3],27
up?,27
inside,27
listen,27
since,27
ask,27
hate,27
smoke,26
liveget,26
help,26
huh?,26
kiss,26
thought,26
"here,",26
makes,26
"left,",26
own,26
until,26
tryna,26
bring,26
"crazy,",25
$33you,25
hell,25
somethin',25
me),25
wouldn't,25
hailie,25
"know,",25
cut,25
door,25
find,25
keeps,25
does,25
away,25
spit,25
shoot,25
we'll,25
party,24
has,24
blood,24
ill,24
work,24
weed,24
live,24
broke,24
music,24
done,24
both,24
mom,24
past,24
gave,24
place,24
(woah),24
sit,24
must,24
show,23
wants,23
"america,",23
mama,23
somebody,23
blow,23
long,23
