word,frequency
the,108
i,97
you,70
a,64
to,57
it,57
get,49
in,48
and,46
my,41
ya,40
like,31
do,31
oh,30
on,29
of,28
i'm,28
we,27
so,24
it's,23
don't,22
party,22
hoes,22
is,21
people,21
see,21
know,21
all,20
that,20
dogg,20
with,20
me,20
they,18
"i,",17
be,17
for,17
are,16
wanna,16
just,16
snoop,16
bitch,15
this,15
got,14
your,14
up,14
ain't,14
niggas,14
back,13
doggystyle,13
what,13
'em,13
hoe,13
now,13
make,12
at,12
"up,",12
from,12
cause,12
pound,12
"it,",11
[verse,11
some,11
down,11
uh,10
nigga,10
dick,10
time,9
doggystyle),9
can,9
dogg],9
doing,9
shit,9
but,9
baby,8
won't,8
take,8
oh-o-oh,8
when,8
pussy,8
want,8
y'all,8
keep,7
it),7
if,7
gangstas,7
about,7
had,7
why,7
"oh-o-o-o-oh,",7
no,7
real,7
will,7
blow,6
(oh,6
put,6
might,6
also,6
"yeah,",6
uh-get,6
these,6
game,6
gon',6
doggy,6
once,6
turn,6
still,6
how,6
death,6
"know,",6
as,6
bitches,5
out,5
2:,5
was,5
while,5
(doing,5
funky?,5
hit,5
"doggystyle,",5
say,5
1:,5
whole,5
(i,5
crowd,5
come,5
yo',5
he,5
"me,",5
tell,5
them,5
story,5
house),4
"him,",4
one,4
she,4
have,4
call,4
feel,4
off,4
jewell],4
"lil,",4
go,4
bounce,4
where,4
act,4
who?,4
row,4
"'em,",4
through,4
thang,4
house,4
out),4
see?,4
handle,4
memory,4
clearer,3
done,3
average,3
(yeah),3
"hoes,",3
life,3
homies,3
same,3
"lane,",3
tryna,3
gotta,3
look,3
"aye,",3
love,3
lay,3
"down,",3
can't,3
spit,3
lil,3
good,3
"her,",3
door,3
by,3
"bitch,",3
"bouncing,",3
fuck,3
there's,3
uh-with,3
up),3
"now,",3
let,3
"it),",3
"place,",3
named,3
dog,3
seen,3
"shit,",3
snoop],3
[hook,3
"man,",3
yeah,3
show,3
(uh-get,3
sounds,3
talk,3
funky,3
kurupt],3
"ya,",3
"on,",3
"hoe,",3
likeembed,3
"cars,",2
five,2
four,2
who?),2
3:,2
light,2
g's,2
spot,2
"money,",2
understand,2
heard,2
[chorus],2
"love,",2
uh-come,2
"by,",2
went,2
"dogg,",2
dope,2
"success,",2
nuttin',2
asleep,2
lyrics[verse,2
[outro:,2
(with,2
two,2
"sayin',",2
"time,",2
i've,2
break,2
gangsta,2
kick,2
goes,2
knew,2
ready,2
remember,2
trick,2
fit,2
didn't,2
not,2
mix,2
lot,2
man,2
mission,2
"a,",2
over,2
gonna,2
minute,2
muthafuckin',2
let's,2
’em,2
looking,2
"right,",2
(hoes,2
[chorus:,2
lick,2
here,2
daz],2
beat,2
clothes,2
"away,",2
shot,2
nuthin',2
at?,2
sure,2
shit's,2
find,2
big,2
pimps,2
best,2
"slippin',",2
you's,2
line,2
days,2
right,2
county,2
(if,2
(there's,2
(4x)],2
freaky,2
tha,2
plus,2
wants,2
club,2
butt-nekkid,2
"back,",2
sit,2
[?],2
everywhere,2
way,2
"thang,",2
suppose,2
"homes,",2
better,2
2,2
even,2
oh-o-oh),2
motherfuckin',2
(i),2
makes,2
'bout,2
"ugh,",2
his,2
hearing,2
knows,2
first,2
thangs,2
piece,2
mirror,2
never,2
nine-trey,2
gotsta,2
motherfuckas,2
guess,2
"(oh-o-o-o-oh,",2
lane,2
i),2
would,2
lose,2
cold,2
day,2
dre,2
need,2
back?,2
"(yeah,",2
(doggystyle),2
like[verse,2
ass,2
uh-say,2
paper,2
ever,2
socks,2
yes,2
who,2
things,2
"(doggystyle,",2
then,2
hall,2
run,2
nigga's,2
gets,2
"near,",2
along,2
[bridge:,2
that's,2
on),2
well,2
something,2
little,2
long,1
gain,1
gives,1
hollin',1
order,1
"play,",1
ago,1
vip,1
return,1
taught,1
plays,1
"booth,",1
keeps,1
proof,1
dump,1
record,1
"ways,",1
joint,1
hesitate,1
bump,1
"stable,",1
hell,1
able,1
what?,1
"different,",1
nah,1
rows,1
coming,1
"coming,",1
4:,1
been,1
play,1
balls?,1
holding,1
"ain't,",1
say),1
she's,1
"draws,",1
like[chorus],1
paws,1
what?),1
street,1
question,1
an,1
here's,1
"haters,",1
"""woof""",1
we'll,1
cables,1
nice,1
different,1
(ya,1
buy,1
lit,1
sho',1
flossin',1
bullshittin',1
"differently,",1
froze,1
"do,",1
tend',1
sacked,1
stuff,1
block,1
clogging,1
emcee's,1
(see,1
ladies,1
"""hey""",1
sucka,1
(when,1
"kitty,",1
thick,1
"""ho""",1
"tits,",1
nose,1
jack,1
"mind,",1
pimp,1
money,1
every,1
grip,1
short,1
left,1
simp',1
specifically,1
shake,1
"fact,",1
good-,1
"hip,",1
"trip,",1
sippin',1
fo',1
ran,1
plan,1
'bouts,1
designed,1
another,1
savannah,1
dpg,1
lifespan,1
hand,1
iran,1
jan,1
mention,1
"japan,",1
tight-eyed,1
dough,1
know?,1
100,1
"nevanah,",1
rid,1
atlanta,1
"daz,",1
getting,1
microphone,1
"luke,",1
"kurupt,",1
bangin',1
writ,1
"yet,",1
group,1
(10x)],1
"shame,",1
[chorus,1
mane,1
write,1
bumped,1
"switch,",1
bouncing,1
blowed,1
"hoes),",1
"charts,",1
frost',1
(tell,1
"'em),",1
puttin',1
pimpin',1
(pimpin',1
laying,1
place,1
(slamming,1
cadillac,1
doors),1
(hoe,1
style,1
climbing,1
hoe),1
breaking,1
hearts,1
about),1
pay,1
told,1
luke],1
som',1
"cold,",1
leaving,1
type,1
