track_id,track_name,song_lyrics
1lmZXJiHlLbA7tgoTXctwb,Pop Off (feat. Casanova),"[Intro: Cardi B]
Shattering glass
And motherfuckers be like, ""But what type of niggas will wife you?""
My type of niggas will wife me! The type of niggas that like bitches that pop off and suck dick all day motherfuckin' long, bih
Thanks to all my followers that always defended me
Y'all like my god brothers and my god sisters
I would dead jump in your fight, I would dead jump in your fight
Now what's poppin?

[Hook: Cardi B]
Who wanna pop off? Who wanna start war?
They talkin' shit? I'm takin' tops off
Jeans, off, weaves, off
Rings, off, everything, off
Who wanna pop off? Who wanna start war?
They talkin' shit? I'm takin' tops off
Jeans, off, weaves, off
Rings, off, everything, off

[Verse 1: Cardi B]
I'm startin' to lose my patience, weak bitches hatin'
Bitches throwing subs like I won't kick your face in
Baby mama's mad 'cause I'm in first place, and
When it comes to you bitch, there's no conversation
I been to give it up grimy, I'm the Bronx bitch, I'm feisty
""Cardi why you feisty?"" Shut up bitch, fight me
NY raised and so you know it's very likely
That when I hear some shit that I don't like, I get hype B
Who would wanna wife me? Your nigga wanna wife me
You think 'cause I'm a stripper hoe, that nigga won't think twice B?
Put this pussy on his face, ride that shit nicely
Set his ass up, then you really ain't gon' like me
So what you tryna do? You and you and you
I feel some type a way, a bitch finna get loose
Tell me what's the deal? I'm 'bout to start the hill
The wig is comin' off, shit 'bout to get real

[Hook: Cardi B]
Who wanna pop off? Who wanna start war?
They talkin' shit? I'm takin' tops off
Jeans, off, weaves, off
Rings, off, everything, off
Who wanna pop off? Who wanna start war?
They talkin' shit? I'm takin' tops off
Jeans, off, weaves, off
Rings, off, everything, off

[Verse 2: Casanova]
Got beef with Cardi B? I'm poppin' off
Shit get hectic? I'ma drop it off
Oh you shinin'? Your chain and your watch is off
You was never with this shit, nigga, knock it off
Youse a pussy, and your whole block is soft
You caught feelings, could she ain't even drop you off
You thought that bag was gettin' you pussy, not at all
You was gettin' lied, you ain't know she made that call
To the dog's dinner, and they starvin'
I gotta feed all 'em
I'maget that nigga, you gon' get that bitch
What they thought switched 'cause we both got rich?
Nah, we on the same time
You got yours, I got mine
You got a problem, get in line
It's Cardi B, and 2 times

[Hook: Cardi B]
Who wanna pop off? Who wanna start war?
They talkin' shit? I'm takin' tops off
Jeans, off, weaves, off
Rings, off, everything, off
Who wanna pop off? Who wanna start war?
They talkin' shit? I'm takin' tops off
Jeans, off, weaves, off
Rings, off, everything, off

[Verse 3: Cardi B]
Shit, that bitch six three and she bodied
Superman calves, and her shoulder somethin' retarded
I ain't backin' down, Cardi got the heart regardless
You gon' have to knock me out if you think I'ma forfeit
Gang gang, squad up, and have my niggas all on it
Pay a couple niggas and they had you out in a coffin
And I put that on my life, I really don't do this often
But the way I'm feelin' now, like whatever, I'm on it
Have you laid out on the stretcher with your socks off
Had the pastor prayin', like, ""Sorry for your, loss""
Throw dirt on my name, you better pop off
My name ring bells like Mayweather, box off
I'm Cardi B, east coast newest contender
5'3"" lookin' good with the nails bananas
Freddy Kruger on these bitches, I cut their lights off
Should have read the memo, Cardi B pops off"
4cxKwt0mdy35povvGlyirE,Trust Issues,"[Chorus]
I don't really trust them no more
All these bitches do is talk behind your back, that's a no go
And I don't really stress it no more
Getting all this money made my heart so cold
Middle finger up to you hoes
Hating on me, I'm making moves on the road though
And I don't really trust them no more
I don't really stress it no more
I don't be trusting them, I don't be trusting them
I don't be stressing them, I don't be stressing them
I swear I just flex on them, I swear I just flex on them
I swear I just flex on them, I swear I just flex on them

[Verse 1]
Carbi B, me, bad one
You bitches, sad ones
I just get my money and I style on them
All them bitches broke and they mad I just dab on them
Wave bye, hit the gas on them
200 on the dash on them
I don't say much, I just swag on them
I be killin' them, I go Fab on them
Left right, throwing jabs at them
Night night, I'ma black on them
Hit the game raw, no Magnums
Can't stop winning, God, finna go platinum

[Chorus]
I don't really trust them no more
All these bitches do is talk behind your back, that's a no go
And I don't really stress it no more
Getting all this money made my heart so cold
Middle finger up to you hoes
Hating on me, I'm making moves on the road though
And I don't really trust them no more
I don't really stress it no more
I don't be trusting them, I don't be trusting them
I don't be stressing them, I don't be stressing them
I swear I just flex on them, I swear I just flex on them
I swear I just flex on them, I swear I just flex on them

[Verse 2]
NY, Cardi next in line
Yeah, it's my time, real hittas gonna respect mine
I got deadlines, I'ma hit the headlines
Ain't no bedtime, young boss, nigga, I ain't lying
I fuck shit up then I come for my checks
What you expect? Cardi in full effect
I see they mad, I see they vexed
But it's not my fault when I shoot it's all net
Like swish, now they look at the flick of the wrist
They sending shots but I swear it's all miss
Cardi fall off, yeah, bitch, you wish
You must be drunk off all of those liqs

[Outro]
I don't be trusting them, I don't be trusting them
I don't be stressing them, I don't be stressing them
I swear I just flex on them, I swear I just flex on them
I swear I just flex on them, I swear I just flex on them
NY, Cardi next in line
Yeah, it's my time, real hittas gonna respect mine
I got deadlines, I'ma hit the headlines
Ain't no bedtime, young boss, nigga, I ain't lying"
67co9ZN8NRGnB7tiaF8yen,On Fleek,"[Chorus]
I pull up like ""What's up?"", everything on fleek
I do it nice, seven days a week
Like oh my, oh my, oh my God
I don't do nothing for free you know I got to charge
When I'm done, they be like you better
You better, you better, you better, you better
When that check come I be like
You better, you better, you better, you better

[Verse 1]
I'm Cardi, exotic, my ice retarded
I walk in, the party get started
Murder scene, he want all this
Your bitch I demolish, on fleek is what you call it
This not a game, fuck is you saying?
Bullshit is something I don't entertain
Come correct if you gon' call out my name
Not talking money, I'm switching these lanes like swerve
Now watch me, now watch me, swag surf
Boy, you better respect the curve
I'm on my bullshit, fuck what you heard
Oh, you ain't know? Well you gon' learn

[Chorus]
I pull up like ""What's up?"", everything on fleek
I do it nice, seven days a week
Like oh my, oh my, oh my God
I don't do nothing for free you know I got to charge
When I'm done, they be like you better
You better, you better, you better, you better
When that check come I be like
You better, you better, you better, you better

[Verse 2]
Fleek, the definition of me
I keep it in check, papi
I am a whole different breed
I'm Cardi, capisce
Them other ones can't compete
I make bitches wanna retreat
I go to the desert for weeks
When I come back I come back with heat
Now they be all up in my DM
Tryna get Cardi B to PM
I swear to God I don't see 'em
I'm high up in the hills like The Weeknd

[Chorus]
I pull up like ""What's up?"", everything on fleek
I do it nice, seven days a week
Like oh my, oh my, oh my God
I don't do nothing for free you know I got to charge
When I'm done, they be like you better
You better, you better, you better, you better
When that check come I be like
You better, you better, you better, you better"
4GDhJN2w2fLMovXBvjWywV,Washpoppin,"[Chorus]
I need all my money makers bring that cash out
I need all my D boys to bring that cash out
I need all my scammer niggas bring that cash out
Don't you see these big ass titties and this ass out?
I need all my money makers bring that cash out
I need all my D boys to bring that cash out
I need all my scammer niggas bring that cash out
Don't you see these big ass titties and this ass out?

[Verse 1]
Lil' trick go bust a band on a bitch
Now give me all that money you be spending on your chick
Now give me all that money you be spending on your kid
Now give me all that money you been stacking for your rent nigga
I'm just into making money, I ain't into making love
When you hear that stripper hoe, I'm the one you thinking of
I'm the bitch they love to hate, I'm the bitch they hate and love
Yellow bitch I look like Diamond in Playas Club
You want to be my main squeeze baby, don't you?
You want to give a bitch a seed baby, don't you?
You hit the club with 20 Gs baby, don't you?
And spend that all on Cardi B baby, don't you?
I need like 10k right now
I need like 20k right now
I need like 50k right now
All you broke niggas get out the way right now

[Chorus]
I need all my money makers bring that cash out
I need all my D boys to bring that cash out
I need all my scammer niggas bring that cash out
Don't you see these big ass titties and this ass out?
I need all my money makers bring that cash out
I need all my D boys to bring that cash out
I need all my scammer niggas bring that cash out
Don't you see these big ass titties and this ass out?

[Bridge]
Real niggas fuck with me the bad bitches fuck with me
So if you don't it's probably cause you broke or you ugly
Real niggas fuck with me the bad bitches fuck with me
So if you don't it's probably cause you broke or you ugly
Every time that I'm on the road—popping
Every time that I do a show—popping
When I put this pussy on the pole—popping
Friends want to have these cornrows—popping

[Chorus]
I need all my money makers bring that cash out
I need all my D boys to bring that cash out
I need all my scammer niggas bring that cash out
Don't you see these big ass titties and this ass out?
I need all my money makers bring that cash out
I need all my D boys to bring that cash out
I need all my scammer niggas bring that cash out
Don't you see these big ass titties and this ass out?

[Outro]
You bitches be so fucking thick
But it's cool, 'cause I'll be fake too
Now people be like ""you stupid bitch""
""Strippening over a real job""
So how the fuck about we've been?"
32eXDBboJm58yHlTpZcFUZ,Selfish (feat. Josh X),"[Verse 1: Cardi B]
I gave you more than I give myself
So loyal to you that I betrayed myself
Well, I guess I'ma wither away
You a snake, and you chose to slither today
I gave my all; my love and my trust, but
I guess my all just wasn't enough, yeah
There's something about you; I can't help it
But I'ma do for myself, I'm being selfish

[Verse 2: Josh X]
Babe, your melody is the voice I need
Makes me skip a beat, yeah
And baby, you know it, yeah
But it's hard to show it, yeah, yeah
See, the one I love used to be in clubs
Used to fuck with thugs, yeah
And I can't expose it, yeah
'Cause she already know it yeah, but

[Chorus: Josh X]
Why don't you ask me
Why is it so hard to fall in love
Why don't you ask me
Why can I never ever ever trust?
Why don't you ask me
Why everything is going in circles
Why don't you ask me (I guess you never know)

[Post-Chorus: Josh X]
I guess we never know
They say the one that you truly love
Hurts you the most
Now the one that I truly love
Hurt me the most
Now the one that you truly love
Is hurting you the most
I guess I'll never know
Why I got so cold, it's not your fault, girl

[Refrain: Cardi B, Josh X]
Be selfish, be selfish
Be selfish (I’m so cold, girl)
Be selfish, be selfish
Be selfish (It’s not your fault, girl)
Be selfish, be selfish
Be selfish (I’m so cold, girl)
Be selfish, be selfish
Be selfish (It’s not your fault, girl)

[Spoken Outro: Cardi B]
Withering away as I gaze at the sky. Looking at his face, and all the pain it caused me. I ask why. Didn't I love? Didn't I give you more than I ever gave myself? What do you wish, 'cause that part of me no longer exist? This time I'm first, I'm picking me, I finally learned to be selfish."
7kGvSuocFQxrcneBebUA5l,I Gotta Hurt You,"[Verse 1]
You know
I could love you with all my heart
You're my baby and
And I love you I just
I just feel the need to hurt you
Maybe I'm scorn
Maybe I need a therapist
Maybe I'm petty
I just

[Bridge]
I want to hurt you
I want to hurt you
I want to hurt you
I need to make you sure you remember me forever
E-e-e-e-ever
E-e-e-e-ever
E-e-e-e-ever
(I was raised well)
E-e-e-e-ever
E-e-e-e-ever
E-e-e-e-ever
I want to hurt you
I want to hurt you
I want to, I want to hurt you
I want to hurt, hurt, hurt
I want to hurt you
(Forever)
I want to hurt you
I want to, I want to hurt you
(Forever)
I want to hurt, hurt, hurt, hurt
I want to hurt you

[Chorus]
I want to hurt you
I got to make sure that you feel me
I need to make sure you remember me forever
I have to show you

[Verse 2]
Hi there
My name is, my name is
Cardi, Cardi, Cardi, Cardi
I don't know
I love it
I love it
Lonelyness
It fulfills my sorrow
You may think
You may think I have no tomorrow
Its easier to die
Than to live
But I will show you
That I'm strong enough
To use you and abuse you
And I'm gonna live
And I'm gonna win (haha)
I'm gonna win
I'm gonna win
I'm gonna win
I'm gonna win
I'm gonna win
I-I-I-I-I'm go-onna win

[Chorus]
I want to hurt you
I got to make sure that you feel me
I need to make sure they remember me forever
I have to show you"
5mwQ8wQElaMO1joDd5vtwd,Foreva,"[Producer Tag]
SwiftOnDemand

[Chorus]
Ran down on that bitch twice
Ran down on that bitch twice
You know me, I be with whatever
If a bitch beef with me, we gon' beef forever
Ran down on that bitch twice
Ran down on that bitch twice
You know me, I be with whatever
If a bitch beef with me, we gon' beef forever

[Verse 1]
W—W—Why you always tryna run and hide? (Why?)
Always have my name up in your mouth, you outta line
You gon' make me pop up at your door like ""surprise"" (Hi)
Like ""come outside, lil' bitch, come outside""
Never by my lonely, got my niggas by my side
And all my niggas skrr skrr, yeah, they down to ride
Yeah, my bitches go to work; I'm talking 9 to 5 (Work)
The streets want to fuck around you won't stay alive
Your mouth can cost you, and I’ll make sure that you pay the price
So don't be lackin' when you comin' home from work at night
You run your mouth; I'm poppin' out, now it's on sight
You—You—You gon' be just like my pussy: hella tight
A ho can hate, but don't be fucking with my commas (No)
And if she is, I'll shape her up and she gon' get the line up
Can't be starting all these problems if you cannot solve 'em (Don't do that)
Cardi backing down, I swear to God, that's not an option

[Chorus]
Ran down on that bitch twice
Ran down on that bitch twice
You know me, I be with whatever
If a bitch beef with me, we gon' beef forever
Ran down on that bitch twice
Ran down on that bitch twice
You know me, I be with whatever
If a bitch beef with me, we gon' beef forever

[Verse 2]
Some bitches claim they with the shit, but they ain't with a thing
I spin the block, come around like a boomerang
Silence, silence, I don't hear a thing
Worry 'bout me, but your pussy smell like turtle tank
I pull up on that check, nothing less, that's all I do
T—T—Ten bands, fifty bands, ain't nuttin' new
I see some people who still worried 'bout my revenue (Why you worry?)
I'm eating good, you wish you could, don't worry about my food
And niggas hating on a female, ain't no way to live (Lil bitch)
You bitch-made, make me wonder if you got a dick (Lil bitch)
How you feeling like a man envying a chick? (Pussy)
Wake up and go get some money, go and find your niche (Get that money)
Silly motherfucker (Silly,) who raised you? (Who raised you?)
A nigga with a pussy? How disgraceful (Oh my God)
I have my hitters come, and duct tape you
And your bitch could get it too, double date, boo
So let's get it, so let's get it, so let's get it
Let's not waste a minute; you clearly started, so let's finish
I don't do forgiveness; they take your kindness for a gimmick
I'm just here for business, I'm running down and I'm with it, bap

[Chorus]
Ran down on that bitch twice
Ran down on that bitch twice
You know me, I be with whatever
If a bitch beef with me, we gon' beef forever
Ran down on that bitch twice
Ran down on that bitch twice
You know me, I be with whatever
If a bitch beef with me, we gon' beef forever

[Producer Tag]
SwiftOnDemand"
0O5WTYTLlTVeInQUDOJJnU,Trick,"[Chorus]
Boy you a trick, trick, trick, trick, trick, trick
You ain't nothing but a trick, trick, trick, trick, trick
You catching feelings like a ho you's a trick, trick, trick, trick, trick
No love no love for a trick, trick, trick, trick, trick
No love no love for a

[Verse 1]
Rule number one, if you ain't paying that's a no
Rule number two, tricks wait at the door
Rule number three, don't you tell me about your kids cause I don't give a fuck nigga I'll tell you how it is
Rule number four, you ain't never fucking raw no matter how much money is involved fuck you thought
Rule number five, I need unlimited supply whatever I want you buy
Rule number six, when we in the club don't be taking all the pics
Pay for the licks, you ain't getting no kiss nigga
I ain't your bitch nigga, you ain't shit nigga, no hugs no love you's a

[Chorus]
Boy you a trick, trick, trick, trick, trick, trick
You ain't nothing but a trick, trick, trick, trick, trick
You catching feelings like a ho you's a trick, trick, trick, trick, trick
No love no love for a trick, trick, trick, trick, trick
No love no love for a

[Verse 2]
Rule number seven, when you take me out to eat after that day you can't see me for the week
Rule number eight, you can't call me babe boy we don't relate let's get that shit straight
Rule number nine, I ain't tryna wine and dine I'm just tryna shop bust a nut then goodbye
Rule number ten, when that bank account ends I find a new trick let the new games begin
I'm such a ho ass bitch
Big thot big thot
You thought I like you for you noooo
You think we have something in common

[Chorus]
Boy you a trick, trick, trick, trick, trick, trick
You ain't nothing but a trick, trick, trick, trick, trick
You catching feelings like a ho you's a trick, trick, trick, trick, trick
No love no love for a trick, trick, trick, trick, trick
No love no love for a"
0kfumbp5lPQvPrMTrqsaNv,Lit Thot,"[Intro]
Deal with them no no
Deal with them I can't
Peanut butter ass work
Fuck around and get jammed
Cardi in this bitch you better understand
I flip the script and kill shit now they want to hold my hand

[Chorus]
I be that hood bitch from that block
It's my hood on top
Why you asking all them questions you a cornball you get popped
I'm really with the shits I'm a real bitch I don't flop
They ask who I be I'm that east coast lit thot
Yeah I gives it up I gives it up I gives it up and that's word
These cats got no stacks man they fucking get on my nerves
I gives it up I gives it up I gives it up and that's word
And if you ain't talking about money then I'm pitching nothing but curves

[Verse 1]
Oh they mad Ima keep them mad oh they hella sick
See me stunting see me getting bands oh yeah hella bricks
Cardi looking good in this shit oh yeah hella fit
Run up on me wrong they pop the trunk on you elephants
You don't know me hoe you don't know me bro you don't know me just move
I A-L-T control delete and get your ass removed
That fuck shit that truck shit I do not approve
You niggas with that shrimp dicks be fucking up my mood

[Chorus]
I be that hood bitch from that block
It's my hood on top
Why you asking all them questions you a cornball you get popped
I'm really with the shits I'm a real bitch I don't flop
They ask who I be I'm that east coast lit thot
Yeah I gives it up I gives it up I gives it up and that's word
These cats got no stacks man they fucking get on my nerves
I gives it up I gives it up I gives it up and that's word
And if you ain't talking about money then I'm pitching nothing but curves
Deal with them no no
Deal with them I can't
Peanut butter ass work
You fuck around and get jammed
Cardi in this bitch you better understand
I flip the script and kill shit now they want to hold my hand

[Verse 2]
Just get up off me just get up off me just get up off me you fake
You talking all that tough shit but quick to talk to the jakes
Let a bitch try me that's these red bottoms to the face
Nigga hating hoes ain't got no clout that's Superman with no cape
All I need is Coronas and I'm set for the night
Let a bitch act up just know it's on sight
They mad cause my time came and I didn't miss my flight
Fuck you thought a bitch was gonna be down her whole life
Bitch no

[Chorus]
I be that hood bitch from that block
It's my hood on top
Why you asking all them questions you a cornball you get popped
I'm really with the shits I'm a real bitch I don't flop
They ask who I be I'm that east coast lit thot
Yeah I gives it up I gives it up I gives it up and that's word
These cats got no stacks man they fucking get on my nerves
I gives it up I gives it up I gives it up and that's word
And if you ain't talking about money then I'm pitching nothing but curves"
5W8U3zV3xjeZL0gjKapWxZ,Sauce Boyz,"[Intro]
I hate when I'm using a guy and shit and they start catching feelings and like no matter what I tell them like they just don't stop liking me. Like I be like listen I'm a hoe I don't cook I don't clean like trust me you don't want me to be the mother of your kids. I don't like mother-in-laws and they just be on some sooo you don't gotta meet my mom. Like nigga you don't fucking get it though?

[Chorus]
I dont do no sauce niggas (lil bitch)
Pop a pill I abort niggas (lil bitch)
And I don't save them I export niggas (lil bitch)
You niggas ass salad tossed niggas (lil bitch)
(Repeat)

[Verse 1]
Always talking about what you got so what you got
Always talking about you run that block nigga really what block
Always talking about your shooters ha, so who y'all shot?
Always talking about your foreign whips nigga, really what lot?
Always talking about y'all niggas scam okay you scam
But your bank account got 0 dollars, so what's the plan?
Boy you lying using hella filters this ain't the gram
Boy I'm hot I use you to cool me down nigga use the fan

[Chorus]
I dont do no sauce niggas (lil bitch)
Pop a pill I abort niggas (lil bitch)
And I don't save them I export niggas (lil bitch)
You niggas ass salad tossed niggas (lil bitch)
(Repeat)

[Verse 2]
Some of you niggas is really too soft
I do y'all like frisbees you niggas get tossed
Always emotional blinging my line go find Nemo and nigga get lost
Cannot talk spicy cause you are not hot
You are just sauce
You bought me a chain, a ring, and a watch but how much it cost
It's not expensive then he is a not I'm cutting him off
They be like Cardi why you so cold nigga I don't defrost
And I mean it y'all fiending why you scheming
You sauce you false won't comment I red beam him

[Chorus]
I dont do no sauce niggas (lil bitch)
Pop a pill I abort niggas (lil bitch)
And I don't save them I export niggas (lil bitch)
You niggas ass salad tossed niggas (lil bitch)
(Repeat)"
