track_id,track_name,album_name,release_date,popularity,artist_ids
6etwirSInfuJrSOlogS6Sh,American Boy,Shine,2008-03-28,77,"['5T0MSzX9RC5NA6gAI6irSn', '5K4W6rqBFWDnAN6FQUkS6x']"
1o8ppmUhxi6d5qZF1NKIub,American Boy - Lost Frequencies Remix,American Boy (Lost Frequencies Remix),2019-04-01,42,"['5T0MSzX9RC5NA6gAI6irSn', '5K4W6rqBFWDnAN6FQUkS6x', '7f5Zgnp2spUuuzKplmRkt7']"
7KVb9lmNXdW6w9VmvXxRkB,Freak,All of Me (Deluxe Version),2012-02-24,41,"['5T0MSzX9RC5NA6gAI6irSn', '2fdHu3PmeJhUwSGdxrFvQb']"
2aDH6OBWFOHDt1OSz2IwBt,Come Over - Radio Version,Come Over,2008-11-14,42,"['5T0MSzX9RC5NA6gAI6irSn', '3Isy6kedDrgPYoTS1dazA9']"
7r2wD5DK8j92wEjOMJRXTI,American Boy - No Rap Version,American Boy (Remixes 2024),2024-05-22,39,['5T0MSzX9RC5NA6gAI6irSn']
1O0KLKEyy4pIrmH5iZT3Q9,American Boy - NASHUP Remix 2024 - Radio Edit,American Boy (Remixes 2024),2024-05-22,40,"['5T0MSzX9RC5NA6gAI6irSn', '39AOKEst7bTMFXv8kaYbdp']"
0qvcqzBF03NBbUGgs92Y6X,One Love (feat. Estelle) - Chuckie and Fatman Scoop Remix,One Love,2009-12-04,39,"['1Cs0zKBU1kc0i8ypK3B9ai', '5T0MSzX9RC5NA6gAI6irSn', '2ZYgrN78OxDdCqaCYFpzrl', '15GGbJKqC6w0VYyAJtjej6']"
4kxuHjDd6i7TtLzzy7Jhds,Come Over,Shine,2008-03-28,39,['5T0MSzX9RC5NA6gAI6irSn']
4Hue6rHN892sFzzOJBHYra,Lights Out,Lovers Rock,2018-09-07,31,['5T0MSzX9RC5NA6gAI6irSn']
0iLEfYSsM1FZQRaqXdX0dq,Fire,Fire,2024-10-18,36,"['5T0MSzX9RC5NA6gAI6irSn', '0ulZIID59tvIwcfTkiYLy5']"
1tkMs9wDPknQ3ZHcKDw1ES,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),Epiphany (Expanded Edition),2007-06-05,76,"['3aQeKQSyrW4qWr35idm0cy', '23LbwefIODbyGdRbAz3urj']"
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),Epiphany (Expanded Edition),2007-06-05,75,"['3aQeKQSyrW4qWr35idm0cy', '0z4gvV4rjIZ9wHck67ucSV']"
0DLOyyQvwPTSDKuhpzMMwA,I'm Sprung,Rappa Ternt Sanga (Expanded Edition),2005-12-06,72,['3aQeKQSyrW4qWr35idm0cy']
6jQeSeqn9AdsCe0NMrylxH,I LUV HER (feat. T-Pain),GLORIOUS,2024-10-11,66,"['2qoQgPAilErOKCwE2Y8wOG', '3aQeKQSyrW4qWr35idm0cy']"
6lbhWl34Il0WXm5pX1fM9E,Up Down (Do This All Day) (feat. B.o.B),Happy Hour: The Greatest Hits,2014,69,"['3aQeKQSyrW4qWr35idm0cy', '5ndkK3dpZLKtBklKjxNQwT']"
04cyJEBNascBpFaYRES91n,Been Like This,Timeless,2024-06-06,59,"['6JL8zeS1NmiOftqZTRgdTz', '3aQeKQSyrW4qWr35idm0cy']"
2QurCbkPO14pjrikPNja0h,I'm N Luv (Wit a Stripper) (feat. Mike Jones),Rappa Ternt Sanga (Expanded Edition),2005-12-06,64,"['3aQeKQSyrW4qWr35idm0cy', '07VmOvmuBp9G0gb8BTrpn0']"
7cyBdix7HId2onf99SrJBV,Church (feat. Teddy Verseti),Epiphany (Expanded Edition),2007-06-05,63,"['3aQeKQSyrW4qWr35idm0cy', '4Jl5W4ETxUCyEDgOEnqI4z']"
4CHLYbx8NB1LUn5WqT0SzV,Best Love Song,Revolver (Expanded Edition),2011-12-06,63,['3aQeKQSyrW4qWr35idm0cy']
6QgkOxBXqVRjZ1JcIDbDYY,Booty Wurk (One Cheek At a Time) (feat. Joey Galaxy),Happy Hour: The Greatest Hits,2014,63,"['3aQeKQSyrW4qWr35idm0cy', '1HvYwEbfOUhm2F4g9nH0vP']"
