track_id,track_name,album_id,album_name,artist_id,artist_name,duration_ms,preview_url,release_year,lyrics
4yreExU3eRNTe2iJz6X6k3,american dream,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,21 Savage,63415,,2024,"My dreams have always gone beyond the crossing of a pond
As a mother, every path I walked was for my son
Challenges were a part of the journey
And what I wanted was an afterthought
The idea of providing him proper chances
Helped me to never stop moving forward

Forever confronting whatever transitions that needed to be endured

To make his position as a winner more secured

Now I smile, feeling assured

My choices wеre not in vain

Locations and situations constantly change

But my unwavering hеart remains

For all the trials and all the pain

The mission is as it's always been

For my son to become a man and live free in his American dream"
2FoahzOSxJnalPA8aBUme3,all of me,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,21 Savage,198292,,2024,"And I wish on all the rainbows that I see
I wish on all the people who really dream
See, my shooter pescatarian, but he eat up all the beef (21)
You gave me your ass to kiss, but want the all of me (Goddamn)
I stand on business, dot my I's and cross my T's

All I got is these lil' pictures when I think 'bout all the G's (21)

Memories in my head, the devil talkin' to me (On God)

I know Satan down that path, but God walkin' with me

Put your phone light in the air if you done lost a nigga (21)

Kept it solid, ran up a bag and didn't have to cross a nigga (21, 21, 21)



Woah, bulletproof my cars (Yeah)

He a homebody, fuck it, kill him in his yard (Yeah)

Niggas go to clubs and let down they guard (21)

We got choppers out until we find somewhere to park (On God)

Pussy, hit the cup and nod (21)

Trench hoes used to curve me, now they treat me like I'm God (Facts)

I know you want my spot, but you don't wanna play your part (Pussy)

If it was up to you, you probably let these niggas starve (21)

I got rich and opened more doors than a doorman (On God)

All the Glocks came with extensions like a sew-in (Straight up)

And all these cars came with BBL's and body kits (21)

Claim you a killer, but you still ain't got a body yet (21)

How you that nigga when you can't go where you grew up at? (Pussy)

How that's your nigga when he cap to hoes behind your back? (The fuck?)

Family picture, you can kill me if you spot a rat (On God)

Real rap, this ain't no cap



See, my shooter pescatarian, but he eat up all the beef (21)

You gave me your ass to kiss, but want the all of me (Goddamn)

I stand on business, dot my I's and cross my T's

All I got is these lil' pictures when I think 'bout all the G's (21)

Memories in my head, the devil talkin' to me (On God)

I know Satan down that path, but God walkin' with me

Put your phone light in the air if you done lost a nigga (21)

Kept it solid, ran up a bag and didn't have to cross a nigga



Came from rats and roaches (Yeah)

I seen plenty homicides and still kept my focus (21)

Kill you for some clout, and they'll do anything for motion (On God)

We can't let no bitch say that she the one who broke us (Facts)

All familiar faces at the table when we toastin' (21)

Every story got a twist

I can put on watches from my shoulder way down to my wrist

I can't wait on no one, I'm a hustler, I won't ask for shit

She gon' look at you less than a man if you ask your bitch (21)

Even if you helped her on her feet (On God)

They take you for granted, better charge your fee (21)

You 'posed to be a woman, that's the better me

How we both pushin' P?



See, my shooter pescatarian, but he eat up all the beef (21)

You gave me your ass to kiss, but want the all of me (Goddamn)

I stand on business, dot my I's and cross my T's

All I got is these lil' pictures when I think 'bout all the G's (21)

Memories in my head, the devil talkin' to me (On God)

I know Satan down that path, but God walkin' with me

Put your phone light in the air if you done lost a nigga (21)

Kept it solid, ran up a bag and didn't have to cross a nigga (21, 21, 21)"
52eIcoLUM25zbQupAZYoFh,redrum,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,21 Savage,270697,,2024,"Woah, woah, woah
Want it all, I won't leave a breadcrumb
Bitch, what? I thought a nigga said sum’
Thought a nigga said sum'
G Block, all we know is redrum

Redrum, redrum, redrum, redrum

G Block, all we know is redrum

Redrum, redrum, redrum, redrum

Nigga, all we know is— (Redrum)



Ridin' in the back, it’s a May' (It's a May')

Thirty-two shots in the K (In the K)

Marathon, I really run the A (Run the A)

Say you touched me, how Sway? (How Sway?)

Graveyard, that's where the opps stay (Opps stay)

Hypnotize, they do what I say (What I say)

21, niggas don't play (Don't play)

My Glock Gen5 said hey (Said hey)

Take my chopper everywhere, that's bae (That’s bae)

Gеt yo’ ass out the car, you givin' trade (Giving trade)

Wе been spinnin’ through they hood all day (All day)

Niggas say they outside, okay, okay

I can't let a bitch play me, no way (No way)

You a duck if you believe what ho say (What ho say)

She got way more bodies than my old K (Old K)

My lil' brother beat his body, OJ (OJ)

Niggas talkin' ’bout they lit, I'm La Flame (Pussy)

That lil' boy a mascot, he ain't gang (Pussy)

Watch a half a million dollars and it's plain (Pussy)

I don't go through TSA to get on planes (Pussy)

You get pussy without head, then you lame (Pussy)

She knew I was leavin' 'fore I even came (Pussy)

Two revolvers on my waist, John Wayne (Pussy)

Smack niggas, then I get on live and sing (Yeah)



Want it all, I won't leave a breadcrumb

Bitch, what? I thought a nigga said sum'

Thought a nigga said sum'

G Block, all we know is redrum

Redrum, redrum, redrum, redrum

G Block, all we know is redrum

Redrum, redrum, redrum, redrum

Nigga, all we know is— (Redrum)



How many niggas got the belt? (A lot)

Catch 'em at the light, he get nailed (Bow)

9-1-1, somebody help

Sub-tweeting bad for your health, pussy

I'm a gangster, I ain't takin' shit back, pussy

I'll never do no song with no rat, pussy

Put a Lego in a stick, it rat-a-tat, pussy

I don't wanna talk, go and catch a hat, pussy

Big Draco come up out that Scat, pussy

He stood on business, now he layin' on his back, pussy

Ask around, I be rappin' nothin' but facts, pussy

We the reason all these niggas runnin' track, pussy (On God)

You ain't never stepped, you can't tell me a thing (21)

I got big kahunas and I'm lettin' 'em hang (21)

Keep my mouth closed and that's never gon' change (21)

You get in the jam and go to pointin' and blame (21, 21)

I ain't let it slide, I was sharpenin' aim

Smokin' on my brothers, got his ass left slain

You know it's smoke, 'cause they ain't even take off his chain

Say it's up with me, your ass must do cocaine (21, 21)



Want it all, I won't leave a breadcrumb

Bitch, what? I thought a nigga said sum'

Thought a nigga said sum'

G Block, all we know is redrum

Redrum, redrum, redrum, redrum

G Block, all we know is redrum

Redrum, redrum, redrum, redrum

Nigga, all we know is— (Redrum)



Little pigs

Little pigs, let me come in

Not by the hair on your chinny-chin-chin?

Then I'll huff, and I'll puff, and I'll blow your house down

Here's Johnny"
6x9pCndnXEoea0CMcfjs9W,n.h.i.e.,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,"21 Savage, Doja Cat",143718,,2024,
2K7sv1mno9PvbXVBpqvSKn,sneaky,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,21 Savage,201672,,2024,"Every time we link, it be sneaky
All my hoes clean, niggas squeaky
Buy her new Chanel, I'm talkin' weekly
I could tell she goin' by how she greet me
Your baby daddy pussy, he ain't on nothin'
If he was in the spot, I'd make him store run

Say you gettin' money, nigga, show somethin'

Since everybody love him, let's see who post him



Boogers in the chain, yeah, it's snot (Mhm)

I spend real-estate funds on a watch (Mhm)

I'm on G Block, pussy, where it's hot (Mhm)

Nigga jumped inside my car and he got popped (Mhm)

Don't be playin', all that tеasin' got me rock (Mhm)

Girl, you movin' way more wocky than my Wock' (Mhm)

I wear Nikе Tech 'cause I don't like to shop (Mhm)

Got her titties done, now she don't wear no bra (Mhm)

Turn your phone off when you get inside my car (Mhm)

Have some etiquette, lil' bitch, you with a star (Mhm)

Head so good, she could eat ice cream with a straw (Mhm)

I'm too fertile to be goin' in you raw (Mhm)

When we fuckin', we get stuck 'cause I'm a dog (Mhm)

If your ex call one more time, I'm gettin' him robbed (Mhm)

I write raps and give out smoke like it's my job (Mhm)

All these hoes past burned, they damn near charred (Mhm)



Every time we link (Link), it be sneaky (It be sneaky)

All my hoes clean (Clean), niggas squeaky (Niggas squeaky)

Buy her new Chanel (Yeah), I'm talkin' weekly (I'm talkin' weekly)

I could tell she goin' (Goin') by how she greet me (By how she greet me)

Your baby daddy pussy (Pussy), he ain't on nothin' (He ain't on nothin')

If he was in the spot (Yeah), I'd make him store run (Make him store run)

Say you gettin' money (Pussy), nigga, show somethin' (Yeah)

Since everybody love him (21), let's see who post him (21, 21)



I'm a pimp, but I ain't walkin' with no cane (Mhm)

GIAs, they didn't come from Johnny Dang (Mhm)

Seven figures on a watch and that shit plain (Mhm)

Stones in my ears colder than Jermaine (Mhm)

If he buckin', then we beat him out his chain (Mhm)

Fuck it, put a K behind the shit he claim (Mhm)

We just fuckin', bitch, you know you ain't my main (Mhm)

I'm disappointed you gave pussy to a lame (Mhm)

Like a small forward, I be in the cut (Mhm)

Where his hood at? We'll shoot it up (Mhm)

She from the trenches, so she play a lil' rough (Mhm)

I bend her over, then I show who really tough (Mhm)

I call the switch ""Flip Mode"" when it bust (Mhm)

Put his ass in a spliff, now he dust (Mhm)

I told her, ""Meet me at the spot, I'm in a rush"" (Mhm)

She butt-naked with a trench on and her clutch (Mhm)



Every time we link (Link), it be sneaky (It be sneaky)

All my hoes clean (Clean), niggas squeaky (Niggas squeaky)

Buy her new Chanel (Yeah), I'm talkin' weekly (I'm talkin' weekly)

I could tell she goin' (Goin') by how she greet me (By how she greet me)

Your baby daddy pussy (Pussy), he ain't on nothin' (He ain't on nothin')

If he was in the spot (Yeah), I'd make him store run (Make him store run)

Say you gettin' money (Pussy), nigga, show somethin' (Yeah)

Since everybody love him (21), let's see who post him (21, 21)"
47yD0e9MCRIB8dgUXPfyW3,pop ur shit,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,"21 Savage, Young Thug, Metro Boomin",193320,,2024,"Hahaha (If Young Metro don't trust you, I'm gon' shoot you)
Yeah, yeah
Watch on my wrist is a car lot (Let's go)
Lamb' truck talkin', it's a robot (Skrrt)
AR-15 and it fold out (Grrah, grrah, grrah, grrah)

Patek or the Richard when I go out (Hold on)

Stone cold killer rockin' Goyard (Goyard)

Stone cold killer rockin' Gucci

New Jack City servin' Pooky (What?)

Ridin' in a Vert' with a Uzi (Skrrt)

Four, five, six, nigga, double up (Hold on)

Took 'em on a movie, called it ""Bubble Gut""

Big dawg, we'll hit your gunners up (Slatt, dog)

Come in first place, not the runner up

Came from the bottom, but I made a lot of Ms

I'ma buy a couple of cars just to fuck it up (Fuck it up)

I ain't never really been a fan of the games

If you spend the night with me, you gotta suck it up (Hold on)

Mike Amiri jeans cost two thou' (Two racks)

Saint Laurent sweatеr, that's a few thou' (No cap)

Savage got a lot of bad puta

So I keep liquor and hookah (Who, who?)

I ain't givin' 12 no type of convеrsation

Better off tryin' to pull a tooth out (On God)

And I'm from the Eastside, better know as Afghan'

Nigga, we ain't really with the roo-rah (Pop, pop)



Pop your shit (Hold on)

Pop your shit (Ayy)

Pop your shit (Pop your shit, skrrt)

Pop your shit (Shit)

Pop your shit (Pop your shit)

Pop your shit (Shit)

Pop your shit (Pop your shit)

Pop your shit (Shit)



Brand new coupe (Skrrt, skrrt)

Ain't no roof (Ain't no roof)

Sippin' Red, but my diamonds blue (But my diamonds blue)

What you smokin'? (What you smokin'?)

Uncle Snoop

It smell like gas, I think somebody pooped (Slime, yeah)



The jewelry came in acquitted with a mop (Slime)

The jury wasn't sure— (Skrrt-skrrt, skrrt, Slime)

Nigga tried to ran and got stopped (Slime)

Who that trappin' on the block? (Slime)

Seventy-five thousand to a block (Slime)

Beat 'em, beat 'em— (Slime)

COMME des gar', socks and the drawers (Slime)

COMME des gar' Nikes, and they shocks (Slime, Slime)

The bitch ran up and got— (Slime)

He hatin' 'cause his album just flopped (That's Slime)

Eight ounces my steak (Slime), eight ounces of— (Slime)

Thirty-cent ounces— (Slime), is it pure—? (Not, not)

Twenty-eight ounces of, uh (Slime), eight ounces of— (Slime, ha)

Baby got manners (Slime), she tie my shoes (Slime)

Came-came equipped with the loot (Slatt-slatt)

21, that's who (Slatt-slatt)

Your bitch'll probably slide by the two (Slime)

You ran out of money, out the loot (Red dot)

Kickin' a lot of shit, Jesús (Bawk)

The bitch booty big like Bruce (Slime)



Pop your shit

Pop your shit

Pop your shit

Pop your shit

Pop your shit

Pop your shit

Pop your shit

Pop your shit



Brand new coupe (Brand new coupe)

Ain't no roof (It ain't no roof)

Sippin' Red, but my diamonds blue (My diamonds blue)

What you smokin'? (What you smokin'?)

Uncle Snoop (21, 21)

It smell like gas I think somebody pooped (21, 21)



We 'bout to take over, makin' 'em sour, yeah

I got a cougar, she givin' me power, yeah

I'm makin' it rain, she takin' a shower

Gucci collab with Disney, her shirt is Mickey Mouse, yeah

(Hahaha)"
5P1z8XwsCStb74emERTx9v,letter to my brudda,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,21 Savage,159133,,2024,"Woah, woah, woah
Once you cross that line, it ain't no tryin' to fix it
You want me to forgive you, let's be realistic
I can't kick it with your kind like I tore my meniscus
How you go from co-defendant to a fuckin' witness?

They'll stand on couches with you, but won't stand on business

Woah

I watched everybody turn on my brother like he ain't have 'em out here flyin' jets and fuckin' bitches

This shit ridiculous

I feel your pain, my brother

I know you from the struggle

I know how hard you hustled just to take care of your mother

I know you took clothes off your back for niggas you call brother

I know how hard it get in this jungle, tryna prevail without bein' tried like you no sucker

Huh, life's a motherfucker, yeah

I know ain't nobody perfect

But what's the point in makin' it out if all they do is cuff ya?



You know, we be comin' from, like, the worst conditions, the worst circumstances

The trenches, the gutter

And sometimes we be forced to make decisions that we don't even wanna make

It be about survival

At the end of the day, we be havin' good hearts

They just be in bad places

I guess that's life, though



Father God, forgive me for my sins

Take the mask off all my enemies that's out here actin' like my friends

Did some shit I'm prayin' I never gotta do again

I put blood, sweat, and tears inside this win

If I take care of my hood, the prosecutor call me Gotti

Turn my back on the hood, they probably kill me, probably rob me

It's a Catch-22, I'm bein' honest

Hard work, tryna keep the past behind me

I still be havin' flashbacks 'bout Johnny

Fast forward and the major label signed me

Had to hustle, had to focus, perseverance

Mama used to go to TJ Maxx and shop on clearance

Tayman and CJ, I can still feel they spirits

Skinny and Wanwan used to rap, I know they hear it

It ain't that easy, puttin' pain inside of lyrics

Send this up to Heaven so they can clear it



Y'all know, like, real street niggas gon' feel this shit

And I don't want niggas to get misunderstood

'Cause the rules we live by, don't even matter no more

Just a, just a setback for you to come back

Can't hold a nigga down forever

Know what I'm sayin'?

'Til then, we gon' hold this shit down, straight up"
0fyP96TikhD9sM4eKqw5Yp,dangerous,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,"21 Savage, Lil Durk, Metro Boomin",265305,,2024,"Baby, don't be slurpin' when my buddy get out, baby (Woah, woah)
Just back up, like (Woah, woah, woah, woah)
Don't be nut-holding (Woah, woah)
And for you all fuck niggas (Woah, woah)
Stay out the way (Woah, woah, woah)
On God (Woah, woah)



I'm in the Jeep with the doors off (21)

She in my spot with her clothes off (21)

Shot to the face, he dozed off (21)

Spinned they block and we rode off (21)

Oh, you wanna speak on CJ? (21) I'ma come knock your bros off (21)

Run around like you steppin' on shit, fuck it, we just gon' cut his toes off (21)

I don't even got no face, my face burnt

Empty your pockets, you buck on a robbery, you get your face burnt (21)

I'm with them youngins, they love to spin, them lil' niggas stay turnt (21)

I ain't goin' back and forth with no bitch, said I'ma chase her (21, 21)



Pop up out that cut (21), fuck it, drop your nuts (21)

He was smokin'— okay, he got touched (21)

Draw down on your man (21), boy, you bеtter not clutch (21)

Every time thеy shit get spinned, they blamin' us (21)

Where they hood at, twin? Let's go flame it up (21)

Niggas lyin' 'bout the score, they need to hang it up (21)

You gon' get your Glock took tryna hang with us (21, man, what?)

I grew up on the Eastside where it's dangerous (Smurk, facts)



I'ma speak to my brother killer (Facts)

They gettin' killed for another nigga (Facts)

How you gon' ride for another nigga in a different city? Y'all homie switchin' (Gang)

I can't talk, my voice bigger

Whatever you think, my boys did it (Yeah, hahaha)

YouTube record what niggas sayin', he said he did, I know he didn't (Yeah)

I'm the man, I'll bring a million in cash around them robbers, shooters (Yeah)

Wasn't a dollar missin', ask any nigga in the trenches, that's on Buddha (That's on Buddha)

Opps be sayin' the police 'round when I be out outside (Cap)

They lyin', just slidin' (Slide)

Them baby threats gon' make them change they mind (Ayy, lil' bro)

I ain't gettin' touched, the city gave up on me, I ain't give a fuck (I ain't give a fuck)

I lost real members to them streets, I can't give 'em up (I can't give 'em up)

Not the clothes, but them opp hoes, I got my dickie sucked (Got my dick sucked)

Dede out for ninety, Boona fifty, fuck that Bentley truck (Man, what?)

Goin' to court like we gon' trick on him, bro, what you did to him? (Pussy)

Losin' back to back, they still ain't slide like that shit weird to him (Pussy)

County jail, he go on any deck, that shit get real for him (Get him)

When I'm off papers, I'm goin' to visit Steve, free my man and them (Free Steve)

And they almost got inside his head, what they sayin' to him? (Free Steve)

And all them killers that you look up to, I'm the man to them



OTF4L (21, 21, 21)

And I don't even be cliquin' and linkin' with niggas



Pop up out that cut (21), fuck it, drop your nuts (21)

He was smokin'— okay, he got touched (21)

Draw down on your man (21), boy, you better not clutch (21)

Every time they shit get spinned, they blamin' us (21)

Where they hood at, twin? Let's go flame it up (21, facts)

Niggas lyin' 'bout the score, they need to hang it up (21, facts)

You gon' get your Glock took tryna hang with us (21, facts)

I grew up on the Eastside where it's dangerous (Yeah, yeah, facts, man, what?)



We turn bullies to ashes (21), knock a nigga out like Cassius (21)

Cut on that switch and I blast it (21), which one of y'all opps the fastest? (21)

I ain't even go to my classes, fuck I look like giving out passes? (21)

Two hundred on all my dashes, all my opps be musty and ashy (21)

I don't wanna argue on the 'Gram, I'm tryna paint him red (21)

I don't even feel like fuckin' right now, baby, just give me some head (21)

Every dog gon' have his day, so stand on what you said (21)

I can't wait to shrug my shoulders when you pop up dead (21)

He on the phone gangbangin' while he in the feds (21)

Came home and tried to hang, that shit had me scared (21)

This bitch got her outside clothes in my bed (21)

You got some nerve, lil' bitch, my covers cost an arm and leg (21)

Mossberg with the slugs takin' off his legs (Fow)

Put that stick all in his face, knock out all his dread (Grrah, fow)

Send a blitz, I ain't talkin', nigga, this ain't TED (Pussy)

You feel some type of way, you pussy 'cause you scared to say it (Pussy)



Pop up out that cut (21), fuck it, drop your nuts (21)

He was smokin'— okay, he got touched (21)

Draw down on your man (21), boy, you better not clutch (21)

Every time they shit get spinned, they blamin' us (21)

Where they hood at, twin? Let's go flame it up (21)

Niggas lyin' 'bout the score, they need to hang it up (21)

You gon' get your Glock took tryna hang with us (21)

I grew up on the Eastside where it's dangerous (Facts)"
2yUzr8Sr6ldG8vmHhZwTnz,née-nah,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,"21 Savage, Travis Scott, Metro Boomin",220584,,2024,"I took a ballerina down to the ball dance
Met a couple ball players, found a ball stance
Now we in the bathroom, she found a ball face
Took some shots and balled out, now how the stall taste?
I can't even go inside, my old hoes might hear
I might need to hit the town, I need you right here, right here

'Til she reached in the trunk and found a nina

I told her, ""Baby, that's Nina Simone""

Ayy, drivin' through the liquor store faded, braided

Hands in this motherfucker wavin', hazy

'80s like the '90s and 2000s (Tuh-tuh-tuh-tuh-tuh-tuh-tuh)

Drivin' through this motherfucker, wildin'

Ayy, Brady seven pack, they come in bunch

I been with the 'quad on a high note, gettin' C-notes

Different presentation to this vibe, you need a keynote

Presi' 'round this motherfucker, I ain't sendin' vetos

Ain't no stoppin' shit or stoppin' licks, them boys on G-O

Battin' out the 504, I saved her name as ""Creole""

Balance when I'm on a road, I get the go and T-O

Dominatrix Matrix when she do it like I'm Neo

Shit is off its sockets, they lock in

Mama said live up to my name, but they jockin'

They gon' try go and take your face for the profit

They gon' lie, they gon' slip and slide, get beside ya

They gon' try, we a hundred deep like Verizon

In the trees with the bumble bees on horizon

Ain't catchin' Zs, I been in in the V, on road to Zion

Sell they souls, hoppin' in that mode that I ain't buyin'



He ain't Slaughter Gang, then he ain't official (Yeah)

When that chopper sing, you really think that they gon' miss you?

I spent a half a million dollars on dismissals

It's gon' be a hearse, not a verse if I diss you (Mhm)

Got me fucked up, nigga, got me fucked up (Yeah)

When I send it past the ceilin', that shit stuck up

All that talkin', actin' tough get you roughed up (21, 21)

If your wifey at the spot, she gettin' bust up (21, 21)



Rich nigga, got my strap from Tommy Hilfiger (21)

Red, white, and blue, American, I kill niggas (Pussy)

Spray his block and then pull off, this a real dipple (Skrrt)

Bottega pick my cotton, but I'm a field nigga (On God)

I be sittin' inside the house 'cause I don't feel niggas (Fuck 'em)

Fuck with Baby, but my baby like to drill niggas (BabyDrill)

Claustrophobic, I don't even like to chill with 'em (21)

Guess I'm fake since everybody say they real niggas (On God)

Got a whoopin', but you still ain't learned your lesson, huh? (Pussy)

Hard-headed, you won't end up on a stretcher, huh? (Pussy)

Oh, you Usher now, you givin' out confessions, huh? (Pussy)

On the blogs like these hoes, oh, you messy, huh? (Pussy)

Put a Louis logo on my switch

I know Virgil probably lookin' down like, ""Damn, this nigga back on that shit"" (21)

Back inside the club with my blick (21)

Playin' freeze tag, shit, I'm tryna see who it (On God)

Niggas say we opps, when they see me, don't do shit (On God)

Only person believe that you a killer is your bitch (21)

Makin' diss songs, this nigga died about a diss (Facts)

If I see my opps while I'm in cuffs, then I'ma spit (Pussy)

Wanna kill the world about your bitch 'cause she on dick (21)

Thinkin' 'bout the hoes that I'ma shit on while I piss (21)

You ain't heard my music, why you ballin' up your fists? (21)

Reverb on the chopper, it go, ""Baow"" when it hit (21)



He ain't Slaughter Gang, then he ain't official (Yeah)

When that chopper sing, you really think that they gon' miss you?

I spent a half a million dollars on dismissals

It's gon' be a hearse, not a verse if I diss you (Mhm)

Got me fucked up, nigga, got me fucked up (Yeah)

When I send it past the ceilin', that shit stuck up

All that talkin', actin' tough get you roughed up (21, 21)

If your wifey at the spot, she gettin' bust up"
4E64eAph6AYI98ucunrGH8,see the real,2RRYaYHY7fIIdvFlvgb5vq,american dream,1URnnhqYAYcrqrcwql10ft,21 Savage,182039,,2024,"My dog don't want nothin' out of life but to kill niggas
And they wonder why I'm still with 'em
All these Ms in the bank, I don't feel richer
I'ma step up in that way since a lil' nigga
Another body get dropped, I don't feel different
Took some Ls, but I'm still winnin'

You knew she was a thot, why you still with her?

When you tell somebody no, you see the real in 'em



Slidin' in the Benz

You know that's my brother, so we call each other twins

By the way we shake hands

Got it out the mud, but we grew up in the sand

You a shooter or a fan?

We can't get at you, then we gon' bring it to your mans

I don't do the Twitter rants

Brand new Desert Eagle, tryna stuff it in my pants

Check my net worth, I'll be dead first

All my hoes fine, got the best head

If I wanna cuff her, she arrested

Try to take my bitch, you get your neck slit

Call me Santa Claus, 'cause I'm rich-rich

Put a Birkin bag on your wish list

Jumped in the DM and she missed it



My dog don't want nothin' out of life but to kill niggas

And they wonder why I'm still with 'em

All these Ms in the bank, I don't feel richer

I'ma step up in that way since a lil' nigga

Another body get dropped, I don't feel different

Took some Ls, but I'm still winnin'

You knew she was a thot, why you still with her?

When you tell somebody no, you see the real in 'em



Snitchin' is a no-no

Rappers wanna beef, but I ain't givin' niggas promo

Got your baby mama with me askin' for the coco

Not Chanel neither, nah, she wanna do the blow-blow

Hit her from the back, then I put her in the chokehold

Shit done got crazy, man, we fuckin' on the floor-floor

Sippin' on this syrup and it got me movin' slow-mo

She gon' take a charge if we run into the po-po

Walk 'em down 'til I'm tired

Give a opp a first-class ticket to the sky

Diamonds ice skating, if you touch 'em, we gon' slide

Shut up, hit this hookah, you keep fuckin' up the vibe

She ain't mine, but I treat her like I love her

Pussy good, but I can't hit without no rubber

She start trippin', I'ma go and get another



My dog don't want nothin' out of life but to kill niggas

And they wonder why I'm still with 'em

All these Ms in the bank, I don't feel richer

I'ma step up in that way since a lil' nigga

Another body get dropped, I don't feel different

Took some Ls, but I'm still winnin'

You knew she was a thot, why you still with her?

When you tell somebody no, you see the real in 'em"
