word,frequency,money,women,drugs,crime,positive
t,3259,0,0,0,0,0
m,2464,0,0,0,0,0
s,1809,0,0,0,0,0
don,1207,0,0,0,0,0
ain,1109,0,0,0,0,0
all,1055,0,0,0,0,0
when,827,0,0,0,0,0
if,710,0,0,0,0,0
bitch,709,0,1,0,0,0
bitches,693,0,0,0,0,0
wanna,659,0,0,0,0,0
fuck,642,0,0,0,0,0
let,589,0,0,0,0,0
cause,554,0,0,0,0,0
still,551,0,0,0,0,0
no,547,0,0,0,0,0
em,497,0,0,0,0,0
niggas,481,0,0,0,0,0
back,480,0,0,0,0,0
now,435,0,0,0,0,0
nigga,421,0,0,0,0,0
never,412,0,0,0,0,0
some,410,0,0,0,0,0
re,404,0,0,0,0,0
how,404,0,0,0,0,0
look,399,0,0,0,0,0
real,361,0,0,0,0,1
baby,358,0,1,0,0,0
then,353,0,0,0,0,0
girls,350,0,0,0,0,0
more,345,0,0,0,0,0
nicki,342,0,0,0,0,0
d,334,0,0,0,0,0
stop,332,0,0,0,0,0
ll,322,0,0,0,0,0
shit,317,0,0,0,0,0
play,315,0,0,0,0,0
big,314,0,0,0,0,0
not,300,0,0,0,0,0
bad,296,0,0,0,0,0
man,281,0,0,0,0,0
yo,281,0,0,0,0,0
ma,278,0,1,0,0,0
put,274,0,0,0,0,0
o,271,0,0,0,0,0
gotta,258,0,0,0,0,0
pum,256,0,0,0,0,0
keep,254,0,0,0,0,0
good,253,0,0,0,0,0
anybody,248,0,0,0,0,0
ah,248,0,0,0,0,0
only,241,0,0,0,0,0
fly,231,0,0,0,0,0
money,230,0,0,0,0,0
here,228,0,0,0,0,0
raah,228,0,0,0,0,0
boy,225,0,0,1,0,0
na,222,0,0,0,0,0
boom,221,0,0,0,0,0
bout,220,0,0,0,0,0
bang,219,0,0,0,0,0
ya,212,0,0,0,0,0
why,212,0,0,0,0,0
beat,212,0,0,0,0,0
yes,210,0,0,0,0,0
always,209,0,0,0,0,0
too,208,0,0,0,0,0
ass,207,0,0,0,0,0
little,206,0,0,0,0,0
ooh,204,0,0,0,0,0
right,203,0,0,0,0,0
every,200,0,0,0,0,0
ever,197,0,0,0,0,0
name,193,0,0,0,0,0
sir,192,0,0,0,0,0
where,191,0,0,0,0,0
even,190,0,0,0,0,0
hit,185,0,0,0,0,0
gon,181,0,0,0,0,0
young,181,0,0,0,0,0
feelin,179,0,0,0,0,0
won,178,0,0,0,0,0
pretty,175,0,0,0,0,0
body,173,0,0,0,0,0
y,171,0,0,0,0,0
pussy,171,0,0,0,0,0
dem,170,0,0,0,0,0
hard,167,0,0,0,0,0
as,166,0,0,0,0,0
mun,164,0,0,0,0,0
ready,163,0,0,0,0,0
game,162,0,0,0,0,0
yuh,160,0,0,0,0,0
high,153,0,0,0,0,0
gonna,153,0,0,0,0,0
myself,152,0,0,0,0,0
dungeon,152,0,0,0,0,0
than,151,0,0,0,0,0
really,149,0,0,0,0,0
god,148,0,0,0,0,0
everything,146,0,0,0,0,0
dragon,144,0,0,0,0,0
b,144,0,0,0,0,0
away,142,0,0,0,0,0
ride,141,0,0,0,1,0
shoot,140,0,0,0,0,0
daddy,140,0,0,0,0,0
run,138,0,0,0,0,0
mean,137,0,0,0,0,0
stupid,135,0,0,0,0,0
getting,134,0,0,0,0,0
ve,132,0,0,0,0,0
gyal,132,0,1,0,0,0
mi,131,0,0,0,0,0
lil,131,0,0,0,0,0
face,131,0,0,0,0,0
there,130,0,0,0,0,0
last,130,0,0,0,0,0
girl,130,0,0,0,0,0
buy,129,0,0,0,0,0
blazing,129,0,0,0,0,0
win,128,0,0,0,0,0
everybody,127,0,0,0,0,0
wish,127,0,0,0,0,0
club,126,0,0,0,0,0
park,125,0,0,0,0,0
please,124,0,0,0,0,0
stay,122,0,0,0,0,0
k,118,0,0,0,0,0
new,117,0,0,0,0,0
again,117,0,0,0,0,0
ayo,116,0,0,0,0,0
hoes,116,0,0,0,0,0
kill,115,0,0,0,0,0
pull,115,0,0,0,0,0
f,115,0,0,0,0,0
somebody,113,0,0,0,0,0
mad,113,0,0,0,0,0
muny,112,0,0,0,0,0
lie,110,0,0,0,0,0
best,109,0,0,0,0,0
fuckin,109,0,0,0,0,0
