word,frequency,money,women,drugs,crime,positive
t,3865,0,0,0,0,0
m,2934,0,0,0,0,0
s,2464,0,0,0,0,0
all,1687,0,0,0,0,0
don,1564,0,0,0,0,0
ain,1427,0,0,0,0,0
niggas,1081,0,0,0,0,0
no,1058,0,0,0,0,0
when,932,0,0,0,0,0
nigga,898,0,0,0,0,0
money,876,0,0,0,0,0
shit,829,0,0,0,0,0
now,736,0,0,0,0,0
cause,648,0,0,0,0,0
if,630,0,0,0,0,0
keep,598,0,0,0,0,0
fuck,597,0,0,0,0,0
some,593,0,0,0,0,0
bitch,565,0,1,0,0,0
let,563,0,0,0,0,0
em,553,0,0,0,0,0
how,529,0,0,0,0,0
man,518,0,0,0,0,0
never,481,0,0,0,0,0
smoke,480,0,0,0,0,0
real,478,0,0,0,0,1
back,476,0,0,0,0,0
weed,474,0,0,1,0,0
roll,449,1,0,0,0,0
gotta,435,0,0,0,0,0
ll,432,0,0,0,0,0
gang,430,0,0,0,1,0
high,411,0,0,0,0,0
wanna,397,0,0,0,0,0
here,392,0,0,0,0,0
gon,388,0,0,0,0,0
not,387,0,0,0,0,0
where,368,0,0,0,0,0
then,368,0,0,0,0,0
hard,363,0,0,0,0,0
right,361,0,0,0,0,0
why,342,0,0,0,0,0
bout,337,0,0,0,0,0
even,332,0,0,0,0,0
as,329,0,0,0,0,0
more,328,0,0,0,0,0
bitches,318,0,0,0,0,0
taylor,302,0,0,0,0,0
there,293,0,0,0,0,0
good,293,0,0,0,0,0
re,291,0,0,0,0,0
game,280,0,0,0,0,0
new,279,0,0,0,0,0
baby,278,0,1,0,0,0
too,277,0,0,0,0,0
big,273,0,0,0,0,0
ass,266,0,0,0,0,0
hit,266,0,0,0,0,0
wiz,266,0,0,0,0,0
girl,264,0,0,0,0,0
still,264,0,0,0,0,0
ooh,258,0,0,0,0,0
everything,256,0,0,0,0,0
khalifa,248,0,0,0,0,0
tryna,245,0,0,0,0,0
gettin,231,0,0,0,0,0
much,228,0,0,0,0,0
hoes,226,0,0,0,0,0
put,225,0,0,0,0,0
bad,220,0,0,0,0,0
nothing,220,0,0,0,0,0
stay,217,0,0,0,0,0
young,216,0,0,0,0,0
another,216,0,0,0,0,0
only,215,0,0,0,0,0
talk,213,0,0,0,0,0
look,213,0,0,0,0,0
rollin,212,0,0,0,0,0
every,207,0,0,0,0,0
always,196,0,0,0,0,0
smokin,193,0,0,0,0,0
play,193,0,0,0,0,0
top,193,0,0,0,0,0
ma,192,0,1,0,0,0
ride,189,0,0,0,1,0
chorus,188,0,0,0,0,0
ya,188,0,0,0,0,0
smoking,186,0,0,0,0,0
lot,185,0,0,0,0,0
verse,184,0,0,0,0,0
rolling,184,0,0,0,0,0
whole,184,0,0,0,0,0
paper,183,1,0,0,0,0
club,183,0,0,0,0,0
fuckin,182,0,0,0,0,0
live,179,0,0,0,0,0
spend,178,0,0,0,0,0
car,175,0,0,0,0,0
really,174,0,0,0,0,0
show,172,0,0,0,0,0
won,172,0,0,0,0,0
throw,171,0,0,0,0,0
damn,171,0,0,0,0,0
ever,163,0,0,0,0,0
getting,160,0,0,0,0,0
kush,159,0,0,1,0,0
gonna,158,0,0,0,0,0
own,154,0,0,0,0,0
okay,154,0,0,0,0,0
plane,152,0,0,0,0,0
homie,151,0,0,0,0,0
same,149,0,0,0,0,0
fly,147,0,0,0,0,0
ve,147,0,0,0,0,0
long,147,0,0,0,0,0
face,145,0,0,0,0,0
home,145,0,0,0,0,0
something,144,0,0,0,0,0
g,143,0,0,0,0,0
than,134,0,0,0,0,0
hol,133,0,0,0,0,0
watch,133,0,0,0,0,0
pull,133,0,0,0,0,0
huh,133,0,0,0,0,0
sayin,131,0,0,0,0,0
goin,130,0,0,0,0,0
change,127,0,0,0,0,0
hundred,127,0,0,0,0,0
o,127,0,0,0,0,0
badass,126,0,0,0,0,0
most,125,0,0,0,0,0
n,125,0,0,0,0,0
remember,124,0,0,0,0,0
black,123,0,0,0,0,0
blow,121,0,0,1,0,0
hook,120,0,0,0,0,0
name,119,0,0,0,0,0
y,119,0,0,0,0,0
hear,119,0,0,0,0,0
rich,118,0,0,0,0,0
round,117,0,0,0,0,0
blowing,116,0,0,0,0,0
again,116,0,0,0,0,0
nothin,115,0,0,0,0,0
lookin,115,0,0,0,0,0
d,114,0,0,0,0,0
first,114,0,0,0,0,0
kk,114,0,0,0,0,0
probably,113,0,0,0,0,0
diamonds,113,0,0,0,0,0
straight,113,0,0,0,0,0
mad,112,0,0,0,0,0
ah,111,0,0,0,0,0
til,110,0,0,0,0,0
enough,110,0,0,0,0,0
run,109,0,0,0,0,0
yellow,108,0,0,0,0,0
team,108,0,0,0,0,0
our,108,0,0,0,0,0
grind,108,0,0,0,0,0
better,107,0,0,0,0,0
hate,107,0,0,0,0,0
while,106,0,0,0,0,0
done,106,0,0,0,0,0
well,106,0,0,0,0,0
rolled,106,0,0,0,0,0
cash,106,0,0,0,0,0
party,106,0,0,0,0,0
doing,106,0,0,0,0,0
crib,106,0,0,0,0,0
couple,103,0,0,0,0,0
place,103,0,0,0,0,0
city,103,0,0,0,0,0
yea,102,0,0,0,0,0
low,102,0,0,0,0,0
full,100,0,0,0,0,0
joint,100,0,1,0,1,0
paid,98,0,0,0,0,0
phone,98,0,0,0,0,0
best,98,0,0,0,0,0
move,97,0,0,0,0,0
cuz,97,0,0,0,0,0
pass,96,0,0,0,0,0
pop,94,0,0,0,1,0
turn,94,0,0,0,0,0
business,94,0,0,0,0,0
away,94,0,0,0,0,0
friends,93,0,0,0,0,0
already,93,0,0,0,0,0
talkin,92,0,0,0,0,0
cars,92,0,0,0,0,0
little,92,0,0,0,0,0
fast,91,0,0,0,0,0
other,91,0,0,0,0,0
foreign,91,0,0,0,0,0
different,90,0,0,0,0,0
mean,89,0,0,0,0,0
fall,89,0,0,0,0,0
many,89,0,0,0,0,0
star,89,0,0,0,0,0
j,88,0,0,0,0,0
till,88,0,0,0,0,0
bottles,87,0,0,0,0,0
front,87,0,0,0,0,0
head,86,0,0,0,0,0
care,86,0,0,0,0,0
slow,86,0,0,0,0,0
hold,86,0,0,0,0,0
break,83,0,0,0,0,0
funk,83,0,0,0,0,0
close,83,0,0,0,0,0
ball,83,0,0,0,0,0
sky,81,0,0,0,0,0
hustlin,81,0,0,0,0,0
bring,81,0,0,0,0,0
heard,80,0,0,0,0,0
stop,80,0,0,0,0,0
yup,79,0,0,0,0,0
bag,79,1,0,0,0,0
mary,79,0,0,0,0,0
pound,78,0,0,0,0,0
boss,78,0,0,0,0,0
wake,78,0,0,0,0,0
bought,77,0,0,0,0,0
smell,77,0,0,0,0,0
wait,76,0,0,0,0,0
doin,76,0,0,0,0,0
hella,75,0,0,0,0,0
pay,75,0,0,0,0,0
mma,74,0,0,0,0,0
drink,74,0,0,0,0,0
lil,74,0,0,0,0,0
soon,74,0,0,0,0,0
broke,72,0,0,0,0,0
thats,72,0,0,0,0,0
drop,72,0,0,0,0,0
boy,71,0,0,1,0,0
nobody,71,0,0,0,0,0
last,71,0,0,0,0,0
once,70,0,0,0,0,0
door,70,0,0,0,0,0
god,70,0,0,0,0,0
catch,69,0,0,0,0,0
blue,69,0,0,0,0,0
floor,69,0,0,0,0,0
old,68,0,0,0,0,0
lotta,68,0,0,0,0,0
chain,68,0,0,0,0,0
sleep,68,0,0,0,0,0
air,68,0,0,0,0,0
started,68,0,0,0,0,0
gin,67,0,0,0,0,0
clothes,67,0,0,0,0,0
ridin,67,0,0,0,0,0
though,67,0,0,0,0,0
im,67,0,0,0,0,0
hell,67,0,0,0,0,0
days,66,0,0,0,0,0
u,66,0,0,0,0,0
sure,66,0,0,0,0,0
ballin,65,0,0,0,0,0
livin,65,0,0,0,0,0
start,65,0,0,0,0,0
higher,65,0,0,0,0,0
matter,65,0,0,0,0,0
beat,65,0,0,0,0,0
p,64,0,0,0,0,0
b,64,0,0,0,0,0
talking,64,0,0,0,0,0
comin,64,0,0,0,0,0
everyday,63,0,0,0,0,0
town,63,0,0,0,0,0
control,63,0,0,0,0,0
lose,61,0,0,0,0,0
floating,61,0,0,0,0,0
knows,61,0,0,0,0,0
whip,61,0,0,0,0,0
tonight,61,0,0,0,0,0
gas,61,0,0,1,0,0
bank,60,1,0,0,0,0
haters,60,0,0,0,0,0
wrong,60,0,0,0,0,0
pack,60,0,0,1,0,0
buy,60,0,0,0,0,0
million,59,0,0,0,0,0
yes,59,0,0,0,0,0
pussy,59,0,0,0,0,0
motherfucker,59,0,0,0,0,0
ho,58,0,1,0,0,0
believe,58,0,0,0,0,0
treat,58,0,0,0,0,0
shot,58,0,0,0,0,0
count,58,0,0,0,0,0
crazy,57,0,0,0,0,0
trunk,57,0,0,0,0,0
cut,57,0,0,0,1,0
bottom,57,0,0,0,0,0
ready,57,0,0,0,0,0
ones,57,0,0,0,0,0
looking,57,0,0,0,0,0
whenever,57,0,0,0,0,0
pick,57,0,0,0,0,0
swear,57,0,0,0,0,0
shawty,57,0,1,0,0,0
white,56,0,0,0,0,0
anything,56,0,0,0,0,0
supposed,56,0,0,0,0,0
papers,56,0,0,0,0,0
walk,56,0,0,0,0,0
hatin,56,0,0,0,0,0
feelin,55,0,0,0,0,0
next,55,0,0,0,0,0
late,55,0,0,0,0,0
raw,55,0,0,0,0,0
half,55,0,0,0,0,0
rain,55,0,0,0,0,0
drive,55,0,0,0,0,0
since,55,0,0,0,0,0
champagne,54,0,0,0,0,0
takin,54,0,0,0,0,0
aint,54,0,0,0,0,0
save,53,0,0,0,0,0
went,53,0,0,0,0,0
didn,53,0,0,0,0,0
flight,53,0,0,0,0,0
homies,52,0,0,0,0,0
power,52,0,0,0,0,1
girls,52,0,0,0,0,0
stars,52,0,0,0,0,0
plus,52,0,0,0,0,0
jet,52,0,0,0,0,0
kick,51,0,0,0,0,0
keys,51,0,0,0,0,0
everywhere,51,0,0,0,0,0
cool,51,0,0,0,0,0
grand,51,0,0,0,0,0
alone,51,0,0,0,0,0
cheese,51,1,0,0,0,0
og,51,0,0,1,0,0
fool,51,0,0,0,0,0
ha,51,0,0,0,0,0
yo,50,0,0,0,0,0
fresh,50,0,0,0,0,0
makin,50,0,0,0,0,0
morning,50,0,0,0,0,0
living,50,0,0,0,0,0
spending,49,0,0,0,0,0
asleep,49,0,0,0,0,0
check,49,0,0,0,0,0
fucked,49,0,0,0,0,0
level,49,0,0,0,0,0
weak,49,0,0,0,0,0
room,49,0,0,0,0,0
swag,49,0,0,0,0,0
miss,48,0,1,0,0,0
any,48,0,0,0,0,0
cake,48,1,0,0,0,0
rap,47,0,0,0,0,0
house,47,0,0,0,0,0
faded,47,0,0,0,0,0
player,47,0,0,0,0,0
doubt,47,0,0,0,0,0
end,47,0,0,0,0,0
drugs,47,0,0,0,0,0
fire,46,0,0,1,0,0
line,46,0,0,0,0,0
drunk,46,0,0,0,0,0
building,46,0,0,0,0,0
super,46,0,0,0,0,0
juicy,46,0,0,0,0,0
dollar,46,0,0,0,0,0
somethin,46,0,0,0,0,0
poppin,46,0,0,0,0,0
wasn,46,0,0,0,0,0
dollars,46,0,0,0,0,0
green,46,1,0,1,0,0
cold,45,0,0,0,0,0
problems,45,0,0,0,0,0
woah,45,0,0,0,0,0
special,45,0,0,0,0,0
riding,45,0,0,0,0,0
lie,45,0,0,0,0,0
flow,44,0,0,0,0,0
bags,44,0,0,0,0,0
stress,44,0,0,0,0,0
yourself,44,0,0,0,0,0
pain,44,0,0,0,0,0
police,44,0,0,0,0,0
job,44,0,0,0,0,0
pour,44,0,0,0,0,0
rest,44,0,0,0,0,0
fake,44,0,0,0,0,0
road,43,0,0,0,0,0
blowin,43,0,0,0,0,0
body,43,0,0,0,0,0
far,43,0,0,0,0,0
kid,43,0,0,0,0,0
hunnids,43,1,0,0,0,0
bake,43,0,0,0,0,0
heavy,43,0,0,0,0,0
thinking,43,0,0,0,0,0
side,43,0,0,0,0,0
shorty,43,0,1,0,0,0
bigger,42,0,0,0,0,0
someone,42,0,0,0,0,0
trees,42,0,0,0,0,0
da,42,0,0,0,0,0
small,42,0,0,0,0,0
both,42,0,0,0,0,0
tired,41,0,0,0,0,0
thank,41,0,0,0,0,0
bottle,41,0,0,0,0,0
throwin,41,0,0,0,0,0
dope,41,0,0,1,0,0
exit,41,0,0,0,0,0
everybody,41,0,0,0,0,0
shots,41,0,0,0,0,0
plan,40,0,0,0,0,0
tryin,40,0,0,0,0,0
runnin,40,0,0,0,0,0
deal,40,0,0,0,0,0
stuff,40,0,0,0,0,0
realest,40,0,0,0,0,0
cost,40,0,0,0,0,0
thinkin,39,0,0,0,0,0
pocket,39,0,0,0,0,0
lame,39,0,0,0,0,0
understand,39,0,0,0,0,0
dick,39,0,0,0,0,0
strong,39,0,0,0,0,1
true,39,0,0,0,0,0
hustle,39,0,0,0,0,0
smoked,39,0,0,0,0,0
streets,39,0,0,0,0,0
middle,39,0,0,0,0,0
fucking,39,0,0,0,0,0
loud,39,0,0,1,0,0
free,38,0,0,0,0,0
chase,38,0,0,0,0,0
stand,38,0,0,0,0,0
average,38,0,0,0,0,0
medicated,38,0,0,0,0,0
respect,38,0,0,0,0,0
fat,38,0,0,0,0,0
stayin,38,0,0,0,0,0
purple,38,0,0,0,0,0
dem,38,0,0,0,0,0
joints,38,0,0,0,0,0
mo,38,0,0,0,0,0
reach,38,0,0,0,0,0
dog,38,0,0,0,0,0
less,38,0,0,0,0,0
errday,38,0,0,0,0,0
brought,37,0,0,0,0,0
racks,37,1,0,0,0,0
sometimes,37,0,0,0,0,0
guap,37,1,0,0,0,0
week,37,0,0,0,0,0
gga,37,0,0,0,0,0
pockets,37,0,0,0,0,0
jump,37,0,0,0,0,0
class,37,0,0,0,0,0
myself,37,0,0,0,0,0
drinks,37,0,0,0,0,0
