word,frequency,money,women,drugs,crime,positive
nigga,5,0,0,0,0,0
boy,4,0,0,1,0,0
m,4,0,0,0,0,0
niggas,4,0,0,0,0,0
how,3,0,0,0,0,0
all,3,0,0,0,0,0
gunplay,3,0,0,0,0,0
s,3,0,0,0,0,0
verse,3,0,0,0,0,0
rappers,2,0,0,0,0,0
k,2,0,0,0,0,0
date,2,0,0,0,0,0
died,2,0,0,0,0,0
em,2,0,0,0,0,0
kill,2,0,0,0,0,0
wine,2,0,0,0,0,0
eat,2,0,0,0,0,0
tip,2,0,0,0,0,0
fuck,2,0,0,0,0,0
runway,2,0,0,0,0,0
trip,2,0,0,0,0,0
crib,2,0,0,0,0,0
swear,2,0,0,0,0,0
clear,2,0,0,0,0,0
fast,2,0,0,0,0,0
now,2,0,0,0,0,0
asap,2,0,0,0,0,0
t,2,0,0,0,0,0
still,2,0,0,0,0,0
rocky,2,0,0,0,0,0
andre,2,0,0,0,0,0
don,2,0,0,0,0,0
freakin,2,0,0,0,0,0
spit,2,0,0,0,0,0
when,1,0,0,0,0,0
touring,1,0,0,0,0,0
police,1,0,0,0,0,0
cookies,1,0,0,0,0,0
chips,1,1,0,0,0,0
ahoy,1,0,0,0,0,0
enjoy,1,0,0,0,0,0
couple,1,0,0,0,0,0
annoyed,1,0,0,0,0,0
chain,1,0,0,0,0,0
warrants,1,0,0,0,0,0
d,1,0,0,0,0,0
smile,1,0,0,0,0,1
joy,1,0,0,0,0,0
either,1,0,0,0,0,0
phony,1,0,0,0,0,0
avoid,1,0,0,0,0,0
body,1,0,0,0,0,0
boi,1,0,0,0,0,0
reign,1,0,0,0,0,0
slow,1,0,0,0,0,0
lil,1,0,0,0,0,0
forward,1,0,0,0,0,0
noid,1,0,0,0,0,0
complain,1,0,0,0,0,0
form,1,0,0,0,0,0
doors,1,0,0,0,0,0
burning,1,0,0,0,0,0
planes,1,0,0,0,0,0
air,1,0,0,0,0,0
force,1,0,0,0,0,0
big,1,0,0,0,0,0
purest,1,0,0,0,0,0
ports,1,0,0,0,0,0
pain,1,0,0,0,0,0
ferg,1,0,0,0,0,0
cheer,1,0,0,0,0,0
since,1,0,0,0,0,0
gonna,1,0,0,0,0,0
here,1,0,0,0,0,0
intro,1,0,0,0,0,0
punch,1,0,0,0,0,0
fishin,1,0,0,0,0,0
shoe,1,0,0,0,0,0
lift,1,0,0,0,0,0
shine,1,0,0,0,0,1
tipped,1,0,0,0,0,0
toe,1,0,0,0,0,0
miss,1,0,1,0,0,0
sky,1,0,0,0,0,0
soul,1,0,0,0,0,0
gets,1,0,0,0,0,0
cold,1,0,0,0,0,0
live,1,0,0,0,0,0
die,1,0,0,0,0,0
soles,1,0,0,0,0,0
arnold,1,0,0,0,0,0
reside,1,0,0,0,0,0
mil,1,0,0,0,0,0
lies,1,0,0,0,0,0
tryina,1,0,0,0,0,0
lives,1,0,0,0,0,0
many,1,0,0,0,0,0
times,1,0,0,0,0,0
never,1,0,0,0,0,0
spittin,1,0,0,0,0,0
beretta,1,0,0,0,0,0
nobody,1,0,0,0,0,0
soak,1,0,0,0,0,0
liq,1,0,0,0,0,0
pourin,1,0,0,0,0,0
sip,1,0,0,0,0,0
schwarzeneger,1,0,0,0,0,0
toss,1,0,0,0,0,0
codeine,1,0,0,1,0,0
mixed,1,0,0,0,0,0
roid,1,0,0,0,0,0
smoke,1,0,0,0,0,0
lonely,1,0,0,0,0,0
collide,1,0,0,0,0,0
quit,1,0,0,0,0,0
talkin,1,0,0,0,0,0
grip,1,1,0,0,0,0
damn,1,0,0,0,0,0
look,1,0,0,0,0,0
hollow,1,0,0,0,0,0
hit,1,0,0,0,0,0
spine,1,0,0,0,0,0
motherfuckers,1,0,0,0,0,0
cry,1,0,0,0,0,0
sour,1,0,0,0,0,0
dipped,1,0,0,0,0,0
guess,1,0,0,0,0,0
why,1,0,0,0,0,0
ground,1,0,0,0,0,0
mile,1,0,0,0,0,0
arrested,1,0,0,0,0,0
rolling,1,0,0,0,0,0
boogie,1,0,0,0,0,0
shui,1,0,0,0,0,0
closet,1,0,0,0,0,0
fiancee,1,0,0,0,0,0
hyundai,1,0,0,0,0,0
rooftop,1,0,0,0,0,0
lounge,1,0,0,0,0,0
sit,1,0,0,0,0,0
watch,1,0,0,0,0,0
sunbathe,1,0,0,0,0,0
dinner,1,0,0,0,0,0
shopping,1,0,0,0,0,0
ass,1,0,0,0,0,0
mouth,1,0,0,0,0,0
bitch,1,0,1,0,0,0
wait,1,0,0,0,0,0
days,1,0,0,0,0,0
finally,1,0,0,0,0,0
today,1,0,0,0,0,0
god,1,0,0,0,0,0
mood,1,0,0,0,0,0
changed,1,0,0,0,0,0
top,1,0,0,0,0,0
toupes,1,0,0,0,0,0
drop,1,0,0,0,0,0
feng,1,0,0,0,0,0
new,1,0,0,0,0,0
monday,1,0,0,0,0,0
business,1,0,0,0,0,0
any,1,0,0,0,0,0
closer,1,0,0,0,0,0
no,1,0,0,0,0,0
hurt,1,0,0,0,0,0
cause,1,0,0,0,0,0
dunno,1,0,0,0,0,0
long,1,0,0,0,0,0
hold,1,0,0,0,0,0
rebel,1,0,0,0,0,0
track,1,0,0,0,0,0
