word,frequency,money,women,drugs,crime,positive
m,3636,0,0,0,0,0
t,3382,0,0,0,0,0
s,1898,0,0,0,0,0
all,1667,0,0,0,0,0
ain,1393,0,0,0,0,0
bitch,1268,0,1,0,0,0
nigga,1247,0,0,0,0,0
no,1151,0,0,0,0,0
don,1116,0,0,0,0,0
shit,990,0,0,0,0,0
fuck,929,0,0,0,0,0
niggas,829,0,0,0,0,0
when,753,0,0,0,0,0
money,647,0,0,0,0,0
some,611,0,0,0,0,0
back,557,0,0,0,0,0
now,500,0,0,0,0,0
gon,499,0,0,0,0,0
never,491,0,0,0,0,0
put,458,0,0,0,0,0
em,419,0,0,0,0,0
let,414,0,0,0,0,0
baby,409,0,1,0,0,0
how,395,0,0,0,0,0
keep,394,0,0,0,0,0
gotta,389,0,0,0,0,0
right,387,0,0,0,0,0
if,385,0,0,0,0,0
bitches,384,0,0,0,0,0
woah,377,0,0,0,0,0
cause,371,0,0,0,0,0
wanna,370,0,0,0,0,0
too,359,0,0,0,0,0
not,354,0,0,0,0,0
new,345,0,0,0,0,0
dope,338,0,0,1,0,0
bad,330,0,0,0,0,0
then,319,0,0,0,0,0
girl,318,0,0,0,0,0
bought,314,0,0,0,0,0
hit,311,0,0,0,0,0
tryna,304,0,0,0,0,0
real,304,0,0,0,0,1
more,281,0,0,0,0,0
gettin,281,0,0,0,0,0
done,278,0,0,0,0,0
lil,270,0,0,0,0,0
ma,263,0,1,0,0,0
bout,261,0,0,0,0,0
goin,255,0,0,0,0,0
big,252,0,0,0,0,0
still,250,0,0,0,0,0
diamonds,248,0,0,0,0,0
blow,244,0,0,1,0,0
young,243,0,0,0,0,0
than,242,0,0,0,0,0
ll,240,0,0,0,0,0
look,239,0,0,0,0,0
as,236,0,0,0,0,0
man,236,0,0,0,0,0
every,226,0,0,0,0,0
same,222,0,0,0,0,0
hoes,220,0,0,0,0,0
ayy,218,0,0,0,0,0
went,218,0,0,0,0,0
shoot,215,0,0,0,0,0
even,214,0,0,0,0,0
gang,206,0,0,0,1,0
turn,200,0,0,0,0,0
good,199,0,0,0,0,0
ever,199,0,0,0,0,0
damn,192,0,0,0,0,0
really,190,0,0,0,0,0
whole,187,0,0,0,0,0
better,187,0,0,0,0,0
ve,184,0,0,0,0,0
here,183,0,0,0,0,0
high,183,0,0,0,0,0
racks,183,1,0,0,0,0
ho,182,0,1,0,0,0
woo,176,0,0,0,0,0
talk,172,0,0,0,0,0
where,172,0,0,0,0,0
cash,172,0,0,0,0,0
pluto,171,0,0,0,0,0
move,164,0,0,0,0,0
check,156,0,0,0,0,0
nothin,155,0,0,0,0,0
pop,155,0,0,0,1,0
pussy,154,0,0,0,0,0
hundred,152,0,0,0,0,0
fly,152,0,0,0,0,0
play,151,0,0,0,0,0
crazy,151,0,0,0,0,0
ooh,149,0,0,0,0,0
top,149,0,0,0,0,0
radical,149,0,0,0,0,0
everything,148,0,0,0,0,0
fuckin,148,0,0,0,0,0
tripping,147,0,0,0,0,0
getting,147,0,0,0,0,0
boy,146,0,0,1,0,0
future,145,0,0,0,0,1
watch,145,0,0,0,0,0
only,144,0,0,0,0,0
head,144,0,0,0,0,0
hold,143,0,0,0,0,0
walk,143,0,0,0,0,0
show,142,0,0,0,0,0
stay,141,0,0,0,0,0
again,140,0,0,0,0,0
wrist,140,0,0,0,0,0
ring,139,0,0,0,0,0
won,139,0,0,0,0,0
there,139,0,0,0,0,0
ice,138,0,0,1,0,0
trap,138,0,0,0,1,0
rich,135,0,0,0,0,0
lot,133,0,0,0,0,0
round,133,0,0,0,0,0
ya,133,0,0,0,0,0
re,133,0,0,0,0,0
spent,132,0,0,0,0,0
comin,131,0,0,0,0,0
game,130,0,0,0,0,0
trust,128,0,0,0,0,0
white,126,0,0,0,0,0
city,126,0,0,0,0,0
yo,124,0,0,0,0,0
run,123,0,0,0,0,0
streets,122,0,0,0,0,0
bag,121,1,0,0,0,0
thousand,121,0,0,0,0,0
hard,119,0,0,0,0,0
pull,118,0,0,0,0,0
why,117,0,0,0,0,0
la,116,0,0,0,0,0
another,114,0,0,0,0,0
face,114,0,0,0,0,0
please,114,0,0,0,0,0
hook,113,0,0,0,0,0
lookin,113,0,0,0,0,0
forever,112,0,0,0,0,0
mean,110,0,0,0,0,0
ride,110,0,0,0,1,0
count,110,0,0,0,0,0
pour,109,0,0,0,0,0
codeine,108,0,0,1,0,0
water,108,0,0,0,0,0
treat,107,0,0,0,0,0
fast,107,0,0,0,0,0
ready,106,0,0,0,0,0
body,106,0,0,0,0,0
buy,106,0,0,0,0,0
smoke,105,0,0,0,0,0
poppin,105,0,0,0,0,0
hood,103,0,0,0,1,0
cut,103,0,0,0,1,0
low,101,0,0,0,0,0
ass,101,0,0,0,0,0
type,101,0,0,0,0,0
million,101,0,0,0,0,0
car,101,0,0,0,0,0
straight,101,0,0,0,0,0
few,100,0,0,0,0,0
long,100,0,0,0,0,0
dirty,99,0,0,0,0,0
heard,99,0,0,0,0,0
much,99,0,0,0,0,0
dog,98,0,0,0,0,0
many,98,0,0,0,0,0
runnin,97,0,0,0,0,0
best,97,0,0,0,0,0
fucked,96,0,0,0,0,0
drop,96,0,0,0,0,0
house,96,0,0,0,0,0
molly,96,0,0,1,0,0
yellow,95,0,0,0,0,0
verse,95,0,0,0,0,0
god,94,0,0,0,0,0
red,94,0,0,0,0,0
shorty,94,0,1,0,0,0
broke,93,0,0,0,0,0
lean,93,0,0,1,0,0
huh,92,0,0,0,0,0
jet,92,0,0,0,0,0
side,92,0,0,0,0,0
bands,91,1,0,0,0,0
drugs,91,0,0,0,0,0
talkin,90,0,0,0,0,0
sellin,89,0,0,0,0,0
always,89,0,0,0,0,0
girls,88,0,0,0,0,0
send,87,0,0,0,0,0
purple,87,0,0,0,0,0
nobody,87,0,0,0,0,0
drink,87,0,0,0,0,0
d,87,0,0,0,0,0
away,86,0,0,0,0,0
block,86,0,0,0,1,0
shot,86,0,0,0,0,0
flip,85,0,0,0,0,0
sleep,85,0,0,0,0,0
name,84,0,0,0,0,0
plug,84,0,0,0,1,0
throw,83,0,0,0,0,0
first,83,0,0,0,0,0
shawty,83,0,1,0,0,0
pain,82,0,0,0,0,0
start,82,0,0,0,0,0
beat,82,0,0,0,0,0
mad,82,0,0,0,0,0
spend,82,0,0,0,0,0
roll,81,1,0,0,0,0
full,81,0,0,0,0,0
break,80,0,0,0,0,0
boss,80,0,0,0,0,0
space,80,0,0,0,0,0
lay,80,0,0,0,0,0
different,80,0,0,0,0,0
doin,79,0,0,0,0,0
little,79,0,0,0,0,0
somethin,78,0,0,0,0,0
hoe,78,0,1,0,0,0
whip,77,0,0,0,0,0
hear,76,0,0,0,0,0
kill,75,0,0,0,0,0
door,75,0,0,0,0,0
change,74,0,0,0,0,0
skrrt,74,0,0,0,0,0
live,74,0,0,0,0,0
gun,74,0,0,0,0,0
while,74,0,0,0,0,0
stop,73,0,0,0,0,0
okay,73,0,0,0,0,0
y,73,0,0,0,0,0
club,73,0,0,0,0,0
myself,73,0,0,0,0,0
magic,72,0,0,0,0,0
super,72,0,0,0,0,0
bring,71,0,0,0,0,0
end,71,0,0,0,0,0
true,71,0,0,0,0,0
forget,71,0,0,0,0,0
hate,70,0,0,0,0,0
pick,70,0,0,0,0,0
wicked,70,0,0,0,0,0
er,70,0,0,0,0,0
wait,70,0,0,0,0,0
chanel,70,0,0,0,0,0
playin,70,0,0,0,0,0
floor,69,0,0,0,0,0
neck,69,0,0,0,0,0
marni,69,0,0,0,0,0
gonna,69,0,0,0,0,0
catch,68,0,0,0,0,0
green,68,1,0,1,0,0
regular,68,0,0,0,0,0
drinkin,68,0,0,0,0,0
half,68,0,0,0,0,0
bet,68,0,0,0,0,0
gucci,68,0,0,0,0,0
foreign,67,0,0,0,0,0
cook,67,0,0,0,0,0
push,67,0,0,0,0,0
ran,67,0,0,0,0,0
talking,67,0,0,0,0,0
already,67,0,0,0,0,0
star,67,0,0,0,0,0
turned,66,0,0,0,0,0
outta,66,0,0,0,0,0
birds,65,0,0,0,0,0
wrong,65,0,0,0,0,0
mama,65,0,0,0,0,0
shooters,65,0,0,0,0,0
fall,65,0,0,0,0,0
plastic,65,0,0,0,0,0
rock,65,0,0,1,0,0
friends,64,0,0,0,0,0
nigger,64,0,0,0,0,0
matter,64,0,0,0,0,0
freebandz,64,0,0,0,0,0
drip,64,0,0,0,0,0
servin,64,0,0,0,0,0
cost,63,0,0,0,0,0
caught,63,0,0,0,0,0
lost,63,0,0,0,0,0
double,63,0,0,0,0,0
fire,63,0,0,1,0,0
wasn,63,0,0,0,0,0
cup,62,0,0,0,0,0
switch,62,0,0,0,0,0
whew,62,0,0,0,0,0
bank,62,1,0,0,0,0
our,62,0,0,0,0,0
chains,62,0,0,0,0,0
gold,62,0,0,0,0,0
serve,62,0,0,0,0,0
livin,61,0,0,0,0,0
dollars,61,0,0,0,0,0
hot,61,0,0,0,0,0
kush,60,0,0,1,0,0
whatever,60,0,0,0,0,0
sippin,60,0,0,0,0,0
didn,59,0,0,0,0,0
metro,59,0,0,0,0,0
truck,59,0,0,0,0,0
ha,59,0,0,0,0,0
brothers,59,0,0,0,0,0
sell,59,0,0,0,0,0
though,58,0,0,0,0,0
team,58,0,0,0,0,0
friend,58,0,0,0,0,0
street,58,0,0,0,0,0
chain,58,0,0,0,0,0
black,58,0,0,0,0,0
sittin,57,0,0,0,0,0
grew,57,0,0,0,0,0
promise,57,0,0,0,0,0
rollie,57,0,0,0,0,0
fell,57,0,0,0,0,0
ridin,57,0,0,0,0,0
well,57,0,0,0,0,0
old,57,0,0,0,0,0
stick,57,0,0,0,1,0
ski,57,0,0,0,0,0
couple,56,0,0,0,0,0
gas,56,0,0,1,0,0
free,56,0,0,0,0,0
til,56,0,0,0,0,0
swish,56,0,0,0,0,0
mud,56,0,0,0,0,0
o,56,0,0,0,0,0
trappin,55,0,0,0,0,0
momma,55,0,0,0,0,0
syrup,55,0,0,1,0,0
lit,55,0,0,0,0,0
dawg,55,0,0,0,0,0
takin,55,0,0,0,0,0
chorus,54,0,0,0,0,0
smash,54,0,0,0,0,0
rings,54,0,0,0,0,0
die,54,0,0,0,0,0
g,54,0,0,0,0,0
bust,54,0,0,0,1,0
phone,54,0,0,0,0,0
line,54,0,0,0,0,0
minks,53,0,0,0,0,0
doors,53,0,0,0,0,0
last,53,0,0,0,0,0
brrt,53,0,0,0,0,0
feet,53,0,0,0,0,0
stones,53,0,0,0,0,0
nights,53,0,0,0,0,0
nothing,53,0,0,0,0,0
