word,frequency,money,women,drugs,crime,positive
s,2595,0,0,0,0,0
t,1543,0,0,0,0,0
m,1218,0,0,0,0,0
all,1090,0,0,0,0,0
nas,704,0,0,0,0,0
no,634,0,0,0,0,0
when,584,0,0,0,0,0
don,567,0,0,0,0,0
shit,560,0,0,0,0,0
now,529,0,0,0,0,0
back,504,0,0,0,0,0
ain,428,0,0,0,0,0
if,420,0,0,0,0,0
some,400,0,0,0,0,0
nigga,395,0,0,0,0,0
how,391,0,0,0,0,0
man,390,0,0,0,0,0
niggaz,370,0,0,0,0,0
niggas,363,0,0,0,0,0
cause,362,0,0,0,0,0
never,342,0,0,0,0,0
em,325,0,0,0,0,0
not,320,0,0,0,0,0
yo,319,0,0,0,0,0
let,301,0,0,0,0,0
y,286,0,0,0,0,0
ll,282,0,0,0,0,0
real,281,0,0,0,0,1
chorus,277,0,0,0,0,0
where,259,0,0,0,0,0
money,256,0,0,0,0,0
black,254,0,0,0,0,0
right,254,0,0,0,0,0
as,253,0,0,0,0,0
then,250,0,0,0,0,0
still,239,0,0,0,0,0
new,230,0,0,0,0,0
fuck,224,0,0,0,0,0
hit,217,0,0,0,0,0
there,211,0,0,0,0,0
put,203,0,0,0,0,0
too,199,0,0,0,0,0
gotta,191,0,0,0,0,0
keep,189,0,0,0,0,0
hood,180,0,0,0,1,0
god,179,0,0,0,0,0
good,179,0,0,0,0,0
more,178,0,0,0,0,0
ya,178,0,0,0,0,0
big,172,0,0,0,0,0
wanna,172,0,0,0,0,0
d,170,0,0,0,0,0
only,167,0,0,0,0,0
verse,165,0,0,0,0,0
first,163,0,0,0,0,0
look,160,0,0,0,0,0
here,159,0,0,0,0,0
why,157,0,0,0,0,0
every,151,0,0,0,0,0
bitch,146,0,1,0,0,0
baby,141,0,1,0,0,0
girl,141,0,0,0,0,0
son,140,0,0,0,0,0
same,133,0,0,0,0,0
live,133,0,0,0,0,0
even,133,0,0,0,0,0
while,131,0,0,0,0,0
street,131,0,0,0,0,0
re,131,0,0,0,0,0
watch,129,0,0,0,0,0
old,124,0,0,0,0,0
stop,122,0,0,0,0,0
gon,119,0,0,0,0,0
hard,117,0,0,0,0,0
wit,117,0,0,0,0,0
won,117,0,0,0,0,0
our,115,0,0,0,0,0
face,114,0,0,0,0,0
rap,114,0,0,0,0,0
ass,113,0,0,0,0,0
hate,110,0,0,0,0,0
king,108,0,0,0,0,0
streets,107,0,0,0,0,0
young,106,0,0,0,0,0
g,106,0,0,0,0,0
than,105,0,0,0,0,0
word,105,0,0,0,0,0
peace,103,0,0,0,0,1
little,103,0,0,0,0,0
home,102,0,0,0,0,0
though,102,0,0,0,0,0
hold,102,0,0,0,0,0
stay,99,0,0,0,0,0
die,97,0,0,0,0,0
really,96,0,0,0,0,0
play,96,0,0,0,0,0
queens,96,0,0,0,0,0
game,94,0,0,0,0,0
other,94,0,0,0,0,0
heard,94,0,0,0,0,0
ve,93,0,0,0,0,0
mad,91,0,0,0,0,0
bad,91,0,0,0,0,0
everybody,90,0,0,0,0,0
rich,90,0,0,0,0,0
hear,90,0,0,0,0,0
times,89,0,0,0,0,0
top,88,0,0,0,0,0
everything,88,0,0,0,0,0
many,88,0,0,0,0,0
run,88,0,0,0,0,0
livin,87,0,0,0,0,0
last,87,0,0,0,0,0
gettin,87,0,0,0,0,0
block,87,0,0,0,1,0
whole,85,0,0,0,0,0
since,85,0,0,0,0,0
damn,84,0,0,0,0,0
next,84,0,0,0,0,0
high,83,0,0,0,0,0
own,82,0,0,0,0,0
long,81,0,0,0,0,0
best,80,0,0,0,0,0
kid,80,0,0,0,0,0
name,79,0,0,0,0,0
death,78,0,0,0,0,0
always,78,0,0,0,0,0
years,78,0,0,0,0,0
fly,77,0,0,0,0,0
house,77,0,0,0,0,0
kill,76,0,0,0,0,0
most,76,0,0,0,0,0
til,76,0,0,0,0,0
started,75,0,0,0,0,0
style,75,0,0,0,0,0
bout,75,0,0,0,0,0
sayin,74,0,0,0,0,0
ghetto,74,0,0,0,0,0
dead,74,0,0,0,0,0
talk,74,0,0,0,0,0
gun,73,0,0,0,0,0
war,73,0,0,0,0,0
comin,73,0,0,0,0,0
nobody,73,0,0,0,0,0
bitches,73,0,0,0,0,0
better,72,0,0,0,0,0
lookin,72,0,0,0,0,0
crazy,71,0,0,0,0,0
hot,71,0,0,0,0,0
somethin,71,0,0,0,0,0
york,70,0,0,0,0,0
boy,70,0,0,1,0,0
head,68,0,0,0,0,0
ma,68,0,1,0,0,0
much,68,0,0,0,0,0
shot,68,0,0,0,0,0
kids,67,0,0,0,0,0
rest,67,0,0,0,0,0
went,67,0,0,0,0,0
place,67,0,0,0,0,0
again,66,0,0,0,0,0
start,66,0,0,0,0,0
tryin,66,0,0,0,0,0
gonna,66,0,0,0,0,0
check,66,0,0,0,0,0
turn,66,0,0,0,0,0
thug,65,0,0,0,0,0
close,65,0,0,0,0,0
nothin,65,0,0,0,0,0
o,65,0,0,0,0,0
b,64,0,0,0,0,0
another,64,0,0,0,0,0
cash,63,0,0,0,0,0
women,63,0,0,0,0,0
girls,62,0,0,0,0,0
lot,62,0,0,0,0,0
away,62,0,0,0,0,0
smoke,61,0,0,0,0,0
goin,61,0,0,0,0,0
listen,61,0,0,0,0,0
show,60,0,0,0,0,0
wild,60,0,0,0,0,0
days,60,0,0,0,0,0
change,60,0,0,0,0,0
type,59,0,0,0,0,0
pull,59,0,0,0,0,0
ice,59,0,0,1,0,0
white,59,0,0,0,0,0
rock,58,0,0,1,0,0
walk,58,0,0,0,0,0
breathe,57,0,0,0,0,0
tryna,57,0,0,0,0,0
doin,57,0,0,0,0,0
body,57,0,0,0,0,0
huh,57,0,0,0,0,0
men,57,0,0,0,0,0
mean,57,0,0,0,0,0
matter,56,0,0,0,0,0
uhh,56,0,0,0,0,0
shorty,56,0,1,0,0,0
drop,56,0,0,0,0,0
talkin,55,0,0,0,0,0
cars,55,0,0,0,0,0
bring,55,0,0,0,0,0
remember,55,0,0,0,0,0
done,55,0,0,0,0,0
roll,55,1,0,0,0,0
murder,55,0,0,0,0,0
shoot,55,0,0,0,0,0
lost,55,0,0,0,0,0
beef,54,0,0,0,0,0
guess,54,0,0,0,0,0
half,54,0,0,0,0,0
side,54,0,0,0,0,0
soul,53,0,0,0,0,0
scared,53,0,0,0,0,0
crack,53,0,0,1,0,0
ever,53,0,0,0,0,0
diamonds,53,0,0,0,0,0
true,53,0,0,0,0,0
land,53,0,0,0,0,0
hook,53,0,0,0,0,0
words,53,0,0,0,0,0
owe,53,0,0,0,0,0
ride,52,0,0,0,1,0
thinkin,52,0,0,0,0,0
trust,51,0,0,0,0,0
l,51,0,0,0,0,0
break,51,0,0,0,0,0
ill,51,0,0,0,0,0
different,50,0,0,0,0,0
red,50,0,0,0,0,0
c,50,0,0,0,0,0
n,50,0,0,0,0,0
crew,50,0,0,0,0,0
any,50,0,0,0,0,0
hop,50,0,0,0,0,0
move,50,0,0,0,0,0
fake,50,0,0,0,0,0
enough,50,0,0,0,0,0
reason,49,0,0,0,0,0
wasn,49,0,0,0,0,0
both,49,0,0,0,0,0
end,49,0,0,0,0,0
blow,49,0,0,1,0,0
hip,48,0,0,0,0,0
stand,48,0,0,0,0,0
cold,48,0,0,0,0,0
disciple,47,0,0,0,0,0
act,47,0,0,0,0,0
gold,47,0,0,0,0,0
holdin,47,0,0,0,0,0
low,47,0,0,0,0,0
city,47,0,0,0,0,0
somebody,47,0,0,0,0,0
crib,47,0,0,0,0,0
probably,47,0,0,0,0,0
makin,46,0,0,0,0,0
pop,46,0,0,0,1,0
nasty,46,0,0,0,0,0
car,46,0,0,0,0,0
none,46,0,0,0,0,0
brother,46,0,0,0,0,0
watchin,46,0,0,0,0,0
fuckin,46,0,0,0,0,0
school,46,0,0,0,0,0
flow,46,0,0,0,0,0
alive,46,0,0,0,0,0
family,46,0,0,0,0,0
summer,46,0,0,0,0,0
eat,45,0,0,0,0,0
cops,45,0,0,0,0,0
set,45,0,0,0,1,0
didn,45,0,0,0,0,0
today,45,0,0,0,0,0
ugly,45,0,0,0,0,0
queensbridge,45,0,0,0,0,0
well,45,0,0,0,0,0
blood,44,0,0,0,0,0
beautiful,44,0,0,0,0,0
fire,44,0,0,1,0,0
forever,44,0,0,0,0,0
coke,44,0,0,1,0,0
party,44,0,0,0,0,0
alone,43,0,0,0,0,0
beat,43,0,0,0,0,0
thugs,43,0,0,0,0,0
something,43,0,0,0,0,0
free,43,0,0,0,0,0
p,43,0,0,0,0,0
hoes,43,0,0,0,0,0
bought,43,0,0,0,0,0
getting,42,0,0,0,0,0
deep,42,0,0,0,0,0
woman,42,0,0,0,0,0
nothing,42,0,0,0,0,0
understand,42,0,0,0,0,0
e,42,0,0,0,0,0
slow,42,0,0,0,0,0
guns,42,0,0,0,0,0
wish,41,0,0,0,0,0
hundred,41,0,0,0,0,0
ladies,41,0,0,0,0,0
already,41,0,0,0,0,0
dreams,41,0,0,0,0,0
twenty,41,0,0,0,0,0
straight,41,0,0,0,0,0
full,41,0,0,0,0,0
please,41,0,0,0,0,0
represent,41,0,0,0,0,0
anything,41,0,0,0,0,0
believe,41,0,0,0,0,0
talking,41,0,0,0,0,0
bust,40,0,0,0,1,0
brothers,40,0,0,0,0,0
ruled,40,0,0,0,0,0
doubt,40,0,0,0,0,0
together,40,0,0,0,0,0
pray,40,0,0,0,0,0
strong,40,0,0,0,0,1
pass,40,0,0,0,0,0
bridge,40,0,0,0,0,0
whatever,39,0,0,0,0,0
sleep,39,0,0,0,0,0
broke,39,0,0,0,0,0
fast,39,0,0,0,0,0
small,39,0,0,0,0,0
else,38,0,0,0,0,0
ways,38,0,0,0,0,0
story,38,0,0,0,0,0
truth,38,0,0,0,0,0
paper,38,1,0,0,0,0
hell,38,0,0,0,0,0
rappers,38,0,0,0,0,0
killed,38,0,0,0,0,0
chain,38,0,0,0,0,0
dude,38,0,0,0,0,0
police,38,0,0,0,0,0
daddy,38,0,0,0,0,0
spot,38,0,0,0,0,0
power,38,0,0,0,0,1
ha,38,0,0,0,0,0
imagine,38,0,0,0,0,0
lady,38,0,1,0,0,0
weed,38,0,0,1,0,0
shine,38,0,0,0,0,1
speak,38,0,0,0,0,0
gangsta,37,0,0,0,0,0
met,37,0,0,0,0,0
friends,37,0,0,0,0,0
comes,37,0,0,0,0,0
cop,37,0,0,0,0,0
living,37,0,0,0,0,0
mom,37,0,0,0,0,0
wife,37,0,0,0,0,0
mouth,36,0,0,0,0,0
jail,36,0,0,0,0,0
chill,36,0,0,0,0,0
smash,36,0,0,0,0,0
havin,36,0,0,0,0,0
cuz,36,0,0,0,0,0
mc,36,0,0,0,0,0
throw,36,0,0,0,0,0
caught,36,0,0,0,0,0
sit,36,0,0,0,0,0
begins,36,0,0,0,0,0
dre,36,0,0,0,0,0
door,36,0,0,0,0,0
tonight,35,0,0,0,0,0
business,35,0,0,0,0,0
dick,35,0,0,0,0,0
repeat,35,0,0,0,0,0
phone,35,0,0,0,0,0
open,35,0,0,0,0,0
says,35,0,0,0,0,0
eye,35,0,0,0,0,0
smokin,35,0,0,0,0,0
dough,35,1,0,0,0,0
couldn,35,0,0,0,0,0
magic,34,0,0,0,0,0
yourself,34,0,0,0,0,0
sex,34,0,0,0,0,0
takin,34,0,0,0,0,0
heat,34,0,0,0,1,0
room,34,0,0,0,0,0
foul,34,0,0,0,0,0
playin,34,0,0,0,0,0
promise,34,0,0,0,0,0
qb,34,0,0,0,0,0
projects,33,0,0,0,0,0
late,33,0,0,0,0,0
picture,33,0,0,0,0,0
cut,33,0,0,0,1,0
plus,33,0,0,0,0,0
dudes,33,0,0,0,0,0
catch,33,0,0,0,0,0
soon,33,0,0,0,0,0
la,33,0,0,0,0,0
mother,33,0,0,0,0,0
air,33,0,0,0,0,0
ones,33,0,0,0,0,0
sure,33,0,0,0,0,0
thinking,33,0,0,0,0,0
age,33,0,0,0,0,0
wrong,33,0,0,0,0,0
died,33,0,0,0,0,0
heaven,32,0,0,0,0,0
wear,32,0,0,0,0,0
food,32,0,0,0,0,0
team,32,0,0,0,0,0
each,32,0,0,0,0,0
stars,32,0,0,0,0,0
million,32,0,0,0,0,0
earth,32,0,0,0,0,0
wonder,32,0,0,0,0,0
na,32,0,0,0,0,0
few,32,0,0,0,0,0
shots,32,0,0,0,0,0
flip,32,0,0,0,0,0
queen,32,0,1,0,0,0
survive,32,0,0,0,0,0
great,32,0,0,0,0,0
wouldn,32,0,0,0,0,0
guys,32,0,0,0,0,0
fat,31,0,0,0,0,0
energy,31,0,0,0,0,0
round,31,0,0,0,0,0
grab,31,0,0,0,0,0
runnin,31,0,0,0,0,0
locked,31,0,0,0,0,0
stuck,31,0,0,0,0,0
fucked,31,0,0,0,0,0
cool,31,0,0,0,0,0
poison,31,0,0,0,0,0
escobar,31,0,0,0,0,0
pretty,31,0,0,0,0,0
respect,31,0,0,0,0,0
mic,30,0,0,0,0,0
step,30,0,0,0,0,0
carry,30,0,0,0,0,0
front,30,0,0,0,0,0
born,30,0,0,0,0,0
everyday,30,0,0,0,0,0
firm,30,0,0,0,0,0
double,30,0,0,0,0,0
dope,30,0,0,1,0,0
town,30,0,0,0,0,0
chains,30,0,0,0,0,0
jungle,30,0,0,0,0,0
spit,30,0,0,0,0,0
state,30,0,0,0,0,0
book,30,0,0,0,0,0
brown,29,0,0,1,0,0
wet,29,0,0,0,0,0
bet,29,0,0,0,0,0
ring,29,0,0,0,0,0
kings,29,0,0,0,0,0
wait,29,0,0,0,0,0
fall,29,0,0,0,0,0
benz,29,0,0,0,0,0
fo,29,0,0,0,0,0
floor,29,0,0,0,0,0
feelin,29,0,0,0,0,0
feet,29,0,0,0,0,0
honey,29,0,1,0,0,0
second,29,0,0,0,0,0
care,29,0,0,0,0,0
line,28,0,0,0,0,0
read,28,0,0,0,0,0
motion,28,0,0,0,0,0
club,28,0,0,0,0,0
moms,28,0,0,0,0,0
brain,28,0,0,0,0,0
outta,28,0,0,0,0,0
push,28,0,0,0,0,0
ran,28,0,0,0,0,0
rhyme,28,0,0,0,0,0
write,28,0,0,0,0,0
movin,28,0,0,0,0,0
slave,28,0,0,0,0,0
hands,28,0,0,0,0,0
pussy,28,0,0,0,0,0
sun,28,0,0,0,0,0
lit,28,0,0,0,0,0
special,28,0,0,0,0,0
looking,28,0,0,0,0,0
nah,28,0,0,0,0,0
puff,28,0,0,0,0,0
father,28,0,0,0,0,0
pain,27,0,0,0,0,0
hurt,27,0,0,0,0,0
fifty,27,0,0,0,0,0
plan,27,0,0,0,0,0
hype,27,0,0,0,0,0
project,27,0,0,0,0,0
island,27,0,0,0,0,0
kick,27,0,0,0,0,0
once,27,0,0,0,0,0
star,27,0,0,0,0,0
american,27,0,0,0,0,0
lay,27,0,0,0,0,0
send,27,0,0,0,0,0
fear,27,0,0,0,0,0
wine,27,0,0,0,0,0
miss,26,0,1,0,0,0
clothes,26,0,0,0,0,0
lives,26,0,0,0,0,0
