word,frequency,money,women,drugs,crime,positive
t,1456,0,0,0,0,0
m,954,0,0,0,0,0
s,914,0,0,0,0,0
don,594,0,0,0,0,0
all,531,0,0,0,0,0
ain,393,0,0,0,0,0
no,392,0,0,0,0,0
now,386,0,0,0,0,0
ooh,364,0,0,0,0,0
when,358,0,0,0,0,0
never,348,0,0,0,0,0
too,268,0,0,0,0,0
shit,249,0,0,0,0,0
if,227,0,0,0,0,0
wanna,226,0,0,0,0,0
baby,221,0,1,0,0,0
re,219,0,0,0,0,0
let,218,0,0,0,0,0
cause,211,0,0,0,0,0
back,190,0,0,0,0,0
keep,164,0,0,0,0,0
right,161,0,0,0,0,0
some,158,0,0,0,0,0
bitch,150,0,1,0,0,0
die,144,0,0,0,0,0
ve,143,0,0,0,0,0
ayy,142,0,0,0,0,0
man,142,0,0,0,0,0
how,141,0,0,0,0,0
ll,139,0,0,0,0,0
there,139,0,0,0,0,0
fuck,137,0,0,0,0,0
young,135,0,0,0,0,0
not,128,0,0,0,0,0
long,125,0,0,0,0,0
d,124,0,0,0,0,0
money,121,0,0,0,0,0
cold,107,0,0,0,0,0
hit,107,0,0,0,0,0
hard,105,0,0,0,0,0
ever,102,0,0,0,0,0
damn,100,0,0,0,0,0
then,99,0,0,0,0,0
new,97,0,0,0,0,0
mm,95,0,0,0,0,0
away,94,0,0,0,0,0
put,93,0,0,0,0,0
gonna,92,0,0,0,0,0
better,91,0,0,0,0,0
something,90,0,0,0,0,0
god,89,0,0,0,0,0
fuckin,89,0,0,0,0,0
girl,89,0,0,0,0,0
watch,86,0,0,0,0,0
more,86,0,0,0,0,0
still,85,0,0,0,0,0
devil,83,0,0,0,0,0
why,82,0,0,0,0,0
pull,81,0,0,0,0,0
run,81,0,0,0,0,0
bad,81,0,0,0,0,0
everything,80,0,0,0,0,0
every,78,0,0,0,0,0
oo,75,0,0,0,0,0
same,74,0,0,0,0,0
won,73,0,0,0,0,0
even,73,0,0,0,0,0
shot,70,0,0,0,0,0
only,70,0,0,0,0,0
show,70,0,0,0,0,0
always,69,0,0,0,0,0
til,68,0,0,0,0,0
high,68,0,0,0,0,0
look,67,0,0,0,0,0
ha,66,0,0,0,0,0
gotta,66,0,0,0,0,0
as,65,0,0,0,0,0
top,64,0,0,0,0,0
big,64,0,0,0,0,0
hell,63,0,0,0,0,0
wrist,63,0,0,0,0,0
flex,63,0,0,0,0,0
sometimes,63,0,0,0,0,0
myself,63,0,0,0,0,0
na,62,0,0,0,0,0
enough,61,0,0,0,0,0
much,60,0,0,0,0,0
lot,60,0,0,0,0,0
drink,60,0,0,0,0,0
ball,60,0,0,0,0,0
bout,59,0,0,0,0,0
here,58,0,0,0,0,0
ballin,58,0,0,0,0,0
goin,57,0,0,0,0,0
sayin,57,0,0,0,0,0
ride,57,0,0,0,1,0
gon,57,0,0,0,0,0
done,56,0,0,0,0,0
help,56,0,0,0,0,0
save,56,0,0,0,0,0
nothing,55,0,0,0,0,0
another,55,0,0,0,0,0
change,55,0,0,0,0,0
last,55,0,0,0,0,0
cool,55,0,0,0,0,0
again,54,0,0,0,0,0
comin,53,0,0,0,0,0
real,53,0,0,0,0,1
anything,52,0,0,0,0,0
goodbye,52,0,0,0,0,0
friends,52,0,0,0,0,0
push,52,0,0,0,0,0
little,52,0,0,0,0,0
belong,51,0,0,0,0,0
crazy,51,0,0,0,0,0
door,51,0,0,0,0,0
ice,51,0,0,1,0,0
break,51,0,0,0,0,0
went,50,0,0,0,0,0
hundred,50,0,0,0,0,0
guy,50,0,0,0,0,0
tryna,50,0,0,0,0,0
good,49,0,0,0,0,0
than,49,0,0,0,0,0
pour,49,0,0,0,0,0
fucked,48,0,0,0,0,0
finger,48,0,0,0,0,0
wrapped,48,0,0,0,0,0
y,47,0,0,0,0,0
drop,47,0,0,0,0,0
listen,47,0,0,0,0,0
ma,46,0,1,0,0,0
though,46,0,0,0,0,0
teeth,46,0,0,0,0,0
since,46,0,0,0,0,0
friend,46,0,0,0,0,0
own,46,0,0,0,0,0
where,45,0,0,0,0,0
fault,45,0,0,0,0,0
em,45,0,0,0,0,0
stone,45,0,0,0,0,0
ya,44,0,0,0,0,0
white,44,0,0,0,0,0
half,44,0,0,0,0,0
couldn,44,0,0,0,0,0
oooh,44,0,0,0,0,0
really,43,0,0,0,0,0
didn,43,0,0,0,0,0
smokin,43,0,0,0,0,0
blame,42,0,0,0,0,0
check,42,0,0,0,0,0
someone,42,0,0,0,0,0
gold,42,0,0,0,0,0
diamonds,42,0,0,0,0,0
woulda,41,0,0,0,0,0
bands,40,1,0,0,0,0
swear,40,0,0,0,0,0
saucin,40,0,0,0,0,0
fall,40,0,0,0,0,0
ah,40,0,0,0,0,0
road,40,0,0,0,0,0
lied,39,0,0,0,0,0
vu,39,0,0,0,0,0
deja,39,0,0,0,0,0
actin,39,0,0,0,0,0
hoes,39,0,0,0,0,0
mama,38,0,0,0,0,0
jewelry,38,0,0,0,0,0
waitin,38,0,0,0,0,0
tonight,38,0,0,0,0,0
bought,38,0,0,0,0,0
changed,38,0,0,0,0,0
dead,37,0,0,0,0,0
flexin,37,0,0,0,0,0
home,37,0,0,0,0,0
guess,37,0,0,0,0,0
swaggin,36,0,0,0,0,0
running,36,0,0,0,0,0
froze,36,0,0,0,0,0
act,36,0,0,0,0,0
everybody,36,0,0,0,0,0
lie,36,0,0,0,0,0
turn,36,0,0,0,0,0
hold,36,0,0,0,0,0
alone,35,0,0,0,0,0
bitches,35,0,0,0,0,0
livin,35,0,0,0,0,0
da,35,0,0,0,0,0
lil,34,0,0,0,0,0
car,34,0,0,0,0,0
talkin,34,0,0,0,0,0
neck,34,0,0,0,0,0
gettin,34,0,0,0,0,0
party,33,0,0,0,0,0
our,33,0,0,0,0,0
whoa,33,0,0,0,0,0
wake,33,0,0,0,0,0
feelin,33,0,0,0,0,0
pay,33,0,0,0,0,0
count,33,0,0,0,0,0
burnin,32,0,0,0,0,0
please,32,0,0,0,0,0
fit,32,0,0,0,0,0
stop,31,0,0,0,0,0
cut,31,0,0,0,1,0
buy,31,0,0,0,0,0
sweet,31,0,0,0,0,0
started,31,0,0,0,0,0
ground,31,0,0,0,0,0
wish,30,0,0,0,0,0
looking,30,0,0,0,0,0
mean,30,0,0,0,0,0
woo,30,0,0,0,0,0
ones,30,0,0,0,0,0
somethin,30,0,0,0,0,0
face,29,0,0,0,0,0
hear,29,0,0,0,0,0
alright,29,0,0,0,0,0
nobody,29,0,0,0,0,0
thousand,29,0,0,0,0,0
times,29,0,0,0,0,0
caught,29,0,0,0,0,0
spoil,29,0,0,0,0,0
sky,28,0,0,0,0,0
rockstar,28,0,0,0,0,0
apart,28,0,0,0,0,0
whip,28,0,0,0,0,0
broke,28,0,0,0,0,0
price,28,0,0,0,0,0
smoke,27,0,0,0,0,0
side,27,0,0,0,0,0
chemical,27,0,0,0,0,0
fly,27,0,0,0,0,0
million,27,0,0,0,0,0
rock,27,0,0,1,0,0
lost,27,0,0,0,0,0
floor,27,0,0,0,0,0
first,27,0,0,0,0,0
line,26,0,0,0,0,0
