word,frequency,money,women,drugs,crime,positive
t,515,0,0,0,0,0
s,505,0,0,0,0,0
m,335,0,0,0,0,0
man,249,0,0,0,0,0
don,227,0,0,0,0,0
no,192,0,0,0,0,0
all,173,0,0,0,0,0
re,141,0,0,0,0,0
if,121,0,0,0,0,0
then,116,0,0,0,0,0
when,115,0,0,0,0,0
let,107,0,0,0,0,0
ain,105,0,0,0,0,0
never,105,0,0,0,0,0
bad,103,0,0,0,0,0
now,96,0,0,0,0,0
please,93,0,0,0,0,0
niggas,93,0,0,0,0,0
ve,87,0,0,0,0,0
better,86,0,0,0,0,0
there,85,0,0,0,0,0
not,78,0,0,0,0,0
back,77,0,0,0,0,0
ll,74,0,0,0,0,0
girl,73,0,0,0,0,0
fuck,73,0,0,0,0,0
boy,72,0,0,1,0,0
big,70,0,0,0,0,0
still,65,0,0,0,0,0
how,65,0,0,0,0,0
ooh,64,0,0,0,0,0
too,63,0,0,0,0,0
put,63,0,0,0,0,0
more,59,0,0,0,0,0
em,58,0,0,0,0,0
woah,57,0,0,0,0,0
wanna,56,0,0,0,0,0
nigga,56,0,0,0,0,0
even,54,0,0,0,0,0
cause,53,0,0,0,0,0
ma,53,0,1,0,0,0
gonna,50,0,0,0,0,0
some,49,0,0,0,0,0
right,47,0,0,0,0,0
shit,45,0,0,0,0,0
water,43,0,0,0,0,0
look,42,0,0,0,0,0
enemies,39,0,0,0,0,0
where,38,0,0,0,0,0
fall,38,0,0,0,0,0
cold,36,0,0,0,0,0
hold,36,0,0,0,0,0
young,35,0,0,0,0,0
black,35,0,0,0,0,0
little,34,0,0,0,0,0
keep,33,0,0,0,0,0
okay,33,0,0,0,0,0
mad,33,0,0,0,0,0
lord,33,0,0,0,0,0
deep,33,0,0,0,0,0
pour,32,0,0,0,0,0
god,32,0,0,0,0,0
breathe,32,0,0,0,0,0
yo,32,0,0,0,0,0
mum,31,0,0,0,0,0
everything,31,0,0,0,0,0
talk,30,0,0,0,0,0
roll,30,1,0,0,0,0
getting,30,0,0,0,0,0
ya,30,0,0,0,0,0
here,29,0,0,0,0,0
bro,29,0,0,0,0,0
name,29,0,0,0,0,0
