word,frequency,money,women,drugs,crime,positive
t,1063,0,0,0,0,0
s,790,0,0,0,0,0
m,741,0,0,0,0,0
all,613,0,0,0,0,0
when,368,0,0,0,0,0
don,357,0,0,0,0,0
fuck,322,0,0,0,0,0
nigga,312,0,0,0,0,0
ain,302,0,0,0,0,0
if,301,0,0,0,0,0
bitch,266,0,1,0,0,0
no,262,0,0,0,0,0
hol,218,0,0,0,0,0
shit,215,0,0,0,0,0
now,193,0,0,0,0,0
back,191,0,0,0,0,0
not,174,0,0,0,0,0
niggas,167,0,0,0,0,0
then,163,0,0,0,0,0
wanna,160,0,0,0,0,0
never,158,0,0,0,0,0
real,157,0,0,0,0,1
ll,152,0,0,0,0,0
how,152,0,0,0,0,0
god,141,0,0,0,0,0
em,140,0,0,0,0,0
gon,137,0,0,0,0,0
good,134,0,0,0,0,0
baby,134,0,1,0,0,0
put,133,0,0,0,0,0
let,132,0,0,0,0,0
man,132,0,0,0,0,0
as,128,0,0,0,0,0
really,128,0,0,0,0,0
cause,127,0,0,0,0,0
why,119,0,0,0,0,0
bout,117,0,0,0,0,0
look,116,0,0,0,0,0
some,115,0,0,0,0,0
where,113,0,0,0,0,0
everybody,112,0,0,0,0,0
more,105,0,0,0,0,0
ass,105,0,0,0,0,0
y,103,0,0,0,0,0
re,102,0,0,0,0,0
money,102,0,0,0,0,0
there,96,0,0,0,0,0
talkin,94,0,0,0,0,0
too,92,0,0,0,0,0
die,92,0,0,0,0,0
still,91,0,0,0,0,0
only,89,0,0,0,0,0
black,87,0,0,0,0,0
better,86,0,0,0,0,0
right,86,0,0,0,0,0
everything,85,0,0,0,0,0
d,85,0,0,0,0,0
gotta,83,0,0,0,0,0
yah,83,0,0,0,0,0
live,82,0,0,0,0,0
keep,81,0,0,0,0,0
myself,79,0,0,0,0,0
hit,79,0,0,0,0,0
bitches,78,0,0,0,0,0
dead,76,0,0,0,0,0
ayy,75,0,0,0,0,0
city,73,0,0,0,0,0
big,73,0,0,0,0,0
won,71,0,0,0,0,0
than,71,0,0,0,0,0
huh,71,0,0,0,0,0
every,71,0,0,0,0,0
new,70,0,0,0,0,0
here,69,0,0,0,0,0
head,66,0,0,0,0,0
lil,66,0,0,0,0,0
high,66,0,0,0,0,0
ooh,65,0,0,0,0,0
king,64,0,0,0,0,0
please,64,0,0,0,0,0
ve,62,0,0,0,0,0
gonna,62,0,0,0,0,0
yo,61,0,0,0,0,0
somebody,58,0,0,0,0,0
power,58,0,0,0,0,1
ah,58,0,0,0,0,0
homies,57,0,0,0,0,0
even,57,0,0,0,0,0
done,57,0,0,0,0,0
ya,55,0,0,0,0,0
talk,55,0,0,0,0,0
girl,55,0,0,0,0,0
turn,55,0,0,0,0,0
nothin,54,0,0,0,0,0
our,54,0,0,0,0,0
other,54,0,0,0,0,0
fear,54,0,0,0,0,0
compton,53,0,0,0,0,0
body,52,0,0,0,0,0
watch,51,0,0,0,0,0
hear,50,0,0,0,0,0
woop,50,0,0,0,0,0
hard,49,0,0,0,0,0
away,49,0,0,0,0,0
kendrick,49,0,0,0,0,0
sit,48,0,0,0,0,0
enough,48,0,0,0,0,0
ma,48,0,1,0,0,0
wasn,48,0,0,0,0,0
tryna,48,0,0,0,0,0
same,47,0,0,0,0,0
pray,47,0,0,0,0,0
much,46,0,0,0,0,0
hate,46,0,0,0,0,0
didn,46,0,0,0,0,0
respect,45,0,0,0,0,0
first,45,0,0,0,0,0
home,45,0,0,0,0,0
boo,44,0,1,0,0,0
sing,44,0,0,0,0,0
beat,44,0,0,0,0,0
play,44,0,0,0,0,0
mean,44,0,0,0,0,0
earth,44,0,0,0,0,0
again,43,0,0,0,0,0
place,43,0,0,0,0,0
kill,43,0,0,0,0,0
mama,42,0,0,0,0,0
pain,42,0,0,0,0,0
maybe,42,0,0,0,0,0
damn,42,0,0,0,0,0
run,41,0,0,0,0,0
family,41,0,0,0,0,0
well,41,0,0,0,0,0
sure,41,0,0,0,0,0
show,41,0,0,0,0,0
streets,41,0,0,0,0,0
sorry,40,0,0,0,0,0
walk,40,0,0,0,0,0
wish,39,0,0,0,0,0
while,39,0,0,0,0,0
hands,39,0,0,0,0,0
humble,39,0,0,0,0,1
somethin,39,0,0,0,0,0
game,38,0,0,0,0,0
dna,38,0,0,0,0,0
stop,38,0,0,0,0,0
alright,38,0,0,0,0,0
free,38,0,0,0,0,0
nobody,38,0,0,0,0,0
talking,37,0,0,0,0,0
bad,37,0,0,0,0,0
last,37,0,0,0,0,0
house,37,0,0,0,0,0
years,37,0,0,0,0,0
hold,36,0,0,0,0,0
car,36,0,0,0,0,0
remember,36,0,0,0,0,0
full,36,0,0,0,0,0
fuckin,35,0,0,0,0,0
fan,35,0,0,0,0,0
front,35,0,0,0,0,0
top,35,0,0,0,0,0
rap,34,0,0,0,0,0
change,34,0,0,0,0,0
hood,34,0,0,0,1,0
name,34,0,0,0,0,0
lookin,33,0,0,0,0,0
white,33,0,0,0,0,0
prayin,33,0,0,0,0,0
prolly,33,0,0,0,0,0
n,33,0,0,0,0,0
walls,33,0,0,0,0,0
choose,33,0,0,0,0,0
perfect,32,0,0,0,0,0
young,32,0,0,0,0,0
okay,31,0,0,0,0,0
ever,31,0,0,0,0,0
lord,31,0,0,0,0,0
many,31,0,0,0,0,0
funk,31,0,0,0,0,0
dick,30,0,0,0,0,0
most,30,0,0,0,0,0
another,30,0,0,0,0,0
something,30,0,0,0,0,0
face,30,0,0,0,0,0
air,30,0,0,0,0,0
eat,30,0,0,0,0,0
soul,30,0,0,0,0,0
killed,29,0,0,0,0,0
old,29,0,0,0,0,0
pussy,29,0,0,0,0,0
went,29,0,0,0,0,0
feelin,29,0,0,0,0,0
de,29,0,0,0,0,0
street,29,0,0,0,0,0
feet,29,0,0,0,0,0
hop,28,0,0,0,0,0
little,28,0,0,0,0,0
tv,28,0,0,0,0,0
emotional,28,0,0,0,0,0
p,28,0,0,0,0,0
own,28,0,0,0,0,0
twenty,28,0,0,0,0,0
roll,28,1,0,0,0,0
dollar,28,0,0,0,0,0
lost,28,0,0,0,0,0
room,28,0,0,0,0,0
deserve,28,0,0,0,0,0
always,27,0,0,0,0,0
jump,27,0,0,0,0,0
stay,27,0,0,0,0,0
daddy,27,0,0,0,0,0
homie,27,0,0,0,0,0
blood,27,0,0,0,0,0
ready,27,0,0,0,0,0
reason,27,0,0,0,0,0
lot,26,0,0,0,0,0
friends,26,0,0,0,0,0
whole,26,0,0,0,0,0
pull,26,0,0,0,0,0
next,26,0,0,0,0,0
fire,26,0,0,1,0,0
yourself,26,0,0,0,0,0
care,26,0,0,0,0,0
living,26,0,0,0,0,0
times,25,0,0,0,0,0
block,25,0,0,0,1,0
rich,25,0,0,0,0,0
deep,25,0,0,0,0,0
water,25,0,0,0,0,0
probably,25,0,0,0,0,0
start,25,0,0,0,0,0
nothing,25,0,0,0,0,0
fast,25,0,0,0,0,0
wait,25,0,0,0,0,0
both,25,0,0,0,0,0
shot,24,0,0,0,0,0
hundred,24,0,0,0,0,0
aha,24,0,0,0,0,0
nah,24,0,0,0,0,0
judge,24,0,0,0,0,0
smoke,24,0,0,0,0,0
bish,24,0,0,0,0,0
trippin,24,0,0,0,0,0
goddamn,24,0,0,0,0,0
shut,24,0,0,0,0,0
true,24,0,0,0,0,0
b,24,0,0,0,0,0
runnin,24,0,0,0,0,0
lucy,24,0,0,0,0,0
crazy,24,0,0,0,0,0
fact,23,0,0,0,0,0
lately,23,0,0,0,0,0
brother,23,0,0,0,0,0
red,23,0,0,0,0,0
father,23,0,0,0,0,0
playin,23,0,0,0,0,0
set,23,0,0,0,1,0
fight,23,0,0,0,0,0
since,23,0,0,0,0,0
ways,23,0,0,0,0,0
justice,23,0,0,0,0,0
plan,23,0,0,0,0,0
war,23,0,0,0,0,0
mad,22,0,0,0,0,0
ride,22,0,0,0,1,0
words,22,0,0,0,0,0
broke,22,0,0,0,0,0
gold,22,0,0,0,0,0
grow,22,0,0,0,0,0
thinkin,22,0,0,0,0,0
word,22,0,0,0,0,0
trust,22,0,0,0,0,0
doo,22,0,0,0,0,0
poetic,22,0,0,0,0,0
heard,22,0,0,0,0,0
children,22,0,0,0,0,0
woman,22,0,0,0,0,0
promise,22,0,0,0,0,0
once,22,0,0,0,0,0
murder,21,0,0,0,0,0
closer,21,0,0,0,0,0
son,21,0,0,0,0,0
dreams,21,0,0,0,0,0
understand,21,0,0,0,0,0
stars,21,0,0,0,0,0
gun,21,0,0,0,0,0
business,21,0,0,0,0,0
sometimes,21,0,0,0,0,0
couldn,21,0,0,0,0,0
kids,21,0,0,0,0,0
move,21,0,0,0,0,0
truth,21,0,0,0,0,0
side,21,0,0,0,0,0
fall,21,0,0,0,0,0
la,21,0,0,0,0,0
gang,20,0,0,0,1,0
listen,20,0,0,0,0,0
faith,20,0,0,0,0,1
girls,20,0,0,0,0,0
count,20,0,0,0,0,0
type,20,0,0,0,0,0
pop,20,0,0,0,1,0
mm,20,0,0,0,0,0
bring,20,0,0,0,0,0
peace,20,0,0,0,0,1
cut,20,0,0,0,1,0
hoes,20,0,0,0,0,0
lead,20,0,0,0,0,0
watchin,20,0,0,0,0,0
complicated,20,0,0,0,0,0
write,20,0,0,0,0,0
boy,19,0,0,1,0,0
fucked,19,0,0,0,0,0
win,19,0,0,0,0,0
momma,19,0,0,0,0,0
pick,19,0,0,0,0,0
miss,19,0,1,0,0,0
blue,19,0,0,0,0,0
turned,19,0,0,0,0,0
pass,19,0,0,0,0,0
loving,19,0,0,0,0,0
mirror,19,0,0,0,0,0
emotion,19,0,0,0,0,0
comin,19,0,0,0,0,0
pressure,19,0,0,0,0,0
help,19,0,0,0,0,0
happy,19,0,0,0,0,0
days,19,0,0,0,0,0
forever,19,0,0,0,0,0
thoughts,19,0,0,0,0,0
sexy,19,0,0,0,0,0
cars,19,0,0,0,0,0
lives,18,0,0,0,0,0
church,18,0,0,0,0,0
livin,18,0,0,0,0,0
tired,18,0,0,0,0,0
caught,18,0,0,0,0,0
phone,18,0,0,0,0,0
different,18,0,0,0,0,0
blow,18,0,0,1,0,0
record,18,0,0,0,0,0
else,18,0,0,0,0,0
c,18,0,0,0,0,0
pride,18,0,0,0,0,0
today,18,0,0,0,0,0
goin,18,0,0,0,0,0
ball,18,0,0,0,0,0
art,18,0,0,0,0,0
amen,18,0,0,0,0,0
couple,18,0,0,0,0,0
heaven,17,0,0,0,0,0
mornin,17,0,0,0,0,0
peer,17,0,0,0,0,0
bullshit,17,0,0,0,0,0
learn,17,0,0,0,0,0
