word,frequency,money,women,drugs,crime,positive
s,538,0,0,0,0,0
t,536,0,0,0,0,0
man,336,0,0,0,0,0
m,298,0,0,0,0,0
don,220,0,0,0,0,0
ain,172,0,0,0,0,0
wanna,168,0,0,0,0,0
when,162,0,0,0,0,0
no,126,0,0,0,0,0
not,113,0,0,0,0,0
all,108,0,0,0,0,0
if,103,0,0,0,0,0
now,101,0,0,0,0,0
tryna,101,0,0,0,0,0
still,91,0,0,0,0,0
cause,91,0,0,0,0,0
too,90,0,0,0,0,0
many,89,0,0,0,0,0
back,88,0,0,0,0,0
how,83,0,0,0,0,0
re,82,0,0,0,0,0
never,79,0,0,0,0,0
c,77,0,0,0,0,0
ve,76,0,0,0,0,0
then,73,0,0,0,0,0
niggas,63,0,0,0,0,0
gotta,58,0,0,0,0,0
fam,58,0,0,0,0,0
more,58,0,0,0,0,0
put,56,0,0,0,0,0
murder,54,0,0,0,0,0
boy,52,0,0,1,0,0
some,52,0,0,0,0,0
better,50,0,0,0,0,0
girl,49,0,0,0,0,0
numbers,49,0,0,0,0,0
big,47,0,0,0,0,0
look,46,0,0,0,0,0
name,45,0,0,0,0,0
here,43,0,0,0,0,0
ll,42,0,0,0,0,0
talk,42,0,0,0,0,0
shit,42,0,0,0,0,0
em,41,0,0,0,0,0
turn,40,0,0,0,0,0
stay,40,0,0,0,0,0
as,40,0,0,0,0,0
gonna,39,0,0,0,0,0
pull,38,0,0,0,0,0
talkin,38,0,0,0,0,0
smoke,38,0,0,0,0,0
nah,37,0,0,0,0,0
there,36,0,0,0,0,0
girls,36,0,0,0,0,0
ting,36,0,0,0,0,0
nigga,35,0,0,0,0,0
skepta,35,0,0,0,0,0
keep,35,0,0,0,0,0
road,34,0,0,0,0,0
count,33,0,0,0,0,0
looking,33,0,0,0,0,0
gang,31,0,0,0,1,0
again,31,0,0,0,0,0
shutdown,31,0,0,0,0,0
slap,31,0,0,0,0,0
n,30,0,0,0,0,0
fuck,30,0,0,0,0,0
g,30,0,0,0,0,0
feds,29,0,0,0,0,0
b,29,0,0,0,0,0
why,29,0,0,0,0,0
hustler,28,0,0,0,0,0
even,28,0,0,0,0,0
same,28,0,0,0,0,0
hear,27,0,0,0,0,0
right,27,0,0,0,0,0
swag,27,0,0,0,0,0
money,27,0,0,0,0,0
black,26,0,0,0,0,0
real,26,0,0,0,0,1
mean,26,0,0,0,0,0
mum,26,0,0,0,0,0
every,26,0,0,0,0,0
ever,26,0,0,0,0,0
new,26,0,0,0,0,0
heard,26,0,0,0,0,0
hate,25,0,0,0,0,0
please,24,0,0,0,0,0
only,24,0,0,0,0,0
mcs,24,0,0,0,0,0
sk,24,0,0,0,0,0
where,24,0,0,0,0,0
lot,23,0,0,0,0,0
white,23,0,0,0,0,0
d,23,0,0,0,0,0
hold,23,0,0,0,0,0
rolex,23,0,0,0,0,0
own,23,0,0,0,0,0
mic,23,0,0,0,0,0
let,23,0,0,0,0,0
sex,22,0,0,0,0,0
change,22,0,0,0,0,0
quit,22,0,0,0,0,0
done,22,0,0,0,0,0
baby,22,0,1,0,0,0
game,22,0,0,0,0,0
sweep,21,0,0,0,0,0
scene,21,0,0,0,0,0
house,21,0,0,0,0,0
face,21,0,0,0,0,0
mad,21,0,0,0,0,0
greaze,21,0,0,0,0,0
lyrics,21,0,0,0,0,0
show,21,0,0,0,0,0
getting,20,0,0,0,0,0
fall,20,0,0,0,0,0
nobody,20,0,0,0,0,0
stop,20,0,0,0,0,0
check,20,0,0,0,0,0
old,20,0,0,0,0,0
strip,20,0,0,0,0,0
another,19,0,0,0,0,0
top,19,0,0,0,0,0
pussy,19,0,0,0,0,0
p,19,0,0,0,0,0
everybody,19,0,0,0,0,0
trap,19,0,0,0,1,0
bet,19,0,0,0,0,0
days,19,0,0,0,0,0
ring,19,0,0,0,0,0
hit,19,0,0,0,0,0
stick,19,0,0,0,1,0
whip,18,0,0,0,0,0
bonafide,18,0,0,0,0,0
head,18,0,0,0,0,0
mc,18,0,0,0,0,0
home,18,0,0,0,0,0
guns,18,0,0,0,0,0
run,18,0,0,0,0,0
keeps,18,0,0,0,0,0
everyone,18,0,0,0,0,0
good,17,0,0,0,0,0
verse,17,0,0,0,0,0
much,17,0,0,0,0,0
champagne,17,0,0,0,0,0
beef,17,0,0,0,0,0
knows,17,0,0,0,0,0
scream,17,0,0,0,0,0
mandem,17,0,0,0,0,0
asleep,17,0,0,0,0,0
start,17,0,0,0,0,0
trust,17,0,0,0,0,0
best,16,0,0,0,0,0
round,16,0,0,0,0,0
eat,16,0,0,0,0,0
beat,16,0,0,0,0,0
sitting,16,0,0,0,0,0
young,16,0,0,0,0,0
buy,16,0,0,0,0,0
different,16,0,0,0,0,0
any,16,0,0,0,0,0
wish,15,0,0,0,0,0
guys,15,0,0,0,0,0
long,15,0,0,0,0,0
went,15,0,0,0,0,0
doing,15,0,0,0,0,0
safe,15,0,0,0,0,0
bando,15,0,0,0,0,0
than,15,0,0,0,0,0
ice,15,0,0,1,0,0
touch,15,0,0,0,0,0
sleep,15,0,0,0,0,0
really,14,0,0,0,0,0
text,14,0,0,0,0,0
mix,14,0,0,0,0,0
ride,14,0,0,0,1,0
high,14,0,0,0,0,0
rich,14,0,0,0,0,0
racks,14,1,0,0,0,0
dance,14,0,0,0,0,0
little,14,0,0,0,0,0
front,13,0,0,0,0,0
ayy,13,0,0,0,0,0
watch,13,0,0,0,0,0
chorus,13,0,0,0,0,0
sexy,13,0,0,0,0,0
boys,13,0,0,0,1,0
floor,13,0,0,0,0,0
bitch,13,0,1,0,0,0
town,13,0,0,0,0,0
ma,13,0,1,0,0,0
calm,13,0,0,0,0,1
week,13,0,0,0,0,0
side,13,0,0,0,0,0
act,13,0,0,0,0,0
pack,13,0,0,1,0,0
live,13,0,0,0,0,0
woah,13,0,0,0,0,0
hood,13,0,0,0,1,0
everyday,12,0,0,0,0,0
o,12,0,0,0,0,0
smoking,12,0,0,0,0,0
bbk,12,0,0,0,0,0
blud,12,0,0,0,0,0
food,12,0,0,0,0,0
cm,12,0,0,0,0,0
body,12,0,0,0,0,0
skeng,12,0,0,0,0,0
cocaine,12,0,0,0,0,0
radio,12,0,0,0,0,0
bro,12,0,0,0,0,0
fucking,12,0,0,0,0,0
