word,frequency,money,women,drugs,crime,positive
grrah,232,0,0,0,0,0
m,187,0,0,0,0,0
t,163,0,0,0,0,0
bitch,136,0,1,0,0,0
back,114,0,0,0,0,0
s,111,0,0,0,0,0
ain,83,0,0,0,0,0
shit,78,0,0,0,0,0
don,71,0,0,0,0,0
fat,69,0,0,0,0,0
bitches,51,0,0,0,0,0
damn,48,0,0,0,0,0
cause,48,0,0,0,0,0
sta,46,0,0,0,0,0
no,44,0,0,0,0,0
butt,41,0,0,0,0,0
pull,40,0,0,0,0,0
all,40,0,0,0,0,0
fuck,39,0,0,0,0,0
pants,38,0,0,0,0,0
first,36,0,0,0,0,0
ass,35,0,0,0,0,0
gettin,34,0,0,0,0,0
man,34,0,0,0,0,0
em,33,0,0,0,0,0
okay,30,0,0,0,0,0
haters,28,0,0,0,0,0
how,28,0,0,0,0,0
if,28,0,0,0,0,0
why,28,0,0,0,0,0
packin,27,0,0,0,0,0
doin,26,0,0,0,0,0
throwin,26,0,0,0,0,0
bad,24,0,0,0,0,0
big,22,0,0,0,0,0
trippin,22,0,0,0,0,0
racks,22,1,0,0,0,0
stupid,22,0,0,0,0,0
cooler,22,0,0,0,0,0
stack,21,1,0,0,0,0
jackin,20,0,0,0,0,0
hit,19,0,0,0,0,0
baddie,19,0,1,0,0,0
diamonds,18,0,0,0,0,0
fuckin,18,0,0,0,0,0
never,18,0,0,0,0,0
put,18,0,0,0,0,0
as,18,0,0,0,0,0
yup,18,0,0,0,0,0
playin,17,0,0,0,0,0
when,16,0,0,0,0,0
some,16,0,0,0,0,0
let,16,0,0,0,0,0
stay,16,0,0,0,0,0
tummy,16,0,0,0,0,0
knock,16,0,0,0,0,0
baby,16,0,1,0,0,0
cheatin,16,0,0,0,0,0
hella,16,0,0,0,0,0
shakin,15,0,0,0,0,0
riot,15,0,0,0,0,0
stop,15,0,0,0,0,0
v,14,0,0,0,0,0
where,14,0,0,0,0,0
dance,14,0,0,0,0,0
ridiculous,14,0,0,0,0,0
look,14,0,0,0,0,0
miss,14,0,1,0,0,0
right,14,0,0,0,0,0
gon,14,0,0,0,0,0
lot,14,0,0,0,0,0
pop,14,0,0,0,1,0
jatt,13,0,0,0,0,0
cake,13,1,0,0,0,0
keep,13,0,0,0,0,0
tryna,12,0,0,0,0,0
care,12,0,0,0,0,0
worse,12,0,0,0,0,0
purse,12,0,0,0,0,0
bands,12,1,0,0,0,0
grip,12,1,0,0,0,0
spot,12,0,0,0,0,0
wanna,12,0,0,0,0,0
munchin,12,0,0,0,0,0
skater,12,0,0,0,0,0
too,12,0,0,0,0,0
lit,12,0,0,0,0,0
fight,12,0,0,0,0,0
tight,12,0,0,0,0,0
boxin,12,0,0,0,0,0
fit,12,0,0,0,0,0
hot,12,0,0,0,0,0
mad,12,0,0,0,0,0
talk,12,0,0,0,0,0
paper,12,1,0,0,0,0
baddest,11,0,0,0,0,0
party,11,0,0,0,0,0
friends,10,0,0,0,0,0
huh,10,0,0,0,0,0
pretty,10,0,0,0,0,0
d,10,0,0,0,0,0
sit,10,0,0,0,0,0
step,10,0,0,0,0,0
strap,10,0,0,0,1,0
hair,10,0,0,0,0,0
twenty,10,0,0,0,0,0
stewardess,10,0,0,0,0,0
lock,10,0,0,0,0,0
stole,10,0,0,0,0,0
ma,10,0,1,0,0,0
fake,9,0,0,0,0,0
thick,9,0,0,0,0,0
star,8,0,0,0,0,0
foolin,8,0,0,0,0,0
money,8,0,0,0,0,0
smell,8,0,0,0,0,0
lil,8,0,0,0,0,0
callin,8,0,0,0,0,0
cap,8,0,0,0,0,0
wrist,8,0,0,0,0,0
poopie,8,0,0,0,0,0
now,8,0,0,0,0,0
gyal,8,0,1,0,0,0
black,8,0,0,0,0,0
bae,8,0,1,0,0,0
course,8,0,0,0,0,0
line,8,0,0,0,0,0
cappin,8,0,0,0,0,0
fine,8,0,0,0,0,0
ooh,8,0,0,0,0,0
super,8,0,0,0,0,0
talkin,7,0,0,0,0,0
hood,7,0,0,0,1,0
felt,6,0,0,0,0,0
gotta,6,0,0,0,0,0
ice,6,0,0,1,0,0
sell,6,0,0,0,0,0
goin,6,0,0,0,0,0
naked,6,0,0,0,0,0
meal,6,0,0,0,0,0
name,6,0,0,0,0,0
belt,6,0,0,0,0,0
nigga,6,0,0,0,0,0
dem,6,0,0,0,0,0
post,6,0,0,0,0,0
bricks,6,0,0,0,0,0
plane,6,0,0,0,0,0
address,6,0,0,0,0,0
player,6,0,0,0,0,0
dancin,6,0,0,0,0,0
buss,6,0,0,0,0,0
alright,6,0,0,0,0,0
anotha,6,0,0,0,0,0
bokkle,6,0,0,0,0,0
inna,6,0,0,0,0,0
good,6,0,0,0,0,0
gots,6,0,0,0,0,0
faker,6,0,0,0,0,0
flow,6,0,0,0,0,0
face,6,0,0,0,0,0
nothin,6,0,0,0,0,0
better,6,0,0,0,0,0
mm,6,0,0,0,0,0
tellin,6,0,0,0,0,0
lackin,6,0,0,0,0,0
actin,6,0,0,0,0,0
showin,6,0,0,0,0,0
popa,6,0,0,0,0,0
bb,6,0,0,0,0,0
chillin,6,0,0,0,0,0
wake,6,0,0,0,0,0
understand,6,0,0,0,0,0
ones,6,0,0,0,0,0
later,6,0,0,0,0,0
real,6,0,0,0,0,1
re,6,0,0,0,0,0
scissors,6,0,0,0,0,0
sure,6,0,0,0,0,0
not,6,0,0,0,0,0
hehe,6,0,0,0,0,0
truey,6,0,0,0,0,0
many,6,0,0,0,0,0
niggas,6,0,0,0,0,0
reverse,6,0,0,0,0,0
uno,6,0,0,0,0,0
til,6,0,0,0,0,0
done,6,0,0,0,0,0
rocks,6,0,0,0,0,0
dressed,6,0,0,0,0,0
stealin,6,0,0,0,0,0
rich,6,0,0,0,0,0
young,6,0,0,0,0,0
worry,6,0,0,0,0,0
something,6,0,0,0,0,0
enough,6,0,0,0,0,0
tun,6,0,0,0,0,0
dong,6,0,0,0,0,0
bum,6,0,0,0,0,0
plenty,6,0,0,0,0,0
bit,6,0,0,0,0,0
really,6,0,0,0,0,0
top,5,0,0,0,0,0
throw,5,0,0,0,0,0
gimme,4,0,0,0,0,0
chosen,4,0,0,0,0,0
trollin,4,0,0,0,0,0
last,4,0,0,0,0,0
drink,4,0,0,0,0,0
nose,4,0,0,0,0,0
ba,4,0,0,0,0,0
hatin,4,0,0,0,0,0
even,4,0,0,0,0,0
class,4,0,0,0,0,0
minute,4,0,0,0,0,0
pass,4,0,0,0,0,0
dro,4,0,0,0,0,0
skin,4,0,0,0,0,0
boobs,4,0,0,0,0,0
plaques,4,0,0,0,0,0
clappers,4,0,0,0,0,0
rules,4,0,0,0,0,0
runs,4,0,0,0,0,0
hell,4,0,0,0,0,0
roll,4,1,0,0,0,0
everybody,4,0,0,0,0,0
apology,4,0,0,0,0,0
lettin,4,0,0,0,0,0
protegies,4,0,0,0,0,0
apologies,4,0,0,0,0,0
strip,4,0,0,0,0,0
magazine,4,0,0,0,0,0
mac,4,0,0,0,1,0
guns,4,0,0,0,0,0
tap,4,0,0,0,0,0
tappin,4,0,0,0,0,0
single,4,0,0,0,0,0
eater,4,0,0,0,0,0
pactin,4,0,0,0,0,0
sun,4,0,0,0,0,0
bomb,4,0,0,0,0,0
mixed,4,0,0,0,0,0
sixteen,4,0,0,0,0,0
plans,4,0,0,0,0,0
flop,4,0,0,0,0,0
yo,4,0,0,0,0,0
peter,4,0,0,0,0,0
leader,4,0,0,0,0,0
pan,4,0,0,0,0,0
speed,4,0,0,1,0,0
lose,4,0,0,0,0,0
send,4,0,0,0,0,0
millionaire,4,0,0,0,0,0
fly,4,0,0,0,0,0
getty,4,0,0,0,0,0
new,4,0,0,0,0,0
than,4,0,0,0,0,0
bigger,4,0,0,0,0,0
pack,4,0,0,1,0,0
scrappy,4,0,0,0,0,0
makin,4,0,0,0,0,0
beat,4,0,0,0,0,0
ll,4,0,0,0,0,0
asks,4,0,0,0,0,0
lucky,4,0,0,0,0,0
store,4,0,0,0,0,0
lunchin,4,0,0,0,0,0
answer,4,0,0,0,0,0
drag,4,0,0,0,0,0
countin,4,0,0,0,0,0
lost,4,0,0,0,0,0
