word,frequency,money,women,drugs,crime,positive
t,2335,0,0,0,0,0
m,2009,0,0,0,0,0
s,1975,0,0,0,0,0
all,1124,0,0,0,0,0
don,1076,0,0,0,0,0
shit,733,0,0,0,0,0
no,635,0,0,0,0,0
when,630,0,0,0,0,0
now,588,0,0,0,0,0
niggas,521,0,0,0,0,0
ain,468,0,0,0,0,0
how,461,0,0,0,0,0
too,455,0,0,0,0,0
fuck,448,0,0,0,0,0
back,440,0,0,0,0,0
girl,437,0,0,0,0,0
re,435,0,0,0,0,0
if,429,0,0,0,0,0
never,420,0,0,0,0,0
nigga,414,0,0,0,0,0
cause,403,0,0,0,0,0
not,381,0,0,0,0,0
right,375,0,0,0,0,0
some,373,0,0,0,0,0
man,361,0,0,0,0,0
baby,355,0,1,0,0,0
wanna,342,0,0,0,0,0
ayy,337,0,0,0,0,0
let,336,0,0,0,0,0
ll,321,0,0,0,0,0
still,315,0,0,0,0,0
gotta,299,0,0,0,0,0
ve,286,0,0,0,0,0
woah,272,0,0,0,0,0
even,269,0,0,0,0,0
there,265,0,0,0,0,0
here,263,0,0,0,0,0
really,258,0,0,0,0,0
then,256,0,0,0,0,0
money,255,0,0,0,0,0
bitch,254,0,1,0,0,0
where,254,0,0,0,0,0
as,228,0,0,0,0,0
more,227,0,0,0,0,0
put,212,0,0,0,0,0
em,209,0,0,0,0,0
why,205,0,0,0,0,0
bout,204,0,0,0,0,0
real,201,0,0,0,0,1
done,194,0,0,0,0,0
look,191,0,0,0,0,0
gon,190,0,0,0,0,0
good,184,0,0,0,0,0
okay,183,0,0,0,0,0
keep,181,0,0,0,0,0
new,180,0,0,0,0,0
than,177,0,0,0,0,0
only,174,0,0,0,0,0
everything,171,0,0,0,0,0
ass,170,0,0,0,0,0
ever,169,0,0,0,0,0
drake,168,0,0,0,0,0
hit,168,0,0,0,0,0
better,164,0,0,0,0,0
much,164,0,0,0,0,0
city,160,0,0,0,0,0
d,159,0,0,0,0,0
tryna,158,0,0,0,0,0
always,156,0,0,0,0,0
girls,146,0,0,0,0,0
friends,144,0,0,0,0,0
damn,142,0,0,0,0,0
ya,138,0,0,0,0,0
every,137,0,0,0,0,0
big,137,0,0,0,0,0
same,136,0,0,0,0,0
again,129,0,0,0,0,0
y,125,0,0,0,0,0
fuckin,123,0,0,0,0,0
live,123,0,0,0,0,0
own,119,0,0,0,0,0
talk,119,0,0,0,0,0
talkin,118,0,0,0,0,0
bitches,117,0,0,0,0,0
remember,117,0,0,0,0,0
last,116,0,0,0,0,0
show,115,0,0,0,0,0
long,112,0,0,0,0,0
home,111,0,0,0,0,0
goin,111,0,0,0,0,0
won,111,0,0,0,0,0
guess,108,0,0,0,0,0
gettin,107,0,0,0,0,0
name,105,0,0,0,0,0
lot,105,0,0,0,0,0
whole,104,0,0,0,0,0
days,101,0,0,0,0,0
hard,101,0,0,0,0,0
boy,101,0,0,1,0,0
ooh,100,0,0,0,0,0
something,99,0,0,0,0,0
wait,98,0,0,0,0,0
somethin,97,0,0,0,0,0
turn,97,0,0,0,0,0
fucking,97,0,0,0,0,0
huh,97,0,0,0,0,0
young,97,0,0,0,0,0
god,96,0,0,0,0,0
well,96,0,0,0,0,0
first,94,0,0,0,0,0
started,94,0,0,0,0,0
swear,92,0,0,0,0,0
best,92,0,0,0,0,0
stay,92,0,0,0,0,0
other,91,0,0,0,0,0
doin,90,0,0,0,0,0
someone,89,0,0,0,0,0
hands,88,0,0,0,0,0
face,87,0,0,0,0,0
our,86,0,0,0,0,0
though,86,0,0,0,0,0
top,85,0,0,0,0,0
little,85,0,0,0,0,0
gang,85,0,0,0,1,0
head,84,0,0,0,0,0
bad,84,0,0,0,0,0
hold,84,0,0,0,0,0
comin,84,0,0,0,0,0
boys,84,0,0,0,1,0
pussy,84,0,0,0,0,0
play,82,0,0,0,0,0
late,82,0,0,0,0,0
heard,82,0,0,0,0,0
hoes,82,0,0,0,0,0
run,81,0,0,0,0,0
myself,80,0,0,0,0,0
hate,79,0,0,0,0,0
phone,77,0,0,0,0,0
nothing,77,0,0,0,0,0
preach,77,0,0,0,0,0
die,76,0,0,0,0,0
went,75,0,0,0,0,0
hear,75,0,0,0,0,0
treated,74,0,0,0,0,0
mean,74,0,0,0,0,0
til,74,0,0,0,0,0
trust,73,0,0,0,0,0
lookin,73,0,0,0,0,0
start,73,0,0,0,0,0
somebody,72,0,0,0,0,0
ma,72,0,1,0,0,0
end,71,0,0,0,0,0
game,71,0,0,0,0,0
different,70,0,0,0,0,0
side,70,0,0,0,0,0
tonight,70,0,0,0,0,0
sayin,69,0,0,0,0,0
already,68,0,0,0,0,0
drop,68,0,0,0,0,0
shot,68,0,0,0,0,0
change,67,0,0,0,0,0
crazy,66,0,0,0,0,0
nah,66,0,0,0,0,0
care,66,0,0,0,0,0
please,66,0,0,0,0,0
ho,65,0,1,0,0,0
dog,65,0,0,0,0,0
check,65,0,0,0,0,0
getting,64,0,0,0,0,0
ah,64,0,0,0,0,0
wrong,64,0,0,0,0,0
women,63,0,0,0,0,0
else,63,0,0,0,0,0
whatever,63,0,0,0,0,0
body,63,0,0,0,0,0
wasn,62,0,0,0,0,0
round,62,0,0,0,0,0
chorus,61,0,0,0,0,0
enough,61,0,0,0,0,0
another,60,0,0,0,0,0
pop,60,0,0,0,1,0
free,60,0,0,0,0,0
since,59,0,0,0,0,0
beat,59,0,0,0,0,0
shake,59,0,0,0,0,0
many,58,0,0,0,0,0
miss,58,0,1,0,0,0
knees,58,0,0,0,0,0
lil,58,0,0,0,0,0
pull,58,0,0,0,0,0
didn,57,0,0,0,0,0
team,57,0,0,0,0,0
gonna,56,0,0,0,0,0
everybody,56,0,0,0,0,0
place,55,0,0,0,0,0
sure,55,0,0,0,0,0
away,55,0,0,0,0,0
probably,55,0,0,0,0,0
deep,55,0,0,0,0,0
old,55,0,0,0,0,0
broke,55,0,0,0,0,0
sexy,54,0,0,0,0,0
times,54,0,0,0,0,0
together,54,0,0,0,0,0
ones,54,0,0,0,0,0
spend,54,0,0,0,0,0
house,53,0,0,0,0,0
g,53,0,0,0,0,0
ride,53,0,0,0,1,0
bring,53,0,0,0,0,0
bought,52,0,0,0,0,0
high,52,0,0,0,0,0
ex,52,0,0,0,0,0
nobody,52,0,0,0,0,0
couple,52,0,0,0,0,0
listen,51,0,0,0,0,0
nothin,51,0,0,0,0,0
smoke,51,0,0,0,0,0
understand,50,0,0,0,0,0
straight,50,0,0,0,0,0
lie,50,0,0,0,0,0
bet,50,0,0,0,0,0
watch,50,0,0,0,0,0
verse,50,0,0,0,0,0
move,50,0,0,0,0,0
talking,50,0,0,0,0,0
forget,49,0,0,0,0,0
alone,49,0,0,0,0,0
fireworks,48,0,0,0,0,0
brand,48,0,0,0,0,0
caught,48,0,0,0,0,0
shut,48,0,0,0,0,0
treat,48,0,0,0,0,0
ready,48,0,0,0,0,0
hundred,48,0,0,0,0,0
help,47,0,0,0,0,0
both,47,0,0,0,0,0
kid,47,0,0,0,0,0
maybe,46,0,0,0,0,0
pay,46,0,0,0,0,0
club,46,0,0,0,0,0
met,46,0,0,0,0,0
low,45,0,0,0,0,0
road,45,0,0,0,0,0
wish,45,0,0,0,0,0
makin,45,0,0,0,0,0
line,45,0,0,0,0,0
send,44,0,0,0,0,0
next,44,0,0,0,0,0
couldn,44,0,0,0,0,0
bottom,43,0,0,0,0,0
ay,43,0,0,0,0,0
set,42,0,0,0,1,0
open,42,0,0,0,0,0
cash,42,0,0,0,0,0
shawty,42,0,1,0,0,0
fly,42,0,0,0,0,0
dance,41,0,0,0,0,0
shout,41,0,0,0,0,0
ha,41,0,0,0,0,0
believe,41,0,0,0,0,0
stop,41,0,0,0,0,0
summer,41,0,0,0,0,0
drizzy,40,0,0,0,0,0
cry,40,0,0,0,0,0
forever,40,0,0,0,0,0
tellin,40,0,0,0,0,0
guys,40,0,0,0,0,0
dogs,40,0,0,0,0,0
mama,40,0,0,0,0,0
friend,40,0,0,0,0,0
pick,40,0,0,0,0,0
o,39,0,0,0,0,0
diamonds,39,0,0,0,0,0
lost,39,0,0,0,0,0
