word,frequency,money,women,drugs,crime,positive
t,530,0,0,0,0,0
s,454,0,0,0,0,0
m,332,0,0,0,0,0
don,260,0,0,0,0,0
ooh,203,0,0,0,0,0
now,198,0,0,0,0,0
all,198,0,0,0,0,0
baby,184,0,1,0,0,0
if,170,0,0,0,0,0
no,165,0,0,0,0,0
let,141,0,0,0,0,0
where,132,0,0,0,0,0
nigga,118,0,0,0,0,0
as,104,0,0,0,0,0
right,103,0,0,0,0,0
ain,103,0,0,0,0,0
ah,99,0,0,0,0,0
back,99,0,0,0,0,0
when,98,0,0,0,0,0
here,95,0,0,0,0,0
wanna,95,0,0,0,0,0
there,85,0,0,0,0,0
keep,83,0,0,0,0,0
put,80,0,0,0,0,0
never,78,0,0,0,0,0
too,78,0,0,0,0,0
how,78,0,0,0,0,0
shit,77,0,0,0,0,0
ll,74,0,0,0,0,0
long,74,0,0,0,0,0
look,74,0,0,0,0,0
re,71,0,0,0,0,0
bitch,71,0,1,0,0,0
good,69,0,0,0,0,0
gon,66,0,0,0,0,0
girl,66,0,0,0,0,0
not,65,0,0,0,0,0
ya,62,0,0,0,0,0
ever,62,0,0,0,0,0
la,61,0,0,0,0,0
niggas,60,0,0,0,0,0
only,54,0,0,0,0,0
much,53,0,0,0,0,0
some,50,0,0,0,0,0
fuck,50,0,0,0,0,0
somebody,49,0,0,0,0,0
gotta,49,0,0,0,0,0
tryna,48,0,0,0,0,0
then,48,0,0,0,0,0
ve,47,0,0,0,0,0
yes,45,0,0,0,0,0
why,44,0,0,0,0,0
money,44,0,0,0,0,0
cause,41,0,0,0,0,0
word,39,0,0,0,0,0
little,38,0,0,0,0,0
ass,37,0,0,0,0,0
hold,37,0,0,0,0,0
still,37,0,0,0,0,0
woo,37,0,0,0,0,0
more,36,0,0,0,0,0
lord,36,0,0,0,0,0
man,36,0,0,0,0,0
god,35,0,0,0,0,0
free,35,0,0,0,0,0
stay,35,0,0,0,0,0
move,35,0,0,0,0,0
bout,35,0,0,0,0,0
open,34,0,0,0,0,0
loving,34,0,0,0,0,0
always,32,0,0,0,0,0
gonna,32,0,0,0,0,0
d,31,0,0,0,0,0
momma,31,0,0,0,0,0
real,31,0,0,0,0,1
room,30,0,0,0,0,0
home,29,0,0,0,0,0
stop,29,0,0,0,0,0
won,29,0,0,0,0,0
show,29,0,0,0,0,0
windows,28,0,0,0,0,0
cold,28,0,0,0,0,0
whoa,28,0,0,0,0,0
ma,27,0,1,0,0,0
hard,27,0,0,0,0,0
dreaming,27,0,0,0,0,0
every,26,0,0,0,0,0
really,25,0,0,0,0,0
please,25,0,0,0,0,0
tints,25,0,0,0,0,0
head,25,0,0,0,0,0
summers,25,0,0,0,0,0
talk,25,0,0,0,0,0
tinted,24,0,0,0,0,0
better,24,0,0,0,0,0
than,24,0,0,0,0,0
last,24,0,0,0,0,0
even,24,0,0,0,0,0
together,24,0,0,0,0,0
whole,24,0,0,0,0,0
carry,24,0,0,0,0,0
wait,23,0,0,0,0,0
far,23,0,0,0,0,0
new,23,0,0,0,0,0
damn,23,0,0,0,0,0
lot,23,0,0,0,0,0
bed,23,0,0,0,0,0
own,22,0,0,0,0,0
same,22,0,0,0,0,0
well,22,0,0,0,0,0
fly,22,0,0,0,0,0
meet,22,0,0,0,0,0
everything,22,0,0,0,0,0
door,22,0,0,0,0,0
living,22,0,0,0,0,0
run,21,0,0,0,0,0
while,21,0,0,0,0,0
old,21,0,0,0,0,0
lil,21,0,0,0,0,0
cha,21,0,0,0,0,0
lady,21,0,1,0,0,0
big,20,0,0,0,0,0
goin,20,0,0,0,0,0
everybody,20,0,0,0,0,0
somewhere,20,0,0,0,0,0
em,19,0,0,0,0,0
hit,19,0,0,0,0,0
pop,19,0,0,0,1,0
arms,19,0,0,0,0,0
true,19,0,0,0,0,0
y,18,0,0,0,0,0
fuckin,18,0,0,0,0,0
game,18,0,0,0,0,0
pain,18,0,0,0,0,0
name,18,0,0,0,0,0
paak,18,0,0,0,0,0
settle,18,0,0,0,0,0
bah,18,0,0,0,0,0
wit,18,0,0,0,0,0
somethin,18,0,0,0,0,0
wrong,17,0,0,0,0,0
smoke,17,0,0,0,0,0
mean,17,0,0,0,0,0
soon,17,0,0,0,0,0
okay,17,0,0,0,0,0
place,17,0,0,0,0,0
cool,17,0,0,0,0,0
doin,17,0,0,0,0,0
roll,17,1,0,0,0,0
pull,16,0,0,0,0,0
other,16,0,0,0,0,0
mmm,16,0,0,0,0,0
turn,16,0,0,0,0,0
smile,16,0,0,0,0,1
live,16,0,0,0,0,0
kiss,16,0,0,0,0,0
skate,16,0,0,0,0,0
enough,16,0,0,0,0,0
didn,16,0,0,0,0,0
sure,16,0,0,0,0,0
tonight,15,0,0,0,0,0
crazy,15,0,0,0,0,0
anderson,15,0,0,0,0,0
done,15,0,0,0,0,0
nobody,15,0,0,0,0,0
til,15,0,0,0,0,0
none,15,0,0,0,0,0
couldn,15,0,0,0,0,0
scared,14,0,0,0,0,0
touch,14,0,0,0,0,0
high,14,0,0,0,0,0
moment,14,0,0,0,0,0
shake,14,0,0,0,0,0
dance,14,0,0,0,0,0
jump,14,0,0,0,0,0
needs,14,0,0,0,0,0
swear,14,0,0,0,0,0
blow,14,0,0,1,0,0
someone,14,0,0,0,0,0
though,14,0,0,0,0,0
remember,14,0,0,0,0,0
help,14,0,0,0,0,0
smilin,14,0,0,0,0,0
away,14,0,0,0,0,0
met,13,0,0,0,0,0
hair,13,0,0,0,0,0
worth,13,0,0,0,0,0
slow,13,0,0,0,0,0
woah,13,0,0,0,0,0
ride,13,0,0,0,1,0
least,13,0,0,0,0,0
such,13,0,0,0,0,0
first,13,0,0,0,0,0
days,13,0,0,0,0,0
bitches,13,0,0,0,0,0
short,13,0,0,0,0,0
hook,13,0,0,0,0,0
paid,13,0,0,0,0,0
few,13,0,0,0,0,0
round,13,0,0,0,0,0
another,13,0,0,0,0,0
bad,13,0,0,0,0,0
check,13,0,0,0,0,0
hate,13,0,0,0,0,0
peace,12,0,0,0,0,1
simple,12,0,0,0,0,0
chauffeur,12,0,0,0,0,0
lunch,12,0,0,0,0,0
broke,12,0,0,0,0,0
legs,12,0,0,0,0,0
feelin,12,0,0,0,0,0
act,12,0,0,0,0,0
runnin,12,0,0,0,0,0
colder,12,0,0,0,0,0
cheap,12,0,0,0,0,0
believe,12,0,0,0,0,0
livin,12,0,0,0,0,0
any,12,0,0,0,0,0
headlow,12,0,0,0,0,0
black,12,0,0,0,0,0
maybe,12,0,0,0,0,0
hands,12,0,0,0,0,0
buy,12,0,0,0,0,0
brother,12,0,0,0,0,0
each,12,0,0,0,0,0
window,12,0,0,0,0,0
drink,12,0,0,0,0,0
morning,11,0,0,0,0,0
watch,11,0,0,0,0,0
mama,11,0,0,0,0,0
face,11,0,0,0,0,0
bring,11,0,0,0,0,0
talkin,11,0,0,0,0,0
close,11,0,0,0,0,0
comin,11,0,0,0,0,0
king,11,0,0,0,0,0
