word,frequency,money,women,drugs,crime,positive
t,1071,0,0,0,0,0
s,1018,0,0,0,0,0
m,800,0,0,0,0,0
all,693,0,0,0,0,0
don,426,0,0,0,0,0
nigga,373,0,0,0,0,0
jay,349,0,0,0,0,0
if,312,0,0,0,0,0
z,308,0,0,0,0,0
ain,300,0,0,0,0,0
no,294,0,0,0,0,0
now,270,0,0,0,0,0
when,265,0,0,0,0,0
shit,259,0,0,0,0,0
ya,244,0,0,0,0,0
back,231,0,0,0,0,0
never,224,0,0,0,0,0
y,213,0,0,0,0,0
some,207,0,0,0,0,0
em,202,0,0,0,0,0
how,202,0,0,0,0,0
let,197,0,0,0,0,0
gotta,188,0,0,0,0,0
not,188,0,0,0,0,0
fuck,185,0,0,0,0,0
chorus,175,0,0,0,0,0
ll,163,0,0,0,0,0
niggaz,155,0,0,0,0,0
cause,154,0,0,0,0,0
wanna,144,0,0,0,0,0
as,141,0,0,0,0,0
re,138,0,0,0,0,0
man,127,0,0,0,0,0
niggas,126,0,0,0,0,0
keep,126,0,0,0,0,0
wit,125,0,0,0,0,0
gon,120,0,0,0,0,0
then,120,0,0,0,0,0
too,119,0,0,0,0,0
baby,117,0,1,0,0,0
bounce,113,0,0,0,0,0
black,110,0,0,0,0,0
bitch,109,0,1,0,0,0
rap,107,0,0,0,0,0
put,104,0,0,0,0,0
right,104,0,0,0,0,0
here,102,0,0,0,0,0
more,102,0,0,0,0,0
young,100,0,0,0,0,0
real,98,0,0,0,0,1
huh,96,0,0,0,0,0
uhh,94,0,0,0,0,0
where,93,0,0,0,0,0
big,92,0,0,0,0,0
why,89,0,0,0,0,0
money,88,0,0,0,0,0
hov,88,0,0,0,0,0
whole,88,0,0,0,0,0
change,88,0,0,0,0,0
bout,86,0,0,0,0,0
there,85,0,0,0,0,0
live,85,0,0,0,0,0
than,85,0,0,0,0,0
still,84,0,0,0,0,0
verse,84,0,0,0,0,0
only,83,0,0,0,0,0
even,83,0,0,0,0,0
please,81,0,0,0,0,0
little,78,0,0,0,0,0
b,77,0,0,0,0,0
god,76,0,0,0,0,0
game,76,0,0,0,0,0
new,75,0,0,0,0,0
every,74,0,0,0,0,0
stop,72,0,0,0,0,0
gonna,71,0,0,0,0,0
bad,71,0,0,0,0,0
g,70,0,0,0,0,0
same,70,0,0,0,0,0
look,68,0,0,0,0,0
yo,68,0,0,0,0,0
o,67,0,0,0,0,0
run,65,0,0,0,0,0
boy,64,0,0,1,0,0
til,63,0,0,0,0,0
high,63,0,0,0,0,0
play,60,0,0,0,0,0
d,59,0,0,0,0,0
well,58,0,0,0,0,0
jigga,58,0,0,0,0,0
home,58,0,0,0,0,0
alright,58,0,0,0,0,0
better,56,0,0,0,0,0
forever,56,0,0,0,0,0
hit,56,0,0,0,0,0
first,55,0,0,0,0,0
comin,55,0,0,0,0,0
good,55,0,0,0,0,0
hold,53,0,0,0,0,0
much,53,0,0,0,0,0
pop,53,0,0,0,1,0
head,52,0,0,0,0,0
paper,52,1,0,0,0,0
roc,52,0,0,0,0,0
murder,50,0,0,0,0,0
brooklyn,50,0,0,0,0,0
dog,50,0,0,0,0,0
c,49,0,0,0,0,0
flow,49,0,0,0,0,0
n,49,0,0,0,0,0
already,48,0,0,0,0,0
runnin,48,0,0,0,0,0
again,47,0,0,0,0,0
kanye,46,0,0,0,0,0
hello,46,0,0,0,0,0
