word,frequency,money,women,drugs,crime,positive
m,596,0,0,0,0,0
t,487,0,0,0,0,0
s,376,0,0,0,0,0
nigga,236,0,0,0,0,0
when,217,0,0,0,0,0
ll,204,0,0,0,0,0
don,202,0,0,0,0,0
shit,199,0,0,0,0,0
ain,196,0,0,0,0,0
niggas,195,0,0,0,0,0
ya,193,0,0,0,0,0
if,186,0,0,0,0,0
money,172,0,0,0,0,0
now,160,0,0,0,0,0
chorus,142,0,0,0,0,0
all,136,0,0,0,0,0
no,132,0,0,0,0,0
cent,121,0,0,0,0,0
baby,120,0,1,0,0,0
man,119,0,0,0,0,0
fuck,115,0,0,0,0,0
ha,112,0,0,0,0,0
back,111,0,0,0,0,0
how,109,0,0,0,0,0
let,104,0,0,0,0,0
then,103,0,0,0,0,0
verse,97,0,0,0,0,0
em,93,0,0,0,0,0
cause,89,0,0,0,0,0
hit,87,0,0,0,0,0
ass,86,0,0,0,0,0
bitch,85,0,1,0,0,0
hood,84,0,0,0,1,0
re,79,0,0,0,0,0
not,77,0,0,0,0,0
girl,74,0,0,0,0,0
more,73,0,0,0,0,0
hot,73,0,0,0,0,0
some,72,0,0,0,0,0
still,70,0,0,0,0,0
put,66,0,0,0,0,0
gotta,64,0,0,0,0,0
head,63,0,0,0,0,0
lil,62,0,0,0,0,0
gon,61,0,0,0,0,0
wanna,61,0,0,0,0,0
new,58,0,0,0,0,0
heaven,57,0,0,0,0,0
right,56,0,0,0,0,0
run,55,0,0,0,0,0
fuckin,54,0,0,0,0,0
look,52,0,0,0,0,0
god,49,0,0,0,0,0
niggaz,49,0,0,0,0,0
bit,48,0,0,0,0,0
there,47,0,0,0,0,0
move,47,0,0,0,0,0
wit,46,0,0,0,0,0
as,46,0,0,0,0,0
paper,46,1,0,0,0,0
where,45,0,0,0,0,0
here,44,0,0,0,0,0
why,44,0,0,0,0,0
hold,44,0,0,0,0,0
ma,43,0,1,0,0,0
boy,43,0,0,1,0,0
animal,42,0,0,0,0,0
keep,42,0,0,0,0,0
never,42,0,0,0,0,0
talk,42,0,0,0,0,0
done,41,0,0,0,0,0
club,41,0,0,0,0,0
watch,41,0,0,0,0,0
