word,frequency,money,women,drugs,crime,positive
t,1158,0,0,0,0,0
m,1054,0,0,0,0,0
s,748,0,0,0,0,0
don,498,0,0,0,0,0
all,450,0,0,0,0,0
no,384,0,0,0,0,0
ain,262,0,0,0,0,0
not,248,0,0,0,0,0
bitch,243,0,1,0,0,0
when,237,0,0,0,0,0
let,235,0,0,0,0,0
fuck,225,0,0,0,0,0
if,224,0,0,0,0,0
too,219,0,0,0,0,0
wasted,216,0,0,0,0,0
drugs,190,0,0,0,0,0
now,184,0,0,0,0,0
shit,181,0,0,0,0,0
still,178,0,0,0,0,0
gon,164,0,0,0,0,0
long,163,0,0,0,0,0
ma,162,0,1,0,0,0
huh,158,0,0,0,0,0
as,140,0,0,0,0,0
girl,134,0,0,0,0,0
back,131,0,0,0,0,0
re,129,0,0,0,0,0
high,127,0,0,0,0,0
money,124,0,0,0,0,0
god,123,0,0,0,0,0
wanna,121,0,0,0,0,0
bad,121,0,0,0,0,0
baby,116,0,1,0,0,0
really,115,0,0,0,0,0
tryna,114,0,0,0,0,0
nigga,113,0,0,0,0,0
right,108,0,0,0,0,0
more,107,0,0,0,0,0
ooh,106,0,0,0,0,0
ll,103,0,0,0,0,0
put,99,0,0,0,0,0
head,99,0,0,0,0,0
never,98,0,0,0,0,0
ve,98,0,0,0,0,0
niggas,97,0,0,0,0,0
end,94,0,0,0,0,0
much,92,0,0,0,0,0
some,91,0,0,0,0,0
real,90,0,0,0,0,1
then,88,0,0,0,0,0
ayy,87,0,0,0,0,0
won,84,0,0,0,0,0
cause,82,0,0,0,0,0
room,80,0,0,0,0,0
hold,80,0,0,0,0,0
there,80,0,0,0,0,0
die,79,0,0,0,0,0
run,79,0,0,0,0,0
em,77,0,0,0,0,0
new,77,0,0,0,0,0
keep,76,0,0,0,0,0
gotta,75,0,0,0,0,0
hard,75,0,0,0,0,0
woah,75,0,0,0,0,0
pills,72,0,0,0,0,0
lean,71,0,0,1,0,0
bro,71,0,0,0,0,0
better,70,0,0,0,0,0
break,70,0,0,0,0,0
fine,70,0,0,0,0,0
away,69,0,0,0,0,0
bag,68,1,0,0,0,0
hate,67,0,0,0,0,0
alone,66,0,0,0,0,0
enough,65,0,0,0,0,0
okay,65,0,0,0,0,0
wait,64,0,0,0,0,0
goddamn,64,0,0,0,0,0
done,63,0,0,0,0,0
hit,62,0,0,0,0,0
where,62,0,0,0,0,0
hoes,61,0,0,0,0,0
again,60,0,0,0,0,0
look,59,0,0,0,0,0
same,59,0,0,0,0,0
here,58,0,0,0,0,0
show,58,0,0,0,0,0
how,58,0,0,0,0,0
than,58,0,0,0,0,0
every,57,0,0,0,0,0
shorty,56,0,1,0,0,0
times,56,0,0,0,0,0
fast,55,0,0,0,0,0
pop,55,0,0,0,1,0
pain,54,0,0,0,0,0
next,54,0,0,0,0,0
dead,53,0,0,0,0,0
fucked,53,0,0,0,0,0
scared,53,0,0,0,0,0
face,52,0,0,0,0,0
til,51,0,0,0,0,0
good,51,0,0,0,0,0
last,51,0,0,0,0,0
oxy,50,0,0,1,0,0
another,50,0,0,0,0,0
getting,50,0,0,0,0,0
kill,50,0,0,0,0,0
rich,49,0,0,0,0,0
else,49,0,0,0,0,0
bout,49,0,0,0,0,0
livin,48,0,0,0,0,0
grrah,48,0,0,0,0,0
phone,48,0,0,0,0,0
hurt,48,0,0,0,0,0
big,47,0,0,0,0,0
codeine,47,0,0,1,0,0
first,46,0,0,0,0,0
brain,46,0,0,0,0,0
ever,46,0,0,0,0,0
other,46,0,0,0,0,0
spend,45,0,0,0,0,0
lost,45,0,0,0,0,0
even,45,0,0,0,0,0
fucking,44,0,0,0,0,0
demons,44,0,0,0,0,0
talk,44,0,0,0,0,0
best,43,0,0,0,0,0
bitches,43,0,0,0,0,0
stay,42,0,0,0,0,0
only,42,0,0,0,0,0
everything,41,0,0,0,0,0
man,41,0,0,0,0,0
d,41,0,0,0,0,0
ring,40,0,0,0,0,0
soul,40,0,0,0,0,0
play,40,0,0,0,0,0
devil,40,0,0,0,0,0
talkin,38,0,0,0,0,0
hear,38,0,0,0,0,0
ride,38,0,0,0,1,0
damn,37,0,0,0,0,0
dig,37,0,0,0,0,0
burn,37,0,0,0,0,0
why,36,0,0,0,0,0
deal,36,0,0,0,0,0
lonely,36,0,0,0,0,0
ass,35,0,0,0,0,0
hell,35,0,0,0,0,0
gang,35,0,0,0,1,0
whole,35,0,0,0,0,0
change,35,0,0,0,0,0
gun,34,0,0,0,0,0
percs,34,0,0,1,0,0
doin,34,0,0,0,0,0
stop,34,0,0,0,0,0
boy,34,0,0,1,0,0
forget,34,0,0,0,0,0
young,34,0,0,0,0,0
girls,34,0,0,0,0,0
close,33,0,0,0,0,0
gettin,33,0,0,0,0,0
lil,32,0,0,0,0,0
juice,32,0,0,1,0,0
pray,32,0,0,0,0,0
smoke,32,0,0,0,0,0
molly,32,0,0,1,0,0
white,31,0,0,0,0,0
far,31,0,0,0,0,0
gonna,31,0,0,0,0,0
ya,31,0,0,0,0,0
remember,31,0,0,0,0,0
fuckin,31,0,0,0,0,0
juug,31,0,0,0,0,0
drive,30,0,0,0,0,0
door,30,0,0,0,0,0
own,30,0,0,0,0,0
wrong,30,0,0,0,0,0
doom,30,0,0,0,0,0
outta,30,0,0,0,0,0
old,29,0,0,0,0,0
name,29,0,0,0,0,0
drink,29,0,0,0,0,0
mad,29,0,0,0,0,0
turn,29,0,0,0,0,0
wrist,28,0,0,0,0,0
g,28,0,0,0,0,0
little,28,0,0,0,0,0
plug,28,0,0,0,1,0
dick,28,0,0,0,0,0
please,28,0,0,0,0,0
shadows,28,0,0,0,0,0
runnin,28,0,0,0,0,0
cannot,28,0,0,0,0,0
lookin,28,0,0,0,0,0
didn,27,0,0,0,0,0
goin,27,0,0,0,0,0
friends,27,0,0,0,0,0
worst,27,0,0,0,0,0
watch,27,0,0,0,0,0
car,27,0,0,0,0,0
low,27,0,0,0,0,0
savage,27,0,0,0,0,0
waste,27,0,0,0,0,0
different,26,0,0,0,0,0
ball,26,0,0,0,0,0
many,26,0,0,0,0,0
ho,26,0,1,0,0,0
ah,26,0,0,0,0,0
hands,26,0,0,0,0,0
such,26,0,0,0,0,0
rock,26,0,0,1,0,0
pussy,26,0,0,0,0,0
whip,25,0,0,0,0,0
whoa,25,0,0,0,0,0
full,25,0,0,0,0,0
woke,25,0,0,0,0,0
admit,25,0,0,0,0,0
home,25,0,0,0,0,0
live,24,0,0,0,0,0
ways,24,0,0,0,0,0
house,24,0,0,0,0,0
nobody,24,0,0,0,0,0
turned,24,0,0,0,0,0
pour,24,0,0,0,0,0
cup,24,0,0,0,0,0
gta,24,0,0,0,0,0
cash,24,0,0,0,0,0
both,23,0,0,0,0,0
comin,23,0,0,0,0,0
smokin,23,0,0,0,0,0
sometimes,23,0,0,0,0,0
wrote,22,0,0,0,0,0
always,22,0,0,0,0,0
though,22,0,0,0,0,0
black,22,0,0,0,0,0
pull,22,0,0,0,0,0
kidneys,22,0,0,0,0,0
blood,21,0,0,0,0,0
knees,21,0,0,0,0,0
skrrt,21,0,0,0,0,0
dreams,21,0,0,0,0,0
ex,21,0,0,0,0,0
fire,21,0,0,1,0,0
wake,21,0,0,0,0,0
forever,21,0,0,0,0,0
today,21,0,0,0,0,0
our,21,0,0,0,0,0
easier,21,0,0,0,0,0
somethin,21,0,0,0,0,0
instead,21,0,0,0,0,0
bet,20,0,0,0,0,0
shoot,20,0,0,0,0,0
already,20,0,0,0,0,0
eat,20,0,0,0,0,0
liver,20,0,0,0,0,0
lot,20,0,0,0,0,0
friend,20,0,0,0,0,0
hundred,20,0,0,0,0,0
hoo,20,0,0,0,0,0
roll,20,1,0,0,0,0
body,20,0,0,0,0,0
side,20,0,0,0,0,0
point,20,0,0,0,0,0
lose,20,0,0,0,0,0
wouldn,19,0,0,0,0,0
sleep,19,0,0,0,0,0
help,19,0,0,0,0,0
maybe,19,0,0,0,0,0
y,19,0,0,0,0,0
rick,19,0,0,0,0,0
sure,19,0,0,0,0,0
believe,19,0,0,0,0,0
person,19,0,0,0,0,0
road,19,0,0,0,0,0
perc,19,0,0,0,0,0
myself,19,0,0,0,0,0
feelin,19,0,0,0,0,0
sip,19,0,0,0,0,0
insane,19,0,0,0,0,0
cool,18,0,0,0,0,0
broke,18,0,0,0,0,0
takin,18,0,0,0,0,0
block,18,0,0,0,1,0
popped,18,0,0,0,0,0
chopper,18,0,0,0,0,0
drip,18,0,0,0,0,0
skrr,18,0,0,0,0,0
dope,18,0,0,1,0,0
promise,18,0,0,0,0,0
care,18,0,0,0,0,0
alive,18,0,0,0,0,0
mama,18,0,0,0,0,0
sorrow,18,0,0,0,0,0
nothing,18,0,0,0,0,0
coma,18,0,0,0,0,0
crazy,18,0,0,0,0,0
replace,18,0,0,0,0,0
patience,18,0,0,0,0,0
sorry,17,0,0,0,0,0
hide,17,0,0,0,0,0
belong,17,0,0,0,0,0
ache,17,0,0,0,0,0
since,17,0,0,0,0,0
truth,17,0,0,0,0,0
fake,17,0,0,0,0,0
throat,17,0,0,0,0,0
red,17,0,0,0,0,0
open,17,0,0,0,0,0
makes,17,0,0,0,0,0
mean,17,0,0,0,0,0
days,17,0,0,0,0,0
fall,17,0,0,0,0,0
rain,17,0,0,0,0,0
drama,17,0,0,0,0,0
crash,17,0,0,0,0,0
walk,17,0,0,0,0,0
oxycontin,17,0,0,0,0,0
la,17,0,0,0,0,0
cha,17,0,0,0,0,0
nothin,17,0,0,0,0,0
ching,16,0,0,0,0,0
cut,16,0,0,0,1,0
hurts,16,0,0,0,0,0
flexin,16,0,0,0,0,0
air,16,0,0,0,0,0
losing,16,0,0,0,0,0
gucci,16,0,0,0,0,0
satan,16,0,0,0,0,0
sit,16,0,0,0,0,0
lie,16,0,0,0,0,0
sippin,16,0,0,0,0,0
rider,16,0,0,0,0,0
bros,16,0,0,0,0,0
medicine,16,0,0,0,0,0
rope,16,0,0,0,0,0
suicidal,16,0,0,0,0,0
numb,16,0,0,0,0,0
urge,16,0,0,0,0,0
catch,16,0,0,0,0,0
heartbreak,16,0,0,0,0,0
none,16,0,0,0,0,0
