word,frequency,money,women,drugs,crime,positive
t,1789,0,0,0,0,0
m,1688,0,0,0,0,0
s,1140,0,0,0,0,0
bitch,922,0,1,0,0,0
no,783,0,0,0,0,0
don,732,0,0,0,0,0
all,704,0,0,0,0,0
woah,546,0,0,0,0,0
ain,516,0,0,0,0,0
now,435,0,0,0,0,0
not,411,0,0,0,0,0
ayy,360,0,0,0,0,0
girl,353,0,0,0,0,0
money,338,0,0,0,0,0
let,336,0,0,0,0,0
fuck,333,0,0,0,0,0
nigga,311,0,0,0,0,0
niggas,286,0,0,0,0,0
shit,269,0,0,0,0,0
lil,269,0,0,0,0,0
wanna,269,0,0,0,0,0
when,261,0,0,0,0,0
huh,237,0,0,0,0,0
gon,231,0,0,0,0,0
uzi,222,0,0,0,0,0
diamonds,218,0,0,0,0,0
right,211,0,0,0,0,0
put,209,0,0,0,0,0
back,208,0,0,0,0,0
too,207,0,0,0,0,0
hit,205,0,0,0,0,0
baby,203,0,1,0,0,0
then,200,0,0,0,0,0
cause,200,0,0,0,0,0
if,194,0,0,0,0,0
bad,185,0,0,0,0,0
em,184,0,0,0,0,0
look,182,0,0,0,0,0
woo,179,0,0,0,0,0
some,177,0,0,0,0,0
new,176,0,0,0,0,0
never,169,0,0,0,0,0
shoot,164,0,0,0,0,0
bought,164,0,0,0,0,0
keep,162,0,0,0,0,0
la,161,0,0,0,0,0
why,156,0,0,0,0,0
pull,153,0,0,0,0,0
man,146,0,0,0,0,0
better,144,0,0,0,0,0
real,144,0,0,0,0,1
talk,144,0,0,0,0,0
big,142,0,0,0,0,0
boy,142,0,0,1,0,0
ooh,137,0,0,0,0,0
tryna,130,0,0,0,0,0
more,125,0,0,0,0,0
ma,122,0,1,0,0,0
every,122,0,0,0,0,0
how,121,0,0,0,0,0
as,119,0,0,0,0,0
stay,119,0,0,0,0,0
even,116,0,0,0,0,0
bitches,115,0,0,0,0,0
gotta,115,0,0,0,0,0
high,115,0,0,0,0,0
ll,114,0,0,0,0,0
still,113,0,0,0,0,0
where,111,0,0,0,0,0
went,110,0,0,0,0,0
gettin,110,0,0,0,0,0
move,108,0,0,0,0,0
pop,105,0,0,0,1,0
crush,104,0,0,0,0,0
hundred,101,0,0,0,0,0
really,101,0,0,0,0,0
wock,100,0,0,0,0,0
count,98,0,0,0,0,0
lot,97,0,0,0,0,0
wait,97,0,0,0,0,0
wrist,97,0,0,0,0,0
face,96,0,0,0,0,0
bout,94,0,0,0,0,0
much,94,0,0,0,0,0
straight,93,0,0,0,0,0
loaded,90,0,0,0,0,0
top,90,0,0,0,0,0
drop,90,0,0,0,0,0
goin,89,0,0,0,0,0
damn,89,0,0,0,0,0
swear,87,0,0,0,0,0
here,84,0,0,0,0,0
phone,84,0,0,0,0,0
show,83,0,0,0,0,0
vert,83,0,0,0,0,0
fast,82,0,0,0,0,0
neck,82,0,0,0,0,0
bands,80,1,0,0,0,0
re,79,0,0,0,0,0
throw,79,0,0,0,0,0
ice,78,0,0,1,0,0
gang,78,0,0,0,1,0
than,78,0,0,0,0,0
walk,78,0,0,0,0,0
watch,77,0,0,0,0,0
ass,77,0,0,0,0,0
price,76,0,0,0,0,0
again,76,0,0,0,0,0
please,75,0,0,0,0,0
everything,75,0,0,0,0,0
shake,74,0,0,0,0,0
broke,74,0,0,0,0,0
water,74,0,0,0,0,0
ho,73,0,1,0,0,0
