word,frequency,money,women,drugs,crime,positive
m,50,0,0,0,0,0
t,49,0,0,0,0,0
s,38,0,0,0,0,0
niggas,35,0,0,0,0,0
fucking,32,0,0,0,0,0
don,31,0,0,0,0,0
shit,25,0,0,0,0,0
gon,25,0,0,0,0,0
nigga,24,0,0,0,0,0
fuck,24,0,0,0,0,0
getting,23,0,0,0,0,0
all,20,0,0,0,0,0
when,18,0,0,0,0,0
some,17,0,0,0,0,0
any,16,0,0,0,0,0
not,16,0,0,0,0,0
money,14,0,0,0,0,0
bitch,13,0,1,0,0,0
where,13,0,0,0,0,0
look,13,0,0,0,0,0
no,12,0,0,0,0,0
grind,8,0,0,0,0,0
summer,8,0,0,0,0,0
as,8,0,0,0,0,0
winter,8,0,0,0,0,0
fall,8,0,0,0,0,0
now,8,0,0,0,0,0
sick,8,0,0,0,0,0
plenty,8,0,0,0,0,0
flying,8,0,0,0,0,0
ain,7,0,0,0,0,0
huh,7,0,0,0,0,0
never,7,0,0,0,0,0
fans,6,0,0,0,0,0
if,6,0,0,0,0,0
hate,6,0,0,0,0,0
kids,6,0,0,0,0,0
wrong,5,0,0,0,0,0
really,5,0,0,0,0,0
playing,5,0,0,0,0,0
even,5,0,0,0,0,0
though,5,0,0,0,0,0
back,5,0,0,0,0,0
boy,5,0,0,1,0,0
why,5,0,0,0,0,0
re,5,0,0,0,0,0
man,5,0,0,0,0,0
bitches,5,0,0,0,0,0
here,5,0,0,0,0,0
tyler,5,0,0,0,0,0
name,4,0,0,0,0,0
women,4,0,0,0,0,0
kid,4,0,0,0,0,0
beez,4,0,0,0,0,0
than,4,0,0,0,0,0
hated,4,0,0,0,0,0
start,4,0,0,0,0,0
ones,4,0,0,0,0,0
cause,4,0,0,0,0,0
popular,4,0,0,0,0,0
watch,4,0,0,0,0,0
mollies,4,0,0,0,0,0
talk,4,0,0,0,0,0
pistol,4,0,0,0,0,0
spitting,4,0,0,0,0,0
poppin,4,0,0,0,0,0
ma,4,0,1,0,0,0
another,4,0,0,0,0,0
guess,4,0,0,0,0,0
pair,4,0,0,0,0,0
dying,4,0,0,0,0,0
fun,3,0,0,0,0,0
pay,3,0,0,0,0,0
show,3,0,0,0,0,0
better,3,0,0,0,0,0
dirty,3,0,0,0,0,0
gotta,3,0,0,0,0,0
tryna,3,0,0,0,0,0
smoke,3,0,0,0,0,0
d,3,0,0,0,0,0
every,3,0,0,0,0,0
dreams,3,0,0,0,0,0
whole,3,0,0,0,0,0
maybe,3,0,0,0,0,0
bill,3,1,0,0,0,0
always,3,0,0,0,0,0
top,3,0,0,0,0,0
missing,3,0,0,0,0,0
therapist,3,0,0,0,0,0
wasn,3,0,0,0,0,0
says,3,0,0,0,0,0
change,3,0,0,0,0,0
hold,3,0,0,0,0,0
reason,3,0,0,0,0,0
fire,3,0,0,1,0,0
cream,3,1,0,0,0,0
preme,3,0,0,0,0,0
then,3,0,0,0,0,0
spit,3,0,0,0,0,0
almost,3,0,0,0,0,0
short,3,0,0,0,0,0
studio,3,0,0,0,0,0
seeing,3,0,0,0,0,0
half,3,0,0,0,0,0
til,3,0,0,0,0,0
too,3,0,0,0,0,0
mom,3,0,0,0,0,0
pale,3,0,0,0,0,0
age,3,0,0,0,0,0
our,3,0,0,0,0,0
cool,3,0,0,0,0,0
record,2,0,0,0,0,0
nights,2,0,0,0,0,0
link,2,0,0,0,0,0
motherfuckers,2,0,0,0,0,0
send,2,0,0,0,0,0
session,2,0,0,0,0,0
whether,2,0,0,0,0,0
forward,2,0,0,0,0,0
purchase,2,0,0,0,0,0
switch,2,0,0,0,0,0
buying,2,0,0,0,0,0
extinct,2,0,0,0,0,0
buncha,2,0,0,0,0,0
shrink,2,0,0,0,0,0
remembering,2,0,0,0,0,0
turning,2,0,0,0,0,0
much,2,0,0,0,0,0
sober,2,0,0,0,0,0
forgive,2,0,0,0,0,0
momma,2,0,0,0,0,0
close,2,0,0,0,0,0
edge,2,0,0,0,0,0
possible,2,0,0,0,0,0
jump,2,0,0,0,0,0
pussy,2,0,0,0,0,0
ollie,2,0,0,0,0,0
ocular,2,0,0,0,0,0
jumping,2,0,0,0,0,0
hockin,2,0,0,0,0,0
cliff,2,0,0,0,0,0
novices,2,0,0,0,0,0
gives,2,0,0,0,0,0
float,2,0,0,0,0,0
suck,2,0,0,0,0,0
thick,2,0,0,0,0,0
fair,2,0,0,0,0,0
threw,2,0,0,0,0,0
carnival,2,0,0,0,0,0
squad,2,0,0,0,0,0
again,2,0,0,0,0,0
atheist,2,0,0,0,0,0
worships,2,0,0,0,0,0
satan,2,0,0,0,0,0
probably,2,0,0,0,0,0
future,2,0,0,0,0,1
album,2,0,0,0,0,0
placements,2,0,0,0,0,0
mtv,2,0,0,0,0,0
dick,2,0,0,0,0,0
bank,2,1,0,0,0,0
fuckin,2,0,0,0,0,0
bruh,2,0,0,0,0,0
played,2,0,0,0,0,0
won,2,0,0,0,0,0
ratings,2,0,0,0,0,0
analog,2,0,0,0,0,0
odd,2,0,0,0,0,0
rape,2,0,0,0,0,0
tron,2,0,0,0,0,0
cat,2,0,0,0,0,0
lakes,2,0,0,0,0,0
complaints,2,0,0,0,0,0
daily,2,0,0,0,0,0
trips,2,0,0,0,0,0
pop,2,0,0,0,1,0
faggot,2,0,0,0,0,0
barnacles,2,0,0,0,0,0
high,2,0,0,0,0,0
thrashing,2,0,0,0,0,0
line,2,0,0,0,0,0
bed,2,0,0,0,0,0
talent,2,0,0,0,0,0
front,2,0,0,0,0,0
hard,2,0,0,0,0,0
while,2,0,0,0,0,0
city,2,0,0,0,0,0
em,2,0,0,0,0,0
sass,2,0,0,0,0,0
great,2,0,0,0,0,0
full,2,0,0,0,0,0
green,2,1,0,1,0,0
black,2,0,0,0,0,0
tired,2,0,0,0,0,0
bet,2,0,0,0,0,0
live,2,0,0,0,0,0
funny,2,0,0,0,0,0
wolf,2,0,0,0,0,0
everybody,2,0,0,0,0,0
earth,2,0,0,0,0,0
nothing,2,0,0,0,0,0
hungry,2,0,0,0,0,0
stop,2,0,0,0,0,0
gold,2,0,0,0,0,0
only,2,0,0,0,0,0
paid,2,0,0,0,0,0
everything,2,0,0,0,0,0
door,2,0,0,0,0,0
punch,2,0,0,0,0,0
plastic,2,0,0,0,0,0
compared,2,0,0,0,0,0
jasper,2,0,0,0,0,0
jolly,2,0,0,0,0,0
program,2,0,0,0,0,0
discuss,2,0,0,0,0,0
fags,2,0,0,0,0,0
gonads,2,0,0,0,0,0
lick,2,0,0,0,1,0
ll,2,0,0,0,0,0
hating,2,0,0,0,0,0
malt,2,0,0,0,0,0
liquor,2,0,0,0,0,0
filling,2,0,0,0,0,0
fucks,2,0,0,0,0,0
sensitive,2,0,0,0,0,0
chumps,2,0,0,0,0,0
awe,2,0,0,0,0,0
passing,2,0,0,0,0,0
erupts,2,0,0,0,0,0
lunch,2,0,0,0,0,0
sumpy,2,0,0,0,0,0
raw,2,0,0,0,0,0
till,2,0,0,0,0,0
wrists,2,0,0,0,0,0
cuffs,2,0,0,0,0,0
savage,2,0,0,0,0,0
shut,2,0,0,0,0,0
brought,2,0,0,0,0,0
friends,2,0,0,0,0,0
couldn,2,0,0,0,0,0
taco,2,0,0,0,0,0
young,2,0,0,0,0,0
drop,2,0,0,0,0,0
crowd,2,0,0,0,0,0
club,2,0,0,0,0,0
feely,2,0,0,0,0,0
reading,2,0,0,0,0,0
braille,2,0,0,0,0,0
bust,2,0,0,0,1,0
drama,2,0,0,0,0,0
quick,2,0,0,0,0,0
holders,2,0,0,0,0,0
refer,2,0,0,0,0,0
tempers,2,0,0,0,0,0
well,2,0,0,0,0,0
yourself,2,0,0,0,0,0
rappers,2,0,0,0,0,0
stylists,2,0,0,0,0,0
themselves,2,0,0,0,0,0
identity,2,0,0,0,0,0
needed,2,0,0,0,0,0
help,2,0,0,0,0,0
dom,2,0,0,0,0,0
cursin,2,0,0,0,0,0
posers,2,0,0,0,0,0
looking,2,0,0,0,0,0
silly,2,0,0,0,0,0
season,2,0,0,0,0,0
verse,2,0,0,0,0,0
older,2,0,0,0,0,0
twerk,2,0,0,0,0,0
tity,2,0,0,0,0,0
boi,2,0,0,0,0,0
diss,2,0,0,0,0,0
touchy,2,0,0,0,0,0
third,2,0,0,0,0,0
ice,2,0,0,1,0,0
adele,2,0,0,0,0,0
homes,2,0,0,0,0,0
rehearsing,2,0,0,0,0,0
actions,2,0,0,0,0,0
also,2,0,0,0,0,0
popping,2,0,0,0,0,0
leather,2,0,0,0,0,0
chirpin,2,0,0,0,0,0
sitting,2,0,0,0,0,0
tumblr,2,0,0,0,0,0
defiant,2,0,0,0,0,0
itched,2,0,0,0,0,0
nuts,2,0,0,0,0,0
coppin,2,0,0,0,0,0
bird,2,0,1,0,0,0
trap,2,0,0,0,1,0
b,2,0,0,0,0,0
gassin,2,0,0,0,0,0
buzz,2,0,0,0,0,0
bought,2,0,0,0,0,0
bees,2,0,0,0,0,0
dip,2,0,0,0,0,0
enjoying,2,0,0,0,0,0
run,2,0,0,0,0,0
weather,2,0,0,0,0,0
shell,2,0,0,0,0,0
person,2,0,0,0,0,0
sweater,2,0,0,0,0,0
bigger,2,0,0,0,0,0
sneezed,2,0,0,0,0,0
same,2,0,0,0,0,0
gun,2,0,0,0,0,0
tees,2,0,0,0,0,0
breed,2,0,0,0,0,0
menace,2,0,0,0,0,0
finished,2,0,0,0,0,0
needs,2,0,0,0,0,0
hates,2,0,0,0,0,0
loves,2,0,0,0,0,0
kittens,2,0,0,0,0,0
y,2,0,0,0,0,0
trippin,2,0,0,0,0,0
supply,2,0,0,0,0,0
diddy,2,0,0,0,0,0
cannot,2,0,0,0,0,0
subject,2,0,0,0,0,0
matter,2,0,0,0,0,0
gays,2,0,0,0,0,0
frank,2,0,0,0,0,0
god,2,0,0,0,0,0
songs,2,0,0,0,0,0
last,2,0,0,0,0,0
thinks,2,0,0,0,0,0
evil,2,0,0,0,0,0
sense,2,0,0,0,0,0
grudge,2,0,0,0,0,0
common,2,0,0,0,0,0
motherfucking,2,0,0,0,0,0
son,2,0,0,0,0,0
eat,2,0,0,0,0,0
blow,2,0,0,1,0,0
attacking,2,0,0,0,0,0
hi,2,0,0,0,0,0
brash,2,0,0,0,0,0
damn,2,0,0,0,0,0
article,2,0,0,0,0,0
dentists,2,0,0,0,0,0
smith,2,0,0,0,0,0
threatening,2,0,0,0,0,0
bout,2,0,0,0,0,0
pocket,2,0,0,0,0,0
solid,2,0,0,0,0,1
transworld,2,0,0,0,0,0
page,2,0,0,0,0,0
game,2,0,0,0,0,0
quiet,2,0,0,0,0,0
profit,2,0,0,0,0,0
oil,2,0,0,0,0,0
khaled,2,0,0,0,0,0
dj,2,0,0,0,0,0
ollies,2,0,0,0,0,0
harder,2,0,0,0,0,0
flames,2,0,0,0,0,0
stained,2,0,0,0,0,0
violent,2,0,0,0,0,0
highest,2,0,0,0,0,0
hurricanes,2,0,0,0,0,0
windbreakers,2,0,0,0,0,0
na,2,0,0,0,0,0
rapes,2,0,0,0,0,0
hype,2,0,0,0,0,0
kel,2,0,0,0,0,0
please,2,0,0,0,0,0
stupid,2,0,0,0,0,0
riese,2,0,0,0,0,0
critics,1,0,0,0,0,0
since,1,0,0,0,0,0
dave,1,0,0,0,0,0
sir,1,0,0,0,0,0
hurt,1,0,0,0,0,0
percentages,1,0,0,0,0,0
mortgage,1,0,0,0,0,0
nerves,1,0,0,0,0,0
hook,1,0,0,0,0,0
pervert,1,0,0,0,0,0
clancy,1,0,0,0,0,0
book,1,0,0,0,0,0
crook,1,0,0,0,0,0
stealing,1,0,0,0,0,0
phones,1,0,0,0,0,0
deal,1,0,0,0,0,0
girth,1,0,0,0,0,0
signed,1,0,0,0,0,0
either,1,0,0,0,0,0
home,1,0,0,0,0,0
impregnate,1,0,0,0,0,0
window,1,0,0,0,0,0
miss,1,0,1,0,0,0
extra,1,0,0,0,0,0
often,1,0,0,0,0,0
star,1,0,0,0,0,0
weekend,1,0,0,0,0,0
most,1,0,0,0,0,0
chase,1,0,0,0,0,0
shade,1,0,0,0,0,0
switches,1,0,0,0,0,0
pace,1,0,0,0,0,0
abortion,1,0,0,0,0,0
remember,1,0,0,0,0,0
days,1,0,0,0,0,0
porn,1,0,0,0,0,0
kept,1,0,0,0,0,0
