word,frequency,money,women,drugs,crime,positive
t,1870,0,0,0,0,0
m,1770,0,0,0,0,0
s,1215,0,0,0,0,0
no,870,0,0,0,0,0
all,839,0,0,0,0,0
bitch,834,0,1,0,0,0
don,749,0,0,0,0,0
nigga,695,0,0,0,0,0
ain,618,0,0,0,0,0
fuck,598,0,0,0,0,0
shit,510,0,0,0,0,0
woo,501,0,0,0,0,0
let,443,0,0,0,0,0
niggas,430,0,0,0,0,0
slatt,408,0,0,0,0,0
put,408,0,0,0,0,0
back,395,0,0,0,0,0
woah,392,0,0,0,0,0
em,391,0,0,0,0,0
now,388,0,0,0,0,0
baby,384,0,1,0,0,0
some,347,0,0,0,0,0
big,333,0,0,0,0,0
wanna,327,0,0,0,0,0
when,315,0,0,0,0,0
if,305,0,0,0,0,0
lil,303,0,0,0,0,0
cause,302,0,0,0,0,0
diamonds,301,0,0,0,0,0
ayy,293,0,0,0,0,0
not,292,0,0,0,0,0
money,288,0,0,0,0,0
gon,284,0,0,0,0,0
ooh,273,0,0,0,0,0
bitches,270,0,0,0,0,0
pussy,256,0,0,0,0,0
keep,246,0,0,0,0,0
never,232,0,0,0,0,0
ma,224,0,1,0,0,0
then,224,0,0,0,0,0
done,216,0,0,0,0,0
bout,216,0,0,0,0,0
bad,213,0,0,0,0,0
gotta,209,0,0,0,0,0
racks,207,1,0,0,0,0
tryna,205,0,0,0,0,0
ll,192,0,0,0,0,0
how,190,0,0,0,0,0
right,188,0,0,0,0,0
new,182,0,0,0,0,0
look,171,0,0,0,0,0
more,171,0,0,0,0,0
hit,170,0,0,0,0,0
pull,164,0,0,0,0,0
as,163,0,0,0,0,0
slime,162,0,0,0,0,0
skrrt,160,0,0,0,0,0
bag,159,1,0,0,0,0
hot,154,0,0,0,0,0
man,154,0,0,0,0,0
re,153,0,0,0,0,0
gucci,153,0,0,0,0,0
real,152,0,0,0,0,1
still,151,0,0,0,0,0
top,150,0,0,0,0,0
fuckin,140,0,0,0,0,0
wet,139,0,0,0,0,0
ah,135,0,0,0,0,0
bought,135,0,0,0,0,0
play,135,0,0,0,0,0
boy,133,0,0,1,0,0
too,133,0,0,0,0,0
every,130,0,0,0,0,0
business,128,0,0,0,0,0
ass,126,0,0,0,0,0
okay,122,0,0,0,0,0
god,122,0,0,0,0,0
rich,122,0,0,0,0,0
girl,121,0,0,0,0,0
hop,120,0,0,0,0,0
went,118,0,0,0,0,0
young,118,0,0,0,0,0
mama,117,0,0,0,0,0
here,116,0,0,0,0,0
hundred,116,0,0,0,0,0
round,115,0,0,0,0,0
face,114,0,0,0,0,0
pop,114,0,0,0,1,0
water,114,0,0,0,0,0
ride,112,0,0,0,1,0
ve,112,0,0,0,0,0
dick,110,0,0,0,0,0
wrist,106,0,0,0,0,0
than,106,0,0,0,0,0
head,105,0,0,0,0,0
talk,103,0,0,0,0,0
goin,103,0,0,0,0,0
red,102,0,0,0,0,0
hoes,102,0,0,0,0,0
run,102,0,0,0,0,0
slatty,102,0,0,0,0,0
ran,99,0,0,0,0,0
whole,97,0,0,0,0,0
wamp,96,0,0,0,0,0
turn,96,0,0,0,0,0
surf,96,0,0,0,0,0
car,95,0,0,0,0,0
rollie,93,0,0,0,0,0
smoke,93,0,0,0,0,0
won,92,0,0,0,0,0
shawty,92,0,1,0,0,0
watch,90,0,0,0,0,0
why,89,0,0,0,0,0
beat,87,0,0,0,0,0
white,86,0,0,0,0,0
bring,86,0,0,0,0,0
city,85,0,0,0,0,0
million,84,0,0,0,0,0
coupe,84,0,0,0,0,0
ever,82,0,0,0,0,0
nose,81,0,0,0,0,0
rolls,81,0,0,1,0,0
check,80,0,0,0,0,0
side,80,0,0,0,0,0
ho,80,0,1,0,0,0
ridin,79,0,0,0,0,0
good,78,0,0,0,0,0
nothin,78,0,0,0,0,0
gang,78,0,0,0,1,0
cash,77,0,0,0,0,0
stop,77,0,0,0,0,0
bet,77,0,0,0,0,0
neck,76,0,0,0,0,0
wipe,76,0,0,0,0,0
jet,76,0,0,0,0,0
swear,75,0,0,0,0,0
show,75,0,0,0,0,0
proud,75,0,0,0,0,0
little,74,0,0,0,0,0
better,74,0,0,0,0,0
catch,72,0,0,0,0,0
die,72,0,0,0,0,0
stay,72,0,0,0,0,0
wave,71,0,0,0,0,0
where,71,0,0,0,0,0
drop,71,0,0,0,0,0
ice,70,0,0,1,0,0
ha,70,0,0,0,0,0
boys,69,0,0,0,1,0
suck,69,0,0,0,0,0
lot,69,0,0,0,0,0
motherfuckin,68,0,0,0,0,0
til,68,0,0,0,0,0
doin,68,0,0,0,0,0
body,68,0,0,0,0,0
gold,67,0,0,0,0,0
wheezy,67,0,0,0,0,0
bentley,66,0,0,0,0,0
everything,66,0,0,0,0,0
warrior,66,0,0,0,0,0
high,65,0,0,0,0,0
royce,65,0,0,0,0,0
trap,65,0,0,0,1,0
really,65,0,0,0,0,0
ya,65,0,0,0,0,0
damn,64,0,0,0,0,0
talkin,64,0,0,0,0,0
gettin,64,0,0,0,0,0
black,64,0,0,0,0,0
couple,64,0,0,0,0,0
dead,63,0,0,0,0,0
care,63,0,0,0,0,0
first,63,0,0,0,0,0
bands,63,1,0,0,0,0
benz,62,0,0,0,0,0
thousand,62,0,0,0,0,0
broke,61,0,0,0,0,0
shoot,61,0,0,0,0,0
long,60,0,0,0,0,0
kill,60,0,0,0,0,0
even,60,0,0,0,0,0
house,60,0,0,0,0,0
d,60,0,0,0,0,0
hold,59,0,0,0,0,0
fucked,58,0,0,0,0,0
old,58,0,0,0,0,0
king,57,0,0,0,0,0
bricks,57,0,0,0,0,0
y,57,0,0,0,0,0
eat,57,0,0,0,0,0
throw,57,0,0,0,0,0
another,56,0,0,0,0,0
mad,56,0,0,0,0,0
drip,56,0,0,0,0,0
roll,56,1,0,0,0,0
cars,56,0,0,0,0,0
didn,56,0,0,0,0,0
dog,55,0,0,0,0,0
truck,55,0,0,0,0,0
today,55,0,0,0,0,0
block,55,0,0,0,1,0
cap,55,0,0,0,0,0
playin,54,0,0,0,0,0
stick,54,0,0,0,1,0
lit,54,0,0,0,0,0
birkin,54,0,0,0,0,0
straight,54,0,0,0,0,0
there,53,0,0,0,0,0
comin,52,0,0,0,0,0
buy,52,0,0,0,0,0
same,52,0,0,0,0,0
door,52,0,0,0,0,0
many,52,0,0,0,0,0
smokin,51,0,0,0,0,0
sayin,51,0,0,0,0,0
deal,51,0,0,0,0,0
poppin,50,0,0,0,0,0
phew,50,0,0,0,0,0
kids,50,0,0,0,0,0
act,50,0,0,0,0,0
spot,50,0,0,0,0,0
bank,50,1,0,0,0,0
grocery,50,0,0,0,0,0
everybody,50,0,0,0,0,0
rockin,50,0,0,0,0,0
jeffery,49,0,0,0,0,0
pick,49,0,0,0,0,0
lookin,49,0,0,0,0,0
rock,49,0,0,1,0,0
foreign,49,0,0,0,0,0
green,49,1,0,1,0,0
ysl,49,0,0,0,0,0
huh,48,0,0,0,0,0
cost,48,0,0,0,0,0
cut,48,0,0,0,1,0
hard,48,0,0,0,0,0
hate,48,0,0,0,0,0
mate,48,0,0,0,0,0
toes,48,0,0,0,0,0
chanel,48,0,0,0,0,0
sex,48,0,0,0,0,0
stand,47,0,0,0,0,0
whip,46,0,0,0,0,0
home,46,0,0,0,0,0
opp,46,0,0,0,0,0
again,46,0,0,0,0,0
party,46,0,0,0,0,0
enough,46,0,0,0,0,0
away,45,0,0,0,0,0
only,45,0,0,0,0,0
half,45,0,0,0,0,0
fresh,45,0,0,0,0,0
livin,45,0,0,0,0,0
thot,44,0,1,0,0,0
dollars,44,0,0,0,0,0
count,44,0,0,0,0,0
pour,44,0,0,0,0,0
pay,44,0,0,0,0,0
crazy,44,0,0,0,0,0
change,43,0,0,0,0,0
thugger,43,0,0,0,0,0
p,43,0,0,0,0,0
cartier,43,0,0,0,0,0
yee,43,0,0,0,0,0
sack,42,0,0,0,0,0
drive,42,0,0,0,0,0
sleep,42,0,0,0,0,0
heard,42,0,0,0,0,0
since,42,0,0,0,0,0
clean,41,0,0,0,0,0
name,41,0,0,0,0,0
slide,41,0,0,0,1,0
drink,41,0,0,0,0,0
phone,40,0,0,0,0,0
paid,40,0,0,0,0,0
dawg,40,0,0,0,0,0
school,39,0,0,0,0,0
team,39,0,0,0,0,0
kid,39,0,0,0,0,0
pill,39,0,0,0,0,0
