word,frequency,money,women,drugs,crime,positive
t,1400,0,0,0,0,0
s,747,0,0,0,0,0
don,624,0,0,0,0,0
all,606,0,0,0,0,0
m,567,0,0,0,0,0
baby,482,0,1,0,0,0
when,445,0,0,0,0,0
ain,418,0,0,0,0,0
ooh,336,0,0,0,0,0
bitch,316,0,1,0,0,0
back,288,0,0,0,0,0
no,279,0,0,0,0,0
wanna,274,0,0,0,0,0
fuck,266,0,0,0,0,0
now,262,0,0,0,0,0
let,236,0,0,0,0,0
cause,221,0,0,0,0,0
shit,210,0,0,0,0,0
if,206,0,0,0,0,0
keep,195,0,0,0,0,0
la,188,0,0,0,0,0
wait,153,0,0,0,0,0
dun,150,0,0,0,0,0
how,150,0,0,0,0,0
why,146,0,0,0,0,0
put,146,0,0,0,0,0
boy,144,0,0,1,0,0
run,142,0,0,0,0,0
ya,138,0,0,0,0,0
not,138,0,0,0,0,0
d,138,0,0,0,0,0
ass,135,0,0,0,0,0
ayy,129,0,0,0,0,0
woman,129,0,0,0,0,0
re,129,0,0,0,0,0
look,127,0,0,0,0,0
low,121,0,0,0,0,0
da,120,0,0,0,0,0
show,120,0,0,0,0,0
talk,116,0,0,0,0,0
roll,113,1,0,0,0,0
really,110,0,0,0,0,0
til,107,0,0,0,0,0
more,104,0,0,0,0,0
body,104,0,0,0,0,0
never,103,0,0,0,0,0
ah,103,0,0,0,0,0
head,100,0,0,0,0,0
ll,100,0,0,0,0,0
little,98,0,0,0,0,0
bag,97,1,0,0,0,0
real,95,0,0,0,0,1
yuh,92,0,0,0,0,0
cow,90,0,0,0,0,0
town,89,0,0,0,0,0
bitches,88,0,0,0,0,0
too,87,0,0,0,0,0
gon,86,0,0,0,0,0
nigga,86,0,0,0,0,0
bring,84,0,0,0,0,0
new,83,0,0,0,0,0
man,80,0,0,0,0,0
front,80,0,0,0,0,0
ma,80,0,1,0,0,0
right,78,0,0,0,0,0
trick,78,0,0,0,0,0
tryna,77,0,0,0,0,0
touch,76,0,0,0,0,0
ve,73,0,0,0,0,0
fight,73,0,0,0,0,0
ta,72,0,0,0,0,0
there,72,0,0,0,0,0
lookin,72,0,0,0,0,0
shutcho,72,0,0,0,0,0
then,71,0,0,0,0,0
some,71,0,0,0,0,0
money,68,0,0,0,0,0
y,68,0,0,0,0,0
face,68,0,0,0,0,0
even,67,0,0,0,0,0
bit,67,0,0,0,0,0
girls,67,0,0,0,0,0
bout,66,0,0,0,0,0
big,66,0,0,0,0,0
looks,64,0,0,0,0,0
mean,64,0,0,0,0,0
moo,64,0,0,0,0,0
okay,64,0,0,0,0,0
em,63,0,0,0,0,0
high,63,0,0,0,0,0
than,62,0,0,0,0,0
better,62,0,0,0,0,0
while,62,0,0,0,0,0
whole,61,0,0,0,0,0
yo,61,0,0,0,0,0
tia,60,0,0,0,0,0
check,59,0,0,0,0,0
red,58,0,0,0,0,0
mm,58,0,0,0,0,0
eat,58,0,0,0,0,0
gotta,56,0,0,0,0,0
pussy,56,0,0,0,0,0
sweet,56,0,0,0,0,0
lil,54,0,0,0,0,0
drip,54,0,0,0,0,0
won,54,0,0,0,0,0
ohh,52,0,0,0,0,0
play,52,0,0,0,0,0
hold,52,0,0,0,0,0
dick,52,0,0,0,0,0
woah,52,0,0,0,0,0
huh,52,0,0,0,0,0
here,51,0,0,0,0,0
good,51,0,0,0,0,0
na,50,0,0,0,0,0
prolly,49,0,0,0,0,0
wine,49,0,0,0,0,0
long,49,0,0,0,0,0
much,48,0,0,0,0,0
ride,48,0,0,0,1,0
shine,48,0,0,0,0,1
tamera,48,0,0,0,0,0
still,46,0,0,0,0,0
lot,46,0,0,0,0,0
pull,45,0,0,0,0,0
round,44,0,0,0,0,0
candy,44,0,0,0,0,0
shut,44,0,0,0,0,0
maybe,44,0,0,0,0,0
forget,43,0,0,0,0,0
where,42,0,0,0,0,0
gun,42,0,0,0,0,0
taste,42,0,0,0,0,0
every,42,0,0,0,0,0
e,42,0,0,0,0,0
tha,42,0,0,0,0,0
morning,40,0,0,0,0,0
finna,40,0,0,0,0,0
bite,40,0,0,0,0,0
spend,40,0,0,0,0,0
hit,39,0,0,0,0,0
ice,39,0,0,1,0,0
ever,37,0,0,0,0,0
wet,37,0,0,0,0,0
caught,37,0,0,0,0,0
help,36,0,0,0,0,0
naked,36,0,0,0,0,0
fuckin,36,0,0,0,0,0
bu,36,0,0,0,0,0
next,36,0,0,0,0,0
flip,36,0,0,0,0,0
lost,35,0,0,0,0,0
pop,35,0,0,0,1,0
bad,35,0,0,0,0,0
stop,35,0,0,0,0,0
everything,34,0,0,0,0,0
hide,34,0,0,0,0,0
mama,34,0,0,0,0,0
getting,34,0,0,0,0,0
pimp,34,0,0,0,0,0
hard,34,0,0,0,0,0
tonight,33,0,0,0,0,0
top,33,0,0,0,0,0
cherry,33,0,0,0,0,0
didn,33,0,0,0,0,0
believe,33,0,0,0,0,0
mouth,33,0,0,0,0,0
damn,32,0,0,0,0,0
team,32,0,0,0,0,0
watch,32,0,0,0,0,0
best,32,0,0,0,0,0
game,32,0,0,0,0,0
sleepin,31,0,0,0,0,0
stand,31,0,0,0,0,0
scared,31,0,0,0,0,0
walk,31,0,0,0,0,0
something,30,0,0,0,0,0
dirty,30,0,0,0,0,0
fancy,30,0,0,0,0,0
doja,30,0,0,0,0,0
talkin,30,0,0,0,0,0
imagine,30,0,0,0,0,0
buss,30,0,0,0,0,0
demons,30,0,0,0,0,0
beat,30,0,0,0,0,0
babe,29,0,1,0,0,0
side,29,0,0,0,0,0
somethin,29,0,0,0,0,0
alone,28,0,0,0,0,0
mmm,28,0,0,0,0,0
live,28,0,0,0,0,0
cookie,28,0,0,0,0,0
diamonds,28,0,0,0,0,0
other,28,0,0,0,0,0
sayin,27,0,0,0,0,0
crazy,27,0,0,0,0,0
clothes,27,0,0,0,0,0
juicy,27,0,0,0,0,0
cold,27,0,0,0,0,0
god,27,0,0,0,0,0
lord,27,0,0,0,0,0
same,27,0,0,0,0,0
care,27,0,0,0,0,0
wouldn,27,0,0,0,0,0
sleep,27,0,0,0,0,0
booty,27,0,0,0,0,0
dreams,27,0,0,0,0,0
bright,26,0,0,0,0,1
most,26,0,0,0,0,0
feelin,26,0,0,0,0,0
sunday,26,0,0,0,0,0
only,26,0,0,0,0,0
played,26,0,0,0,0,0
emotions,26,0,0,0,0,0
pretty,26,0,0,0,0,0
hate,26,0,0,0,0,0
break,25,0,0,0,0,0
guy,25,0,0,0,0,0
our,25,0,0,0,0,0
turn,24,0,0,0,0,0
beauty,24,0,0,0,0,0
chance,24,0,0,0,0,0
throw,24,0,0,0,0,0
bet,24,0,0,0,0,0
motion,24,0,0,0,0,0
jar,24,0,0,0,0,0
handed,24,0,0,0,0,0
nana,24,0,0,0,0,0
gu,24,0,0,0,0,0
hay,24,0,0,0,0,0
notice,24,0,0,0,0,0
fro,24,0,0,0,0,0
givin,24,0,0,0,0,0
ha,24,0,0,0,0,0
twins,24,0,0,0,0,0
since,23,0,0,0,0,0
cat,23,0,0,0,0,0
needs,23,0,0,0,0,0
hear,23,0,0,0,0,0
full,23,0,0,0,0,0
cry,23,0,0,0,0,0
paid,22,0,0,0,0,0
door,22,0,0,0,0,0
as,22,0,0,0,0,0
lick,22,0,0,0,1,0
talking,22,0,0,0,0,0
natural,22,0,0,0,0,0
ay,22,0,0,0,0,0
another,21,0,0,0,0,0
woo,21,0,0,0,0,0
act,21,0,0,0,0,0
loser,21,0,0,0,0,0
hair,21,0,0,0,0,0
niggas,21,0,0,0,0,0
type,21,0,0,0,0,0
mmh,21,0,0,0,0,0
wish,21,0,0,0,0,0
stay,21,0,0,0,0,0
mad,20,0,0,0,0,0
kiss,20,0,0,0,0,0
whoa,20,0,0,0,0,0
both,20,0,0,0,0,0
always,20,0,0,0,0,0
couldn,20,0,0,0,0,0
daddy,20,0,0,0,0,0
lotta,20,0,0,0,0,0
white,20,0,0,0,0,0
cash,20,0,0,0,0,0
dumb,20,0,0,0,0,0
hot,20,0,0,0,0,0
bottom,20,0,0,0,0,0
name,19,0,0,0,0,0
doin,19,0,0,0,0,0
afraid,19,0,0,0,0,0
skin,19,0,0,0,0,0
girl,19,0,0,0,0,0
pocket,19,0,0,0,0,0
understand,19,0,0,0,0,0
someone,19,0,0,0,0,0
blood,19,0,0,0,0,0
gucci,18,0,0,0,0,0
city,18,0,0,0,0,0
moves,18,0,0,0,0,0
started,18,0,0,0,0,0
tongue,18,0,0,0,0,0
