word,frequency,money,women,drugs,crime,positive
t,2518,0,0,0,0,0
m,1718,0,0,0,0,0
ain,1012,0,0,0,0,0
s,809,0,0,0,0,0
don,744,0,0,0,0,0
all,731,0,0,0,0,0
no,701,0,0,0,0,0
niggas,549,0,0,0,0,0
shit,539,0,0,0,0,0
em,491,0,0,0,0,0
nigga,489,0,0,0,0,0
gon,447,0,0,0,0,0
money,377,0,0,0,0,0
fuck,375,0,0,0,0,0
if,352,0,0,0,0,0
when,334,0,0,0,0,0
tryna,318,0,0,0,0,0
some,315,0,0,0,0,0
now,287,0,0,0,0,0
bitch,279,0,1,0,0,0
how,276,0,0,0,0,0
back,269,0,0,0,0,0
never,261,0,0,0,0,0
keep,257,0,0,0,0,0
lil,248,0,0,0,0,0
real,243,0,0,0,0,1
let,242,0,0,0,0,0
ma,225,0,1,0,0,0
gotta,224,0,0,0,0,0
put,219,0,0,0,0,0
done,218,0,0,0,0,0
still,214,0,0,0,0,0
not,178,0,0,0,0,0
run,177,0,0,0,0,0
as,175,0,0,0,0,0
ll,175,0,0,0,0,0
too,172,0,0,0,0,0
cause,170,0,0,0,0,0
bitches,165,0,0,0,0,0
new,163,0,0,0,0,0
baby,161,0,1,0,0,0
big,156,0,0,0,0,0
every,153,0,0,0,0,0
gettin,149,0,0,0,0,0
hit,147,0,0,0,0,0
then,146,0,0,0,0,0
really,145,0,0,0,0,0
even,139,0,0,0,0,0
play,138,0,0,0,0,0
more,134,0,0,0,0,0
bout,134,0,0,0,0,0
throw,128,0,0,0,0,0
hundred,121,0,0,0,0,0
drip,121,0,0,0,0,0
here,117,0,0,0,0,0
hard,115,0,0,0,0,0
look,112,0,0,0,0,0
man,112,0,0,0,0,0
rich,111,0,0,0,0,0
goin,111,0,0,0,0,0
right,111,0,0,0,0,0
whole,109,0,0,0,0,0
hoes,104,0,0,0,0,0
only,103,0,0,0,0,0
went,99,0,0,0,0,0
cars,99,0,0,0,0,0
stay,98,0,0,0,0,0
diamonds,97,0,0,0,0,0
where,95,0,0,0,0,0
everybody,95,0,0,0,0,0
stop,94,0,0,0,0,0
young,93,0,0,0,0,0
racks,92,1,0,0,0,0
hood,90,0,0,0,1,0
ride,90,0,0,0,1,0
bro,89,0,0,0,0,0
fuckin,87,0,0,0,0,0
getting,87,0,0,0,0,0
runnin,85,0,0,0,0,0
same,84,0,0,0,0,0
won,84,0,0,0,0,0
top,83,0,0,0,0,0
wanna,83,0,0,0,0,0
straight,80,0,0,0,0,0
ran,80,0,0,0,0,0
good,80,0,0,0,0,0
why,80,0,0,0,0,0
nah,79,0,0,0,0,0
buy,79,0,0,0,0,0
there,78,0,0,0,0,0
pull,77,0,0,0,0,0
nobody,76,0,0,0,0,0
catch,76,0,0,0,0,0
god,74,0,0,0,0,0
dawg,74,0,0,0,0,0
check,72,0,0,0,0,0
gang,72,0,0,0,1,0
boy,71,0,0,1,0,0
million,71,0,0,0,0,0
better,70,0,0,0,0,0
bought,70,0,0,0,0,0
bad,70,0,0,0,0,0
bag,69,1,0,0,0,0
plug,69,0,0,0,1,0
free,68,0,0,0,0,0
cash,68,0,0,0,0,0
show,67,0,0,0,0,0
everything,67,0,0,0,0,0
paid,66,0,0,0,0,0
ass,66,0,0,0,0,0
pay,65,0,0,0,0,0
fucked,65,0,0,0,0,0
lot,65,0,0,0,0,0
house,65,0,0,0,0,0
ever,64,0,0,0,0,0
another,64,0,0,0,0,0
couple,64,0,0,0,0,0
car,64,0,0,0,0,0
city,63,0,0,0,0,0
low,63,0,0,0,0,0
huh,63,0,0,0,0,0
first,63,0,0,0,0,0
drop,62,0,0,0,0,0
damn,62,0,0,0,0,0
mad,61,0,0,0,0,0
thousand,60,0,0,0,0,0
round,60,0,0,0,0,0
live,60,0,0,0,0,0
many,59,0,0,0,0,0
last,58,0,0,0,0,0
different,57,0,0,0,0,0
y,57,0,0,0,0,0
mama,57,0,0,0,0,0
game,56,0,0,0,0,0
crazy,56,0,0,0,0,0
other,56,0,0,0,0,0
switch,56,0,0,0,0,0
ho,55,0,1,0,0,0
pop,55,0,0,0,1,0
change,54,0,0,0,0,0
d,54,0,0,0,0,0
watch,54,0,0,0,0,0
turn,54,0,0,0,0,0
paper,54,1,0,0,0,0
ve,53,0,0,0,0,0
doin,53,0,0,0,0,0
mil,53,0,0,0,0,0
long,52,0,0,0,0,0
streets,52,0,0,0,0,0
didn,52,0,0,0,0,0
die,52,0,0,0,0,0
broke,51,0,0,0,0,0
name,51,0,0,0,0,0
send,51,0,0,0,0,0
n,51,0,0,0,0,0
block,50,0,0,0,1,0
nothin,50,0,0,0,0,0
yo,50,0,0,0,0,0
business,50,0,0,0,0,0
ice,49,0,0,1,0,0
half,49,0,0,0,0,0
body,48,0,0,0,0,0
trust,48,0,0,0,0,0
ball,48,0,0,0,0,0
heard,48,0,0,0,0,0
sleep,47,0,0,0,0,0
bust,47,0,0,0,1,0
stand,47,0,0,0,0,0
kill,47,0,0,0,0,0
care,46,0,0,0,0,0
beat,46,0,0,0,0,0
wait,46,0,0,0,0,0
street,46,0,0,0,0,0
home,46,0,0,0,0,0
playin,46,0,0,0,0,0
than,46,0,0,0,0,0
livin,45,0,0,0,0,0
sippin,45,0,0,0,0,0
bags,45,0,0,0,0,0
ridin,45,0,0,0,0,0
hear,45,0,0,0,0,0
walk,45,0,0,0,0,0
truck,44,0,0,0,0,0
head,44,0,0,0,0,0
much,44,0,0,0,0,0
fast,44,0,0,0,0,0
hot,44,0,0,0,0,0
swag,43,0,0,0,0,0
comin,43,0,0,0,0,0
sure,43,0,0,0,0,0
talkin,43,0,0,0,0,0
shoot,43,0,0,0,0,0
turned,43,0,0,0,0,0
started,43,0,0,0,0,0
soon,42,0,0,0,0,0
talk,42,0,0,0,0,0
start,42,0,0,0,0,0
spot,42,0,0,0,0,0
smoke,42,0,0,0,0,0
sell,42,0,0,0,0,0
woah,41,0,0,0,0,0
drugs,41,0,0,0,0,0
since,41,0,0,0,0,0
enough,41,0,0,0,0,0
fire,40,0,0,1,0,0
full,40,0,0,0,0,0
shout,40,0,0,0,0,0
none,40,0,0,0,0,0
spent,40,0,0,0,0,0
act,40,0,0,0,0,0
