word,frequency,money,women,drugs,crime,positive
m,360,0,0,0,0,0
bitch,317,0,1,0,0,0
t,252,0,0,0,0,0
niggas,237,0,0,0,0,0
shit,164,0,0,0,0,0
fuck,151,0,0,0,0,0
all,146,0,0,0,0,0
s,136,0,0,0,0,0
ooh,117,0,0,0,0,0
some,114,0,0,0,0,0
don,107,0,0,0,0,0
poke,93,0,0,0,0,0
hoe,92,0,1,0,0,0
now,92,0,0,0,0,0
nigga,89,0,0,0,0,0
slatt,87,0,0,0,0,0
ain,77,0,0,0,0,0
woo,77,0,0,0,0,0
too,74,0,0,0,0,0
shawty,72,0,1,0,0,0
let,69,0,0,0,0,0
whole,68,0,0,0,0,0
money,67,0,0,0,0,0
not,65,0,0,0,0,0
yuh,64,0,0,0,0,0
lean,63,0,0,1,0,0
right,62,0,0,0,0,0
lil,61,0,0,0,0,0
new,59,0,0,0,0,0
hoes,59,0,0,0,0,0
gon,59,0,0,0,0,0
hold,59,0,0,0,0,0
bitches,58,0,0,0,0,0
lotta,58,0,0,0,0,0
look,58,0,0,0,0,0
real,58,0,0,0,0,1
back,55,0,0,0,0,0
woah,55,0,0,0,0,0
carti,54,0,0,0,0,0
much,54,0,0,0,0,0
bah,54,0,0,0,0,0
pull,53,0,0,0,0,0
jump,52,0,0,0,0,0
no,51,0,0,0,0,0
never,49,0,0,0,0,0
talk,49,0,0,0,0,0
codeine,47,0,0,1,0,0
top,47,0,0,0,0,0
wanna,45,0,0,0,0,0
bad,44,0,0,0,0,0
ass,44,0,0,0,0,0
bout,43,0,0,0,0,0
ayy,41,0,0,0,0,0
when,40,0,0,0,0,0
diamonds,39,0,0,0,0,0
mob,39,0,0,0,1,0
mileage,39,0,0,0,0,0
x,38,0,0,0,0,0
walk,37,0,0,0,0,0
boss,37,0,0,0,0,0
woke,36,0,0,0,0,0
house,36,0,0,0,0,0
check,36,0,0,0,0,0
other,35,0,0,0,0,0
breathin,35,0,0,0,0,0
girl,35,0,0,0,0,0
rockstar,34,0,0,0,0,0
d,34,0,0,0,0,0
lame,34,0,0,0,0,0
long,32,0,0,0,0,0
keep,32,0,0,0,0,0
here,31,0,0,0,0,0
playboi,31,0,0,0,0,0
boy,30,0,0,1,0,0
show,30,0,0,0,0,0
pussy,30,0,0,0,0,0
beep,30,0,0,0,0,0
bring,30,0,0,0,0,0
em,29,0,0,0,0,0
put,29,0,0,0,0,0
home,28,0,0,0,0,0
young,28,0,0,0,0,0
cash,27,0,0,0,0,0
round,27,0,0,0,0,0
run,26,0,0,0,0,0
gang,26,0,0,0,1,0
watch,26,0,0,0,0,0
choppa,26,0,0,0,1,0
fuckin,26,0,0,0,0,0
fell,25,0,0,0,0,0
high,25,0,0,0,0,0
red,25,0,0,0,0,0
okay,25,0,0,0,0,0
fucked,25,0,0,0,0,0
stop,25,0,0,0,0,0
bih,25,0,0,0,0,0
gotta,25,0,0,0,0,0
fucking,24,0,0,0,0,0
building,24,0,0,0,0,0
ha,24,0,0,0,0,0
talkin,23,0,0,0,0,0
waitin,23,0,0,0,0,0
where,23,0,0,0,0,0
daddy,22,0,0,0,0,0
baby,22,0,1,0,0,0
drop,22,0,0,0,0,0
even,22,0,0,0,0,0
ice,22,0,0,1,0,0
mad,22,0,0,0,0,0
neck,21,0,0,0,0,0
vamp,21,0,0,0,0,0
only,21,0,0,0,0,0
beans,21,0,0,1,0,0
shoot,21,0,0,0,0,0
cause,20,0,0,0,0,0
block,20,0,0,0,1,0
care,20,0,0,0,0,0
push,20,0,0,0,0,0
bag,19,1,0,0,0,0
damn,19,0,0,0,0,0
bank,19,1,0,0,0,0
more,19,0,0,0,0,0
tats,18,0,0,0,0,0
lot,18,0,0,0,0,0
white,18,0,0,0,0,0
rather,18,0,0,0,0,0
big,18,0,0,0,0,0
yo,18,0,0,0,0,0
sleep,17,0,0,0,0,0
ridin,17,0,0,0,0,0
if,17,0,0,0,0,0
playin,17,0,0,0,0,0
roll,16,1,0,0,0,0
old,16,0,0,0,0,0
control,16,0,0,0,0,0
losing,16,0,0,0,0,0
thick,16,0,0,0,0,0
ride,16,0,0,0,1,0
re,16,0,0,0,0,0
ohh,16,0,0,0,0,0
dick,16,0,0,0,0,0
talking,16,0,0,0,0,0
lick,15,0,0,0,1,0
motherfuckin,15,0,0,0,0,0
stay,15,0,0,0,0,0
sell,15,0,0,0,0,0
then,15,0,0,0,0,0
o,15,0,0,0,0,0
rich,15,0,0,0,0,0
whip,15,0,0,0,0,0
hit,15,0,0,0,0,0
bags,15,0,0,0,0,0
brother,14,0,0,0,0,0
how,14,0,0,0,0,0
arms,14,0,0,0,0,0
tryna,14,0,0,0,0,0
dirty,14,0,0,0,0,0
ball,14,0,0,0,0,0
rock,13,0,0,1,0,0
r,13,0,0,0,0,0
crazy,13,0,0,0,0,0
really,13,0,0,0,0,0
hood,13,0,0,0,1,0
ma,13,0,1,0,0,0
play,13,0,0,0,0,0
won,13,0,0,0,0,0
town,12,0,0,0,0,0
sounding,12,0,0,0,0,0
than,12,0,0,0,0,0
c,12,0,0,0,0,0
glock,12,0,0,0,0,0
p,12,0,0,0,0,0
opp,12,0,0,0,0,0
yah,12,0,0,0,0,0
huh,12,0,0,0,0,0
heard,12,0,0,0,0,0
miley,12,0,0,0,0,0
murder,12,0,0,0,0,0
face,12,0,0,0,0,0
god,12,0,0,0,0,0
door,11,0,0,0,0,0
clip,11,0,0,0,1,0
close,11,0,0,0,0,0
black,11,0,0,0,0,0
man,11,0,0,0,0,0
opps,11,0,0,0,0,0
hundred,11,0,0,0,0,0
good,11,0,0,0,0,0
fat,11,0,0,0,0,0
pop,11,0,0,0,1,0
better,11,0,0,0,0,0
nothing,11,0,0,0,0,0
posted,11,0,0,0,0,0
molly,11,0,0,1,0,0
racks,11,1,0,0,0,0
swag,11,0,0,0,0,0
head,11,0,0,0,0,0
aye,10,0,0,0,0,0
sun,10,0,0,0,0,0
suck,10,0,0,0,0,0
guap,10,1,0,0,0,0
coupe,10,0,0,0,0,0
team,10,0,0,0,0,0
free,10,0,0,0,0,0
draco,10,0,0,0,1,0
die,10,0,0,0,0,0
ho,10,0,1,0,0,0
ready,10,0,0,0,0,0
catchin,9,0,0,0,0,0
wit,9,0,0,0,0,0
pipe,9,0,0,0,0,0
friendly,9,0,0,0,0,0
boys,9,0,0,0,1,0
whoa,9,0,0,0,0,0
hop,9,0,0,0,0,0
why,9,0,0,0,0,0
chain,9,0,0,0,0,0
jeans,9,0,0,0,0,0
riding,9,0,0,0,0,0
brr,9,0,0,0,0,0
hunnid,9,0,0,0,0,0
since,9,0,0,0,0,0
bodies,9,0,0,0,0,0
flag,9,0,0,0,0,0
counting,9,0,0,0,0,0
creep,9,0,0,0,0,0
lookin,9,0,0,0,0,0
dope,8,0,0,1,0,0
sing,8,0,0,0,0,0
bought,8,0,0,0,0,0
hide,8,0,0,0,0,0
cyrus,8,0,0,0,0,0
v,8,0,0,0,0,0
shirt,8,0,0,0,0,0
sock,8,0,0,0,0,0
drive,8,0,0,0,0,0
every,8,0,0,0,0,0
mop,8,0,0,0,0,0
anthem,8,0,0,0,0,0
arm,8,0,0,0,0,0
swear,8,0,0,0,0,0
flow,8,0,0,0,0,0
thot,8,0,1,0,0,0
guys,8,0,0,0,0,0
as,8,0,0,0,0,0
done,8,0,0,0,0,0
still,8,0,0,0,0,0
showin,8,0,0,0,0,0
side,8,0,0,0,0,0
thots,8,0,0,0,0,0
kick,8,0,0,0,0,0
flex,8,0,0,0,0,0
milly,7,0,0,0,0,0
met,7,0,0,0,0,0
started,7,0,0,0,0,0
barbie,7,0,0,0,0,0
pint,7,0,0,0,0,0
cappin,7,0,0,0,0,0
erre,7,0,0,0,0,0
york,7,0,0,0,0,0
city,7,0,0,0,0,0
gas,7,0,0,1,0,0
lobby,7,0,0,0,0,0
went,7,0,0,0,0,0
pi,7,0,0,0,0,0
pack,7,0,0,1,0,0
count,7,0,0,0,0,0
air,7,0,0,0,0,0
place,7,0,0,0,0,0
most,7,0,0,0,0,0
pour,7,0,0,0,0,0
wake,7,0,0,0,0,0
walking,7,0,0,0,0,0
wet,7,0,0,0,0,0
g,7,0,0,0,0,0
lit,7,0,0,0,0,0
toolie,7,0,0,0,1,0
popped,7,0,0,0,0,0
blatt,7,0,0,0,0,0
sitting,7,0,0,0,0,0
tall,7,0,0,0,0,0
fame,7,0,0,0,0,0
gun,7,0,0,0,0,0
yao,7,0,0,0,0,0
ming,7,0,0,0,0,0
spaz,7,0,0,0,0,0
low,7,0,0,0,0,0
laugh,7,0,0,0,0,0
walked,7,0,0,0,0,0
running,7,0,0,0,0,0
homicide,7,0,0,0,1,0
great,7,0,0,0,0,0
case,7,0,0,0,0,0
pole,7,0,0,0,0,0
forgot,7,0,0,0,0,0
stalling,6,0,0,0,0,0
shot,6,0,0,0,0,0
bleed,6,0,0,0,0,0
homie,6,0,0,0,0,0
room,6,0,0,0,0,0
sip,6,0,0,0,0,0
demons,6,0,0,0,0,0
slow,6,0,0,0,0,0
teeth,6,0,0,0,0,0
number,6,0,0,0,0,0
sippin,6,0,0,0,0,0
blicky,6,0,0,0,1,0
seein,6,0,0,0,0,0
tank,6,0,0,0,0,0
trust,6,0,0,0,0,0
ever,6,0,0,0,0,0
demon,6,0,0,0,0,0
bother,6,0,0,0,0,0
spot,6,0,0,0,0,0
baow,6,0,0,0,0,0
fly,6,0,0,0,0,0
tee,6,0,0,0,0,0
cup,6,0,0,0,0,0
pass,6,0,0,0,0,0
iced,6,0,0,0,0,0
tucked,6,0,0,0,0,0
drank,6,0,0,1,0,0
felt,6,0,0,0,0,0
please,6,0,0,0,0,0
