word,frequency,money,women,drugs,crime,positive
t,636,0,0,0,0,0
m,601,0,0,0,0,0
s,517,0,0,0,0,0
all,425,0,0,0,0,0
don,254,0,0,0,0,0
when,200,0,0,0,0,0
no,187,0,0,0,0,0
now,165,0,0,0,0,0
ain,153,0,0,0,0,0
not,144,0,0,0,0,0
if,138,0,0,0,0,0
cause,137,0,0,0,0,0
re,136,0,0,0,0,0
shit,128,0,0,0,0,0
man,124,0,0,0,0,0
some,124,0,0,0,0,0
fuck,124,0,0,0,0,0
girl,115,0,0,0,0,0
wanna,111,0,0,0,0,0
real,97,0,0,0,0,1
there,95,0,0,0,0,0
nigga,93,0,0,0,0,0
niggas,92,0,0,0,0,0
black,89,0,0,0,0,0
girls,89,0,0,0,0,0
never,88,0,0,0,0,0
how,86,0,0,0,0,0
hook,79,0,0,0,0,0
back,79,0,0,0,0,0
hold,78,0,0,0,0,0
why,76,0,0,0,0,0
move,76,0,0,0,0,0
la,75,0,0,0,0,0
verse,71,0,0,0,0,0
ll,71,0,0,0,0,0
good,69,0,0,0,0,0
baby,67,0,1,0,0,0
needed,67,0,0,0,0,0
really,64,0,0,0,0,0
something,63,0,0,0,0,0
right,61,0,0,0,0,0
where,58,0,0,0,0,0
new,58,0,0,0,0,0
white,57,0,0,0,0,0
every,56,0,0,0,0,0
show,54,0,0,0,0,0
as,54,0,0,0,0,0
only,52,0,0,0,0,0
alone,52,0,0,0,0,0
ooh,52,0,0,0,0,0
ma,52,0,1,0,0,0
still,50,0,0,0,0,0
wrong,48,0,0,0,0,0
high,48,0,0,0,0,0
hard,47,0,0,0,0,0
talk,46,0,0,0,0,0
than,44,0,0,0,0,0
fly,44,0,0,0,0,0
more,43,0,0,0,0,0
hear,42,0,0,0,0,0
dude,42,0,0,0,0,0
then,41,0,0,0,0,0
keep,41,0,0,0,0,0
hate,41,0,0,0,0,0
best,40,0,0,0,0,0
running,40,0,0,0,0,0
y,40,0,0,0,0,0
better,40,0,0,0,0,0
turn,40,0,0,0,0,0
d,39,0,0,0,0,0
place,39,0,0,0,0,0
here,37,0,0,0,0,0
same,37,0,0,0,0,0
fuckin,36,0,0,0,0,0
friends,36,0,0,0,0,0
ve,36,0,0,0,0,0
face,36,0,0,0,0,0
always,36,0,0,0,0,0
bitch,36,0,1,0,0,0
boy,36,0,0,1,0,0
even,35,0,0,0,0,0
gotta,35,0,0,0,0,0
em,35,0,0,0,0,0
other,35,0,0,0,0,0
girlfriend,35,0,0,0,0,0
fucking,35,0,0,0,0,0
let,35,0,0,0,0,0
rap,34,0,0,0,0,0
stay,34,0,0,0,0,0
play,34,0,0,0,0,0
nobody,33,0,0,0,0,0
too,33,0,0,0,0,0
bad,33,0,0,0,0,0
look,33,0,0,0,0,0
put,33,0,0,0,0,0
everything,32,0,0,0,0,0
dick,31,0,0,0,0,0
ha,31,0,0,0,0,0
kids,31,0,0,0,0,0
ever,31,0,0,0,0,0
mma,30,0,0,0,0,0
wait,30,0,0,0,0,0
summer,30,0,0,0,0,0
stop,29,0,0,0,0,0
text,29,0,0,0,0,0
start,29,0,0,0,0,0
foot,29,0,0,0,0,0
gonna,29,0,0,0,0,0
spinning,28,0,0,0,0,0
done,28,0,0,0,0,0
our,28,0,0,0,0,0
little,27,0,0,0,0,0
act,27,0,0,0,0,0
gon,27,0,0,0,0,0
first,27,0,0,0,0,0
minute,26,0,0,0,0,0
bus,26,0,0,0,0,0
sweet,26,0,0,0,0,0
care,25,0,0,0,0,0
won,25,0,0,0,0,0
both,25,0,0,0,0,0
money,25,0,0,0,0,0
long,25,0,0,0,0,0
away,24,0,0,0,0,0
crazy,24,0,0,0,0,0
lights,24,0,0,0,0,0
ass,24,0,0,0,0,0
late,24,0,0,0,0,0
half,24,0,0,0,0,0
yes,24,0,0,0,0,0
broke,24,0,0,0,0,0
mean,24,0,0,0,0,0
lookin,24,0,0,0,0,0
head,24,0,0,0,0,0
party,24,0,0,0,0,0
dudes,23,0,0,0,0,0
fake,23,0,0,0,0,0
couldn,23,0,0,0,0,0
okay,23,0,0,0,0,0
kiss,23,0,0,0,0,0
ya,23,0,0,0,0,0
gambino,23,0,0,0,0,0
though,23,0,0,0,0,0
kinda,23,0,0,0,0,0
violence,22,0,0,0,0,0
beat,22,0,0,0,0,0
runnin,22,0,0,0,0,0
heartbeat,22,0,0,0,0,0
speak,22,0,0,0,0,0
everyone,22,0,0,0,0,0
please,22,0,0,0,0,0
isn,22,0,0,0,0,0
big,21,0,0,0,0,0
enough,21,0,0,0,0,0
anymore,21,0,0,0,0,0
everybody,21,0,0,0,0,0
cool,21,0,0,0,0,0
cannot,21,0,0,0,0,0
god,21,0,0,0,0,0
woo,21,0,0,0,0,0
hands,20,0,0,0,0,0
smokin,20,0,0,0,0,0
cold,20,0,0,0,0,0
whenever,20,0,0,0,0,0
sex,20,0,0,0,0,0
ready,20,0,0,0,0,0
super,20,0,0,0,0,0
fall,20,0,0,0,0,0
walk,20,0,0,0,0,0
kid,19,0,0,0,0,0
close,19,0,0,0,0,0
old,19,0,0,0,0,0
wherever,19,0,0,0,0,0
sick,19,0,0,0,0,0
oakland,19,0,0,0,0,0
date,19,0,0,0,0,0
change,19,0,0,0,0,0
heard,18,0,0,0,0,0
maybe,18,0,0,0,0,0
lost,18,0,0,0,0,0
someone,18,0,0,0,0,0
hoes,18,0,0,0,0,0
word,18,0,0,0,0,0
hood,18,0,0,0,1,0
sun,18,0,0,0,0,0
again,18,0,0,0,0,0
bout,18,0,0,0,0,0
body,18,0,0,0,0,0
ate,18,0,0,0,0,0
ayy,18,0,0,0,0,0
straight,18,0,0,0,0,0
cousin,18,0,0,0,0,0
matter,17,0,0,0,0,0
game,17,0,0,0,0,0
house,17,0,0,0,0,0
blow,17,0,0,1,0,0
understand,17,0,0,0,0,0
believe,17,0,0,0,0,0
help,17,0,0,0,0,0
home,17,0,0,0,0,0
doing,17,0,0,0,0,0
pay,17,0,0,0,0,0
o,17,0,0,0,0,0
name,17,0,0,0,0,0
baddest,17,0,0,0,0,0
dad,16,0,0,0,0,0
hot,16,0,0,0,0,0
phone,16,0,0,0,0,0
rappers,16,0,0,0,0,0
different,16,0,0,0,0,0
ball,16,0,0,0,0,0
happy,16,0,0,0,0,0
didn,16,0,0,0,0,0
well,16,0,0,0,0,0
car,15,0,0,0,0,0
myself,15,0,0,0,0,0
somethin,15,0,0,0,0,0
camp,15,0,0,0,0,0
truth,15,0,0,0,0,0
talking,15,0,0,0,0,0
sayin,15,0,0,0,0,0
whole,15,0,0,0,0,0
spirit,15,0,0,0,0,0
mom,15,0,0,0,0,0
another,15,0,0,0,0,0
dance,15,0,0,0,0,0
side,15,0,0,0,0,0
run,15,0,0,0,0,0
tight,15,0,0,0,0,0
kilo,14,0,0,0,0,0
nah,14,0,0,0,0,0
sky,14,0,0,0,0,0
sleepin,14,0,0,0,0,0
sorry,14,0,0,0,0,0
dinner,14,0,0,0,0,0
thank,14,0,0,0,0,0
asian,14,0,0,0,0,0
read,14,0,0,0,0,0
green,14,1,0,1,0,0
haven,14,0,0,0,0,0
thinking,14,0,0,0,0,0
else,14,0,0,0,0,0
bed,14,0,0,0,0,0
crawl,14,0,0,0,0,0
mama,14,0,0,0,0,0
till,14,0,0,0,0,0
watch,13,0,0,0,0,0
lot,13,0,0,0,0,0
dreams,13,0,0,0,0,0
rapper,13,0,0,0,0,0
fair,13,0,0,0,0,0
comin,13,0,0,0,0,0
none,13,0,0,0,0,0
rather,13,0,0,0,0,0
laugh,13,0,0,0,0,0
fire,13,0,0,1,0,0
school,13,0,0,0,0,0
shine,13,0,0,0,0,1
stars,13,0,0,0,0,0
forever,13,0,0,0,0,0
least,13,0,0,0,0,0
supposed,13,0,0,0,0,0
nothing,13,0,0,0,0,0
miss,13,0,1,0,0,0
bitches,13,0,0,0,0,0
end,13,0,0,0,0,0
mad,13,0,0,0,0,0
eat,12,0,0,0,0,0
naked,12,0,0,0,0,0
kill,12,0,0,0,0,0
wish,12,0,0,0,0,0
went,12,0,0,0,0,0
alright,12,0,0,0,0,0
til,12,0,0,0,0,0
hit,12,0,0,0,0,0
moment,12,0,0,0,0,0
own,12,0,0,0,0,0
tall,12,0,0,0,0,0
yo,12,0,0,0,0,0
n,12,0,0,0,0,0
yay,12,0,0,1,0,0
accent,12,0,0,0,0,0
empty,12,0,0,0,0,0
drop,12,0,0,0,0,0
power,12,0,0,0,0,1
met,12,0,0,0,0,0
dumb,12,0,0,0,0,0
standing,12,0,0,0,0,0
daddy,12,0,0,0,0,0
cry,12,0,0,0,0,0
brighter,12,0,0,0,0,0
bar,12,0,0,0,0,0
great,12,0,0,0,0,0
betchya,12,0,0,0,0,0
save,12,0,0,0,0,0
seems,11,0,0,0,0,0
slow,11,0,0,0,0,0
racist,11,0,0,0,0,0
killer,11,0,0,0,0,0
stupid,11,0,0,0,0,0
wake,11,0,0,0,0,0
catch,11,0,0,0,0,0
most,11,0,0,0,0,0
moving,11,0,0,0,0,0
field,11,0,0,0,0,0
sunshine,11,0,0,0,0,0
explain,11,0,0,0,0,0
key,11,0,0,0,0,0
coulda,11,0,0,0,0,0
pussy,11,0,0,0,0,0
tie,11,0,0,0,0,0
glass,11,0,0,1,0,0
post,11,0,0,0,0,0
code,11,0,0,0,1,0
brother,11,0,0,0,0,0
gold,11,0,0,0,0,0
bustin,11,0,0,0,0,0
fucked,11,0,0,0,0,0
chilling,11,0,0,0,0,0
knows,11,0,0,0,0,0
father,11,0,0,0,0,0
once,11,0,0,0,0,0
burn,11,0,0,0,0,0
workin,11,0,0,0,0,0
breakfast,11,0,0,0,0,0
j,11,0,0,0,0,0
beautiful,11,0,0,0,0,0
callin,11,0,0,0,0,0
weird,11,0,0,0,0,0
beef,11,0,0,0,0,0
cake,11,1,0,0,0,0
line,11,0,0,0,0,0
strong,11,0,0,0,0,1
raps,11,0,0,0,0,0
sometimes,11,0,0,0,0,0
scared,10,0,0,0,0,0
losing,10,0,0,0,0,0
each,10,0,0,0,0,0
soul,10,0,0,0,0,0
realness,10,0,0,0,0,0
shoutout,10,0,0,0,0,0
hoping,10,0,0,0,0,0
hundred,10,0,0,0,0,0
eating,10,0,0,0,0,0
guess,10,0,0,0,0,0
while,10,0,0,0,0,0
blog,10,0,0,0,0,0
burnin,10,0,0,0,0,0
weekend,10,0,0,0,0,0
son,10,0,0,0,0,0
survive,10,0,0,0,0,0
whatever,10,0,0,0,0,0
doin,10,0,0,0,0,0
becoming,10,0,0,0,0,0
check,10,0,0,0,0,0
tryna,10,0,0,0,0,0
flow,10,0,0,0,0,0
muthafuckas,10,0,0,0,0,0
freakin,10,0,0,0,0,0
bonfire,10,0,0,0,0,0
rainbows,10,0,0,0,0,0
break,10,0,0,0,0,0
goin,10,0,0,0,0,0
job,10,0,0,0,0,0
hiding,10,0,0,0,0,0
smoke,10,0,0,0,0,0
listen,10,0,0,0,0,0
shorts,10,0,0,0,0,0
loving,10,0,0,0,0,0
dead,10,0,0,0,0,0
hoe,10,0,1,0,0,0
everywhere,10,0,0,0,0,0
wondering,9,0,0,0,0,0
together,9,0,0,0,0,0
busy,9,0,0,0,0,0
either,9,0,0,0,0,0
tempt,9,0,0,0,0,0
playing,9,0,0,0,0,0
skinny,9,0,0,0,0,0
dated,9,0,0,0,0,0
thursday,9,0,0,0,0,0
songs,9,0,0,0,0,0
ghost,9,0,0,0,0,0
darling,9,0,0,0,0,0
nothin,9,0,0,0,0,0
swag,9,0,0,0,0,0
cuff,9,0,0,0,0,0
conclusions,9,0,0,0,0,0
clear,9,0,0,0,0,0
expect,9,0,0,0,0,0
settling,9,0,0,0,0,0
stone,9,0,0,0,0,0
flirt,9,0,0,0,0,0
friend,9,0,0,0,0,0
crying,9,0,0,0,0,0
screen,9,0,0,0,0,0
sitting,9,0,0,0,0,0
dating,9,0,0,0,0,0
bin,9,0,0,0,0,0
wall,9,0,0,0,0,0
listened,9,0,0,0,0,0
many,9,0,0,0,0,0
artichoke,9,0,0,0,0,0
trips,9,0,0,0,0,0
jerk,9,0,0,0,0,0
related,9,0,0,0,0,0
keyshia,9,0,0,0,0,0
stole,9,0,0,0,0,0
caps,9,0,0,1,0,0
dime,9,0,1,0,0,0
ayo,9,0,0,0,0,0
step,9,0,0,0,0,0
afraid,9,0,0,0,0,0
happen,9,0,0,0,0,0
thighs,9,0,0,0,0,0
awesome,9,0,0,0,0,0
true,9,0,0,0,0,0
nastiest,9,0,0,0,0,0
sixty,9,0,0,0,0,0
brothers,9,0,0,0,0,0
paranoid,9,0,0,0,0,0
smash,9,0,0,0,0,0
worse,9,0,0,0,0,0
alive,9,0,0,0,0,0
donald,9,0,0,0,0,0
pressure,9,0,0,0,0,0
shots,9,0,0,0,0,0
fail,9,0,0,0,0,0
ffection,9,0,0,0,0,0
beast,9,0,0,0,0,0
condoms,9,0,0,0,0,0
slipped,9,0,0,0,0,0
laden,9,0,0,0,0,0
soft,9,0,0,0,0,0
threesome,9,0,0,0,0,0
smile,9,0,0,0,0,1
problems,9,0,0,0,0,0
askin,9,0,0,0,0,0
games,9,0,0,0,0,0
fate,9,0,0,0,0,0
dummy,9,0,0,0,0,0
rich,9,0,0,0,0,0
bought,9,0,0,0,0,0
huh,9,0,0,0,0,0
