word,frequency,money,women,drugs,crime,positive
t,549,0,0,0,0,0
m,296,0,0,0,0,0
nigga,250,0,0,0,0,0
s,219,0,0,0,0,0
ain,215,0,0,0,0,0
no,201,0,0,0,0,0
all,188,0,0,0,0,0
don,174,0,0,0,0,0
niggas,160,0,0,0,0,0
bitch,155,0,1,0,0,0
gotta,132,0,0,0,0,0
fuck,113,0,0,0,0,0
shit,104,0,0,0,0,0
ayy,101,0,0,0,0,0
when,100,0,0,0,0,0
cause,98,0,0,0,0,0
ride,96,0,0,0,1,0
some,96,0,0,0,0,0
if,89,0,0,0,0,0
never,85,0,0,0,0,0
wanna,81,0,0,0,0,0
keep,81,0,0,0,0,0
put,76,0,0,0,0,0
back,76,0,0,0,0,0
new,73,0,0,0,0,0
woo,73,0,0,0,0,0
gon,72,0,0,0,0,0
now,72,0,0,0,0,0
how,69,0,0,0,0,0
money,65,0,0,0,0,0
lot,62,0,0,0,0,0
lil,56,0,0,0,0,0
then,56,0,0,0,0,0
every,53,0,0,0,0,0
tryna,53,0,0,0,0,0
whoa,52,0,0,0,0,0
done,51,0,0,0,0,0
too,50,0,0,0,0,0
hoes,49,0,0,0,0,0
huh,49,0,0,0,0,0
em,48,0,0,0,0,0
why,45,0,0,0,0,0
ma,45,0,1,0,0,0
good,45,0,0,0,0,0
shawty,45,0,1,0,0,0
real,45,0,0,0,0,1
racks,43,1,0,0,0,0
even,42,0,0,0,0,0
whole,41,0,0,0,0,0
top,41,0,0,0,0,0
more,39,0,0,0,0,0
bitches,38,0,0,0,0,0
ever,37,0,0,0,0,0
bag,36,1,0,0,0,0
house,36,0,0,0,0,0
hit,35,0,0,0,0,0
favor,34,0,0,0,0,0
twin,34,0,0,0,0,0
baby,33,0,1,0,0,0
damn,33,0,0,0,0,0
run,33,0,0,0,0,0
young,33,0,0,0,0,0
roller,32,0,0,0,0,0
start,32,0,0,0,0,0
diamonds,32,0,0,0,0,0
bout,31,0,0,0,0,0
double,31,0,0,0,0,0
let,31,0,0,0,0,0
god,31,0,0,0,0,0
still,31,0,0,0,0,0
dawg,30,0,0,0,0,0
hundred,30,0,0,0,0,0
always,30,0,0,0,0,0
talk,30,0,0,0,0,0
ve,29,0,0,0,0,0
pull,29,0,0,0,0,0
wet,29,0,0,0,0,0
bad,29,0,0,0,0,0
woah,29,0,0,0,0,0
blue,28,0,0,0,0,0
