word,frequency,money,women,drugs,crime,positive
t,174,0,0,0,0,0
m,125,0,0,0,0,0
don,76,0,0,0,0,0
s,74,0,0,0,0,0
gonna,49,0,0,0,0,0
all,49,0,0,0,0,0
now,46,0,0,0,0,0
ain,40,0,0,0,0,0
ayy,35,0,0,0,0,0
scoop,34,0,0,0,0,0
nigga,30,0,0,0,0,0
no,30,0,0,0,0,0
right,29,0,0,0,0,0
ah,28,0,0,0,0,0
ooh,25,0,0,0,0,0
ll,24,0,0,0,0,0
re,24,0,0,0,0,0
when,23,0,0,0,0,0
if,22,0,0,0,0,0
back,22,0,0,0,0,0
nothin,22,0,0,0,0,0
huh,22,0,0,0,0,0
more,22,0,0,0,0,0
ve,22,0,0,0,0,0
never,21,0,0,0,0,0
wanna,20,0,0,0,0,0
run,19,0,0,0,0,0
fuck,19,0,0,0,0,0
d,18,0,0,0,0,0
bring,18,0,0,0,0,0
here,17,0,0,0,0,0
old,16,0,0,0,0,0
only,16,0,0,0,0,0
road,16,0,0,0,0,0
skrrt,16,0,0,0,0,0
baby,15,0,1,0,0,0
away,15,0,0,0,0,0
too,15,0,0,0,0,0
ride,15,0,0,0,1,0
horse,14,0,0,0,0,0
gon,14,0,0,0,0,0
same,14,0,0,0,0,0
hit,13,0,0,0,0,0
sign,13,0,0,0,0,0
let,13,0,0,0,0,0
town,13,0,0,0,0,0
every,13,0,0,0,0,0
hold,13,0,0,0,0,0
dolla,13,0,0,0,0,0
nas,12,0,0,0,0,0
everything,12,0,0,0,0,0
slime,12,0,0,0,0,0
really,11,0,0,0,0,0
not,11,0,0,0,0,0
face,11,0,0,0,0,0
dawg,10,0,0,0,0,0
lil,10,0,0,0,0,0
even,10,0,0,0,0,0
someone,10,0,0,0,0,0
sometimes,10,0,0,0,0,0
forget,9,0,0,0,0,0
how,9,0,0,0,0,0
nobody,9,0,0,0,0,0
why,9,0,0,0,0,0
home,9,0,0,0,0,0
done,9,0,0,0,0,0
y,9,0,0,0,0,0
shit,9,0,0,0,0,0
ridin,8,0,0,0,0,0
la,8,0,0,0,0,0
blue,8,0,0,0,0,0
tryna,8,0,0,0,0,0
cause,8,0,0,0,0,0
then,7,0,0,0,0,0
niggas,7,0,0,0,0,0
walk,7,0,0,0,0,0
as,7,0,0,0,0,0
em,7,0,0,0,0,0
new,7,0,0,0,0,0
weed,7,0,0,1,0,0
til,7,0,0,0,0,0
name,7,0,0,0,0,0
kick,7,0,0,0,0,0
x,6,0,0,0,0,0
phone,6,0,0,0,0,0
woah,6,0,0,0,0,0
man,6,0,0,0,0,0
good,6,0,0,0,0,0
floor,6,0,0,0,0,0
fuckin,6,0,0,0,0,0
place,6,0,0,0,0,0
days,5,0,0,0,0,0
today,5,0,0,0,0,0
wrong,5,0,0,0,0,0
big,5,0,0,0,0,0
while,5,0,0,0,0,0
living,5,0,0,0,0,0
keep,5,0,0,0,0,0
anyway,5,0,0,0,0,0
black,5,0,0,0,0,0
hard,5,0,0,0,0,0
hat,5,0,0,0,0,0
head,5,0,0,0,0,0
happy,5,0,0,0,0,0
there,5,0,0,0,0,0
lonely,5,0,0,0,0,0
late,5,0,0,0,0,0
waiting,5,0,0,0,0,0
went,5,0,0,0,0,0
long,5,0,0,0,0,0
where,5,0,0,0,0,0
little,5,0,0,0,0,0
live,5,0,0,0,0,0
bitch,5,0,1,0,0,0
hear,5,0,0,0,0,0
much,5,0,0,0,0,0
bad,5,0,0,0,0,0
lie,5,0,0,0,0,0
sinking,5,0,0,0,0,0
dreams,5,0,0,0,0,0
couple,5,0,0,0,0,0
top,5,0,0,0,0,0
god,5,0,0,0,0,0
body,5,0,0,0,0,0
won,4,0,0,0,0,0
again,4,0,0,0,0,0
low,4,0,0,0,0,0
nothing,4,0,0,0,0,0
everybody,4,0,0,0,0,0
li,4,0,0,0,0,0
daily,4,0,0,0,0,0
runnin,4,0,0,0,0,0
workin,4,0,0,0,0,0
sent,4,0,0,0,0,0
pop,4,0,0,0,1,0
ight,4,0,0,0,0,0
sorry,4,0,0,0,0,0
ni,4,0,0,0,0,0
throw,4,0,0,0,0,0
till,4,0,0,0,0,0
kio,4,0,0,0,0,0
changing,4,0,0,0,0,0
boy,4,0,0,1,0,0
reaper,4,0,0,0,0,0
gun,4,0,0,0,0,0
treat,4,0,0,0,0,0
