id,name,genres,popularity,followers,is_rapper
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,,,,0
5T0MSzX9RC5NA6gAI6irSn,Estelle,"neo soul, r&b",68.0,324460.0,0
3aQeKQSyrW4qWr35idm0cy,T-Pain,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",80.0,5148034.0,1
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap",85.0,9630583.0,1
21E3waRsmPlU7jZsS13rcj,Ne-Yo,"dance pop, pop, r&b, urban contemporary",83.0,9354436.0,0
6GEykX11lQqp92UVOQQCC7,DJ Premier,"east coast hip hop, instrumental hip hop, jazz boom bap, turntablism",66.0,301668.0,0
1lE6SEy8f84Zhjvp7r8yTD,Syleena Johnson,"contemporary r&b, neo soul, r&b, urban contemporary",67.0,335230.0,0
4xPQFgDA5M2xa0ZGo5iIsv,¥$,,78.0,869517.0,0
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"hip pop, pop, queens hip hop, rap",87.0,32911312.0,1
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,"emo rap, miami hip hop, rap",89.0,47959826.0,1
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",78.0,3744677.0,0
1sBkRIssrMs1AbVkOJbc7a,Rick Ross,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap",77.0,7429840.0,1
3wyVrVrFCkukjdVIdirGVY,Lil Pump,"emo rap, miami hip hop, pop rap, rap, trap",65.0,7627685.0,1
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,"r&b, rap, urban contemporary",85.0,7705992.0,1
7u6LfVyYpEzMpHLL7jTyvU,Dwele,neo soul,69.0,301940.0,0
63wjoROpeh5f11Qm93UiJ1,Keri Hilson,"dance pop, hip pop, r&b, urban contemporary",71.0,2036321.0,0
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,"classic rock, mellow gold, rock, soft rock",77.0,4982656.0,0
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop",68.0,1917959.0,1
0ONHkAv9pCAFxb0zJwDNTy,Pusha T,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",73.0,2974504.0,1
1cNDP5yjU5vjeR8qMf4grg,YNW Melly,"melodic rap, rap",75.0,11233843.0,1
7LnaAXbDVIL75IVPnndf7w,Jamie Foxx,"contemporary r&b, hip pop, pop rap, r&b, southern hip hop, trap, urban contemporary",70.0,1265788.0,1
7dGJo4pcD2V6oG8kP0tJRR,Eminem,"detroit hip hop, hip hop, rap",93.0,94319320.0,1
55Aa2cqylxrFIXC767Z865,Lil Wayne,"hip hop, new orleans rap, pop rap, rap, trap",88.0,15785042.0,1
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,"hip hop, pop rap, r&b, southern hip hop, trap, trap soul",84.0,5811872.0,1
0LQoZQIV0mIs0y0XQb0Sw2,Chris Martin,,66.0,59523.0,0
0huGjMyP507tBCARyzSkrv,Cordae,"hip hop, pop rap, rap, trap, underground hip hop",72.0,2066838.0,1
6vbY3hOaCAhC7VjucswgdS,Twista,"chicago rap, dirty south rap, gangster rap, trap",67.0,1142918.0,1
