id,release_year,artists,track_name
1UGD3lW3tDmgZfAVDh6w7r,2010,"['5K4W6rqBFWDnAN6FQUkS6x', '1sBkRIssrMs1AbVkOJbc7a']",Devil In A New Dress
5zuoz1NBnpoHK6g5sbEH8F,2008,"['5K4W6rqBFWDnAN6FQUkS6x', '55Aa2cqylxrFIXC767Z865']",See You In My Nightmares
7387VaiHpOsSIZ5nmjseya,2007,"['5K4W6rqBFWDnAN6FQUkS6x', '55Aa2cqylxrFIXC767Z865']",Barry Bonds
6HPH4AuWHXbTX2uiGWjb3v,2023,"['7dGJo4pcD2V6oG8kP0tJRR', '2YZyLoL8N0Wb9xBt1NhZWg']",Love Game
1IiOIBsOQrQvcge0HiwF90,2022,"['7dGJo4pcD2V6oG8kP0tJRR', '4MCBfE4596Uoi2O4DtmEMz']",Godzilla (feat. Juice WRLD)
6CPAznSrkDmiPBgLXoi00f,2022,"['7dGJo4pcD2V6oG8kP0tJRR', '7hJcb9fa4alzcOq3EaNPoG']",From The D 2 The LBC (with Snoop Dogg)
0ltIb83VBPvnGDKg7axXej,2022,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7', '3q7HBObVc0L8jNeTe5Gofh']",Crack A Bottle (feat. Dr. Dre & 50 Cent)
7rK0iM6jwuo1oizdx8suQA,2022,"['7dGJo4pcD2V6oG8kP0tJRR', '3q7HBObVc0L8jNeTe5Gofh']",Is This Love ('09) (feat. 50 Cent)
74lo85x5FUL8Wyc2ur9jAE,2022,"['7dGJo4pcD2V6oG8kP0tJRR', '55Aa2cqylxrFIXC767Z865']",No Love (feat. Lil Wayne)
4jWWwleHhTmnrpz5nJsPOO,2022,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Say What You Say
4rTlPsga6T8yiHGOvZAPhJ,2020,"['7dGJo4pcD2V6oG8kP0tJRR', '4MCBfE4596Uoi2O4DtmEMz']",Godzilla (feat. Juice WRLD)
5TIFb333qPwHTistaz8hdH,2020,"['7dGJo4pcD2V6oG8kP0tJRR', '3jK9MiCrA42lLAdMGUZpwa']",Lock It Up (feat. Anderson .Paak)
7FIWs0pqAYbP91WWM0vlTQ,2020,"['7dGJo4pcD2V6oG8kP0tJRR', '4MCBfE4596Uoi2O4DtmEMz']",Godzilla (feat. Juice WRLD)
1qwMkkRiD5jqLeUUjfgblh,2020,"['7dGJo4pcD2V6oG8kP0tJRR', '3jK9MiCrA42lLAdMGUZpwa']",Lock It Up (feat. Anderson .Paak)
0iMN420Q45isZVNlAqzPTW,2013,"['7dGJo4pcD2V6oG8kP0tJRR', '2YZyLoL8N0Wb9xBt1NhZWg']",Love Game
38cYHI1Mk9DlHk3nIUaxcI,2010,"['7dGJo4pcD2V6oG8kP0tJRR', '55Aa2cqylxrFIXC767Z865']",No Love
7bHT9osSq1rwT2yaImzqCi,2010,"['7dGJo4pcD2V6oG8kP0tJRR', '55Aa2cqylxrFIXC767Z865']",No Love
5j6ODxGVhAWeCS49bBKuxz,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Old Time's Sake
4dK00wCxlqWEeN8BoM1BHT,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7', '3q7HBObVc0L8jNeTe5Gofh']",Crack A Bottle
5UsLjwBaTHBX4ektWIr4XX,2009,"['3TVXtAsR1Inumwj472S9r4', '5K4W6rqBFWDnAN6FQUkS6x', '55Aa2cqylxrFIXC767Z865', '7dGJo4pcD2V6oG8kP0tJRR']",Forever
0FXfAepEmqVCMnvOpb8Hoj,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Hell Breaks Loose
5CwFNjik3qxA7SPNMF093f,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Old Time's Sake
5ac5PpvqGeVo3oAq26aobC,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7', '3q7HBObVc0L8jNeTe5Gofh']",Crack A Bottle
3RPew6TGeM9GtsZtpME5jc,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Old Time's Sake
1vD1xrtEZbCb2caiuLEedF,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7', '3q7HBObVc0L8jNeTe5Gofh']",Crack A Bottle
4YSWDVtRFSXOddN7N0kqS2,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7', '3q7HBObVc0L8jNeTe5Gofh']",Crack A Bottle - Single Version
22PJPy3Xf2EruWEeqNEOFH,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Old Time's Sake
360TPORPNBas8DeQueJe67,2009,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7', '3q7HBObVc0L8jNeTe5Gofh']",Crack A Bottle
4EQkcrSLF3QdlwNca7sMXY,2002,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Say What You Say
2iW8D4Vdy8lrOEBkYEJOzd,1999,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Guilty Conscience
4KVVy0GeXO03ni8Cv4SWk8,1999,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']","Bad Guys Always Die - From ""Wild Wild West"" Soundtrack"
48dnzYTt8z03FNvblPWa6C,1999,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Guilty Conscience - Radio Version
1U2pLtCPZp5i9dLK1cAtJE,1999,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Guilty Conscience - Instrumental
0rWApdVyBhFFpYxElidwox,1999,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Guilty Conscience - A Cappella
6da04YB906XonC6IQNC44u,1999,"['7dGJo4pcD2V6oG8kP0tJRR', '6DPYiyq5kWVQS4RGwxzPC7']",Guilty Conscience
2R30S0W4JCM9JaQWlpmeWn,2023,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Calling For You (feat. 21 Savage)
6xIsHPRHdbzU6UMVFn4wh8,2023,"['3TVXtAsR1Inumwj472S9r4', '6l3HvQ5sa6mXTsMTB19rO5']",First Person Shooter (feat. J. Cole)
2ut4BOQSqxLpcX5MtPjzYa,2023,"['3TVXtAsR1Inumwj472S9r4', '6l3HvQ5sa6mXTsMTB19rO5']",Evil Ways (feat. J. Cole)
2nibvvDdAQkVraYP00z2RS,2023,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Calling For You (feat. 21 Savage)
7aqfrAY2p9BUSiupwk3svU,2023,"['3TVXtAsR1Inumwj472S9r4', '6l3HvQ5sa6mXTsMTB19rO5']",First Person Shooter (feat. J. Cole)
1bDbXMyjaUIooNwFE9wn0N,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Rich Flex
46s57QULU02Voy0Kup6UEb,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Major Distribution
34tz0eDhGuFErIuW3q4mPX,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",On BS
7l2nxyx7IkBX5orhkALg0V,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Privileged Rappers
2ZL7WZcjuYKi1KUDtp4kCC,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Spin Bout U
0sSRLXxknVTQDStgU1NqpY,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Hours In Silence
4Flfb4fGscN9kXPOduQLrv,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Treacherous Twins
7GeTsDIc5ykNB6lORO6Cee,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Circo Loco
2KLwPaRDOB87XOYAT2fgxh,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft', '0Y5tJX1MQlPlqiwlOH1tJY']",Pussy & Millions (feat. Travis Scott)
45pUWUeEWGoSdH6UF162G8,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Broke Boys
29YW2xXlo6Pc6M0SBTCXYN,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",More M’s
3F5CgOj3wFlRv51JsHbxhe,2022,"['3TVXtAsR1Inumwj472S9r4', '1URnnhqYAYcrqrcwql10ft']",Jimmy Cooks (feat. 21 Savage)
37Nqx7iavZpotJSDXZWbJ3,2021,"['3TVXtAsR1Inumwj472S9r4', '5f7VJjfbwm532GiveGC0ZK']",Girls Want Girls (with Lil Baby)
40iJIUlhi6renaREYGeIDS,2021,"['3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']",Fair Trade (with Travis Scott)
0k1WUmIRnG3xU6fvvDVfRG,2021,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i', '50co4Is1HCEo8bhOyUWKpn']",Way 2 Sexy (with Future & Young Thug)
34D6FJysnQioVingDKufuf,2021,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",N 2 Deep
50ceCGZ3oD3U5caQV5bP6f,2021,"['3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865', '1sBkRIssrMs1AbVkOJbc7a']",You Only Live Twice (with Lil Wayne & Rick Ross)
7eYAHC0RbBF9eaqWzT34Aq,2020,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Desires (with Future)
5fHrHoJKfCgBd35zwIBmUK,2020,"['1RyvyyTE3xzB2ZywiAwp0i', '3TVXtAsR1Inumwj472S9r4', '50co4Is1HCEo8bhOyUWKpn']",D4L
6Kj17Afjo1OKJYpf5VzCeo,2020,"['3TVXtAsR1Inumwj472S9r4', '699OTQXzgjhIYAHMy9RyPD']",Pain 1993 (with Playboi Carti)
2xUHiyGeGrWmmfv7NbDTWC,2019,"['3TVXtAsR1Inumwj472S9r4', '6l3HvQ5sa6mXTsMTB19rO5']",Jodeci Freestyle (feat. J. Cole)
18t8ypY0HYaQuGBxg2KdT2,2019,"['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']",Free Spirit (feat. Rick Ross)
28irpKCCK9nn9DZSik2zEx,2017,"['3TVXtAsR1Inumwj472S9r4', '5K4W6rqBFWDnAN6FQUkS6x']",Glow
7bJ4mu7MHa3rHiNyKjOoSl,2017,"['3TVXtAsR1Inumwj472S9r4', '50co4Is1HCEo8bhOyUWKpn']",Ice Melts
5e574bhjycX1eH2l4Auage,2016,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Grammys
0GR7iJLhj80KD5LkA14ZRn,2015,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Digital Dash
7jslhIiELQkgW9IHeYNOWE,2015,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Big Rings
2uTG00P1DkhB97pdITkl2O,2015,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Live From The Gutter
2AGottAzfC8bHzF7kEJ3Wa,2015,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Diamonds Dancing
0B5OTb36fzLayn6XQHg5A1,2015,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Scholarships
76kyKtPLsFbQkdQ86QrkF4,2015,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",Plastic Bag
6bqtKURdSWkInAJHDkuaL0,2015,"['3TVXtAsR1Inumwj472S9r4', '1RyvyyTE3xzB2ZywiAwp0i']",I'm The Plug
