word,frequency
the,612
i,506
you,381
a,246
i'm,240
and,221
to,206
like,182
"boom,",172
in,151
your,150
me,146
my,141
that,132
"somebody,",128
on,120
it,117
nicki,113
is,105
this,93
do,93
for,87
girls,87
got,86
some,85
just,81
"rah,",76
with,75
he,74
up,71
look,71
minaj],68
so,67
how,64
she,63
when,61
but,59
they,59
of,58
these,58
it's,57
'em,56
"badoom,",56
if,55
am,53
get,52
we,50
all,49
ain't,49
love,49
"yeah,",48
dungeon,48
"mun-mun-muny,",48
bass,47
was,46
could,45
'cause,44
know,43
might,41
"dominoes,",40
dragon,40
(get,40
"you,",40
fall,39
fuck,39
what,38
"blazin',",38
be,37
blazin',36
[verse,36
ya,36
"material,",36
(remix),35
good,35
&,35
her,35
i'ma,35
off,33
don't,33
[chorus:,32
back,32
"some,",32
"yo,",31
me?,31
you?,31
fly,30
ready,30
bitches,29
bad,29
out,29
now,29
"bitch,",29
"it,",28
put,27
tell,27
(demo),27
that's,27
see,27
at,26
"girls,",26
feel,26
like?,26
'em),26
"love,",25
you're,24
also,24
(with,24
mun-mun-muny,24
yen,24
pesos,24
super,24
[chorus],24
holdin',24
feels,24
hear,24
shitted,24
"me,",24
givin',23
make,23
"best,",23
go,23
can,22
as,22
did,22
where,22
d-d-dominoes,22
best,22
time,21
came,21
every,21
right,21
then,21
"yes,",21
him,21
"up,",21
one,20
them,20
need,20
(feat.,20
(dj,20
won't,20
hood$tars),19
lost,19
who,19
"oh,",19
bitch,19
yeah,19
save,19
why,19
life,19
never,18
shit?,18
friday:,18
big,18
come,18
(leaked,18
dominoes,18
yo),18
"no,",18
“pink,18
have,18
last,18
minaj,18
"(bass,",18
mind,18
hand,18
can't,18
w/,18
catch,18
only,17
"fly,",17
take,17
shoot,17
wave,17
play,16
"yah,",16
always,16
"know,",16
at?,16
material,16
still,16
no,16
"okay,",16
give,16
comin',16
little,15
"high,",15
say,15
gon',15
not,15
here,15
think,15
(yeah),15
through,15
away,15
said,14
call,14
at),14
fuckin',14
(girls,14
oh,14
"'em,",14
gotta,14
top,14
"life,",14
money,14
"(yo,",13
throw,13
whiteowl),13
2:,13
doing,13
from,13
1:,13
"time,",12
blow,12
body,12
keep,12
air,12
"alive,",12
"sick,",12
game,12
boom,12
down,12
"anyway,",12
ma-ma-material,12
"boy,",12
(you,12
badoom,12
bass),12
waitin',12
please,12
even,11
"baby,",11
run,11
myself,11
told,11
long,11
kill,11
runnin',10
2],10
heartbeat,10
enough,10
shoot),10
"moment,",10
old,10
that),10
let,10
niggas,10
"motherfucker,",10
chance,10
couple,10
1],10
"off,",10
world,10
stop,10
"win,",9
[bridge:,9
"this,",9
more,9
gettin',9
(do,9
"tapes”,",9
start,9
"man,",9
i'll,9
talk,9
name,9
like[verse,9
way,9
took,8
"anthem,",8
anthem,8
wayne),8
will,8
"in-ear,",8
"day,",8
lil,8
"money,",8
hit,8
"chin,",8
"woah,",8
thing,8
silly,8
shit,8
"london,",8
moment,8
sexy,8
"walks,",8
yo,8
wanna,8
schofield],8
danny,8
bass?,8
