word,frequency
the,10293
of,7457
in,2831
and,2673
a,2401
to,2201
is,1903
as,1824
that,1165
it,1125
for,976
by,947
labour,920
which,831
this,812
its,737
on,726
with,671
but,624
production,613
not,598
or,546
be,519
his,518
from,509
only,502
are,495
.,453
an,444
into,429
value,422
one,413
capital,409
he,406
their,403
we,379
more,357
at,352
"labour,",345
means,342
all,341
has,312
they,302
same,295
form,284
social,272
i,270
other,270
so,263
have,263
no,247
capitalist,237
itself,227
if,224
"production,",219
process,210
these,204
can,199
*,191
time,183
"capital,",182
conditions,178
than,176
does,176
must,172
money,171
necessary,168
also,167
different,167
exchange,164
work,159
between,158
under,154
was,152
human,151
development,150
there,148
therefore,144
relation,141
individual,141
such,140
product,140
may,139
first,138
own,137
labour-power,136
division,136
appears,135
them,134
productive,134
forms,132
when,131
what,130
who,130
capital.,129
"therefore,",128
use,126
every,126
now,125
two,124
up,123
material,123
o,121
production.,121
labour.,121
out,119
been,116
each,116
part,115
you,115
thus,114
would,114
commodities,113
general,113
then,113
society,113
"value,",112
relations,111
will,110
labourer,110
commodity,109
order,108
property,108
being,106
him,105
mode,105
just,103
new,103
living,103
free,102
f,102
without,102
"hand,",101
because,101
natural,99
those,98
my,98
within,97
becomes,97
given,95
most,95
merely,95
"is,",94
particular,94
surplus,93
power,92
do,91
quantity,91
far,90
here,89
"it,",89
consumption,88
hence,87
any,86
working,86
"however,",85
like,85
even,84
where,83
upon,82
become,80
real,80
whose,79
way,79
both,79
"commodities,",79
were,78
whole,78
our,77
us,77
through,77
definite,76
economic,76
very,76
i'm,76
some,75
greater,75
over,75
much,75
products,74
already,74
nature,74
value.,74
worker,74
relative,73
certain,73
how,73
modern,72
simple,72
nothing,71
still,71
wealth,71
"itself,",71
while,71
objective,71
character,71
bourgeois,71
existence,70
machinery,69
great,68
specific,68
direct,68
independent,67
man,67
before,67
fixed,67
developed,67
during,66
etc.,65
increase,65
values,64
another,64
labourers,64
himself,64
less,64
distribution,63
mere,63
always,63
produce,63
latter,63
surplus-value,62
had,62
themselves,62
see,61
point,61
law,60
after,60
fact,60
since,59
"time,",59
case,59
it.,59
among,58
number,58
make,58
me,58
hours,58
"society,",58
get,58
wage,57
well,57
rather,57
mass,57
life,56
raw,55
"labour-power,",55
linen,55
labour-time,55
day,55
historic,55
various,55
instruments,55
place,55
condition,54
takes,54
class,54
produced,53
working-day,53
soon,53
reproduction,53
political,52
system,52
b,52
historical,52
many,52
"commodity,",52
cotton,51
result,51
take,51
price,51
determined,51
"i.e.,",50
object,50
alien,50
laws,50
accumulation,50
let,50
coat,50
yet,49
about,49
world,49
common,49
makes,49
nigga,49
workers,48
your,48
"and,",48
made,48
itself.,47
manufacture,47
family,47
useful,47
half,47
could,47
whether,46
"process,",46
factory,46
instead,46
kind,46
special,46
change,46
instrument,45
industrial,45
produces,45
amount,45
directly,45
appear,45
employed,44
sims,44
commodities.,44
circulation,44
against,44
industry,44
required,44
act,43
e.g.,43
although,43
side,43
capitalistic,43
creates,43
mo',43
"work,",43
"machinery,",42
old,42
"that,",42
things,42
"money,",42
"which,",42
cost,42
"other,",41
private,41
say,41
state,41
equal,41
productiveness,41
"form,",41
total,41
possible,40
hand,40
individuals,40
history,40
back,40
i.e.,40
"example,",40
section,39
wages,39
population,39
again,39
society.,39
p.,39
"then,",38
making,38
thing,38
last,38
towards,38
cannot,38
[marx],38
average,38
immediate,38
consequently,37
further,37
extent,37
once,37
"hence,",37
"manufacture,",37
land,37
original,37
rick,37
use-value,37
£,36
belongs,36
"capitalist,",36
present,36
10,36
constantly,36
"labourer,",36
1,36
subsistence,36
producing,36
labour-power.,36
posited,36
difference,36
need,36
dissolution,35
"industry,",35
"product,",35
degree,35
supply,35
longer,35
three,35
"side,",35
subject,34
"consumption,",34
capacity,34
"him,",34
t,34
give,34
people,34
created,34
absolute,34
forces,34
owner,34
moment,34
together,34
end,34
call,34
landed,33
basis,33
marx,33
sell,33
20,33
h,33
single,33
should,33
capitalist.,33
large,33
full,32
market,32
activity,32
find,32
"this,",32
existing,32
"day,",32
never,32
e,32
got,32
"them,",32
period,32
small,32
n,32
"power,",32
transformation,32
portion,32
higher,31
nor,31
down,31
something,31
"""the",31
physical,31
constant,31
sum,31
objectified,31
force,31
kinds,31
"but,",30
according,30
"rather,",30
6,30
"etc.,",30
it's,30
either,30
increases,30
equivalent,30
thereby,29
embodied,29
foundation,29
above,29
method,29
come,29
necessaries,29
necessity,29
movement,29
expenditure,29
corresponding,29
yards,29
appropriation,29
branches,29
surplus-labour,28
might,28
carried,28
action,28
"another,",28
normal,28
lbs.,28
"system,",28
"fact,",28
form.,28
matter,28
analysis,28
begins,28
"values,",28
exists,28
long,27
english,27
m,27
"yarn,",27
creation,27
application,27
elements,27
turn,27
process.,27
"man,",27
set,27
though,27
having,27
concrete,27
transformed,27
"products,",27
"population,",27
remains,27
little,27
them.,27
sale,26
",",26
external,26
used,26
abstract,26
economists,26
demand,26
too,26
based,26
"property,",26
fall,26
"wealth,",26
consists,26
stage,26
commodity.,26
expression,26
ever,26
yarn,26
belong,26
body,26
day's,26
labour-process,26
outside,26
men,26
few,25
rise,25
=,25
proportion,25
"nature,",25
economy,25
"working-day,",25
expressed,25
good,25
co-operation,25
quite,25
course,25
keep,25
consumption.,25
bitch,25
regard,25
know,25
separation,24
daily,24
seen,24
"himself,",24
taken,24
detail,24
1.,24
3,24
technical,24
requires,24
s,24
comes,24
necessarily,24
her,24
"labourers,",24
works,24
modes,24
gives,24
did,24
"are,",24
neither,24
objects,24
growth,24
"e.g.,",24
community,24
beyond,24
brought,24
[verse,24
changes,24
&,24
"life,",24
"now,",24
"development,",24
source,24
extension,24
12,23
historically,23
five,23
exist,23
immediately,23
powers,23
she,23
2,23
later,23
children,23
shillings,23
"if,",23
go,23
consumed,23
machine,23
earlier,23
dough,23
"or,",23
shit,23
paid,23
agricultural,23
"subsistence,",23
money.,22
-,22
hands,22
right,22
moments,22
"&c.,",22
labour;,22
article,22
second,22
done,22
interest,22
chapter,22
likewise,22
peculiar,22
substance,22
"linen,",22
operations,22
"coat,",22
consider,22
capitalists,22
"relations,",22
alone,22
exploitation,22
"exchange,",22
employment,22
"here,",22
opposite,21
"worker,",21
"circulation,",21
don't,21
feudal,21
actual,21
shows,21
labouring,21
exchanged,21
"contrary,",21
combination,21
sense,21
primitive,21
"hours,",21
sells,21
create,21
variable,21
whom,21
former,21
"individual,",21
bought,21
presupposes,21
play,21
"whole,",21
y,21
reduced,21
"nevertheless,",21
production;,21
other.,21
"place,",21
able,20
quality,20
question,20
ross,20
"conditions,",20
begin,20
"labour-process,",20
limits,20
magnitude,20
agriculture,20
apart,20
increased,20
bodily,20
articles,20
(1),20
shall,20
"use-value,",20
"general,",20
simply,20
head,20
results,19
