word,frequency
the,4448
i,3085
you,2758
to,2134
a,1988
and,1749
in,1453
my,1335
i'm,1136
it,1114
me,933
we,905
on,888
that,866
of,807
is,782
this,740
for,729
like,715
with,665
your,650
they,625
-,607
know,592
so,576
got,571
all,563
what,551
don't,528
up,527
but,523
get,469
just,460
be,459
ain't,456
it's,437
was,404
[verse,398
no,397
out,397
jay-z],393
&,368
now,361
niggas,355
when,341
love,334
if,333
never,327
gon',298
at,288
that's,285
shit,284
from,282
how,276
"me,",274
off,272
nigga,272
take,266
y'all,257
do,252
one,245
life,238
not,231
who,231
back,231
kanye,230
he,229
can't,229
'cause,227
can,227
some,225
see,225
might,221
as,220
her,216
new,215
she,210
by,209
make,209
these,201
go,199
[chorus:,196
say,195
fuck,192
black,191
let,186
'em,186
"nigga,",180
"yeah,",178
feat.,176
also,176
have,174
uh,172
need,170
his,169
baby,169
i'll,168
sweet,166
about,165
him,164
had,163
time,162
or,162
stop,158
come,156
only,156
been,154
want,151
gotta,150
them,149
down,148
made,147
too,145
ya,145
"it,",144
why,143
where,142
give,140
still,139
2:,134
did,134
tell,134
"you,",133
could,130
through,127
even,127
"uh,",127
'bout,127
1:,126
you're,123
then,121
wanna,121
keep,120
yeah,120
west],118
people,114
more,114
"up,",112
live,111
what's,111
put,109
day,109
"hey,",109
rap,108
"know,",108
real,108
way,107
same,107
money,105
let's,104
right,103
jay,103
whole,103
than,100
everything,99
bring,98
said,97
look,97
feel,97
our,95
jay-z,92
are,92
good,89
here,89
huh?,88
bad,87
'til,87
hard,86
west,85
3:,84
over,84
really,84
man,84
many,84
every,83
"oh,",83
before,82
thing,82
will,80
home,80
"like,",79
young,78
world,77
us,77
would,77
yo,76
boys,75
next,75
little,73
two,73
show,73
oh,72
big,72
please,72
high,71
"one,",71
i'ma,70
(yeah),70
call,69
already,69
turn,69
boy,68
like[chorus:,68
"shit,",67
lil,67
hold,67
pray,66
think,66
flow,66
much,66
"girls,",66
bitch,65
am,65
hit,65
run,64
[outro:,63
left,63
used,62
ever,62
game,61
"ooh,",60
better,60
lost,60
me?,59
again,59
talkin',59
seen,59
stay,59
house,59
into,59
god,58
throw,58
an,58
leave,57
"baby,",57
lyrics[produced,57
welcome,57
should,57
hands,57
daddy,55
million,55
jesus,55
[chorus],54
america,54
paper,54
around,54
(i,54
other,54
hear,53
die,53
talk,53
damn,53
feeling,52
(baby,52
watch,52
lyrics[intro:,52
frank,52
gave,52
own,51
"hello,",51
"now,",51
eyes,51
move,50
came,50
tryna,50
dope,50
top,50
"back,",50
old,50
"life,",49
long,49
guy,49
white,49
song,49
without,48
i've,48
gettin',48
always,48
night,48
mind,48
play,47
"jesus,",47
well,47
told,47
there,47
hov,47
while,47
head,47
gonna,47
girls,46
"high,",46
lil',46
shorty,46
"said,",46
first,44
wild,44
"no,",44
fuckin',44
beat,43
going,43
something,43
fly,43
last,42
pain,42
....hov'!),42
beyoncé],42
ocean],42
thought,42
[intro:,42
(hey!),42
tryin',42
took,41
missing,41
pop,41
forever,41
heart,41
believe,40
drug,40
"hou-,",40
clap,40
c'mon,40
like[verse,40
hello),40
there's,40
wasn't,40
"day,",40
(say,40
mama,40
"murder,",40
far,39
start,39
party,39
kill,39
"(ooh,",39
three,39
king,39
stars,39
after,39
music,38
change,38
ready,38
roc,38
things,38
reminder,37
[bridge:,37
hey),37
nobody,37
care,37
couple,37
"yo,",37
mad,37
what—what,36
"need,",36
church,36
comin',36
(uh),36
"us,",36
"time,",36
"bitch,",36
their,36
face,36
"jungle,",36
thank,36
york,36
another,36
rock,36
try,35
work,35
girl,35
guess,35
pharrell,35
2],35
american,35
hot,35
"in,",35
tonight,35
ball,35
(we,35
won't,35
lift,34
any,34
fall,34
poppin',34
lot,34
mike,34
"well,",33
hey,33
"that,",33
though,33
yeah),33
ride,33
1],33
runnin',33
bought,33
place,33
breeze,33
"house,",33
z],33
wayne,33
name,33
city,32
lord,32
mr.,32
since,32
(hello),32
friends,32
"all,",32
half,32
away,32
driftin',32
"gon',",32
(lift,32
hood,32
"read,",32
"(hey,",32
roll,32
"murder""",32
nothing,31
mars,31
done,31
didn't,31
wish,31
end,31
building,31
'em!,31
streets,31
sun,31
"(uh,",31
"love,",30
off),30
number,30
bitches,30
"me""",30
family,30
everybody,30
sky,30
getting,30
nothin',29
"niggas,",29
picture,29
pete,29
he's,29
those,29
"fuck,",29
murder,29
"young,",29
water,29
maybe,29
heard,29
(it's,29
"down,",29
songs,29
gone,28
looking,28
coming,28
somebody,28
truth,28
"man,",28
hate,28
knew,28
air,28
stuck,28
lyrics[intro],28
find,28
lose,28
until,28
"off,",28
"on,",28
father,28
behind,27
justin,27
"out,",27
hell,27
town,27
"change,",27
"do,",27
war,27
"say,",27
caught,27
"""i",27
yo),27
pretty,27
couldn't,27
"money,",27
"jay-z,",27
best,27
fight,27
understand,27
drive,27
(woo),26
"game,",26
"please,",26
uh),26
walk,26
(uhh),26
[outro],26
uhh,26
"way,",26
drop,26
v,26
years,25
queen,25
"see,",25
which,25
"boy,",25
da,25
"(yeah,",25
both,25
(uh-huh),25
"""the",25
past,25
fucked,25
swizz,25
pick,25
felt,25
la,25
mob,25
under,25
you'll,25
3],25
blood,25
h,25
"damn,",24
hope,24
hustle,24
she's,24
gangster,24
"su,",24
mother,24
check,24
cut,24
rappers,24
motherfuckers,24
"go,",24
supposed,24
2,24
ice,24
haters,24
fucking,24
"moon,",24
cry,24
"uhh,",24
kids,24
block,24
comes,24
"""murder,",24
"two,",24
drake,24
(yo,24
holla,24
kid,24
fire,24
black-on-black,24
touch,23
enough,23
puff,23
body,23
"cars,",23
"black,",23
guns,23
plus,23
wanted,23
doing,23
six,23
4,23
light,23
hand,23
help,23
sold,23
talking,23
break,23
turned,23
ten,23
cool,23
keys,23
rich,23
straight,22
hoes,22
"three,",22
"hov,",22
alright,22
probably,22
street,22
speak,22
son,22
you?,22
who's,22
"here,",22
cause,22
somethin',22
respect,22
bow,22
"ay,",22
ask,22
it?,22
"god,",22
most,22
z,22
brother,22
open,22
yeezy,22
shall,22
gets,22
"got,",21
has,21
four,21
life's,21
"izz-o,",21
beatz],21
dead,21
wouldn't,21
mean,21
trying,21
"year,",21
together,21
scared,21
second,21
hundred,21
born,21
"west,",21
brooklyn,21
set,21
living,21
may,21
reach,21
against,21
nice,21
coke,21
blue,21
"sky,",21
state,21
its,21
side,21
"sayin',",21
died,21
tried,21
went,21
low,20
izz-a,20
roses,20
boyz,20
far?,20
bag,20
"right,",20
matter,20
ass,20
hou-),20
few,20
promise,20
sisters,20
dream,20
waiting,20
drinks,20
being,20
